"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99799632
1 "Lying" -0.99993207
1 "Lying" -0.99997595
1 "Lying" -0.99996443
1 "Lying" -0.99997122
1 "Lying" -0.99996484
1 "Lying" -0.99996238
1 "Lying" -0.99994877
1 "Lying" -0.99996768
1 "Lying" -0.99997057
1 "Lying" -0.99996344
1 "Lying" -0.999961
1 "Lying" -0.99995565
1 "Lying" -0.99499613
1 "Lying" -0.99964649
1 "Lying" -0.96740376
1 "Lying" -0.94960278
1 "Lying" -0.99558058
1 "Lying" -0.96371097
1 "Lying" -0.94714672
1 "Lying" -0.96638817
1 "Lying" -0.98574109
1 "Lying" -0.99986284
1 "Lying" -0.99995692
1 "Lying" -0.99994248
1 "Lying" -0.99997505
1 "Lying" -0.99999692
1 "Lying" -0.9996149
1 "Lying" -0.99977137
1 "Lying" -0.99993364
1 "Lying" -0.99993227
1 "Lying" -0.99993014
1 "Lying" -0.99993987
1 "Lying" -0.99989677
1 "Lying" -0.99990754
1 "Lying" -0.99990377
1 "Lying" -0.99991724
1 "Lying" -0.99992735
1 "Lying" -0.99993067
1 "Lying" -0.97636154
1 "Lying" -0.99501536
1 "Lying" -0.99914639
1 "Lying" -0.99920964
1 "Lying" -0.99958093
1 "Lying" -0.99999194
1 "Lying" -0.99999464
1 "Lying" -0.99999194
1 "Lying" -0.99995883
1 "Lying" -0.99993586
1 "Lying" -0.9999769
1 "Sitting" -0.99945373
1 "Sitting" -0.99985638
1 "Sitting" -0.99995441
1 "Sitting" -0.99993054
1 "Sitting" -0.99992595
1 "Sitting" -0.99992626
1 "Sitting" -0.99988161
1 "Sitting" -0.99982425
1 "Sitting" -0.99995121
1 "Sitting" -0.99987183
1 "Sitting" -0.9998831
1 "Sitting" -0.99997547
1 "Sitting" -0.99998157
1 "Sitting" -0.99998896
1 "Sitting" -0.99710402
1 "Sitting" -0.99895934
1 "Sitting" -0.99966275
1 "Sitting" -0.99988146
1 "Sitting" -0.9999942
1 "Sitting" -0.9999848
1 "Sitting" -0.999991
1 "Sitting" -0.99999643
1 "Sitting" -0.99998926
1 "Sitting" -0.99999392
1 "Sitting" -0.9999895
1 "Sitting" -0.99998798
1 "Sitting" -0.99999014
1 "Sitting" -0.99665055
1 "Sitting" -0.99873584
1 "Sitting" -0.99940625
1 "Sitting" -0.99978895
1 "Sitting" -0.99976907
1 "Sitting" -0.99980008
1 "Sitting" -0.99986807
1 "Sitting" -0.99996639
1 "Sitting" -0.9999747
1 "Sitting" -0.99998404
1 "Sitting" -0.99998828
1 "Sitting" -0.99997646
1 "Sitting" -0.99994832
1 "Sitting" -0.99975653
1 "Sitting" -0.99823102
1 "Sitting" -0.99958216
1 "Sitting" -0.99971828
1 "Sitting" -0.99984285
1 "Sitting" -0.99986412
1 "Sitting" -0.99995443
1 "Sitting" -0.99996832
1 "Sitting" -0.99998528
1 "Sitting" -0.99998971
1 "Sitting" -0.99998129
1 "Sitting" -0.99998146
1 "Sitting" -0.999977
1 "Standing" -0.99943892
1 "Standing" -0.99942331
1 "Standing" -0.99951495
1 "Standing" -0.78221186
1 "Standing" -0.77380072
1 "Standing" -0.9909915
1 "Standing" -0.99968925
1 "Standing" -0.99990954
1 "Standing" -0.99997391
1 "Standing" -0.99994991
1 "Standing" -0.99997121
1 "Standing" -0.99930017
1 "Standing" -0.99986881
1 "Standing" -0.9998542
1 "Standing" -0.9999559
1 "Standing" -0.99996645
1 "Standing" -0.99997482
1 "Standing" -0.99996403
1 "Standing" -0.99995997
1 "Standing" -0.99996412
1 "Standing" -0.99996229
1 "Standing" -0.99997347
1 "Standing" -0.9999668
1 "Standing" -0.99994424
1 "Standing" -0.99862433
1 "Standing" -0.99913706
1 "Standing" -0.9997039
1 "Standing" -0.99993302
1 "Standing" -0.99997225
1 "Standing" -0.99998665
1 "Standing" -0.99999914
1 "Standing" -0.99999181
1 "Standing" -0.99998992
1 "Standing" -0.99999577
1 "Standing" -0.99998922
1 "Standing" -0.99907879
1 "Standing" -0.99996875
1 "Standing" -0.99983202
1 "Standing" -0.99995862
1 "Standing" -0.99998329
1 "Standing" -0.99998365
1 "Standing" -0.9999739
1 "Standing" -0.99997735
1 "Standing" -0.99997903
1 "Standing" -0.99996492
1 "Standing" -0.99997258
1 "Standing" -0.9992807
1 "Walking" -0.56723575
1 "Walking" -0.40268988
1 "Walking" -0.38062199
1 "Walking" -0.39795092
1 "Walking" -0.21267441
1 "Walking" -0.29733418
1 "Walking" -0.48294968
1 "Walking" -0.43182564
1 "Walking" -0.5104158
1 "Walking" -0.40097707
1 "Walking" -0.40182805
1 "Walking" -0.46664955
1 "Walking" -0.27146196
1 "Walking" -0.28799703
1 "Walking" -0.42106055
1 "Walking" -0.38240893
1 "Walking" -0.41600134
1 "Walking" -0.44336369
1 "Walking" -0.39939433
1 "Walking" -0.35606189
1 "Walking" -0.308683
1 "Walking" -0.32924594
1 "Walking" -0.49856055
1 "Walking" -0.39228946
1 "Walking" -0.32888847
1 "Walking" -0.2910487
1 "Walking" -0.34147605
1 "Walking" -0.40935749
