"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99762773
1 "Lying" -0.99995448
1 "Lying" -0.99998254
1 "Lying" -0.99997497
1 "Lying" -0.99997803
1 "Lying" -0.99997357
1 "Lying" -0.99997013
1 "Lying" -0.99996625
1 "Lying" -0.99997996
1 "Lying" -0.99998118
1 "Lying" -0.99997583
1 "Lying" -0.99997377
1 "Lying" -0.99996902
1 "Lying" -0.99626032
1 "Lying" -0.99972677
1 "Lying" -0.97705434
1 "Lying" -0.96685319
1 "Lying" -0.99698967
1 "Lying" -0.97595057
1 "Lying" -0.94490666
1 "Lying" -0.95585258
1 "Lying" -0.98960206
1 "Lying" -0.99981183
1 "Lying" -0.99989837
1 "Lying" -0.99995831
1 "Lying" -0.9999742
1 "Lying" -0.99998719
1 "Lying" -0.99956752
1 "Lying" -0.99983061
1 "Lying" -0.99995426
1 "Lying" -0.99995193
1 "Lying" -0.99995348
1 "Lying" -0.99995699
1 "Lying" -0.99993217
1 "Lying" -0.99994266
1 "Lying" -0.99993898
1 "Lying" -0.9999447
1 "Lying" -0.99995318
1 "Lying" -0.99995376
1 "Lying" -0.95493065
1 "Lying" -0.99196859
1 "Lying" -0.9994786
1 "Lying" -0.99951273
1 "Lying" -0.9997257
1 "Lying" -0.99999227
1 "Lying" -0.99999459
1 "Lying" -0.99999486
1 "Lying" -0.9999732
1 "Lying" -0.99996136
1 "Lying" -0.99998666
1 "Sitting" -0.99966608
1 "Sitting" -0.99991146
1 "Sitting" -0.99996237
1 "Sitting" -0.99995136
1 "Sitting" -0.99995105
1 "Sitting" -0.99994836
1 "Sitting" -0.99991361
1 "Sitting" -0.99988785
1 "Sitting" -0.99995616
1 "Sitting" -0.99988634
1 "Sitting" -0.99989985
1 "Sitting" -0.99997858
1 "Sitting" -0.99998826
1 "Sitting" -0.99999089
1 "Sitting" -0.99816201
1 "Sitting" -0.99937951
1 "Sitting" -0.99979492
1 "Sitting" -0.9999209
1 "Sitting" -0.99999132
1 "Sitting" -0.99999056
1 "Sitting" -0.99999379
1 "Sitting" -0.99999555
1 "Sitting" -0.99999077
1 "Sitting" -0.9999937
1 "Sitting" -0.99999119
1 "Sitting" -0.99998997
1 "Sitting" -0.99999021
1 "Sitting" -0.99797628
1 "Sitting" -0.99920273
1 "Sitting" -0.99961757
1 "Sitting" -0.99969482
1 "Sitting" -0.99965966
1 "Sitting" -0.99981909
1 "Sitting" -0.99987056
1 "Sitting" -0.99997703
1 "Sitting" -0.99996446
1 "Sitting" -0.99997091
1 "Sitting" -0.99999064
1 "Sitting" -0.99998236
1 "Sitting" -0.99996182
1 "Sitting" -0.99975549
1 "Sitting" -0.99870688
1 "Sitting" -0.9997411
1 "Sitting" -0.99983292
1 "Sitting" -0.99989604
1 "Sitting" -0.99991246
1 "Sitting" -0.99996776
1 "Sitting" -0.99997807
1 "Sitting" -0.99998935
1 "Sitting" -0.9999911
1 "Sitting" -0.99998598
1 "Sitting" -0.99998146
1 "Sitting" -0.99998017
1 "Standing" -0.99954168
1 "Standing" -0.99963283
1 "Standing" -0.99970659
1 "Standing" -0.87384366
1 "Standing" -0.8684289
1 "Standing" -0.99444092
1 "Standing" -0.99970574
1 "Standing" -0.99993061
1 "Standing" -0.99996837
1 "Standing" -0.99995642
1 "Standing" -0.99996824
1 "Standing" -0.99956487
1 "Standing" -0.99990687
1 "Standing" -0.99990645
1 "Standing" -0.99996183
1 "Standing" -0.99997234
1 "Standing" -0.99997879
1 "Standing" -0.99997212
1 "Standing" -0.99996804
1 "Standing" -0.99997485
1 "Standing" -0.99997375
1 "Standing" -0.99997978
1 "Standing" -0.99997481
1 "Standing" -0.99995857
1 "Standing" -0.9991365
1 "Standing" -0.99947092
1 "Standing" -0.99981613
1 "Standing" -0.99995007
1 "Standing" -0.99997872
1 "Standing" -0.99998588
1 "Standing" -0.99999129
1 "Standing" -0.99998619
1 "Standing" -0.99998425
1 "Standing" -0.99998957
1 "Standing" -0.99998953
1 "Standing" -0.9993863
1 "Standing" -0.99997129
1 "Standing" -0.99989208
1 "Standing" -0.99996968
1 "Standing" -0.99998401
1 "Standing" -0.99998249
1 "Standing" -0.99997997
1 "Standing" -0.99998132
1 "Standing" -0.99998109
1 "Standing" -0.99997389
1 "Standing" -0.99997885
1 "Standing" -0.99935552
1 "Walking" -0.63057343
1 "Walking" -0.58321396
1 "Walking" -0.55979723
1 "Walking" -0.45542197
1 "Walking" -0.35606636
1 "Walking" -0.47188814
1 "Walking" -0.5954795
1 "Walking" -0.55833592
1 "Walking" -0.65210351
1 "Walking" -0.58347302
1 "Walking" -0.59225555
1 "Walking" -0.56155852
1 "Walking" -0.46417784
1 "Walking" -0.46341122
1 "Walking" -0.54768398
1 "Walking" -0.52610409
1 "Walking" -0.51094658
1 "Walking" -0.51171522
1 "Walking" -0.44611484
1 "Walking" -0.4827895
1 "Walking" -0.4680018
1 "Walking" -0.52052409
1 "Walking" -0.57579997
1 "Walking" -0.46579124
1 "Walking" -0.4412481
1 "Walking" -0.42644683
1 "Walking" -0.48941901
1 "Walking" -0.56911589
1 "Walking" -0.5096155
1 "Walking" -0.48486393
1 "Walking" -0.48628207
1 "Walking" -0.45624798
1 "Walking" -0.48782391
1 "Walking" -0.50809786
1 "Walking" -0.55804593
1 "Walking" -0.55156585
1 "Walking" -0.49899527
1 "Walking" -0.52075565
1 "Walking" -0.57164617
1 "Walking" -0.60757518
1 "Walking" -0.60635206
1 "Walking" -0.59186268
1 "Walking" -0.62250143
1 "Walking" -0.60699959
1 "Walking" -0.55487222
1 "Walking" -0.53399621
1 "Walking" -0.56189519
1 "Walking" -0.6738563
1 "Walking" -0.63729241
1 "Walking" -0.63536616
1 "Walking" -0.64399617
1 "Walking" -0.60773656
1 "Walking" -0.58481638
1 "Walking" -0.58098115
1 "Walking" -0.61923307
1 "Walking" -0.64012412
1 "Walking" -0.57439788
1 "Walking" -0.5558124
1 "Walking" -0.60752692
1 "Walking" -0.63870967
1 "Walking" -0.62239113
1 "Walking" -0.63737033
1 "Walking" -0.58655182
1 "Walking" -0.54567081
1 "Walking" -0.62387765
1 "Walking" -0.63025331
1 "Walking" -0.48304503
1 "Walking" -0.34342689
1 "Walking" -0.46687922
1 "Walking" -0.51086538
1 "Walking" -0.53878557
1 "Walking" -0.52011872
1 "Walking" -0.49760583
1 "Walking" -0.53465434
1 "Walking" -0.60765934
1 "Walking" -0.63722935
1 "Walking" -0.58529254
1 "Walking" -0.56483572
1 "Walking" -0.61490353
1 "Walking" -0.62412841
1 "Walking" -0.63869012
1 "Walking" -0.61295781
1 "Walking" -0.54890121
1 "Walking" -0.56623891
1 "Walking" -0.62816263
1 "Walking" -0.63829184
1 "Walking" -0.60243315
1 "Walking" -0.51110423
1 "Walking" -0.46410689
1 "Walking" -0.47250119
1 "Walking" -0.51446149
1 "Walking" -0.46186326
1 "Walking" -0.42144947
1 "Walking" -0.52021033
1 "Walking" -0.57148853
1 "Walking Down Stairs" -0.77517443
1 "Walking Down Stairs" -0.64592983
1 "Walking Down Stairs" -0.60735534
1 "Walking Down Stairs" -0.65785591
1 "Walking Down Stairs" -0.68725798
1 "Walking Down Stairs" -0.58249079
1 "Walking Down Stairs" -0.56516049
1 "Walking Down Stairs" -0.71522663
1 "Walking Down Stairs" -0.71684321
1 "Walking Down Stairs" -0.50919405
1 "Walking Down Stairs" -0.53158125
1 "Walking Down Stairs" -0.46411528
1 "Walking Down Stairs" -0.44818174
1 "Walking Down Stairs" -0.43214121
1 "Walking Down Stairs" -0.45672525
1 "Walking Down Stairs" -0.60419238
1 "Walking Down Stairs" -0.62861006
1 "Walking Down Stairs" -0.63853076
1 "Walking Down Stairs" -0.63204343
1 "Walking Down Stairs" -0.57890195
1 "Walking Down Stairs" -0.46017586
1 "Walking Down Stairs" -0.59592525
1 "Walking Down Stairs" -0.61777122
1 "Walking Down Stairs" -0.62196848
1 "Walking Down Stairs" -0.68568041
1 "Walking Down Stairs" -0.77620757
1 "Walking Down Stairs" -0.70692777
1 "Walking Down Stairs" -0.56103503
1 "Walking Down Stairs" -0.47508348
1 "Walking Down Stairs" -0.60002751
1 "Walking Down Stairs" -0.69256434
1 "Walking Down Stairs" -0.69987305
1 "Walking Down Stairs" -0.68053921
1 "Walking Down Stairs" -0.63981766
1 "Walking Down Stairs" -0.55748367
1 "Walking Down Stairs" -0.50037676
1 "Walking Down Stairs" -0.63115987
1 "Walking Down Stairs" -0.68400889
1 "Walking Down Stairs" -0.68304067
1 "Walking Down Stairs" -0.68201234
1 "Walking Down Stairs" -0.70096004
1 "Walking Down Stairs" -0.56668672
1 "Walking Down Stairs" -0.54141776
1 "Walking Down Stairs" -0.7100483
1 "Walking Down Stairs" -0.74496039
1 "Walking Down Stairs" -0.5280388
1 "Walking Down Stairs" -0.49230462
1 "Walking Down Stairs" -0.64368354
1 "Walking Down Stairs" -0.62982984
1 "Walking Up Stairs" -0.50002063
1 "Walking Up Stairs" -0.51936541
1 "Walking Up Stairs" -0.52461293
1 "Walking Up Stairs" -0.4921471
1 "Walking Up Stairs" -0.48923416
1 "Walking Up Stairs" -0.54029679
1 "Walking Up Stairs" -0.5181461
1 "Walking Up Stairs" -0.48590491
1 "Walking Up Stairs" -0.51748249
1 "Walking Up Stairs" -0.51865873
1 "Walking Up Stairs" -0.41575446
1 "Walking Up Stairs" -0.41175106
1 "Walking Up Stairs" -0.60840384
1 "Walking Up Stairs" -0.6502685
1 "Walking Up Stairs" -0.60044477
1 "Walking Up Stairs" -0.56741509
1 "Walking Up Stairs" -0.58056847
1 "Walking Up Stairs" -0.5333514
1 "Walking Up Stairs" -0.52478284
1 "Walking Up Stairs" -0.46816524
1 "Walking Up Stairs" -0.4814123
1 "Walking Up Stairs" -0.62615495
1 "Walking Up Stairs" -0.71350994
1 "Walking Up Stairs" -0.61111649
1 "Walking Up Stairs" -0.54302276
1 "Walking Up Stairs" -0.54958554
1 "Walking Up Stairs" -0.48285522
1 "Walking Up Stairs" -0.50491879
1 "Walking Up Stairs" -0.28739267
1 "Walking Up Stairs" -0.31467642
1 "Walking Up Stairs" -0.49112742
1 "Walking Up Stairs" -0.46406906
1 "Walking Up Stairs" -0.47571871
1 "Walking Up Stairs" -0.42535005
1 "Walking Up Stairs" -0.39449137
1 "Walking Up Stairs" -0.43766367
1 "Walking Up Stairs" -0.54399012
1 "Walking Up Stairs" -0.38131915
1 "Walking Up Stairs" -0.344259
1 "Walking Up Stairs" -0.46918967
1 "Walking Up Stairs" -0.45763218
1 "Walking Up Stairs" -0.45247989
1 "Walking Up Stairs" -0.40690565
1 "Walking Up Stairs" -0.4661684
1 "Walking Up Stairs" -0.52252283
1 "Walking Up Stairs" -0.53462855
1 "Walking Up Stairs" -0.37209793
1 "Walking Up Stairs" -0.35733769
1 "Walking Up Stairs" -0.52303356
1 "Walking Up Stairs" -0.55101094
1 "Walking Up Stairs" -0.51712126
1 "Walking Up Stairs" -0.43906878
1 "Walking Up Stairs" -0.42272177
2 "Lying" -0.99733377
2 "Lying" -0.99868066
