"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98153582
1 "Lying" -0.99373609
1 "Lying" -0.99836405
1 "Lying" -0.99989054
1 "Lying" -0.99995749
1 "Lying" -0.99995969
1 "Lying" -0.99984219
1 "Lying" -0.99996313
1 "Lying" -0.99995264
1 "Lying" -0.99995862
1 "Lying" -0.9999661
1 "Lying" -0.99995894
1 "Lying" -0.99994803
1 "Lying" -0.99130319
1 "Lying" -0.98981574
1 "Lying" -0.90393139
1 "Lying" -0.91691883
1 "Lying" -0.99693484
1 "Lying" -0.92825084
1 "Lying" -0.90684705
1 "Lying" -0.96122857
1 "Lying" -0.99209298
1 "Lying" -0.99922089
1 "Lying" -0.99939878
1 "Lying" -0.99974277
1 "Lying" -0.99992014
1 "Lying" -0.99996596
1 "Lying" -0.9811226
1 "Lying" -0.99118799
1 "Lying" -0.99819079
1 "Lying" -0.99975077
1 "Lying" -0.99993385
1 "Lying" -0.99997903
1 "Lying" -0.99990087
1 "Lying" -0.99997482
1 "Lying" -0.9999594
1 "Lying" -0.99996145
1 "Lying" -0.9999775
1 "Lying" -0.9999779
1 "Lying" -0.82992359
1 "Lying" -0.96522798
1 "Lying" -0.99673584
1 "Lying" -0.99699342
1 "Lying" -0.99836504
1 "Lying" -0.99962207
1 "Lying" -0.99974033
1 "Lying" -0.99988543
1 "Lying" -0.9979286
1 "Lying" -0.99730205
1 "Lying" -0.99949714
1 "Sitting" -0.99993462
1 "Sitting" -0.99989205
1 "Sitting" -0.99984625
1 "Sitting" -0.99986679
1 "Sitting" -0.99986421
1 "Sitting" -0.99978112
1 "Sitting" -0.99968971
1 "Sitting" -0.99967348
1 "Sitting" -0.99986142
1 "Sitting" -0.999731
1 "Sitting" -0.99973239
1 "Sitting" -0.99997221
1 "Sitting" -0.99997286
1 "Sitting" -0.99997547
1 "Sitting" -0.99571002
1 "Sitting" -0.99753534
1 "Sitting" -0.99955714
1 "Sitting" -0.99975686
1 "Sitting" -0.99996811
1 "Sitting" -0.99996543
1 "Sitting" -0.99998988
1 "Sitting" -0.99998687
1 "Sitting" -0.9999637
1 "Sitting" -0.99997389
1 "Sitting" -0.99995576
1 "Sitting" -0.99996553
1 "Sitting" -0.99998046
1 "Sitting" -0.99487046
1 "Sitting" -0.99883026
1 "Sitting" -0.99953751
1 "Sitting" -0.99772732
1 "Sitting" -0.99735941
1 "Sitting" -0.99937231
1 "Sitting" -0.9999487
1 "Sitting" -0.99997546
1 "Sitting" -0.99987421
1 "Sitting" -0.99987277
1 "Sitting" -0.99997878
1 "Sitting" -0.99996436
1 "Sitting" -0.99994376
1 "Sitting" -0.99993942
1 "Sitting" -0.99576287
1 "Sitting" -0.99844888
1 "Sitting" -0.99942819
1 "Sitting" -0.99991338
1 "Sitting" -0.99996293
1 "Sitting" -0.99994534
1 "Sitting" -0.99996353
1 "Sitting" -0.99995759
1 "Sitting" -0.99997933
1 "Sitting" -0.99995838
1 "Sitting" -0.99994569
1 "Sitting" -0.99995736
1 "Standing" -0.99621298
1 "Standing" -0.99937766
1 "Standing" -0.99929554
1 "Standing" -0.90560046
1 "Standing" -0.87794969
1 "Standing" -0.95987052
1 "Standing" -0.99965247
1 "Standing" -0.99963361
1 "Standing" -0.9998516
1 "Standing" -0.99991809
1 "Standing" -0.99997419
1 "Standing" -0.98669009
1 "Standing" -0.98596644
1 "Standing" -0.99467216
1 "Standing" -0.99958927
1 "Standing" -0.99974922
1 "Standing" -0.99985621
1 "Standing" -0.99981128
1 "Standing" -0.9998864
1 "Standing" -0.99988147
1 "Standing" -0.99993372
1 "Standing" -0.99989075
1 "Standing" -0.99988853
1 "Standing" -0.99988435
1 "Standing" -0.99901016
1 "Standing" -0.99632985
1 "Standing" -0.998391
1 "Standing" -0.99959212
1 "Standing" -0.99988598
1 "Standing" -0.99997441
1 "Standing" -0.9999742
1 "Standing" -0.99997349
1 "Standing" -0.99995773
1 "Standing" -0.99996966
