"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.22110622
1 "Lying" 0.23100135
1 "Lying" 0.39745374
1 "Lying" 0.15732188
1 "Lying" 0.099280071
1 "Lying" 0.28699198
1 "Lying" 0.48747904
1 "Lying" 0.39499238
1 "Lying" 0.2458171
1 "Lying" 0.36576271
1 "Lying" 0.45375452
1 "Lying" 0.44219677
1 "Lying" 0.350558
1 "Lying" -0.65863253
1 "Lying" -0.11628643
1 "Lying" 0.39132582
1 "Lying" 0.36703871
1 "Lying" 0.0070230248
1 "Lying" -0.070309086
1 "Lying" 0.38305659
1 "Lying" 0.48698325
1 "Lying" -0.032895594
1 "Lying" -0.12972563
1 "Lying" -0.12541364
1 "Lying" 0.2188107
1 "Lying" 0.38683271
1 "Lying" 0.2058698
1 "Lying" 0.13262059
1 "Lying" 0.018453253
1 "Lying" 0.04609013
1 "Lying" 0.074235312
1 "Lying" 0.22624356
1 "Lying" 0.10117986
1 "Lying" 0.086807886
1 "Lying" 0.21245506
1 "Lying" 0.32247837
1 "Lying" 0.49982429
1 "Lying" 0.09876178
1 "Lying" -0.065265466
1 "Lying" 0.29627086
1 "Lying" 0.24456147
1 "Lying" 0.080626634
1 "Lying" -0.13414179
1 "Lying" -0.28426797
1 "Lying" -0.24108597
1 "Lying" 0.040881255
1 "Lying" -0.16186248
1 "Lying" 0.22780187
1 "Lying" 0.17154147
1 "Lying" -0.11392081
1 "Sitting" -0.039006951
1 "Sitting" 0.041521811
1 "Sitting" 0.089629879
1 "Sitting" 0.3161197
1 "Sitting" 0.20025838
1 "Sitting" 0.23627625
1 "Sitting" 0.41651054
1 "Sitting" 0.33497426
1 "Sitting" 0.46087076
1 "Sitting" 0.44262869
1 "Sitting" 0.36086757
1 "Sitting" 0.1463807
1 "Sitting" 0.27908149
1 "Sitting" 0.086072396
1 "Sitting" -0.0098690263
1 "Sitting" 0.094586002
1 "Sitting" 0.38696348
1 "Sitting" 0.3681561
1 "Sitting" 0.22031201
1 "Sitting" 0.15241672
1 "Sitting" 0.22781215
1 "Sitting" 0.30926247
1 "Sitting" 0.2828589
1 "Sitting" 0.5181384
1 "Sitting" 0.30658118
1 "Sitting" 0.0022817043
1 "Sitting" -0.00025871349
1 "Sitting" 0.24145281
1 "Sitting" 0.17747511
1 "Sitting" 0.14412599
1 "Sitting" -0.17925914
1 "Sitting" 0.064850263
1 "Sitting" 0.075070302
1 "Sitting" -0.066136708
1 "Sitting" 0.11493645
1 "Sitting" 0.31799896
1 "Sitting" 0.62434178
1 "Sitting" 0.49546046
1 "Sitting" 0.01897176
1 "Sitting" -0.059263741
1 "Sitting" -0.050858908
1 "Sitting" 0.10782456
1 "Sitting" 0.16610035
1 "Sitting" 0.058816207
1 "Sitting" 0.15133715
1 "Sitting" 0.082019292
1 "Sitting" 0.0094753474
1 "Sitting" 0.023701752
1 "Sitting" -0.28792007
1 "Sitting" -0.075058797
1 "Sitting" 0.10636365
1 "Sitting" 0.15633233
1 "Sitting" 0.20888101
1 "Standing" 0.68223121
1 "Standing" 0.50389553
1 "Standing" 0.4260899
1 "Standing" -0.28548388
1 "Standing" -0.36677212
1 "Standing" -0.65846039
1 "Standing" 0.47595353
1 "Standing" 0.42486246
1 "Standing" 0.36613605
1 "Standing" 0.25299344
1 "Standing" 0.39769182
1 "Standing" 0.074359869
1 "Standing" -0.16123332
1 "Standing" -0.1391565
1 "Standing" 0.052973623
1 "Standing" 0.056488091
1 "Standing" 0.01635628
1 "Standing" 0.21869655
1 "Standing" 0.21466279
1 "Standing" 0.056110655
1 "Standing" 0.052900992
1 "Standing" 0.30080509
1 "Standing" 0.20221387
1 "Standing" 0.18512762
1 "Standing" 0.10777141
1 "Standing" 0.21414478
1 "Standing" 0.3437553
1 "Standing" 0.52373839
1 "Standing" 0.50065214
1 "Standing" 0.20920668
1 "Standing" 0.12510848
1 "Standing" 0.32725836
