"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.39586657
1 "Lying" -0.0096356973
1 "Lying" 0.21665137
1 "Lying" 0.31104575
1 "Lying" 0.52374685
1 "Lying" 0.47070013
1 "Lying" 0.29712691
1 "Lying" 0.51877652
1 "Lying" 0.56301895
1 "Lying" 0.51580852
1 "Lying" 0.48616148
1 "Lying" 0.3910567
1 "Lying" 0.39262672
1 "Lying" 0.074670399
1 "Lying" 0.097154704
1 "Lying" -0.32816266
1 "Lying" -0.31953559
1 "Lying" -0.037726871
1 "Lying" -0.40250141
1 "Lying" -0.30882005
1 "Lying" -0.28111335
1 "Lying" -0.36026083
1 "Lying" 0.14865517
1 "Lying" 0.42561049
1 "Lying" 0.51354727
1 "Lying" 0.44481614
1 "Lying" 0.50867893
1 "Lying" -0.074648626
1 "Lying" 0.096199737
1 "Lying" 0.52951061
1 "Lying" 0.51171949
1 "Lying" 0.59223184
1 "Lying" 0.53793878
1 "Lying" 0.29860699
1 "Lying" 0.36131198
1 "Lying" 0.51644244
1 "Lying" 0.58230996
1 "Lying" 0.50257847
1 "Lying" 0.39660466
1 "Lying" -0.13907872
1 "Lying" 0.072422456
1 "Lying" -0.24529487
1 "Lying" -0.17497452
1 "Lying" -0.040049637
1 "Lying" 0.25774587
1 "Lying" 0.24277598
1 "Lying" 0.24780215
1 "Lying" -0.14026975
1 "Lying" -0.0073973736
1 "Lying" 0.19381486
1 "Sitting" 0.92726984
1 "Sitting" 0.18270272
1 "Sitting" 0.18164885
1 "Sitting" 0.25735535
1 "Sitting" 0.23512848
1 "Sitting" 0.20340593
1 "Sitting" 0.020758661
1 "Sitting" 0.20618583
1 "Sitting" 0.2952179
1 "Sitting" -0.087741216
1 "Sitting" -0.1027979
1 "Sitting" 0.28365181
1 "Sitting" 0.50774424
1 "Sitting" 0.36641002
1 "Sitting" 0.1012744
1 "Sitting" 0.17092204
1 "Sitting" 0.28397898
1 "Sitting" 0.32928513
1 "Sitting" 0.33881489
1 "Sitting" 0.27379026
1 "Sitting" 0.61408764
1 "Sitting" 0.72732483
1 "Sitting" 0.57147254
1 "Sitting" 0.6685389
1 "Sitting" 0.82848044
1 "Sitting" 0.86434965
1 "Sitting" 0.69271164
1 "Sitting" 0.088815749
1 "Sitting" 0.19684915
1 "Sitting" 0.27156933
1 "Sitting" -0.27349331
1 "Sitting" -0.32606369
1 "Sitting" 0.21005179
1 "Sitting" 0.47400106
1 "Sitting" 0.29766658
1 "Sitting" -0.0043456462
1 "Sitting" 0.045131714
1 "Sitting" 0.41783587
1 "Sitting" 0.38336283
1 "Sitting" 0.26411475
1 "Sitting" 0.48541559
1 "Sitting" -0.30247068
1 "Sitting" 0.11136015
1 "Sitting" 0.28737885
1 "Sitting" 0.42738397
1 "Sitting" 0.53800424
1 "Sitting" 0.56631534
1 "Sitting" 0.37417378
1 "Sitting" 0.49839258
1 "Sitting" 0.50065723
1 "Sitting" 0.094237007
1 "Sitting" 0.077274588
1 "Sitting" 0.27172052
1 "Standing" 0.015597544
1 "Standing" 0.61634566
1 "Standing" 0.20906667
1 "Standing" -0.72155952
1 "Standing" -0.53708957
1 "Standing" -0.017106841
1 "Standing" 0.28949629
1 "Standing" 0.40347979
1 "Standing" 0.41359313
1 "Standing" 0.36823845
1 "Standing" 0.44788135
1 "Standing" -0.039385401
1 "Standing" 0.0086796286
1 "Standing" 0.15833059
1 "Standing" 0.31591141
1 "Standing" 0.29489291
1 "Standing" 0.43518254
1 "Standing" 0.47238172
1 "Standing" 0.43901751
1 "Standing" 0.48697942
1 "Standing" 0.23934599
1 "Standing" 0.40563243
1 "Standing" 0.45028834
1 "Standing" 0.23761161
1 "Standing" 0.035662264
1 "Standing" -0.0093653488
1 "Standing" 0.028659588
1 "Standing" 0.32526858
1 "Standing" 0.39912666
1 "Standing" 0.40372745
1 "Standing" 0.40027275
1 "Standing" 0.58266215
1 "Standing" 0.67298645
1 "Standing" 0.50643699
1 "Standing" 0.55290367
1 "Standing" 0.056624862
1 "Standing" 0.10938107
1 "Standing" 0.13866695
1 "Standing" 0.34946346
1 "Standing" 0.35038914
1 "Standing" 0.31123273
1 "Standing" 0.25676789
1 "Standing" 0.38065194
1 "Standing" 0.47123198
1 "Standing" 0.51252554
1 "Standing" 0.49593158
1 "Standing" -0.21800774
1 "Walking" 0.032874739
1 "Walking" -0.016419745
1 "Walking" -0.076637194
1 "Walking" -0.046939991
1 "Walking" -0.24048974
1 "Walking" -0.39486893
1 "Walking" -0.31757623
1 "Walking" -0.19588611
1 "Walking" -0.43546963
1 "Walking" -0.15671369
1 "Walking" -0.0095005758
1 "Walking" -0.030503484
1 "Walking" -0.060526213
1 "Walking" -0.075039475
1 "Walking" -0.13652393
1 "Walking" -0.12335347
1 "Walking" -0.07440889
1 "Walking" -0.023308095
1 "Walking" -0.18592344
1 "Walking" -0.3754861
1 "Walking" -0.15528424
1 "Walking" -0.071162669
1 "Walking" -0.18368509
1 "Walking" 0.02513437
1 "Walking" -0.0022292876
1 "Walking" -0.43717005
1 "Walking" -0.27044105
1 "Walking" 0.01885656
1 "Walking" -0.015817969
1 "Walking" -0.05012674
1 "Walking" 0.022512387
1 "Walking" -0.10449703
1 "Walking" -0.40086775
1 "Walking" -0.10683147
1 "Walking" 0.037292094
1 "Walking" -0.20775215
1 "Walking" -0.13042452
1 "Walking" 0.04942074
1 "Walking" -0.095988555
1 "Walking" -0.21746784
1 "Walking" -0.11167657
1 "Walking" -0.2118252
1 "Walking" -0.25314345
1 "Walking" -0.18151904
1 "Walking" -0.32892875
1 "Walking" -0.62735133
1 "Walking" -0.41887298
1 "Walking" -0.28510836
1 "Walking" -0.25481401
1 "Walking" -0.28120707
1 "Walking" -0.234202
1 "Walking" -0.21580567
1 "Walking" -0.35879039
1 "Walking" -0.40601655
1 "Walking" -0.45304808
1 "Walking" -0.11701675
1 "Walking" -0.078195223
1 "Walking" -0.19522587
1 "Walking" -0.28524821
1 "Walking" -0.35365699
1 "Walking" -0.24204545
1 "Walking" -0.13560143
1 "Walking" -0.10053081
1 "Walking" -0.059595462
1 "Walking" -0.1898363
1 "Walking" -0.49070763
1 "Walking" -0.47787566
1 "Walking" -0.28884187
1 "Walking" -0.37135591
1 "Walking" -0.33012339
1 "Walking" -0.10935603
1 "Walking" -0.13842275
1 "Walking" -0.35132009
1 "Walking" -0.27428172
1 "Walking" -0.28878365
1 "Walking" -0.39513708
1 "Walking" -0.55173264
1 "Walking" -0.4417175
1 "Walking" -0.33337221
1 "Walking" -0.29754881
1 "Walking" -0.25069675
1 "Walking" -0.26221214
1 "Walking" -0.15919821
1 "Walking" -0.24225614
1 "Walking" -0.42103606
1 "Walking" -0.29058165
1 "Walking" -0.30383771
1 "Walking" -0.4790768
1 "Walking" -0.37077254
1 "Walking" -0.20142109
1 "Walking" -0.12559661
1 "Walking" -0.099600054
1 "Walking" -0.12334922
1 "Walking" -0.07753242
1 "Walking" -0.018111184
1 "Walking Down Stairs" 0.24988386
1 "Walking Down Stairs" -0.071774907
1 "Walking Down Stairs" -0.15809322
1 "Walking Down Stairs" -0.12022041
1 "Walking Down Stairs" -0.30626724
1 "Walking Down Stairs" -0.087821954
1 "Walking Down Stairs" -0.14674567
1 "Walking Down Stairs" -0.24951892
1 "Walking Down Stairs" -0.066113836
1 "Walking Down Stairs" -0.31087208
1 "Walking Down Stairs" -0.35183229
1 "Walking Down Stairs" -0.32759837
1 "Walking Down Stairs" -0.21398072
1 "Walking Down Stairs" -0.23991452
1 "Walking Down Stairs" -0.34648755
1 "Walking Down Stairs" -0.47303215
1 "Walking Down Stairs" -0.31839883
1 "Walking Down Stairs" -0.2911245
1 "Walking Down Stairs" -0.25243704
1 "Walking Down Stairs" -0.27819321
1 "Walking Down Stairs" -0.2233039
1 "Walking Down Stairs" -0.17604246
1 "Walking Down Stairs" -0.39353704
1 "Walking Down Stairs" -0.28679845
1 "Walking Down Stairs" -0.14110824
1 "Walking Down Stairs" -0.21131117
1 "Walking Down Stairs" -0.41403995
1 "Walking Down Stairs" -0.22810687
1 "Walking Down Stairs" -0.35289166
1 "Walking Down Stairs" -0.33231757
1 "Walking Down Stairs" -0.228925
1 "Walking Down Stairs" -0.32014615
1 "Walking Down Stairs" -0.22872008
1 "Walking Down Stairs" -0.22615189
1 "Walking Down Stairs" -0.28375821
1 "Walking Down Stairs" -0.21891268
1 "Walking Down Stairs" -0.23624667
1 "Walking Down Stairs" -0.33778084
1 "Walking Down Stairs" -0.34554155
1 "Walking Down Stairs" -0.30368979
1 "Walking Down Stairs" -0.26582068
1 "Walking Down Stairs" -0.30526462
1 "Walking Down Stairs" -0.33666359
1 "Walking Down Stairs" -0.22535914
1 "Walking Down Stairs" -0.30440039
1 "Walking Down Stairs" -0.23986028
1 "Walking Down Stairs" -0.17392107
1 "Walking Down Stairs" -0.20725127
1 "Walking Down Stairs" -0.31096835
1 "Walking Up Stairs" -0.35602224
1 "Walking Up Stairs" -0.40980396
1 "Walking Up Stairs" -0.35735776
1 "Walking Up Stairs" -0.34737349
1 "Walking Up Stairs" -0.45637642
1 "Walking Up Stairs" -0.53671314
