"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99206216
1 "Lying" -0.997371
1 "Lying" -0.99342271
1 "Lying" -0.9953024
1 "Lying" -0.99828161
1 "Lying" -0.99670527
1 "Lying" -0.99637199
1 "Lying" -0.99680421
1 "Lying" -0.9951136
1 "Lying" -0.99414109
1 "Lying" -0.99630817
1 "Lying" -0.99583559
1 "Lying" -0.99502052
1 "Lying" -0.97214309
1 "Lying" -0.99112872
1 "Lying" -0.97448846
1 "Lying" -0.88848958
1 "Lying" -0.96406444
1 "Lying" -0.93609268
1 "Lying" -0.76373348
1 "Lying" -0.91987915
1 "Lying" -0.98132047
1 "Lying" -0.98982898
1 "Lying" -0.99398289
1 "Lying" -0.99481732
1 "Lying" -0.99574722
1 "Lying" -0.99752724
1 "Lying" -0.98689011
1 "Lying" -0.99053229
1 "Lying" -0.99608009
1 "Lying" -0.9973323
1 "Lying" -0.99598333
1 "Lying" -0.99340241
1 "Lying" -0.99352557
1 "Lying" -0.99637332
1 "Lying" -0.99567265
1 "Lying" -0.99673936
1 "Lying" -0.99803681
1 "Lying" -0.99726151
1 "Lying" -0.77084732
1 "Lying" -0.90320514
1 "Lying" -0.95025639
1 "Lying" -0.97644501
1 "Lying" -0.98243269
1 "Lying" -0.98009055
1 "Lying" -0.98665434
1 "Lying" -0.98990451
1 "Lying" -0.9858161
1 "Lying" -0.98673385
1 "Lying" -0.98968323
1 "Sitting" -0.99224298
1 "Sitting" -0.99380781
1 "Sitting" -0.99277552
1 "Sitting" -0.99540459
1 "Sitting" -0.99396885
1 "Sitting" -0.99196961
1 "Sitting" -0.98904116
1 "Sitting" -0.98892782
1 "Sitting" -0.99315729
1 "Sitting" -0.98661987
1 "Sitting" -0.99137666
1 "Sitting" -0.99697416
1 "Sitting" -0.99764457
1 "Sitting" -0.99485231
1 "Sitting" -0.99294269
1 "Sitting" -0.99689368
1 "Sitting" -0.99602026
1 "Sitting" -0.99217055
1 "Sitting" -0.9954686
1 "Sitting" -0.99679529
1 "Sitting" -0.99519277
1 "Sitting" -0.9951448
1 "Sitting" -0.99495448
1 "Sitting" -0.99344861
1 "Sitting" -0.99102218
1 "Sitting" -0.99242805
1 "Sitting" -0.99477033
1 "Sitting" -0.99027475
1 "Sitting" -0.98687849
1 "Sitting" -0.98970407
1 "Sitting" -0.98298787
1 "Sitting" -0.97948958
1 "Sitting" -0.99111936
1 "Sitting" -0.99533097
1 "Sitting" -0.9952888
1 "Sitting" -0.99000675
1 "Sitting" -0.98943883
1 "Sitting" -0.99400645
1 "Sitting" -0.99722976
1 "Sitting" -0.99717696
1 "Sitting" -0.99506934
1 "Sitting" -0.9868841
1 "Sitting" -0.99151256
1 "Sitting" -0.9940168
1 "Sitting" -0.99554929
1 "Sitting" -0.99463081
1 "Sitting" -0.99622111
1 "Sitting" -0.99585323
1 "Sitting" -0.99504179
1 "Sitting" -0.99621651
1 "Sitting" -0.99678162
1 "Sitting" -0.99586653
1 "Sitting" -0.9955919
1 "Standing" -0.98950443
1 "Standing" -0.99534412
1 "Standing" -0.99717424
1 "Standing" -0.98820232
1 "Standing" -0.91267578
1 "Standing" -0.97853476
1 "Standing" -0.99574563
1 "Standing" -0.9980109
1 "Standing" -0.99674588
1 "Standing" -0.99493081
1 "Standing" -0.99385984
1 "Standing" -0.99400729
1 "Standing" -0.99625444
1 "Standing" -0.99589806
1 "Standing" -0.99736227
1 "Standing" -0.99655715
1 "Standing" -0.99548944
1 "Standing" -0.99462626
1 "Standing" -0.99325348
1 "Standing" -0.99466795
1 "Standing" -0.99382695
1 "Standing" -0.9924711
1 "Standing" -0.99390216
1 "Standing" -0.99509596
1 "Standing" -0.99490721
1 "Standing" -0.99675788
1 "Standing" -0.99776285
1 "Standing" -0.99729308
1 "Standing" -0.99671651
1 "Standing" -0.9976853
1 "Standing" -0.99685461
1 "Standing" -0.99576475
1 "Standing" -0.99453226
1 "Standing" -0.99594351
1 "Standing" -0.99680089
1 "Standing" -0.98725141
1 "Standing" -0.99458018
1 "Standing" -0.99593986
1 "Standing" -0.99472794
1 "Standing" -0.99523189
1 "Standing" -0.99702635
1 "Standing" -0.99761671
1 "Standing" -0.99814211
1 "Standing" -0.99721406
1 "Standing" -0.99384191
1 "Standing" -0.99486301
1 "Standing" -0.99634894
1 "Walking" -0.46084862
1 "Walking" -0.37993611
1 "Walking" -0.40640637
1 "Walking" -0.38483095
1 "Walking" -0.49377272
1 "Walking" -0.40984823
1 "Walking" -0.36447284
1 "Walking" -0.4673854
1 "Walking" -0.50555029
1 "Walking" -0.40050066
1 "Walking" -0.3255062
1 "Walking" -0.28501589
1 "Walking" -0.26060373
1 "Walking" -0.32315782
1 "Walking" -0.33360478
1 "Walking" -0.25255899
1 "Walking" -0.29373335
1 "Walking" -0.3575704
1 "Walking" -0.36740741
1 "Walking" -0.55433221
1 "Walking" -0.28618454
1 "Walking" -0.30761287
1 "Walking" -0.40589109
1 "Walking" -0.37288464
1 "Walking" -0.41892394
1 "Walking" -0.36516634
1 "Walking" -0.3606796
1 "Walking" -0.3954357
1 "Walking" -0.44872326
1 "Walking" -0.41931273
1 "Walking" -0.35654777
1 "Walking" -0.4397762
1 "Walking" -0.5149216
1 "Walking" -0.31936402
1 "Walking" -0.32699332
1 "Walking" -0.41552896
1 "Walking" -0.42885524
