"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.17870353
1 "Lying" -0.29833621
1 "Lying" -0.33067226
1 "Lying" -0.35330362
1 "Lying" -0.33130985
1 "Lying" -0.33137651
1 "Lying" -0.2848827
1 "Lying" -0.22948119
1 "Lying" -0.428669
1 "Lying" -0.62450634
1 "Lying" -0.58995451
1 "Lying" -0.57374366
1 "Lying" -0.52289551
1 "Lying" -0.31889589
1 "Lying" -0.37790666
1 "Lying" 0.50390343
1 "Lying" 0.42078327
1 "Lying" -0.072235947
1 "Lying" 0.054862827
1 "Lying" -0.082075265
1 "Lying" -0.16862005
1 "Lying" -0.29164572
1 "Lying" -0.59638757
1 "Lying" -0.66429127
1 "Lying" -0.4755955
1 "Lying" -0.49373223
1 "Lying" -0.3617839
1 "Lying" -0.052454484
1 "Lying" -0.3581844
1 "Lying" -0.3934372
1 "Lying" -0.51543529
1 "Lying" -0.57698568
1 "Lying" -0.57647826
1 "Lying" -0.57788991
1 "Lying" -0.47281561
1 "Lying" -0.40161949
1 "Lying" -0.45351803
1 "Lying" -0.65954651
1 "Lying" -0.66319909
1 "Lying" -0.13518275
1 "Lying" -0.2032112
1 "Lying" 0.043897934
1 "Lying" 0.25299071
1 "Lying" 0.0013448086
1 "Lying" -0.16594154
1 "Lying" -0.22067667
1 "Lying" -0.39785387
1 "Lying" -0.096005231
1 "Lying" 0.026473446
1 "Lying" 0.065277213
1 "Sitting" -0.1768892
1 "Sitting" -0.17811256
1 "Sitting" -0.15456001
1 "Sitting" -0.26456877
1 "Sitting" -0.26056203
1 "Sitting" -0.18144489
1 "Sitting" -0.2548618
1 "Sitting" -0.32938264
1 "Sitting" -0.25851769
1 "Sitting" -0.32912897
1 "Sitting" -0.34927042
1 "Sitting" -0.45780704
1 "Sitting" -0.53780843
1 "Sitting" -0.35824605
1 "Sitting" -0.27956091
1 "Sitting" -0.43240717
1 "Sitting" -0.35604181
1 "Sitting" -0.41336824
1 "Sitting" -0.63001181
1 "Sitting" -0.42008034
1 "Sitting" -0.34331613
1 "Sitting" -0.35010489
1 "Sitting" -0.37354692
1 "Sitting" -0.33550286
1 "Sitting" -0.33188043
1 "Sitting" -0.26382896
1 "Sitting" -0.3925817
1 "Sitting" 0.093789402
1 "Sitting" -0.36201926
1 "Sitting" -0.38879399
1 "Sitting" 0.21005887
1 "Sitting" 0.011136986
1 "Sitting" -0.53630898
1 "Sitting" -0.37355311
1 "Sitting" -0.20145519
1 "Sitting" -0.39359024
1 "Sitting" -0.35603502
1 "Sitting" -0.18411761
1 "Sitting" -0.28648838
1 "Sitting" -0.103061
1 "Sitting" -0.62722958
1 "Sitting" 0.069221505
1 "Sitting" -0.16411028
1 "Sitting" -0.52646258
1 "Sitting" -0.51666946
1 "Sitting" -0.41505181
1 "Sitting" -0.31277882
1 "Sitting" -0.45272691
1 "Sitting" -0.43417929
1 "Sitting" -0.39553137
1 "Sitting" -0.35894137
1 "Sitting" -0.44420541
1 "Sitting" -0.50384951
1 "Standing" -0.26159451
1 "Standing" -0.25879002
