"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.17361075
1 "Lying" -0.88381988
1 "Lying" -0.886893
1 "Lying" -0.90862324
1 "Lying" -0.92378785
1 "Lying" -0.90390911
1 "Lying" -0.87767245
1 "Lying" -0.88857593
1 "Lying" -0.93203377
1 "Lying" -0.93361178
1 "Lying" -0.88756686
1 "Lying" -0.84387688
1 "Lying" -0.87402604
1 "Lying" 0.19758095
1 "Lying" -0.41494136
1 "Lying" 0.36855309
1 "Lying" 0.54389694
1 "Lying" 0.16262728
1 "Lying" 0.459865
1 "Lying" 0.81164951
1 "Lying" 0.73050161
1 "Lying" 0.058395966
1 "Lying" -0.36123694
1 "Lying" -0.40699741
1 "Lying" -0.75395257
1 "Lying" -0.76384788
1 "Lying" -0.76943966
1 "Lying" -0.29872774
1 "Lying" -0.66205937
1 "Lying" -0.79272289
1 "Lying" -0.80321309
1 "Lying" -0.83780071
1 "Lying" -0.85934805
1 "Lying" -0.80733783
1 "Lying" -0.8511852
1 "Lying" -0.83451256
1 "Lying" -0.78459886
1 "Lying" -0.87146431
1 "Lying" -0.82173735
1 "Lying" 0.7253435
1 "Lying" 0.38411812
1 "Lying" -0.036989181
1 "Lying" -0.067590416
1 "Lying" -0.26458663
1 "Lying" -0.48785023
1 "Lying" -0.62478006
1 "Lying" -0.7398684
1 "Lying" -0.46208179
1 "Lying" -0.4053785
1 "Lying" -0.53063916
1 "Sitting" -0.61976763
1 "Sitting" -0.7307216
1 "Sitting" -0.66291363
1 "Sitting" -0.68301625
1 "Sitting" -0.72017068
1 "Sitting" -0.75109221
1 "Sitting" -0.68125693
1 "Sitting" -0.64591615
1 "Sitting" -0.68701641
1 "Sitting" -0.46620434
1 "Sitting" -0.47100223
1 "Sitting" -0.81085833
1 "Sitting" -0.90271132
1 "Sitting" -0.8947102
1 "Sitting" -0.46685721
1 "Sitting" -0.80907846
1 "Sitting" -0.83107741
1 "Sitting" -0.79485167
1 "Sitting" -0.84878249
1 "Sitting" -0.97273065
1 "Sitting" -0.92316873
1 "Sitting" -0.88244203
1 "Sitting" -0.87808696
1 "Sitting" -0.89522431
1 "Sitting" -0.92143519
1 "Sitting" -0.85931236
1 "Sitting" -0.80252264
1 "Sitting" -0.43025728
1 "Sitting" -0.50856667
1 "Sitting" -0.56044555
1 "Sitting" -0.27271574
1 "Sitting" -0.22275375
1 "Sitting" -0.37846447
1 "Sitting" -0.65615027
1 "Sitting" -0.90717801
1 "Sitting" -0.58227653
1 "Sitting" -0.57050927
1 "Sitting" -0.85895212
1 "Sitting" -0.87413283
1 "Sitting" -0.77541833
1 "Sitting" -0.58048597
1 "Sitting" -0.33059756
1 "Sitting" -0.70941353
1 "Sitting" -0.83584303
1 "Sitting" -0.71658397
1 "Sitting" -0.74225289
1 "Sitting" -0.80353461
1 "Sitting" -0.82911918
1 "Sitting" -0.88870304
1 "Sitting" -0.81154828
1 "Sitting" -0.79075346
1 "Sitting" -0.82746941
1 "Sitting" -0.89173024
1 "Standing" -0.53051367
1 "Standing" -0.88976345
1 "Standing" -0.90763308
1 "Standing" -0.050457677
1 "Standing" 0.51245711
1 "Standing" 0.079107724
1 "Standing" -0.50779613
1 "Standing" -0.79578066
1 "Standing" -0.78271263
1 "Standing" -0.69775236
1 "Standing" -0.70424641
1 "Standing" -0.60818449
1 "Standing" -0.76668882
1 "Standing" -0.75461372
1 "Standing" -0.70446403
1 "Standing" -0.76874471
1 "Standing" -0.87063364
1 "Standing" -0.81873008
1 "Standing" -0.81292135
1 "Standing" -0.85347717
1 "Standing" -0.82850587
1 "Standing" -0.83637808
1 "Standing" -0.85165359
1 "Standing" -0.78321354
1 "Standing" -0.55070327
1 "Standing" -0.7678189
1 "Standing" -0.75174741
1 "Standing" -0.76575216
1 "Standing" -0.78585936
1 "Standing" -0.75945782
1 "Standing" -0.77247509
1 "Standing" -0.78545835
1 "Standing" -0.76522365
1 "Standing" -0.79626644
1 "Standing" -0.84309866
1 "Standing" -0.37769057
1 "Standing" -0.83446429
1 "Standing" -0.84816741
1 "Standing" -0.85387798
1 "Standing" -0.79645958
1 "Standing" -0.76942453
1 "Standing" -0.8216421
1 "Standing" -0.886893
1 "Standing" -0.85553275
1 "Standing" -0.84606727
1 "Standing" -0.88381988
1 "Standing" -0.69472012
1 "Walking" 0.8924754
1 "Walking" 0.83408482
1 "Walking" 0.87823699
1 "Walking" 0.87031119
1 "Walking" 0.88134588
1 "Walking" 0.94942163
1 "Walking" 0.97695238
1 "Walking" 0.95994628
1 "Walking" 0.92942022
1 "Walking" 0.927371
1 "Walking" 0.91962147
1 "Walking" 0.88123229
1 "Walking" 0.89551418
1 "Walking" 0.90188947
1 "Walking" 0.89612649
1 "Walking" 0.95485084
1 "Walking" 0.86843823
1 "Walking" 0.86222044
1 "Walking" 0.90284671
1 "Walking" 0.92604023
1 "Walking" 0.94570787
1 "Walking" 0.98443081
1 "Walking" 0.93108476
1 "Walking" 0.8348734
1 "Walking" 0.89331905
1 "Walking" 0.90188947
1 "Walking" 0.92876444
1 "Walking" 0.90903414
1 "Walking" 0.90936791
1 "Walking" 0.95967519
1 "Walking" 0.94122473
1 "Walking" 0.92360633
1 "Walking" 0.94365864
1 "Walking" 0.92122333
1 "Walking" 0.9182907
1 "Walking" 0.90227416
1 "Walking" 0.91141713
1 "Walking" 0.91446335
1 "Walking" 0.95219675
1 "Walking" 0.95523552
1 "Walking" 0.93618021
1 "Walking" 0.91518181
1 "Walking" 0.91036491
1 "Walking" 0.91962147
1 "Walking" 0.89008496
1 "Walking" 0.91518181
1 "Walking" 0.88267665
1 "Walking" 0.95728475
1 "Walking" 0.93689866
1 "Walking" 0.92132948
1 "Walking" 0.95701365
1 "Walking" 0.96039364
1 "Walking" 0.94676754
1 "Walking" 0.92770477
1 "Walking" 0.89684494
1 "Walking" 0.95113708
1 "Walking" 0.95390476
1 "Walking" 0.92167069
1 "Walking" 0.85481213
1 "Walking" 0.92709991
1 "Walking" 0.92167069
1 "Walking" 0.93119835
1 "Walking" 0.92061102
1 "Walking" 0.88659883
1 "Walking" 0.98077973
1 "Walking" 0.97695238
1 "Walking" 0.92194179
1 "Walking" 0.92399101
1 "Walking" 0.90903414
1 "Walking" 0.92604023
1 "Walking" 0.92327256
1 "Walking" 0.88316792
1 "Walking" 0.92399101
1 "Walking" 0.97562161
1 "Walking" 0.94980631
1 "Walking" 0.92022634
1 "Walking" 0.9092104
1 "Walking" 0.94327396
1 "Walking" 0.93484944
1 "Walking" 0.93822943
1 "Walking" 0.89069728
1 "Walking" 0.92371992
1 "Walking" 0.94327396
1 "Walking" 0.92698632
1 "Walking" 0.86654651
1 "Walking" 0.88731729
1 "Walking" 0.94194319
1 "Walking" 0.86942778
1 "Walking" 0.92887803
1 "Walking" 0.93092726
1 "Walking" 0.92870177
1 "Walking" 0.85397263
1 "Walking" 0.84582666
1 "Walking" 0.86843823
1 "Walking" 0.90698492
1 "Walking Down Stairs" 0.89407727
1 "Walking Down Stairs" 0.84832324
1 "Walking Down Stairs" 0.80440241
1 "Walking Down Stairs" 0.8805573
1 "Walking Down Stairs" 0.89817571
1 "Walking Down Stairs" 0.85215059
1 "Walking Down Stairs" 0.87570064
1 "Walking Down Stairs" 0.85580168
1 "Walking Down Stairs" 0.84156326
1 "Walking Down Stairs" 0.85603301
1 "Walking Down Stairs" 0.9015557
1 "Walking Down Stairs" 0.89763352
1 "Walking Down Stairs" 0.92549804
1 "Walking Down Stairs" 0.83697769
1 "Walking Down Stairs" 0.9215571
1 "Walking Down Stairs" 0.94232787
1 "Walking Down Stairs" 0.9063726
1 "Walking Down Stairs" 0.93351867
1 "Walking Down Stairs" 0.93689866
1 "Walking Down Stairs" 0.89684494
1 "Walking Down Stairs" 0.86617298
1 "Walking Down Stairs" 0.90022493
1 "Walking Down Stairs" 0.87512809
1 "Walking Down Stairs" 0.88936651
1 "Walking Down Stairs" 0.93822943
1 "Walking Down Stairs" 0.8666601
1 "Walking Down Stairs" 0.8360279
1 "Walking Down Stairs" 0.8367066
1 "Walking Down Stairs" 0.79153452
1 "Walking Down Stairs" 0.85940185
1 "Walking Down Stairs" 0.92167069
1 "Walking Down Stairs" 0.92399101
1 "Walking Down Stairs" 0.91313258
1 "Walking Down Stairs" 0.90565415
1 "Walking Down Stairs" 0.88875419
1 "Walking Down Stairs" 0.88472587
1 "Walking Down Stairs" 0.89751993
1 "Walking Down Stairs" 0.94881676
1 "Walking Down Stairs" 0.92798332
1 "Walking Down Stairs" 0.9185618
1 "Walking Down Stairs" 0.95185553
1 "Walking Down Stairs" 0.91313258
1 "Walking Down Stairs" 0.89540803
1 "Walking Down Stairs" 0.86870933
1 "Walking Down Stairs" 0.92604023
1 "Walking Down Stairs" 0.86024134
1 "Walking Down Stairs" 0.91385104
1 "Walking Down Stairs" 0.88598652
1 "Walking Down Stairs" 0.88250039
1 "Walking Up Stairs" 0.8785782
1 "Walking Up Stairs" 0.85945276
1 "Walking Up Stairs" 0.81646641
1 "Walking Up Stairs" 0.88134588
1 "Walking Up Stairs" 0.88598652
1 "Walking Up Stairs" 0.85686135
1 "Walking Up Stairs" 0.8459328
1 "Walking Up Stairs" 0.8595589
1 "Walking Up Stairs" 0.82117717
1 "Walking Up Stairs" 0.82554671
1 "Walking Up Stairs" 0.85812199
1 "Walking Up Stairs" 0.88393729
1 "Walking Up Stairs" 0.83097593
1 "Walking Up Stairs" 0.8320356
1 "Walking Up Stairs" 0.78556312
1 "Walking Up Stairs" 0.72856598
1 "Walking Up Stairs" 0.77986281
1 "Walking Up Stairs" 0.75127239
1 "Walking Up Stairs" 0.76001147
1 "Walking Up Stairs" 0.85553058
1 "Walking Up Stairs" 0.77621172
1 "Walking Up Stairs" 0.80461844
1 "Walking Up Stairs" 0.85481213
1 "Walking Up Stairs" 0.84289403
1 "Walking Up Stairs" 0.83435592
1 "Walking Up Stairs" 0.76179704
1 "Walking Up Stairs" 0.79114984
1 "Walking Up Stairs" 0.83363746
1 "Walking Up Stairs" 0.8669312
1 "Walking Up Stairs" 0.84832324
1 "Walking Up Stairs" 0.84262293
1 "Walking Up Stairs" 0.90261538
1 "Walking Up Stairs" 0.87004009
1 "Walking Up Stairs" 0.89141573
1 "Walking Up Stairs" 0.83077495
1 "Walking Up Stairs" 0.8201175
1 "Walking Up Stairs" 0.85679123
1 "Walking Up Stairs" 0.88909541
1 "Walking Up Stairs" 0.87564557
1 "Walking Up Stairs" 0.88260653
1 "Walking Up Stairs" 0.90360493
1 "Walking Up Stairs" 0.88936651
1 "Walking Up Stairs" 0.88882432
1 "Walking Up Stairs" 0.8472201
1 "Walking Up Stairs" 0.76661394
1 "Walking Up Stairs" 0.80792831
1 "Walking Up Stairs" 0.82944419
1 "Walking Up Stairs" 0.88659883
1 "Walking Up Stairs" 0.84289403
1 "Walking Up Stairs" 0.82759594
1 "Walking Up Stairs" 0.86355121
1 "Walking Up Stairs" 0.85064356
1 "Walking Up Stairs" 0.81991653
2 "Lying" 0.060529136
2 "Lying" -0.38986875
2 "Lying" -0.5119211
2 "Lying" -0.64704174
2 "Lying" -0.71230011
2 "Lying" -0.78404371
2 "Lying" -0.89927157
2 "Lying" -0.86411237
2 "Lying" -0.80755581
2 "Lying" -0.78346995
2 "Lying" -0.73562697
2 "Lying" -0.21571302
2 "Lying" -0.44731816
2 "Lying" -0.61208229
2 "Lying" -0.59816681
2 "Lying" -0.6242485
2 "Lying" -0.66662109
2 "Lying" -0.75293372
2 "Lying" -0.83170281
2 "Lying" -0.72884373
2 "Lying" -0.63889014
2 "Lying" -0.6044614
2 "Lying" -0.77104726
2 "Lying" -0.79896675
2 "Lying" 0.051157712
2 "Lying" -0.35719075
2 "Lying" -0.46968575
2 "Lying" -0.65730793
2 "Lying" -0.69053807
2 "Lying" -0.67265923
2 "Lying" -0.52807143
2 "Lying" -0.50879071
2 "Lying" -0.64729468
2 "Lying" -0.70181611
2 "Lying" -0.75473415
2 "Lying" -0.20498028
2 "Lying" -0.55708774
2 "Lying" -0.76086565
2 "Lying" -0.61343167
2 "Lying" -0.63134178
2 "Lying" -0.73938186
2 "Lying" -0.72373121
2 "Lying" -0.74232951
2 "Lying" -0.70015104
2 "Lying" -0.72002607
2 "Lying" -0.71702783
