"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.94034612
1 "Lying" -0.99865538
1 "Lying" -0.99842692
1 "Lying" -0.99869506
1 "Lying" -0.99912404
1 "Lying" -0.99919122
1 "Lying" -0.99872606
1 "Lying" -0.99867217
1 "Lying" -0.99933286
1 "Lying" -0.99923411
1 "Lying" -0.99869226
1 "Lying" -0.99862726
1 "Lying" -0.998737
1 "Lying" -0.91945032
1 "Lying" -0.98723543
1 "Lying" -0.69583753
1 "Lying" -0.71704468
1 "Lying" -0.92582469
1 "Lying" -0.73505633
1 "Lying" -0.53941555
1 "Lying" -0.54078957
1 "Lying" -0.89968023
1 "Lying" -0.98501114
1 "Lying" -0.9843463
1 "Lying" -0.9968233
1 "Lying" -0.9967424
1 "Lying" -0.99682352
1 "Lying" -0.97608815
1 "Lying" -0.99279957
1 "Lying" -0.99755146
1 "Lying" -0.99768755
1 "Lying" -0.99817742
1 "Lying" -0.99850963
1 "Lying" -0.99797967
1 "Lying" -0.99837642
1 "Lying" -0.99759651
1 "Lying" -0.99726595
1 "Lying" -0.99862111
1 "Lying" -0.99806728
1 "Lying" -0.51435629
1 "Lying" -0.62769148
1 "Lying" -0.96614679
1 "Lying" -0.96610335
1 "Lying" -0.97441899
1 "Lying" -0.99112165
1 "Lying" -0.99231346
1 "Lying" -0.9965651
1 "Lying" -0.98915236
1 "Lying" -0.9878495
1 "Lying" -0.991068
1 "Sitting" -0.99136761
1 "Sitting" -0.99610164
1 "Sitting" -0.99509104
1 "Sitting" -0.9952666
1 "Sitting" -0.99525804
1 "Sitting" -0.99520498
1 "Sitting" -0.9952695
1 "Sitting" -0.9952107
1 "Sitting" -0.9955883
1 "Sitting" -0.9907352
1 "Sitting" -0.99034063
1 "Sitting" -0.99781536
1 "Sitting" -0.99915139
1 "Sitting" -0.99915859
1 "Sitting" -0.98971134
1 "Sitting" -0.99809793
1 "Sitting" -0.99779235
1 "Sitting" -0.99768614
1 "Sitting" -0.99848741
1 "Sitting" -0.99967043
1 "Sitting" -0.9991886
1 "Sitting" -0.99867706
1 "Sitting" -0.99891331
1 "Sitting" -0.99893826
1 "Sitting" -0.99890363
1 "Sitting" -0.99868261
1 "Sitting" -0.9982994
1 "Sitting" -0.98548228
1 "Sitting" -0.99218949
1 "Sitting" -0.99276522
1 "Sitting" -0.97776903
1 "Sitting" -0.97918027
1 "Sitting" -0.98582577
1 "Sitting" -0.98858143
1 "Sitting" -0.99874008
1 "Sitting" -0.99170092
1 "Sitting" -0.99155835
1 "Sitting" -0.99850781
1 "Sitting" -0.99858959
1 "Sitting" -0.99690792
1 "Sitting" -0.98656761
1 "Sitting" -0.97972095
1 "Sitting" -0.99584551
1 "Sitting" -0.99791204
1 "Sitting" -0.99604002
1 "Sitting" -0.99627196
1 "Sitting" -0.99767431
1 "Sitting" -0.99772711
1 "Sitting" -0.9988145
1 "Sitting" -0.99819046
