"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.95369491
1 "Lying" -0.99770453
1 "Lying" -0.99610118
1 "Lying" -0.99581698
1 "Lying" -0.99581698
1 "Lying" -0.99546942
1 "Lying" -0.99546942
1 "Lying" -0.99597001
1 "Lying" -0.99396928
1 "Lying" -0.99396928
1 "Lying" -0.99654046
1 "Lying" -0.99468816
1 "Lying" -0.99468816
1 "Lying" -0.881062
1 "Lying" -0.9911934
1 "Lying" -0.73491917
1 "Lying" -0.73491917
1 "Lying" -0.96291421
1 "Lying" -0.83876397
1 "Lying" -0.59135059
1 "Lying" -0.59135059
1 "Lying" -0.91439999
1 "Lying" -0.99065391
1 "Lying" -0.99065391
1 "Lying" -0.99627186
1 "Lying" -0.99777541
1 "Lying" -0.99338195
1 "Lying" -0.98430983
1 "Lying" -0.99572095
1 "Lying" -0.99550402
1 "Lying" -0.99550402
1 "Lying" -0.99441282
1 "Lying" -0.99441282
1 "Lying" -0.99512295
1 "Lying" -0.99512295
1 "Lying" -0.99388466
1 "Lying" -0.99388466
1 "Lying" -0.99595817
1 "Lying" -0.99595817
1 "Lying" -0.61323281
1 "Lying" -0.73813343
1 "Lying" -0.94731472
1 "Lying" -0.95525973
1 "Lying" -0.98152542
1 "Lying" -0.98260136
1 "Lying" -0.98260136
1 "Lying" -0.98668056
1 "Lying" -0.97770158
1 "Lying" -0.97770158
1 "Lying" -0.97447595
1 "Sitting" -0.99204155
1 "Sitting" -0.99492085
1 "Sitting" -0.98896309
1 "Sitting" -0.98896309
1 "Sitting" -0.99341985
1 "Sitting" -0.99341985
1 "Sitting" -0.99197796
1 "Sitting" -0.99197796
1 "Sitting" -0.99604625
1 "Sitting" -0.97955372
1 "Sitting" -0.97955372
1 "Sitting" -0.99285086
1 "Sitting" -0.99679079
1 "Sitting" -0.9947266
1 "Sitting" -0.97917768
1 "Sitting" -0.99577474
1 "Sitting" -0.98865701
1 "Sitting" -0.98865701
1 "Sitting" -0.99664438
1 "Sitting" -0.99594573
1 "Sitting" -0.99594573
1 "Sitting" -0.995367
1 "Sitting" -0.995367
1 "Sitting" -0.99687031
1 "Sitting" -0.99403951
1 "Sitting" -0.99403951
1 "Sitting" -0.99479001
1 "Sitting" -0.98409934
1 "Sitting" -0.98603966
1 "Sitting" -0.98603966
1 "Sitting" -0.94339066
1 "Sitting" -0.94339066
1 "Sitting" -0.99078859
1 "Sitting" -0.99078859
1 "Sitting" -0.99551123
1 "Sitting" -0.98186901
1 "Sitting" -0.98186901
1 "Sitting" -0.99638029
1 "Sitting" -0.99638029
1 "Sitting" -0.99654094
1 "Sitting" -0.9938443
1 "Sitting" -0.95288866
1 "Sitting" -0.99362641
1 "Sitting" -0.99362641
1 "Sitting" -0.99508484
1 "Sitting" -0.99493388
1 "Sitting" -0.99493388
1 "Sitting" -0.99565364
1 "Sitting" -0.99546327
1 "Sitting" -0.99546327
1 "Sitting" -0.99410359
1 "Sitting" -0.99410359
1 "Sitting" -0.99425438
1 "Standing" -0.94540482
1 "Standing" -0.9944794
1 "Standing" -0.99828675
1 "Standing" -0.82526842
1 "Standing" -0.82526842
1 "Standing" -0.92036362
1 "Standing" -0.98924934
1 "Standing" -0.99265749
1 "Standing" -0.99638971
1 "Standing" -0.99530146
1 "Standing" -0.99308938
1 "Standing" -0.98918669
1 "Standing" -0.99148302
1 "Standing" -0.99148302
1 "Standing" -0.99671399
1 "Standing" -0.99671399
1 "Standing" -0.99295004
1 "Standing" -0.99295004
1 "Standing" -0.99570436
1 "Standing" -0.99570436
1 "Standing" -0.99596954
1 "Standing" -0.99488355
1 "Standing" -0.99488355
1 "Standing" -0.99380668
1 "Standing" -0.99437114
1 "Standing" -0.99652991
1 "Standing" -0.99568333
1 "Standing" -0.99568333
1 "Standing" -0.99572723
1 "Standing" -0.99767733
1 "Standing" -0.99720943
1 "Standing" -0.99214589
1 "Standing" -0.99214589
1 "Standing" -0.9945082
1 "Standing" -0.99354518
1 "Standing" -0.98146184
1 "Standing" -0.99123058
1 "Standing" -0.99166786
1 "Standing" -0.9949867
1 "Standing" -0.99308325
1 "Standing" -0.99308325
1 "Standing" -0.99464512
1 "Standing" -0.99464512
1 "Standing" -0.99443623
1 "Standing" -0.99443623
1 "Standing" -0.9932219
1 "Standing" -0.9932219
1 "Walking" -0.42609092
1 "Walking" -0.42609092
1 "Walking" -0.4569066
1 "Walking" -0.39490331
1 "Walking" -0.39490331
1 "Walking" -0.47122301
1 "Walking" -0.43731657
1 "Walking" -0.33705498
1 "Walking" -0.58398099
1 "Walking" -0.58398099
1 "Walking" -0.41184708
1 "Walking" -0.41184708
1 "Walking" -0.59553449
1 "Walking" -0.48462688
1 "Walking" -0.32725612
1 "Walking" -0.32725612
1 "Walking" -0.45166758
1 "Walking" -0.46231351
1 "Walking" -0.4204726
1 "Walking" -0.41487103
1 "Walking" -0.27581591
1 "Walking" -0.27581591
1 "Walking" -0.21923974
1 "Walking" -0.21923974
1 "Walking" -0.49771166
1 "Walking" -0.59692231
1 "Walking" -0.61172398
1 "Walking" -0.53104838
1 "Walking" -0.39481439
1 "Walking" -0.39481439
1 "Walking" -0.42251908
1 "Walking" -0.50648154
1 "Walking" -0.50648154
1 "Walking" -0.41848943
1 "Walking" -0.67330925
1 "Walking" -0.67621377
1 "Walking" -0.69193864
1 "Walking" -0.44391047
1 "Walking" -0.44391047
1 "Walking" -0.44410657
1 "Walking" -0.49025585
1 "Walking" -0.4864489
1 "Walking" -0.4864489
1 "Walking" -0.51914213
1 "Walking" -0.52141044
1 "Walking" -0.53270141
1 "Walking" -0.41585065
1 "Walking" -0.41883203
1 "Walking" -0.56301531
1 "Walking" -0.52915632
1 "Walking" -0.35811076
1 "Walking" -0.30476422
1 "Walking" -0.30476422
1 "Walking" -0.36370162
1 "Walking" -0.36370162
1 "Walking" -0.3808121
1 "Walking" -0.3808121
1 "Walking" -0.42629893
1 "Walking" -0.42629893
1 "Walking" -0.42257442
1 "Walking" -0.42257442
1 "Walking" -0.39135864
1 "Walking" -0.26780765
1 "Walking" -0.26780765
1 "Walking" -0.32278314
1 "Walking" -0.32278314
1 "Walking" -0.165817
1 "Walking" -0.165817
1 "Walking" -0.41174963
1 "Walking" -0.41174963
1 "Walking" -0.22727954
1 "Walking" -0.22727954
1 "Walking" -0.38659953
1 "Walking" -0.38659953
1 "Walking" -0.3929422
1 "Walking" -0.29611128
1 "Walking" -0.27823813
1 "Walking" -0.27823813
1 "Walking" -0.45284274
1 "Walking" -0.38625284
1 "Walking" -0.28710107
1 "Walking" -0.53662457
1 "Walking" -0.51970769
1 "Walking" -0.40287575
1 "Walking" -0.40287575
1 "Walking" -0.43531514
1 "Walking" -0.43531514
1 "Walking" -0.37510143
1 "Walking" -0.34881215
1 "Walking" -0.34881215
1 "Walking" -0.42541129
1 "Walking" -0.2307876
1 "Walking" -0.2307876
1 "Walking" -0.29598167
1 "Walking" -0.39820395
1 "Walking Down Stairs" -0.03927925
1 "Walking Down Stairs" -0.37828761
1 "Walking Down Stairs" -0.37828761
1 "Walking Down Stairs" -0.38531464
1 "Walking Down Stairs" -0.46571978
1 "Walking Down Stairs" -0.08022678
1 "Walking Down Stairs" -0.075987095
1 "Walking Down Stairs" -0.075987095
1 "Walking Down Stairs" -0.44346836
1 "Walking Down Stairs" -0.065697245
1 "Walking Down Stairs" -0.065697245
1 "Walking Down Stairs" -0.18959599
1 "Walking Down Stairs" 0.12471813
1 "Walking Down Stairs" 0.12471813
1 "Walking Down Stairs" -0.22173325
1 "Walking Down Stairs" -0.23898066
1 "Walking Down Stairs" -0.23898066
1 "Walking Down Stairs" -0.34952047
1 "Walking Down Stairs" -0.34952047
1 "Walking Down Stairs" -0.059588723
1 "Walking Down Stairs" -0.059588723
1 "Walking Down Stairs" -0.29678667
1 "Walking Down Stairs" -0.49828129
1 "Walking Down Stairs" -0.33245634
1 "Walking Down Stairs" -0.33245634
1 "Walking Down Stairs" -0.53585147
1 "Walking Down Stairs" -0.45834824
1 "Walking Down Stairs" -0.24876387
1 "Walking Down Stairs" -0.24876387
1 "Walking Down Stairs" -0.34539003
1 "Walking Down Stairs" -0.36506994
1 "Walking Down Stairs" -0.16741303
1 "Walking Down Stairs" -0.11154362
1 "Walking Down Stairs" -0.11154362
1 "Walking Down Stairs" -0.25277459
1 "Walking Down Stairs" -0.25277459
1 "Walking Down Stairs" -0.32332489
