"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.97023318
1 "Lying" -0.99715482
1 "Lying" -0.99810771
1 "Lying" -0.99827708
1 "Lying" -0.99809705
1 "Lying" -0.99803088
1 "Lying" -0.99749139
1 "Lying" -0.99820509
1 "Lying" -0.99893969
1 "Lying" -0.99848032
1 "Lying" -0.99808893
1 "Lying" -0.99815874
1 "Lying" -0.99753181
1 "Lying" -0.94923013
1 "Lying" -0.98782002
1 "Lying" -0.92309947
1 "Lying" -0.90243816
1 "Lying" -0.96524849
1 "Lying" -0.90606674
1 "Lying" -0.7535493
1 "Lying" -0.79419614
1 "Lying" -0.94937948
1 "Lying" -0.98488728
1 "Lying" -0.98942509
1 "Lying" -0.99629155
1 "Lying" -0.9958066
1 "Lying" -0.99575952
1 "Lying" -0.98477999
1 "Lying" -0.99411098
1 "Lying" -0.99587986
1 "Lying" -0.99565325
1 "Lying" -0.9971774
1 "Lying" -0.99690018
1 "Lying" -0.99630067
1 "Lying" -0.99739605
1 "Lying" -0.9969009
1 "Lying" -0.99612582
1 "Lying" -0.99701783
1 "Lying" -0.99682796
1 "Lying" -0.81892566
1 "Lying" -0.94102246
1 "Lying" -0.99294621
1 "Lying" -0.99293757
1 "Lying" -0.99590557
1 "Lying" -0.99787996
1 "Lying" -0.9980183
1 "Lying" -0.99909176
1 "Lying" -0.99851791
1 "Lying" -0.99845568
1 "Lying" -0.99898438
1 "Sitting" -0.99494156
1 "Sitting" -0.99749168
1 "Sitting" -0.99572502
1 "Sitting" -0.99695785
1 "Sitting" -0.99654057
1 "Sitting" -0.9960382
1 "Sitting" -0.99560221
1 "Sitting" -0.99594295
1 "Sitting" -0.99685306
1 "Sitting" -0.99356629
1 "Sitting" -0.99411917
1 "Sitting" -0.99774073
1 "Sitting" -0.99881146
1 "Sitting" -0.99814333
1 "Sitting" -0.99321221
1 "Sitting" -0.99672571
1 "Sitting" -0.99691494
1 "Sitting" -0.9974332
1 "Sitting" -0.99862322
1 "Sitting" -0.99923974
1 "Sitting" -0.99886438
1 "Sitting" -0.998478
1 "Sitting" -0.99852569
1 "Sitting" -0.9983753
1 "Sitting" -0.99816905
1 "Sitting" -0.99789419
1 "Sitting" -0.99744765
1 "Sitting" -0.98861623
1 "Sitting" -0.991174
1 "Sitting" -0.99271897
1 "Sitting" -0.98678048
1 "Sitting" -0.98175481
1 "Sitting" -0.98786778
1 "Sitting" -0.99378456
1 "Sitting" -0.99721931
1 "Sitting" -0.99482529
1 "Sitting" -0.99499431
1 "Sitting" -0.99781621
1 "Sitting" -0.99764933
1 "Sitting" -0.99623691
1 "Sitting" -0.99202969
1 "Sitting" -0.98779712
1 "Sitting" -0.99551691
1 "Sitting" -0.99783451
1 "Sitting" -0.99663649
1 "Sitting" -0.99650648
1 "Sitting" -0.99749703
1 "Sitting" -0.99803092
1 "Sitting" -0.99823248
1 "Sitting" -0.9979616
1 "Sitting" -0.99782836
1 "Sitting" -0.99723789
1 "Sitting" -0.99749594
1 "Standing" -0.99067775
1 "Standing" -0.99800039
1 "Standing" -0.99820837
1 "Standing" -0.91734623
1 "Standing" -0.88998415
1 "Standing" -0.96519462
1 "Standing" -0.99043381
1 "Standing" -0.99451185
1 "Standing" -0.99542824
1 "Standing" -0.99548759
1 "Standing" -0.99527187
1 "Standing" -0.99322391
1 "Standing" -0.99471003
1 "Standing" -0.99557697
1 "Standing" -0.99552443
1 "Standing" -0.99597107
1 "Standing" -0.99662389
1 "Standing" -0.99661711
1 "Standing" -0.99653196
1 "Standing" -0.99683522
1 "Standing" -0.99713133
1 "Standing" -0.99733717
1 "Standing" -0.99649117
1 "Standing" -0.99627524
1 "Standing" -0.99283651
