"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.9531439
1 "Lying" -0.99724402
1 "Lying" -0.9981612
1 "Lying" -0.99843113
1 "Lying" -0.99813088
1 "Lying" -0.99809354
1 "Lying" -0.99746648
1 "Lying" -0.99797965
1 "Lying" -0.99896022
1 "Lying" -0.9985712
1 "Lying" -0.99821401
1 "Lying" -0.99823857
1 "Lying" -0.99769529
1 "Lying" -0.93776472
1 "Lying" -0.98708777
1 "Lying" -0.89932747
1 "Lying" -0.89356735
1 "Lying" -0.96388666
1 "Lying" -0.87982746
1 "Lying" -0.72314441
1 "Lying" -0.74054968
1 "Lying" -0.92801395
1 "Lying" -0.98440393
1 "Lying" -0.98667782
1 "Lying" -0.99601352
1 "Lying" -0.99574747
1 "Lying" -0.99568523
1 "Lying" -0.97951811
1 "Lying" -0.992416
1 "Lying" -0.99588207
1 "Lying" -0.99583255
1 "Lying" -0.99709122
1 "Lying" -0.99697478
1 "Lying" -0.9962685
1 "Lying" -0.99722732
1 "Lying" -0.9970328
1 "Lying" -0.99626698
1 "Lying" -0.99701033
1 "Lying" -0.99664307
1 "Lying" -0.7548533
1 "Lying" -0.89167835
1 "Lying" -0.99145492
1 "Lying" -0.99160764
1 "Lying" -0.99470937
1 "Lying" -0.99798702
1 "Lying" -0.99806659
1 "Lying" -0.99918657
1 "Lying" -0.998285
1 "Lying" -0.99829399
1 "Lying" -0.99904817
1 "Sitting" -0.99251927
1 "Sitting" -0.9972926
1 "Sitting" -0.99563214
1 "Sitting" -0.99664096
1 "Sitting" -0.99647298
1 "Sitting" -0.99601465
1 "Sitting" -0.99541459
1 "Sitting" -0.99579433
1 "Sitting" -0.99631178
1 "Sitting" -0.99307848
1 "Sitting" -0.99371782
1 "Sitting" -0.9975568
1 "Sitting" -0.99888814
1 "Sitting" -0.99826836
1 "Sitting" -0.99282912
1 "Sitting" -0.99694746
1 "Sitting" -0.99702529
1 "Sitting" -0.99736626
1 "Sitting" -0.99845498
1 "Sitting" -0.99929097
1 "Sitting" -0.99885611
1 "Sitting" -0.99847664
1 "Sitting" -0.99855988
1 "Sitting" -0.99830456
1 "Sitting" -0.99810702
1 "Sitting" -0.99798917
1 "Sitting" -0.99754026
1 "Sitting" -0.98579173
1 "Sitting" -0.99113138
1 "Sitting" -0.99255814
1 "Sitting" -0.98428431
1 "Sitting" -0.98164155
1 "Sitting" -0.98608452
1 "Sitting" -0.9901391
1 "Sitting" -0.99724046
1 "Sitting" -0.99370559
1 "Sitting" -0.99395831
1 "Sitting" -0.99792212
1 "Sitting" -0.99756606
1 "Sitting" -0.99633001
1 "Sitting" -0.98776837
1 "Sitting" -0.98472432
1 "Sitting" -0.99535062
1 "Sitting" -0.99769377
1 "Sitting" -0.99580245
1 "Sitting" -0.99585962
1 "Sitting" -0.99715016
1 "Sitting" -0.99758046
1 "Sitting" -0.99829344
1 "Sitting" -0.99792512
1 "Sitting" -0.99770923
1 "Sitting" -0.99721439
1 "Sitting" -0.99753377
1 "Standing" -0.98666522
1 "Standing" -0.99794847
1 "Standing" -0.99817308
1 "Standing" -0.88147183
1 "Standing" -0.87419654
1 "Standing" -0.95824501
1 "Standing" -0.98907867
1 "Standing" -0.99412613
1 "Standing" -0.99464491
1 "Standing" -0.99459335
1 "Standing" -0.99482467
1 "Standing" -0.99252142
1 "Standing" -0.99404793
1 "Standing" -0.99528855
1 "Standing" -0.99492132
1 "Standing" -0.99580404
1 "Standing" -0.99686121
1 "Standing" -0.99659289
1 "Standing" -0.99615461
1 "Standing" -0.99672581
1 "Standing" -0.99701461
1 "Standing" -0.99703634
1 "Standing" -0.99623539
1 "Standing" -0.99591829
1 "Standing" -0.9918913
1 "Standing" -0.99485987
1 "Standing" -0.99549892
1 "Standing" -0.99613182
1 "Standing" -0.99684014
1 "Standing" -0.9967805
1 "Standing" -0.99605974
1 "Standing" -0.99549373
1 "Standing" -0.99559243
1 "Standing" -0.99670294
1 "Standing" -0.99740698
1 "Standing" -0.98743352
1 "Standing" -0.99571859
1 "Standing" -0.99650259
1 "Standing" -0.9967421
1 "Standing" -0.99660209
1 "Standing" -0.99603909
1 "Standing" -0.99675178
1 "Standing" -0.9972301
1 "Standing" -0.99695966
1 "Standing" -0.99712026
1 "Standing" -0.99729708
1 "Standing" -0.9906037
1 "Walking" -0.48674954
1 "Walking" -0.45374418
1 "Walking" -0.4246765
1 "Walking" -0.24344225
1 "Walking" -0.19010724
1 "Walking" -0.29241241
1 "Walking" -0.36814485
1 "Walking" -0.34268862
1 "Walking" -0.49804596
1 "Walking" -0.46388403
1 "Walking" -0.462935
1 "Walking" -0.35470816
1 "Walking" -0.30613491
1 "Walking" -0.26988336
1 "Walking" -0.31532794
1 "Walking" -0.32301273
1 "Walking" -0.28572187
1 "Walking" -0.24923106
1 "Walking" -0.19251285
1 "Walking" -0.28409765
1 "Walking" -0.31816424
1 "Walking" -0.38913764
1 "Walking" -0.3099679
1 "Walking" -0.11567141
1 "Walking" -0.14115854
1 "Walking" -0.21289807
1 "Walking" -0.27999397
1 "Walking" -0.38880511
1 "Walking" -0.32634804
1 "Walking" -0.34147491
1 "Walking" -0.33935405
1 "Walking" -0.27286228
1 "Walking" -0.28847986
1 "Walking" -0.24802649
1 "Walking" -0.40202293
1 "Walking" -0.32726353
1 "Walking" -0.29843382
1 "Walking" -0.3188126
1 "Walking" -0.3381877
1 "Walking" -0.39331447
1 "Walking" -0.40216183
1 "Walking" -0.39934145
1 "Walking" -0.43815967
1 "Walking" -0.41854496
1 "Walking" -0.39120603
1 "Walking" -0.40418392
1 "Walking" -0.3624568
1 "Walking" -0.38768923
1 "Walking" -0.3409184
1 "Walking" -0.32603204
1 "Walking" -0.31751946
1 "Walking" -0.31092917
1 "Walking" -0.31335591
1 "Walking" -0.28889891
1 "Walking" -0.32134807
1 "Walking" -0.39996949
1 "Walking" -0.27655369
1 "Walking" -0.33389124
1 "Walking" -0.38038233
1 "Walking" -0.32460076
1 "Walking" -0.32648317
1 "Walking" -0.34173071
1 "Walking" -0.26157758
1 "Walking" -0.24097643
1 "Walking" -0.35091762
1 "Walking" -0.35553627
1 "Walking" -0.14654956
1 "Walking" -0.024882604
1 "Walking" -0.16127639
1 "Walking" -0.28474886
1 "Walking" -0.25964126
1 "Walking" -0.17117325
1 "Walking" -0.20203981
1 "Walking" -0.26090906
1 "Walking" -0.34112595
1 "Walking" -0.39507778
1 "Walking" -0.28061149
1 "Walking" -0.25803401
1 "Walking" -0.37435899
1 "Walking" -0.38045344
1 "Walking" -0.36905682
1 "Walking" -0.40094966
1 "Walking" -0.27319393
1 "Walking" -0.29733217
1 "Walking" -0.34961065
1 "Walking" -0.3143186
1 "Walking" -0.28039758
1 "Walking" -0.14652772
1 "Walking" -0.16210569
1 "Walking" -0.18744577
1 "Walking" -0.17982692
1 "Walking" -0.041809392
1 "Walking" -0.011290754
1 "Walking" -0.23580563
1 "Walking" -0.26075096
1 "Walking Down Stairs" -0.4874311
1 "Walking Down Stairs" -0.22645512
1 "Walking Down Stairs" -0.10905087
1 "Walking Down Stairs" -0.29295959
1 "Walking Down Stairs" -0.39743699
1 "Walking Down Stairs" -0.23197406
1 "Walking Down Stairs" -0.23991094
1 "Walking Down Stairs" -0.38975997
1 "Walking Down Stairs" -0.3102165
1 "Walking Down Stairs" -0.038194422
1 "Walking Down Stairs" -0.14086785
1 "Walking Down Stairs" -0.076573656
1 "Walking Down Stairs" -0.11384903
1 "Walking Down Stairs" -0.087393572
1 "Walking Down Stairs" -0.14064585
1 "Walking Down Stairs" -0.26736555
1 "Walking Down Stairs" -0.33665927
1 "Walking Down Stairs" -0.37838102
1 "Walking Down Stairs" -0.33771249
1 "Walking Down Stairs" -0.22228692
1 "Walking Down Stairs" -0.092077389
1 "Walking Down Stairs" -0.27289108
1 "Walking Down Stairs" -0.32799436
1 "Walking Down Stairs" -0.28796903
1 "Walking Down Stairs" -0.44551596
1 "Walking Down Stairs" -0.47452428
1 "Walking Down Stairs" -0.25649015
1 "Walking Down Stairs" 0.030491339
1 "Walking Down Stairs" 0.12344658
1 "Walking Down Stairs" -0.11062704
1 "Walking Down Stairs" -0.27727451
1 "Walking Down Stairs" -0.38541159
1 "Walking Down Stairs" -0.47990177
1 "Walking Down Stairs" -0.37082149
1 "Walking Down Stairs" -0.20284511
1 "Walking Down Stairs" -0.13171682
1 "Walking Down Stairs" -0.2424642
1 "Walking Down Stairs" -0.39393638
1 "Walking Down Stairs" -0.27932805
1 "Walking Down Stairs" -0.23068289
1 "Walking Down Stairs" -0.37109874
1 "Walking Down Stairs" -0.060848527
1 "Walking Down Stairs" -0.062638526
1 "Walking Down Stairs" -0.30740872
1 "Walking Down Stairs" -0.35476775
1 "Walking Down Stairs" -0.051511626
1 "Walking Down Stairs" -0.11724285
1 "Walking Down Stairs" -0.26673882
1 "Walking Down Stairs" -0.17650204
1 "Walking Up Stairs" -0.50593079
1 "Walking Up Stairs" -0.53820256
1 "Walking Up Stairs" -0.59544474
1 "Walking Up Stairs" -0.57476215
1 "Walking Up Stairs" -0.57872166
1 "Walking Up Stairs" -0.6104155
1 "Walking Up Stairs" -0.5166956
1 "Walking Up Stairs" -0.51329986
1 "Walking Up Stairs" -0.58654269
1 "Walking Up Stairs" -0.57778733
1 "Walking Up Stairs" -0.56949902
1 "Walking Up Stairs" -0.59734456
1 "Walking Up Stairs" -0.66854164
1 "Walking Up Stairs" -0.62504664
1 "Walking Up Stairs" -0.6557762
1 "Walking Up Stairs" -0.68538628
1 "Walking Up Stairs" -0.67161543
1 "Walking Up Stairs" -0.69792143
1 "Walking Up Stairs" -0.6503122
1 "Walking Up Stairs" -0.63630922
1 "Walking Up Stairs" -0.68132758
1 "Walking Up Stairs" -0.67144443
1 "Walking Up Stairs" -0.67500962
1 "Walking Up Stairs" -0.65713351
1 "Walking Up Stairs" -0.68427635
1 "Walking Up Stairs" -0.68563707
1 "Walking Up Stairs" -0.59021914
1 "Walking Up Stairs" -0.57459397
1 "Walking Up Stairs" -0.57884386
1 "Walking Up Stairs" -0.56598069
1 "Walking Up Stairs" -0.58992657
1 "Walking Up Stairs" -0.54468203
1 "Walking Up Stairs" -0.51766868
1 "Walking Up Stairs" -0.52094541
1 "Walking Up Stairs" -0.55081692
1 "Walking Up Stairs" -0.6461268
1 "Walking Up Stairs" -0.5938189
1 "Walking Up Stairs" -0.54494579
1 "Walking Up Stairs" -0.54463495
1 "Walking Up Stairs" -0.60992191
1 "Walking Up Stairs" -0.52553186
1 "Walking Up Stairs" -0.48925468
1 "Walking Up Stairs" -0.54754607
