"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.7796165
1 "Lying" -0.87987645
1 "Lying" -0.97062872
1 "Lying" -0.99185951
1 "Lying" -0.99378914
1 "Lying" -0.99589926
1 "Lying" -0.99214382
1 "Lying" -0.99759001
1 "Lying" -0.99764341
1 "Lying" -0.99815196
1 "Lying" -0.99882745
1 "Lying" -0.9977036
1 "Lying" -0.99669769
1 "Lying" -0.81134064
1 "Lying" -0.81550103
1 "Lying" -0.31229498
1 "Lying" -0.36153495
1 "Lying" -0.74954259
1 "Lying" -0.48688158
1 "Lying" 0.028860731
1 "Lying" -0.02575461
1 "Lying" -0.74630586
1 "Lying" -0.8931741
1 "Lying" -0.89384812
1 "Lying" -0.92206691
1 "Lying" -0.9815716
1 "Lying" -0.99226604
1 "Lying" -0.78260372
1 "Lying" -0.84879342
1 "Lying" -0.94889077
1 "Lying" -0.98629696
1 "Lying" -0.99050312
1 "Lying" -0.99634431
1 "Lying" -0.99438409
1 "Lying" -0.9951189
1 "Lying" -0.99429184
1 "Lying" -0.99437707
1 "Lying" -0.99592338
1 "Lying" -0.99607048
1 "Lying" -0.090117557
1 "Lying" -0.57316244
1 "Lying" -0.80983832
1 "Lying" -0.71433199
1 "Lying" -0.82484922
1 "Lying" -0.96339717
1 "Lying" -0.97257166
1 "Lying" -0.9781636
1 "Lying" -0.8632052
1 "Lying" -0.89624997
1 "Lying" -0.96271485
1 "Sitting" -0.95724477
1 "Sitting" -0.9820027
1 "Sitting" -0.98445778
1 "Sitting" -0.98563162
1 "Sitting" -0.98961337
1 "Sitting" -0.98630456
1 "Sitting" -0.98249401
1 "Sitting" -0.98574923
1 "Sitting" -0.98990202
1 "Sitting" -0.97715213
1 "Sitting" -0.97718807
1 "Sitting" -0.9956132
1 "Sitting" -0.99704814
1 "Sitting" -0.99818368
1 "Sitting" -0.8714345
1 "Sitting" -0.90597598
1 "Sitting" -0.98234757
1 "Sitting" -0.9865715
1 "Sitting" -0.99331264
1 "Sitting" -0.99457709
1 "Sitting" -0.99884429
1 "Sitting" -0.99831635
1 "Sitting" -0.99767878
1 "Sitting" -0.99719234
1 "Sitting" -0.99656599
1 "Sitting" -0.9959377
1 "Sitting" -0.99560303
1 "Sitting" -0.86423363
1 "Sitting" -0.95778931
1 "Sitting" -0.97086122
1 "Sitting" -0.94778945
1 "Sitting" -0.93651072
1 "Sitting" -0.96116703
1 "Sitting" -0.985322
1 "Sitting" -0.99298325
1 "Sitting" -0.98894455
1 "Sitting" -0.98938268
1 "Sitting" -0.99480753
1 "Sitting" -0.99111322
1 "Sitting" -0.97023399
1 "Sitting" -0.96646351
1 "Sitting" -0.86928755
1 "Sitting" -0.93268901
1 "Sitting" -0.96273941
1 "Sitting" -0.98865758
1 "Sitting" -0.9896733
1 "Sitting" -0.99348812
1 "Sitting" -0.99338796
1 "Sitting" -0.99408193
1 "Sitting" -0.99577698
1 "Sitting" -0.99407998
1 "Sitting" -0.99430874
1 "Sitting" -0.99086439
1 "Standing" -0.97075571
1 "Standing" -0.9422317
1 "Standing" -0.94593519
1 "Standing" -0.10694925
1 "Standing" -0.26344002
1 "Standing" -0.79476408
1 "Standing" -0.96395889
1 "Standing" -0.97023689
1 "Standing" -0.98509701
1 "Standing" -0.99252753
1 "Standing" -0.99620667
1 "Standing" -0.80099482
1 "Standing" -0.79732965
1 "Standing" -0.87001751
1 "Standing" -0.97377302
1 "Standing" -0.98409023
1 "Standing" -0.98820965
1 "Standing" -0.98874467
1 "Standing" -0.99376956
1 "Standing" -0.99332226
1 "Standing" -0.99591705
1 "Standing" -0.99582393
1 "Standing" -0.99498159
1 "Standing" -0.99434521
1 "Standing" -0.92924938
1 "Standing" -0.89258339
1 "Standing" -0.93440609
1 "Standing" -0.97723067
1 "Standing" -0.99554914
1 "Standing" -0.99615375
1 "Standing" -0.99723113
1 "Standing" -0.99629646
1 "Standing" -0.99746911
1 "Standing" -0.99834899
1 "Standing" -0.99770752
1 "Standing" -0.82974651
1 "Standing" -0.81735406
1 "Standing" -0.86231036
1 "Standing" -0.96463608
1 "Standing" -0.98442433
1 "Standing" -0.99241008
1 "Standing" -0.9920434
1 "Standing" -0.9874304
1 "Standing" -0.99664589
1 "Standing" -0.99565766
1 "Standing" -0.9956781
1 "Standing" -0.97085602
1 "Walking" -0.062419252
1 "Walking" -0.081256166
1 "Walking" -0.18957685
1 "Walking" -0.012399966
1 "Walking" 0.077373543
1 "Walking" -0.031679524
1 "Walking" -0.13907976
1 "Walking" -0.15985587
1 "Walking" -0.1170125
1 "Walking" -0.10698122
1 "Walking" -0.13448543
1 "Walking" -0.13987992
1 "Walking" -0.097157332
1 "Walking" -0.039244816
1 "Walking" -0.15526041
1 "Walking" -0.11732576
1 "Walking" 0.024427703
1 "Walking" 0.016042593
1 "Walking" 0.039313845
1 "Walking" -0.018781696
1 "Walking" -0.144845
1 "Walking" -0.10883932
1 "Walking" -0.11604767
1 "Walking" -0.0075761866
1 "Walking" 0.0048845233
1 "Walking" -0.007841673
1 "Walking" -0.065956327
1 "Walking" -0.1033017
1 "Walking" -0.055595912
1 "Walking" -0.067910461
1 "Walking" -0.05187661
1 "Walking" -0.015853048
1 "Walking" -0.039182336
1 "Walking" 0.086174225
1 "Walking" -0.054050703
1 "Walking" -0.10283541
1 "Walking" -0.059754404
1 "Walking" 0.0036190911
1 "Walking" -0.083747886
1 "Walking" -0.19308461
1 "Walking" -0.16080959
1 "Walking" -0.095546498
1 "Walking" -0.11084207
1 "Walking" -0.1454664
1 "Walking" -0.22243881
