"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92976762
1 "Lying" -0.99431305
1 "Lying" -0.99732143
1 "Lying" -0.99669865
1 "Lying" -0.99616958
1 "Lying" -0.99631246
1 "Lying" -0.99585392
1 "Lying" -0.99567911
1 "Lying" -0.99677702
1 "Lying" -0.99757431
1 "Lying" -0.99644311
1 "Lying" -0.99596707
1 "Lying" -0.99551219
1 "Lying" -0.92859371
1 "Lying" -0.98087748
1 "Lying" -0.802286
1 "Lying" -0.78161315
1 "Lying" -0.93709489
1 "Lying" -0.81205631
1 "Lying" -0.6733466
1 "Lying" -0.69072479
1 "Lying" -0.85347461
1 "Lying" -0.98335728
1 "Lying" -0.98864287
1 "Lying" -0.99434046
1 "Lying" -0.99564475
1 "Lying" -0.99701172
1 "Lying" -0.97184588
1 "Lying" -0.98691903
1 "Lying" -0.99388697
1 "Lying" -0.99416746
1 "Lying" -0.99484453
1 "Lying" -0.99486896
1 "Lying" -0.99396715
1 "Lying" -0.99489329
1 "Lying" -0.99384463
1 "Lying" -0.99423571
1 "Lying" -0.99559497
1 "Lying" -0.99465066
1 "Lying" -0.70548227
1 "Lying" -0.90567645
1 "Lying" -0.97451282
1 "Lying" -0.97446328
1 "Lying" -0.98153832
1 "Lying" -0.99825164
1 "Lying" -0.99841931
1 "Lying" -0.99897329
1 "Lying" -0.99465138
1 "Lying" -0.99429862
1 "Lying" -0.99700794
1 "Sitting" -0.98361636
1 "Sitting" -0.99183683
1 "Sitting" -0.9937071
1 "Sitting" -0.9934607
1 "Sitting" -0.99334263
1 "Sitting" -0.99291055
1 "Sitting" -0.98992456
1 "Sitting" -0.99002055
1 "Sitting" -0.99410988
1 "Sitting" -0.98683188
1 "Sitting" -0.98803507
1 "Sitting" -0.99606636
1 "Sitting" -0.99775797
1 "Sitting" -0.9976712
1 "Sitting" -0.95297531
1 "Sitting" -0.97695291
1 "Sitting" -0.9861354
1 "Sitting" -0.99112098
1 "Sitting" -0.9976312
1 "Sitting" -0.99772361
1 "Sitting" -0.9983642
1 "Sitting" -0.99856413
1 "Sitting" -0.99821854
1 "Sitting" -0.99829837
1 "Sitting" -0.99760556
1 "Sitting" -0.99764422
1 "Sitting" -0.99768732
1 "Sitting" -0.9543018
1 "Sitting" -0.96732019
1 "Sitting" -0.97998941
1 "Sitting" -0.97718923
1 "Sitting" -0.97597472
1 "Sitting" -0.98515813
1 "Sitting" -0.98828904
1 "Sitting" -0.99562119
1 "Sitting" -0.99458747
1 "Sitting" -0.99522911
1 "Sitting" -0.99765104
1 "Sitting" -0.99629474
1 "Sitting" -0.99350856
1 "Sitting" -0.98606397
1 "Sitting" -0.95625655
1 "Sitting" -0.98669545
1 "Sitting" -0.99040459
1 "Sitting" -0.99027207
1 "Sitting" -0.99034077
1 "Sitting" -0.99482302
1 "Sitting" -0.9958026
1 "Sitting" -0.99755328
1 "Sitting" -0.99776059
1 "Sitting" -0.99672021
1 "Sitting" -0.99604805
1 "Sitting" -0.99587273
1 "Standing" -0.97639779
1 "Standing" -0.98136892
1 "Standing" -0.98463895
1 "Standing" -0.59098601
1 "Standing" -0.59092221
1 "Standing" -0.91599943
1 "Standing" -0.98207947
1 "Standing" -0.99193961
1 "Standing" -0.99516624
1 "Standing" -0.99398357
1 "Standing" -0.99488314
1 "Standing" -0.9818501
1 "Standing" -0.99104985
1 "Standing" -0.99070852
1 "Standing" -0.99433868
1 "Standing" -0.99539508
1 "Standing" -0.99649938
1 "Standing" -0.99592886
1 "Standing" -0.99484834
1 "Standing" -0.99553483
1 "Standing" -0.99612291
1 "Standing" -0.99611273
1 "Standing" -0.99610067
1 "Standing" -0.99520689
1 "Standing" -0.97162405
1 "Standing" -0.98025337
1 "Standing" -0.98766423
1 "Standing" -0.99462257
1 "Standing" -0.99633754
1 "Standing" -0.99734398
1 "Standing" -0.9980314
1 "Standing" -0.99750884
1 "Standing" -0.99667733
1 "Standing" -0.99762532
1 "Standing" -0.99760003
1 "Standing" -0.97157441
1 "Standing" -0.9944504
1 "Standing" -0.99008239
1 "Standing" -0.99559579
1 "Standing" -0.99729582
1 "Standing" -0.99699488
1 "Standing" -0.99647026
1 "Standing" -0.99593942
1 "Standing" -0.9959606
1 "Standing" -0.99586824
1 "Standing" -0.99620073
1 "Standing" -0.97349235
1 "Walking" -0.17256327
1 "Walking" -0.20828367
1 "Walking" -0.21217219
1 "Walking" -0.065875521
1 "Walking" 0.049323351
1 "Walking" -0.16055017
1 "Walking" -0.20585163
1 "Walking" -0.21791248
1 "Walking" -0.3110388
1 "Walking" -0.25534367
1 "Walking" -0.27301694
1 "Walking" -0.21117844
1 "Walking" -0.061797249
1 "Walking" -0.081314825
1 "Walking" -0.16794265
1 "Walking" -0.12885475
1 "Walking" -0.088462192
1 "Walking" -0.15781887
1 "Walking" -0.090157025
1 "Walking" -0.061348634
1 "Walking" -0.075054682
1 "Walking" -0.15102224
1 "Walking" -0.19093023
1 "Walking" -0.085783645
1 "Walking" -0.098631582
1 "Walking" -0.084152226
1 "Walking" -0.18730984
1 "Walking" -0.21703768
1 "Walking" -0.13706598
1 "Walking" -0.1567233
1 "Walking" -0.14525134
1 "Walking" -0.12418516
1 "Walking" -0.12795484
1 "Walking" -0.097985118
1 "Walking" -0.1906674
1 "Walking" -0.22931986
1 "Walking" -0.15726194
1 "Walking" -0.2144478
1 "Walking" -0.21449012
1 "Walking" -0.21877088
1 "Walking" -0.27546724
1 "Walking" -0.21564301
1 "Walking" -0.19204155
1 "Walking" -0.21004342
1 "Walking" -0.13432081
1 "Walking" -0.21539041
1 "Walking" -0.13476788
1 "Walking" -0.28763371
1 "Walking" -0.20126036
1 "Walking" -0.21066259
1 "Walking" -0.19313235
1 "Walking" -0.11792034
1 "Walking" -0.15287896
1 "Walking" -0.11815661
1 "Walking" -0.15957931
1 "Walking" -0.20252333
1 "Walking" -0.14314951
1 "Walking" -0.14502161
1 "Walking" -0.21469138
1 "Walking" -0.18127299
1 "Walking" -0.20534136
1 "Walking" -0.18650514
1 "Walking" -0.15012845
1 "Walking" -0.16376808
1 "Walking" -0.19090493
1 "Walking" -0.2043514
1 "Walking" -0.10818653
1 "Walking" 0.13465686
1 "Walking" -0.079093054
1 "Walking" -0.054335515
1 "Walking" -0.066479059
1 "Walking" -0.027927267
1 "Walking" -0.046095499
1 "Walking" -0.10585616
1 "Walking" -0.15191485
1 "Walking" -0.16522183
1 "Walking" -0.096310126
1 "Walking" -0.034472024
1 "Walking" -0.15674587
1 "Walking" -0.16648963
1 "Walking" -0.27371656
1 "Walking" -0.17610742
1 "Walking" -0.072943157
1 "Walking" -0.10596838
1 "Walking" -0.1996317
1 "Walking" -0.16205641
1 "Walking" -0.18220277
1 "Walking" -0.096508053
1 "Walking" -0.081601129
1 "Walking" -0.056547626
1 "Walking" -0.054496635
1 "Walking" 0.032834738
1 "Walking" 0.020595609
1 "Walking" -0.12150559
1 "Walking" -0.13064645
1 "Walking Down Stairs" -0.41568795
1 "Walking Down Stairs" -0.26221239
1 "Walking Down Stairs" -0.19163386
1 "Walking Down Stairs" -0.23801688
1 "Walking Down Stairs" -0.25323418
1 "Walking Down Stairs" -0.10698213
1 "Walking Down Stairs" -0.16608066
1 "Walking Down Stairs" -0.31550432
1 "Walking Down Stairs" -0.29931208
1 "Walking Down Stairs" -0.11647483
1 "Walking Down Stairs" -0.11688518
1 "Walking Down Stairs" -0.027660624
1 "Walking Down Stairs" 0.053683092
1 "Walking Down Stairs" -0.0040200708
1 "Walking Down Stairs" 0.012970362
1 "Walking Down Stairs" -0.20889857
1 "Walking Down Stairs" -0.17775844
1 "Walking Down Stairs" -0.16961434
1 "Walking Down Stairs" -0.20237948
1 "Walking Down Stairs" -0.12235896
1 "Walking Down Stairs" -0.037966149
1 "Walking Down Stairs" -0.23374061
1 "Walking Down Stairs" -0.12438943
1 "Walking Down Stairs" -0.1415584
1 "Walking Down Stairs" -0.21663987
1 "Walking Down Stairs" -0.39266278
1 "Walking Down Stairs" -0.24902415
1 "Walking Down Stairs" -0.14099511
1 "Walking Down Stairs" -0.03380822
1 "Walking Down Stairs" -0.16252843
1 "Walking Down Stairs" -0.28524944
1 "Walking Down Stairs" -0.29855135
