"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98576005
1 "Lying" -0.99481644
1 "Lying" -0.99631568
1 "Lying" -0.99987377
1 "Lying" -0.998491
1 "Lying" -0.99793103
1 "Lying" -0.99793578
1 "Lying" -0.99574381
1 "Lying" -0.99914262
1 "Lying" -0.99956968
1 "Lying" -0.99774999
1 "Lying" -0.99509661
1 "Lying" -0.99807129
1 "Lying" -0.9624919
1 "Lying" -0.9875992
1 "Lying" -0.92466824
1 "Lying" -0.94877502
1 "Lying" -0.97163393
1 "Lying" -0.86710802
1 "Lying" -0.86618865
1 "Lying" -0.89231312
1 "Lying" -0.93056818
1 "Lying" -0.99289029
1 "Lying" -0.98916127
1 "Lying" -0.99433182
1 "Lying" -0.99678274
1 "Lying" -0.99835386
1 "Lying" -0.9934067
1 "Lying" -0.97618606
1 "Lying" -0.99603742
1 "Lying" -0.99474065
1 "Lying" -0.9930473
1 "Lying" -0.98821613
1 "Lying" -0.99614997
1 "Lying" -0.99989306
1 "Lying" -0.99868049
1 "Lying" -0.99890103
1 "Lying" -0.99640177
1 "Lying" -0.99812882
1 "Lying" -0.78882678
1 "Lying" -0.81524749
1 "Lying" -0.99036317
1 "Lying" -0.98653919
1 "Lying" -0.97420421
1 "Lying" -0.99842952
1 "Lying" -0.99930045
1 "Lying" -0.99687704
1 "Lying" -0.9984875
1 "Lying" -0.99475139
1 "Lying" -0.99794599
1 "Sitting" -0.9840851
1 "Sitting" -0.99905355
1 "Sitting" -0.99723271
1 "Sitting" -0.99434379
1 "Sitting" -0.99372533
1 "Sitting" -0.99784518
1 "Sitting" -0.9944008
1 "Sitting" -0.99488144
1 "Sitting" -0.98155042
1 "Sitting" -0.99127092
1 "Sitting" -0.98971631
1 "Sitting" -0.99967255
1 "Sitting" -0.99850193
1 "Sitting" -0.99658007
1 "Sitting" -0.95350437
1 "Sitting" -0.97272815
1 "Sitting" -0.98755003
1 "Sitting" -0.99185969
1 "Sitting" -0.99810279
1 "Sitting" -0.99883646
1 "Sitting" -0.99959574
1 "Sitting" -0.99924806
1 "Sitting" -0.99852898
1 "Sitting" -0.99910672
1 "Sitting" -0.99931767
1 "Sitting" -0.99848973
1 "Sitting" -0.99946549
1 "Sitting" -0.93778109
1 "Sitting" -0.97839608
1 "Sitting" -0.99134633
1 "Sitting" -0.99734039
1 "Sitting" -0.99613162
1 "Sitting" -0.98923077
1 "Sitting" -0.97580056
1 "Sitting" -0.99678659
1 "Sitting" -0.99735953
1 "Sitting" -0.99522797
1 "Sitting" -0.99884906
