"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.82168422
1 "Lying" -0.89997136
1 "Lying" -0.95058438
1 "Lying" -0.98946384
1 "Lying" -0.99472831
1 "Lying" -0.99582028
1 "Lying" -0.98589917
1 "Lying" -0.9950569
1 "Lying" -0.99380408
1 "Lying" -0.99488986
1 "Lying" -0.99528288
1 "Lying" -0.99449132
1 "Lying" -0.99331486
1 "Lying" -0.88165396
1 "Lying" -0.86993672
1 "Lying" -0.587152
1 "Lying" -0.62155844
1 "Lying" -0.94246788
1 "Lying" -0.65428401
1 "Lying" -0.62303729
1 "Lying" -0.78386911
1 "Lying" -0.88464973
1 "Lying" -0.96520378
1 "Lying" -0.97049747
1 "Lying" -0.981912
1 "Lying" -0.99150563
1 "Lying" -0.99555046
1 "Lying" -0.81893881
1 "Lying" -0.88035664
1 "Lying" -0.94665648
1 "Lying" -0.98208697
1 "Lying" -0.99210468
1 "Lying" -0.99791224
1 "Lying" -0.98977892
1 "Lying" -0.99674669
1 "Lying" -0.99500913
1 "Lying" -0.99503005
1 "Lying" -0.99652046
1 "Lying" -0.99655785
1 "Lying" -0.47814391
1 "Lying" -0.77962949
1 "Lying" -0.93345625
1 "Lying" -0.93410979
1 "Lying" -0.95167516
1 "Lying" -0.98069987
1 "Lying" -0.98382655
1 "Lying" -0.99038387
1 "Lying" -0.94106801
1 "Lying" -0.93092703
1 "Lying" -0.97923662
1 "Sitting" -0.99403493
1 "Sitting" -0.98978468
1 "Sitting" -0.98732821
1 "Sitting" -0.98867764
1 "Sitting" -0.98794433
1 "Sitting" -0.9853661
1 "Sitting" -0.9811471
1 "Sitting" -0.97968102
1 "Sitting" -0.98962879
1 "Sitting" -0.98378763
1 "Sitting" -0.98394887
1 "Sitting" -0.99637239
1 "Sitting" -0.99589308
1 "Sitting" -0.99660307
1 "Sitting" -0.91991214
1 "Sitting" -0.93544517
1 "Sitting" -0.97655213
1 "Sitting" -0.98337078
1 "Sitting" -0.99613008
1 "Sitting" -0.99502512
1 "Sitting" -0.9988931
1 "Sitting" -0.99850636
1 "Sitting" -0.99529435
1 "Sitting" -0.99714765
1 "Sitting" -0.99477065
1 "Sitting" -0.99626738
1 "Sitting" -0.99774839
1 "Sitting" -0.90767263
1 "Sitting" -0.95812852
1 "Sitting" -0.97547041
1 "Sitting" -0.94311413
1 "Sitting" -0.93622949
1 "Sitting" -0.97215641
1 "Sitting" -0.99447392
1 "Sitting" -0.99666388
1 "Sitting" -0.99059068
1 "Sitting" -0.99013324
1 "Sitting" -0.99740018
1 "Sitting" -0.99510653
1 "Sitting" -0.99366841
1 "Sitting" -0.99340435
1 "Sitting" -0.92120683
1 "Sitting" -0.94982124
1 "Sitting" -0.97192834
1 "Sitting" -0.9917291
1 "Sitting" -0.99544261
1 "Sitting" -0.99352891
1 "Sitting" -0.99553399
1 "Sitting" -0.99451076
1 "Sitting" -0.9971161
1 "Sitting" -0.99495834
1 "Sitting" -0.99393281
1 "Sitting" -0.99511954
1 "Standing" -0.93123209
1 "Standing" -0.96880151
1 "Standing" -0.96842315
1 "Standing" -0.58390665
1 "Standing" -0.50884639
1 "Standing" -0.72890522
1 "Standing" -0.97832539
1 "Standing" -0.97768507
1 "Standing" -0.98790654
1 "Standing" -0.99161487
1 "Standing" -0.99684885
1 "Standing" -0.85297934
1 "Standing" -0.85070435
1 "Standing" -0.90654805
1 "Standing" -0.97605565
1 "Standing" -0.98246771
1 "Standing" -0.98667052
1 "Standing" -0.98509781
1 "Standing" -0.98872747
1 "Standing" -0.9884377
1 "Standing" -0.99280705
1 "Standing" -0.98974277
1 "Standing" -0.98931266
1 "Standing" -0.98893074
1 "Standing" -0.96034335
1 "Standing" -0.92232371
1 "Standing" -0.95084088
