"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92598201
1 "Lying" -0.19363867
1 "Lying" -0.064349569
1 "Lying" 0.075114765
1 "Lying" -0.30875292
1 "Lying" -0.004175878
1 "Lying" -0.20874647
1 "Lying" -0.045699805
1 "Lying" -0.06770319
1 "Lying" 0.35284415
1 "Lying" -0.095081364
1 "Lying" -0.14876322
1 "Lying" -0.06081105
1 "Lying" -0.6314348
1 "Lying" -0.69689152
1 "Lying" -0.55059775
1 "Lying" -0.17228741
1 "Lying" -0.32835431
1 "Lying" -0.68153627
1 "Lying" -0.8236159
1 "Lying" -0.94988932
1 "Lying" -0.86770815
1 "Lying" -0.93442713
1 "Lying" -0.89831716
1 "Lying" -0.4820825
1 "Lying" -0.82801191
1 "Lying" -0.81029092
1 "Lying" -0.92460288
1 "Lying" -0.65188214
1 "Lying" -0.48595644
1 "Lying" 0.0093680761
1 "Lying" 0.012137745
1 "Lying" 0.12510308
1 "Lying" 0.44648982
1 "Lying" 0.20521726
1 "Lying" 0.30074383
1 "Lying" 0.215626
1 "Lying" 0.55236411
1 "Lying" -0.057215853
1 "Lying" -0.89485208
1 "Lying" -0.95033332
1 "Lying" -0.59303778
1 "Lying" -0.57989559
1 "Lying" -0.66570395
1 "Lying" -0.85189467
1 "Lying" -0.92216797
1 "Lying" -0.13527611
1 "Lying" -0.80103912
1 "Lying" -0.43866149
1 "Lying" -0.71203788
1 "Sitting" -0.091261831
1 "Sitting" 0.14866483
1 "Sitting" -0.81263905
1 "Sitting" -0.5422384
1 "Sitting" -0.68998825
1 "Sitting" -0.70538442
1 "Sitting" -0.72933191
1 "Sitting" -0.35271592
1 "Sitting" -0.66747657
1 "Sitting" -0.86371773
1 "Sitting" -0.85079944
1 "Sitting" -0.3724829
1 "Sitting" -0.34295436
1 "Sitting" -0.75122261
1 "Sitting" -0.3594878
1 "Sitting" 0.012541707
1 "Sitting" -0.44928589
1 "Sitting" -0.63492676
1 "Sitting" -0.86024931
1 "Sitting" -0.39861043
1 "Sitting" -0.56956399
1 "Sitting" -0.9421773
1 "Sitting" -0.35440686
1 "Sitting" -0.89147867
1 "Sitting" -0.82653339
1 "Sitting" -0.71953188
1 "Sitting" -0.77443477
1 "Sitting" -0.1462276
1 "Sitting" -0.57963924
1 "Sitting" -0.35642628
1 "Sitting" -0.8658569
1 "Sitting" -0.90701591
1 "Sitting" -0.75412854
1 "Sitting" -0.72037351
1 "Sitting" -0.70744195
1 "Sitting" -0.9014107
1 "Sitting" -0.93986723
1 "Sitting" -0.82234445
1 "Sitting" -0.84492893
1 "Sitting" -0.83333892
1 "Sitting" -0.76967323
1 "Sitting" -0.74510663
1 "Sitting" 0.17863809
1 "Sitting" 0.39809682
1 "Sitting" -0.28204531
1 "Sitting" -0.28206583
1 "Sitting" -0.70535766
1 "Sitting" -0.71660008
1 "Sitting" -0.83283747
1 "Sitting" -0.84330262
1 "Sitting" -0.88284177
1 "Sitting" -0.82215361
1 "Sitting" -0.80920885
1 "Standing" -0.63942222
1 "Standing" -0.010505714
1 "Standing" -0.043620087
1 "Standing" -0.50985603
1 "Standing" -0.48631977
1 "Standing" -0.52089529
1 "Standing" -0.74081874
1 "Standing" -0.24812392
1 "Standing" -0.76277477
1 "Standing" -0.34762558
1 "Standing" -0.62762329
1 "Standing" 0.0048359396
1 "Standing" -0.6530322
1 "Standing" -0.42778751
1 "Standing" -0.63727113
1 "Standing" -0.60948764
1 "Standing" -0.32974505
1 "Standing" -0.068719047
1 "Standing" -0.79457756
1 "Standing" -0.79697616
1 "Standing" -0.24110663
1 "Standing" -0.78223762
1 "Standing" -0.55610205
1 "Standing" 0.13788412
1 "Standing" -0.074874449
1 "Standing" 0.26806181
1 "Standing" -0.13034505
1 "Standing" -0.40901844
1 "Standing" -0.28804062
1 "Standing" -0.59280641
1 "Standing" -0.85393683
1 "Standing" -0.8588301
1 "Standing" -0.84323069
1 "Standing" -0.91393412
1 "Standing" -0.81659982
1 "Standing" -0.5973083
1 "Standing" -0.85741077
1 "Standing" -0.27426444
1 "Standing" -0.56879937
1 "Standing" -0.61666784
1 "Standing" -0.67571697
1 "Standing" -0.70420466
1 "Standing" -0.88994832
1 "Standing" -0.78328943
1 "Standing" -0.4265917
1 "Standing" -0.71527753
1 "Standing" -0.87224615
1 "Walking" -0.40216669
1 "Walking" -0.46751966
1 "Walking" -0.44538622
1 "Walking" -0.68033456
1 "Walking" -0.61340082
