"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.60478075
1 "Lying" 0.13493069
1 "Lying" 0.22095327
1 "Lying" 0.36157937
1 "Lying" 0.051888709
1 "Lying" 0.28866828
1 "Lying" 0.13394589
1 "Lying" 0.26037501
1 "Lying" 0.22446494
1 "Lying" 0.52783652
1 "Lying" 0.18591515
1 "Lying" 0.14541954
1 "Lying" 0.22133267
1 "Lying" -0.22156191
1 "Lying" -0.30504738
1 "Lying" -0.12560646
1 "Lying" 0.16182365
1 "Lying" 0.024354612
1 "Lying" -0.22584145
1 "Lying" -0.4686442
1 "Lying" -0.66149488
1 "Lying" -0.48762192
1 "Lying" -0.65613506
1 "Lying" -0.6022767
1 "Lying" -0.080046144
1 "Lying" -0.52188502
1 "Lying" -0.52243883
1 "Lying" -0.63387257
1 "Lying" -0.20276232
1 "Lying" -0.09560821
1 "Lying" 0.26411092
1 "Lying" 0.31082257
1 "Lying" 0.34681169
1 "Lying" 0.59789288
1 "Lying" 0.46501124
1 "Lying" 0.49807215
1 "Lying" 0.42791977
1 "Lying" 0.66996983
1 "Lying" 0.2643942
1 "Lying" -0.57565434
1 "Lying" -0.74740014
1 "Lying" -0.11791087
1 "Lying" -0.11242523
1 "Lying" -0.22763234
1 "Lying" -0.53875587
1 "Lying" -0.68649742
1 "Lying" 0.13175962
1 "Lying" -0.39329317
1 "Lying" -0.045345955
1 "Lying" -0.3045256
1 "Sitting" 0.27337197
1 "Sitting" 0.38756889
1 "Sitting" -0.42927236
1 "Sitting" -0.13511848
1 "Sitting" -0.26547067
1 "Sitting" -0.29007013
1 "Sitting" -0.29972931
1 "Sitting" 0.045216459
1 "Sitting" -0.29041469
1 "Sitting" -0.48511552
1 "Sitting" -0.48483052
1 "Sitting" -0.046324223
1 "Sitting" 0.037388303
1 "Sitting" -0.41760797
1 "Sitting" 0.057176573
1 "Sitting" 0.34322014
1 "Sitting" 0.018924348
1 "Sitting" -0.17965049
1 "Sitting" -0.49910186
1 "Sitting" -0.070108945
1 "Sitting" -0.24437169
1 "Sitting" -0.67865903
1 "Sitting" -0.02999068
1 "Sitting" -0.58398368
1 "Sitting" -0.51555895
1 "Sitting" -0.37468631
1 "Sitting" -0.43733219
1 "Sitting" 0.2225229
1 "Sitting" -0.12401879
1 "Sitting" 0.067594774
1 "Sitting" -0.50950594
1 "Sitting" -0.60011474
1 "Sitting" -0.427657
1 "Sitting" -0.37872154
1 "Sitting" -0.34447409
1 "Sitting" -0.63903352
1 "Sitting" -0.71925205
1 "Sitting" -0.48926021
1 "Sitting" -0.49151582
1 "Sitting" -0.46379421
1 "Sitting" -0.36421926
1 "Sitting" -0.31853192
1 "Sitting" 0.44080213
1 "Sitting" 0.61404557
1 "Sitting" 0.083896912
1 "Sitting" 0.041032488
1 "Sitting" -0.29317185
1 "Sitting" -0.32883452
1 "Sitting" -0.4765053
1 "Sitting" -0.55167945
1 "Sitting" -0.56378523
1 "Sitting" -0.46271583
1 "Sitting" -0.45627862
1 "Standing" -0.2580011
1 "Standing" 0.30218926
1 "Standing" 0.30050008
1 "Standing" -0.0035952171
1 "Standing" 0.013279777
1 "Standing" -0.050799307
1 "Standing" -0.38216983
1 "Standing" 0.048282987
1 "Standing" -0.40449515
1 "Standing" -0.053967943
1 "Standing" -0.24641617
1 "Standing" 0.35095758
1 "Standing" -0.19360523
1 "Standing" -0.010394094
1 "Standing" -0.25840573
1 "Standing" -0.2550952
1 "Standing" -0.03257634
1 "Standing" 0.16954057
1 "Standing" -0.41278314
1 "Standing" -0.42198234
1 "Standing" 0.075388228
1 "Standing" -0.37631884
1 "Standing" -0.18929365
1 "Standing" 0.35449101
1 "Standing" 0.2622549
1 "Standing" 0.50457086
1 "Standing" 0.22256954
1 "Standing" 0.0027878387
1 "Standing" 0.039656213
1 "Standing" -0.24964654
1 "Standing" -0.60460697
1 "Standing" -0.55867167
1 "Standing" -0.58641682
1 "Standing" -0.61249941
1 "Standing" -0.4949522
1 "Standing" -0.14950279
1 "Standing" -0.53771974
1 "Standing" 0.11751182
1 "Standing" -0.15163815
1 "Standing" -0.30134114
1 "Standing" -0.31798325
1 "Standing" -0.33091049
1 "Standing" -0.54943861
1 "Standing" -0.39458055
1 "Standing" -0.080572929
1 "Standing" -0.3024828
1 "Standing" -0.49779218
1 "Walking" -0.090959804
1 "Walking" -0.032869664
1 "Walking" -0.013912385
1 "Walking" -0.26296066
1 "Walking" -0.20420185
1 "Walking" -0.041147748
1 "Walking" -0.16979858
1 "Walking" -0.024366106
1 "Walking" 0.039102635
1 "Walking" 0.011952491
1 "Walking" 0.064729281
1 "Walking" -0.1852667
1 "Walking" -0.21147116
1 "Walking" -0.14648503
1 "Walking" -0.17154064
1 "Walking" -0.090972
1 "Walking" -0.21195365
1 "Walking" -0.14707386
1 "Walking" -0.19573438
1 "Walking" -0.18095042
1 "Walking" -0.15149893
1 "Walking" -0.074179914
1 "Walking" -0.25796397
1 "Walking" -0.30588308
1 "Walking" -0.18032081
1 "Walking" -0.055786254
1 "Walking" -0.037405299
1 "Walking" -0.053715246
1 "Walking" -0.09211713
1 "Walking" -0.020987115
1 "Walking" -0.042287923
1 "Walking" -0.081577577
