"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.068579898
1 "Lying" -0.11304794
1 "Lying" 0.29314485
1 "Lying" 0.24052574
1 "Lying" -0.3475187
1 "Lying" -0.32766133
1 "Lying" 0.75108897
1 "Lying" 0.1984363
1 "Lying" -0.04668923
1 "Lying" -0.32827504
1 "Lying" -0.24098166
1 "Lying" -0.19654365
1 "Lying" 0.17020304
1 "Lying" 0.033487856
1 "Lying" 0.15344055
1 "Lying" 0.13947517
1 "Lying" 0.0024180696
1 "Lying" -0.10939184
1 "Lying" -0.11676857
1 "Lying" 0.15282962
1 "Lying" 0.12310816
1 "Lying" -0.00079280359
1 "Lying" 0.44722533
1 "Lying" -0.028318727
1 "Lying" -0.13157685
1 "Lying" 0.089427765
1 "Lying" 0.13874217
1 "Lying" -0.010812234
1 "Lying" -0.028694225
1 "Lying" -0.14992992
1 "Lying" 0.18017317
1 "Lying" 0.71537085
1 "Lying" 0.0029729821
1 "Lying" -0.82704665
1 "Lying" 0.54063499
1 "Lying" 0.51916255
1 "Lying" -0.31021626
1 "Lying" -0.31186766
1 "Lying" -0.092316852
1 "Lying" 0.050622764
1 "Lying" -0.07884902
1 "Lying" -0.019033451
1 "Lying" 0.05676133
1 "Lying" 0.0084482584
1 "Lying" -0.020589079
1 "Lying" 0.044117166
1 "Lying" -0.060831807
1 "Lying" 0.020271353
1 "Lying" 0.0083301157
1 "Lying" -0.045787445
1 "Sitting" -0.11275434
1 "Sitting" 0.053476955
1 "Sitting" -0.11855926
1 "Sitting" -0.036787973
1 "Sitting" 0.12332005
1 "Sitting" 0.082632155
1 "Sitting" -0.21275406
1 "Sitting" -0.020888015
1 "Sitting" 0.012954021
1 "Sitting" -0.020589646
1 "Sitting" 0.080699469
1 "Sitting" 0.0017609637
1 "Sitting" -0.077551723
1 "Sitting" 0.10562047
1 "Sitting" 0.062296619
1 "Sitting" -0.12185222
1 "Sitting" -0.0014463033
1 "Sitting" -0.028331858
1 "Sitting" -0.16584915
1 "Sitting" 0.24493131
1 "Sitting" 0.16060735
1 "Sitting" -0.002320184
1 "Sitting" -0.032337498
1 "Sitting" -0.54288424
1 "Sitting" -0.02144554
1 "Sitting" 0.025651991
1 "Sitting" 0.23106031
1 "Sitting" 0.028361989
1 "Sitting" -0.14376233
1 "Sitting" 0.010377466
1 "Sitting" 0.054748178
1 "Sitting" 0.0052107625
1 "Sitting" -0.0069710777
1 "Sitting" -0.013436815
1 "Sitting" 0.0032083603
1 "Sitting" 0.24244621
1 "Sitting" -0.03575083
1 "Sitting" -0.11863967
1 "Sitting" 0.03780423
1 "Sitting" 0.1203957
1 "Sitting" -0.0076267665
1 "Sitting" 0.028867111
1 "Sitting" -0.079085731
1 "Sitting" 0.034156589
1 "Sitting" 0.084959972
1 "Sitting" -0.07213169
1 "Sitting" -0.0081402896
1 "Sitting" 0.033310197
1 "Sitting" -0.047896503
1 "Sitting" 0.24822775
1 "Sitting" 0.15846418
1 "Sitting" -0.084865325
1 "Sitting" -0.15267538
1 "Standing" 0.013525973
1 "Standing" 0.19473475
1 "Standing" -0.22868834
1 "Standing" 0.17922318
1 "Standing" 0.11475995
1 "Standing" -0.0049131687
1 "Standing" -0.012337932
1 "Standing" 0.096193097
1 "Standing" 0.064398152
1 "Standing" -0.0081442943
1 "Standing" -0.074261928
1 "Standing" 0.32125029
1 "Standing" -0.033284006
1 "Standing" -0.14377558
1 "Standing" 0.0081153282
1 "Standing" 0.046188031
1 "Standing" 0.046127321
1 "Standing" 0.12484387
1 "Standing" 0.033193662
1 "Standing" -0.10809173
1 "Standing" -0.13257887
1 "Standing" 0.026541028
1 "Standing" 0.12651185
1 "Standing" -0.17506813
1 "Standing" 0.21631925
1 "Standing" 0.029821879
1 "Standing" -0.28421485
1 "Standing" 0.12590441
1 "Standing" -0.10301218
1 "Standing" -0.078971596
1 "Standing" 0.12791399
1 "Standing" 0.22738623
1 "Standing" 0.052237015
