"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.85449568
1 "Lying" -0.96787663
1 "Lying" -0.67012313
1 "Lying" -0.51781959
1 "Lying" -0.49014427
1 "Lying" -0.46771931
1 "Lying" -0.4758431
1 "Lying" -0.41110633
1 "Lying" -0.47366337
1 "Lying" -0.49923111
1 "Lying" -0.41426665
1 "Lying" -0.32893297
1 "Lying" -0.30242409
1 "Lying" -0.96188107
1 "Lying" -0.9677794
1 "Lying" -0.88094999
1 "Lying" -0.89044929
1 "Lying" -0.99289579
1 "Lying" -0.76121314
1 "Lying" -0.55164421
1 "Lying" -0.58406354
1 "Lying" -0.87092849
1 "Lying" -0.64067638
1 "Lying" -0.17570203
1 "Lying" -0.48813201
1 "Lying" -0.46852326
1 "Lying" -0.35478642
1 "Lying" -0.96973151
1 "Lying" -0.79757545
1 "Lying" -0.89523535
1 "Lying" -0.26600251
1 "Lying" -0.34094438
1 "Lying" -0.45989017
1 "Lying" -0.4293437
1 "Lying" -0.27707819
1 "Lying" -0.38228594
1 "Lying" -0.4316176
1 "Lying" -0.46534431
1 "Lying" -0.52340589
1 "Lying" -0.68196198
1 "Lying" -0.86718978
1 "Lying" -0.9780302
1 "Lying" -0.70072929
1 "Lying" -0.8521365
1 "Lying" -0.59651772
1 "Lying" -0.65976911
1 "Lying" -0.50203045
1 "Lying" -0.90311218
1 "Lying" -0.93762693
1 "Lying" -0.84799613
1 "Sitting" -0.59177346
1 "Sitting" -0.41756716
1 "Sitting" -0.056728165
1 "Sitting" -0.085822962
1 "Sitting" -0.2806651
1 "Sitting" -0.45722246
1 "Sitting" -0.50287889
1 "Sitting" -0.41156951
1 "Sitting" -0.29541259
1 "Sitting" -0.39175904
1 "Sitting" -0.42220843
1 "Sitting" -0.38122979
1 "Sitting" -0.26446874
1 "Sitting" -0.21004093
1 "Sitting" -0.44147083
1 "Sitting" -0.67509047
1 "Sitting" -0.322605
1 "Sitting" -0.33499689
1 "Sitting" -0.51949425
1 "Sitting" -0.52273333
1 "Sitting" -0.40744318
1 "Sitting" -0.33736856
