"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.15887412
1 "Lying" 0.26718126
1 "Lying" -0.018950769
1 "Lying" 0.26721462
1 "Lying" 0.13595528
1 "Lying" -0.34117922
1 "Lying" -0.23882878
1 "Lying" 0.040083347
1 "Lying" -0.2617757
1 "Lying" -0.41352851
1 "Lying" -0.1368231
1 "Lying" 0.29319597
1 "Lying" 0.18833003
1 "Lying" 0.75481311
1 "Lying" 0.92407441
1 "Lying" 0.74146365
1 "Lying" 0.71599142
1 "Lying" 0.8823944
1 "Lying" 0.67641868
1 "Lying" 0.75248045
1 "Lying" 0.83134402
1 "Lying" 0.97546566
1 "Lying" 0.9820659
1 "Lying" 0.95151326
1 "Lying" 0.95264648
1 "Lying" 0.62743125
1 "Lying" 0.31272694
1 "Lying" 0.4200656
1 "Lying" 0.52900145
1 "Lying" 0.4980923
1 "Lying" -0.10739101
1 "Lying" 0.086087253
1 "Lying" 0.21296033
1 "Lying" 0.039578005
1 "Lying" -0.19466942
1 "Lying" -0.158864
1 "Lying" 0.039941535
1 "Lying" 0.067086112
1 "Lying" 0.057692885
1 "Lying" 0.49374254
1 "Lying" 0.4989435
1 "Lying" 0.62734426
1 "Lying" 0.8258779
1 "Lying" 0.84769645
1 "Lying" 0.50478888
1 "Lying" 0.15698184
1 "Lying" -0.01804949
1 "Lying" 0.86797679
1 "Lying" 0.82805497
1 "Lying" 0.76938502
1 "Sitting" 0.71130003
1 "Sitting" 0.10909013
1 "Sitting" 0.25759764
1 "Sitting" 0.20480094
1 "Sitting" 0.067131104
1 "Sitting" 0.11136448
1 "Sitting" 0.36714294
1 "Sitting" 0.40461434
1 "Sitting" 0.2363587
1 "Sitting" 0.32333038
1 "Sitting" 0.25912807
1 "Sitting" 0.43728063
1 "Sitting" 0.33473553
1 "Sitting" 0.23733237
1 "Sitting" 0.97066809
1 "Sitting" 0.97927881
1 "Sitting" 0.7850238
1 "Sitting" 0.42565287
1 "Sitting" 0.32152828
1 "Sitting" 0.19196445
1 "Sitting" -0.043129492
1 "Sitting" -0.21856636
1 "Sitting" -0.34030567
1 "Sitting" -0.2804222
1 "Sitting" -0.11633103
1 "Sitting" -0.039459084
1 "Sitting" 0.20356202
1 "Sitting" 0.95017889
1 "Sitting" 0.79823384
1 "Sitting" 0.61527375
1 "Sitting" 0.40664505
1 "Sitting" 0.4990021
1 "Sitting" 0.55066007
1 "Sitting" 0.49517549
1 "Sitting" 0.34795943
1 "Sitting" 0.082650796
1 "Sitting" -0.033983435
1 "Sitting" -0.10502323
1 "Sitting" 0.3863248
1 "Sitting" 0.67639588
1 "Sitting" 0.56998218
1 "Sitting" 0.96762146
1 "Sitting" 0.95520407
1 "Sitting" 0.45503954
1 "Sitting" 0.52972846
1 "Sitting" 0.4413298
1 "Sitting" 0.6033634
1 "Sitting" 0.51856856
1 "Sitting" 0.45650896
1 "Sitting" 0.21767462
1 "Sitting" 0.31990505
1 "Sitting" 0.17883956
1 "Sitting" 0.29488369
1 "Standing" 0.98737139
1 "Standing" 0.99150586
1 "Standing" 0.9198332
1 "Standing" 0.57240141
1 "Standing" 0.67810177
1 "Standing" 0.87931971
1 "Standing" 0.95205867
1 "Standing" 0.92654612
1 "Standing" 0.77002243
1 "Standing" 0.032248616
1 "Standing" -0.026260652
1 "Standing" 0.98366973
1 "Standing" 0.93403491
1 "Standing" 0.90790599
1 "Standing" -0.26595839
1 "Standing" -0.057149919
1 "Standing" 0.127369
1 "Standing" 0.26403087
1 "Standing" 0.37807745
1 "Standing" 0.19929379
1 "Standing" 0.057626112
1 "Standing" -0.033660196
1 "Standing" 0.073757458
1 "Standing" -0.13457628
1 "Standing" 1
1 "Standing" 0.96413766
1 "Standing" 0.90864136
1 "Standing" 0.035060616
1 "Standing" 0.041412346
1 "Standing" -0.12970797
1 "Standing" -0.36419285
1 "Standing" -0.27519257
1 "Standing" 0.072166304
1 "Standing" 0.037698012
1 "Standing" -0.069763597
1 "Standing" 0.94088185
1 "Standing" 0.9212042
1 "Standing" 0.65117358
1 "Standing" 0.45391463
1 "Standing" 0.2066648
1 "Standing" 0.23442888
1 "Standing" 0.18690795
1 "Standing" 0.39090223
1 "Standing" 0.091521039
1 "Standing" 0.34031992
1 "Standing" 0.69942288
1 "Standing" 0.52035905
1 "Walking" 0.34239367
1 "Walking" 0.36396983
1 "Walking" 0.34475926
1 "Walking" 0.39569255
1 "Walking" 0.34588348
1 "Walking" 0.46079219
1 "Walking" 0.45125373
1 "Walking" 0.34602164
1 "Walking" 0.40964336
1 "Walking" 0.30552225
1 "Walking" 0.29867665
1 "Walking" 0.17061121
1 "Walking" 0.38028323
1 "Walking" 0.34097754
1 "Walking" 0.34563261
1 "Walking" 0.36549046
1 "Walking" 0.35723299
1 "Walking" 0.36079441
1 "Walking" 0.47874628
1 "Walking" 0.34763526
1 "Walking" 0.2680524
1 "Walking" 0.37105876
1 "Walking" 0.3506124
1 "Walking" 0.062074046
1 "Walking" -0.12633581
1 "Walking" 0.24869322
1 "Walking" 0.32919298
1 "Walking" 0.37732983
1 "Walking" 0.1880583
1 "Walking" 0.33201456
1 "Walking" 0.37686275
1 "Walking" 0.35442966
1 "Walking" 0.33751013
1 "Walking" 0.30460422
1 "Walking" 0.36868764
1 "Walking" 0.235168
1 "Walking" 0.46729285
1 "Walking" 0.38980803
1 "Walking" 0.23050332
1 "Walking" 0.28482365
1 "Walking" 0.35184135
1 "Walking" 0.33956825
1 "Walking" 0.37978048
1 "Walking" 0.31190275
1 "Walking" 0.29588387
1 "Walking" 0.36066776
1 "Walking" 0.3756853
1 "Walking" 0.37660888
1 "Walking" 0.36419532
1 "Walking" 0.25837305
1 "Walking" 0.37058339
1 "Walking" 0.37553429
1 "Walking" 0.24165058
1 "Walking" 0.1380886
1 "Walking" 0.16397348
1 "Walking" 0.389634
1 "Walking" 0.24415437
1 "Walking" 0.11225227
1 "Walking" 0.19695874
1 "Walking" 0.074921563
1 "Walking" 0.18065274
1 "Walking" 0.27885231
1 "Walking" 0.29029003
1 "Walking" 0.39704447
1 "Walking" 0.27156333
1 "Walking" 0.085313607
1 "Walking" 0.18647981
1 "Walking" 0.14217128
1 "Walking" 0.32619747
1 "Walking" 0.27435933
1 "Walking" 0.26293562
1 "Walking" 0.16660888
1 "Walking" 0.33752831
1 "Walking" 0.39917974
1 "Walking" 0.36984534
1 "Walking" 0.44792163
1 "Walking" 0.39648986
1 "Walking" 0.40406816
1 "Walking" 0.2885609
1 "Walking" 0.11061704
1 "Walking" 0.35663518
1 "Walking" 0.37025075
1 "Walking" 0.34907769
1 "Walking" 0.22814178
1 "Walking" 0.24414102
1 "Walking" 0.12045162
1 "Walking" 0.12302304
1 "Walking" 0.24456228
1 "Walking" 0.21554566
1 "Walking" 0.24588575
1 "Walking" 0.33025945
1 "Walking" 0.25054974
1 "Walking" 0.25256977
1 "Walking" 0.2826339
1 "Walking" 0.18179654
1 "Walking Down Stairs" 0.40520519
1 "Walking Down Stairs" 0.38569402
1 "Walking Down Stairs" 0.33463838
1 "Walking Down Stairs" 0.40123905
1 "Walking Down Stairs" 0.43900665
1 "Walking Down Stairs" 0.2926196
1 "Walking Down Stairs" 0.23908412
1 "Walking Down Stairs" 0.12579405
1 "Walking Down Stairs" 0.11519548
1 "Walking Down Stairs" 0.50609966
1 "Walking Down Stairs" 0.40528316
1 "Walking Down Stairs" 0.36290976
1 "Walking Down Stairs" 0.35896475
1 "Walking Down Stairs" 0.64494451
1 "Walking Down Stairs" 0.47720802
1 "Walking Down Stairs" 0.31948747
1 "Walking Down Stairs" 0.52635679
1 "Walking Down Stairs" 0.41617972
1 "Walking Down Stairs" 0.34774784
1 "Walking Down Stairs" 0.37341923
1 "Walking Down Stairs" 0.27033994
1 "Walking Down Stairs" 0.47066592
1 "Walking Down Stairs" 0.52285831
1 "Walking Down Stairs" 0.49827599
1 "Walking Down Stairs" 0.21744334
1 "Walking Down Stairs" 0.68983972
1 "Walking Down Stairs" 0.48364671
1 "Walking Down Stairs" 0.4245903
1 "Walking Down Stairs" 0.27856619
1 "Walking Down Stairs" 0.31254761
1 "Walking Down Stairs" 0.48252639
1 "Walking Down Stairs" 0.44979555
1 "Walking Down Stairs" 0.67479587
1 "Walking Down Stairs" 0.47303232
1 "Walking Down Stairs" 0.24950174
1 "Walking Down Stairs" 0.31414993
1 "Walking Down Stairs" 0.47644344
1 "Walking Down Stairs" 0.26864241
1 "Walking Down Stairs" 0.2559029
1 "Walking Down Stairs" 0.44655871
1 "Walking Down Stairs" 0.3089669
1 "Walking Down Stairs" 0.61430824
1 "Walking Down Stairs" 0.5016944
1 "Walking Down Stairs" 0.5022874
1 "Walking Down Stairs" 0.38616045
1 "Walking Down Stairs" 0.36510534
1 "Walking Down Stairs" 0.32290927
1 "Walking Down Stairs" 0.52339014
1 "Walking Down Stairs" 0.49087759
1 "Walking Up Stairs" 0.79086252
1 "Walking Up Stairs" 0.8413466
1 "Walking Up Stairs" 0.64065122
1 "Walking Up Stairs" 0.60853797
1 "Walking Up Stairs" 0.54689832
1 "Walking Up Stairs" 0.64735761
1 "Walking Up Stairs" 0.6929178
1 "Walking Up Stairs" 0.69677013
1 "Walking Up Stairs" 0.76778397
1 "Walking Up Stairs" 0.83923108
1 "Walking Up Stairs" 0.6265799
1 "Walking Up Stairs" 0.6673422
1 "Walking Up Stairs" 0.5623592
1 "Walking Up Stairs" 0.58413879
1 "Walking Up Stairs" 0.76474586
1 "Walking Up Stairs" 0.79638158
1 "Walking Up Stairs" 0.66899591
