"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.82936033
1 "Lying" -0.81558232
1 "Lying" -0.6133297
1 "Lying" -0.25382969
1 "Lying" -0.31971766
1 "Lying" -0.2449629
1 "Lying" -0.18732551
1 "Lying" -0.40823424
1 "Lying" -0.40722922
1 "Lying" -0.27523388
1 "Lying" -0.32821612
1 "Lying" -0.23023164
1 "Lying" -0.045917474
1 "Lying" -0.92179688
1 "Lying" -0.83611126
1 "Lying" -0.89568239
1 "Lying" -0.88566748
1 "Lying" -0.96602061
1 "Lying" -0.82845247
1 "Lying" -0.73013285
1 "Lying" -0.723689
1 "Lying" -0.66878038
1 "Lying" -0.95507867
1 "Lying" -0.40279953
1 "Lying" -0.30842434
1 "Lying" -0.11190186
1 "Lying" -0.12898639
1 "Lying" -0.93424853
1 "Lying" -0.90863626
1 "Lying" -0.70964519
1 "Lying" -0.30885013
1 "Lying" -0.2275613
1 "Lying" -0.24219836
1 "Lying" -0.14206296
1 "Lying" 0.087871457
1 "Lying" -0.0092454966
1 "Lying" -0.2815561
1 "Lying" -0.1523379
1 "Lying" -0.30970369
1 "Lying" -0.92859229
1 "Lying" -0.90941833
1 "Lying" -0.98452344
1 "Lying" -0.9727039
1 "Lying" -0.98578465
1 "Lying" -0.95737832
1 "Lying" -0.81049887
1 "Lying" -0.69234944
1 "Lying" -0.94529559
1 "Lying" -0.95851638
1 "Lying" -0.95637882
1 "Sitting" -0.99566759
1 "Sitting" -0.83418438
1 "Sitting" -0.72329885
1 "Sitting" -0.38711988
1 "Sitting" -0.24101211
1 "Sitting" -0.19276798
1 "Sitting" -0.14692682
1 "Sitting" -0.13543478
1 "Sitting" -0.50164876
1 "Sitting" -0.50109017
1 "Sitting" -0.27037227
1 "Sitting" -0.018672222
1 "Sitting" -0.029685494
1 "Sitting" -0.16037066
1 "Sitting" -0.96273843
1 "Sitting" -0.96382577
1 "Sitting" -0.65591524
1 "Sitting" -0.29950365
1 "Sitting" -0.21295226
1 "Sitting" -0.22845925
1 "Sitting" -0.19160825
1 "Sitting" -0.12466537
1 "Sitting" -0.26083141
1 "Sitting" -0.3683286
1 "Sitting" -0.43867929
1 "Sitting" -0.23004632
1 "Sitting" -0.016319652
1 "Sitting" -0.95948646
1 "Sitting" -0.79609425
1 "Sitting" -0.5828361
1 "Sitting" -0.30192567
1 "Sitting" -0.42425372
1 "Sitting" -0.67471687
1 "Sitting" -0.41629918
1 "Sitting" -0.50800127
1 "Sitting" -0.46297039
1 "Sitting" -0.42780257
1 "Sitting" -0.35592106
1 "Sitting" -0.27967173
1 "Sitting" -0.22132724
1 "Sitting" -0.28211232
1 "Sitting" -0.98637298
1 "Sitting" -0.88323421
1 "Sitting" -0.59057285
1 "Sitting" -0.36597681
1 "Sitting" -0.12226204
1 "Sitting" -0.4106065
1 "Sitting" -0.40841577
1 "Sitting" -0.48696734
1 "Sitting" -0.36650472
1 "Sitting" -0.37483639
1 "Sitting" -0.33571736
1 "Sitting" -0.34146474
1 "Standing" -0.99920661
1 "Standing" -0.97276139
1 "Standing" -0.68577625
1 "Standing" -0.91069035
1 "Standing" -0.92311917
1 "Standing" -0.87098116
1 "Standing" -0.98531576
1 "Standing" -0.86752482
1 "Standing" -0.79934889
1 "Standing" -0.088387918
1 "Standing" -0.18001328
1 "Standing" -0.80025091
1 "Standing" -0.45274741
1 "Standing" -0.2444351
1 "Standing" -0.22822938
1 "Standing" -0.17155723
1 "Standing" -0.54710076
1 "Standing" -0.49221871
1 "Standing" -0.44874253
1 "Standing" -0.43531705
1 "Standing" -0.39043582
1 "Standing" -0.37870742
1 "Standing" -0.43329864
1 "Standing" -0.14800109
1 "Standing" -0.98979637
1 "Standing" -0.84187342
1 "Standing" -0.67377146
1 "Standing" -0.077207656
1 "Standing" -0.12523986
1 "Standing" -0.15960955
1 "Standing" -0.15029078
1 "Standing" -0.3130359
1 "Standing" -0.25846532
1 "Standing" -0.19305905
1 "Standing" -0.29440651
1 "Standing" -0.96886872
1 "Standing" -0.96956873
1 "Standing" -0.60675514
1 "Standing" -0.37616031
1 "Standing" -0.020063758
1 "Standing" -0.055366532
1 "Standing" -0.079542963
1 "Standing" -0.35582547
1 "Standing" -0.44196222
1 "Standing" -0.4795505
1 "Standing" -0.40657481
1 "Standing" -0.45623122
1 "Walking" -0.63741059
1 "Walking" -0.55237614
1 "Walking" -0.37545275
1 "Walking" -0.43822836
1 "Walking" -0.43651336
1 "Walking" -0.33830647
1 "Walking" -0.24410477
1 "Walking" -0.25824177
1 "Walking" -0.71089176
1 "Walking" -0.65182226
1 "Walking" -0.50315373
1 "Walking" -0.51725381
1 "Walking" -0.3788285
1 "Walking" -0.22423523
1 "Walking" -0.1211545
1 "Walking" -0.16342581
1 "Walking" -0.22519957
1 "Walking" -0.31077104
1 "Walking" -0.40552039
1 "Walking" -0.35576438
1 "Walking" -0.66163652
1 "Walking" -0.62376843
1 "Walking" -0.4958645
1 "Walking" -0.15365318
1 "Walking" -0.14764443
1 "Walking" -0.27085142
1 "Walking" -0.36576361
1 "Walking" -0.47853645
1 "Walking" -0.34618674
