"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.7134401
1 "Lying" -0.62610554
1 "Lying" 0.91064228
1 "Lying" -0.97220071
1 "Lying" -0.35166469
1 "Lying" 0.27118998
1 "Lying" 0.29181903
1 "Lying" -0.48241492
1 "Lying" -0.6471713
1 "Lying" -0.4744113
1 "Lying" -0.69568082
1 "Lying" -0.92878609
1 "Lying" -0.70337247
1 "Lying" -0.96295314
1 "Lying" -0.88146847
1 "Lying" 0.51011115
1 "Lying" 0.98876634
1 "Lying" 0.7119155
1 "Lying" 0.99127114
1 "Lying" 0.89506685
1 "Lying" 0.94547065
1 "Lying" 0.751859
1 "Lying" -0.93818175
1 "Lying" -0.97701425
1 "Lying" 0.083187042
1 "Lying" 0.97611743
1 "Lying" -0.20880065
1 "Lying" 0.18334584
1 "Lying" -0.97098649
1 "Lying" -0.99790915
1 "Lying" -0.70869848
1 "Lying" -0.7092097
1 "Lying" 0.70916376
1 "Lying" -0.22847386
1 "Lying" -0.73674859
1 "Lying" 0.12847956
1 "Lying" -0.18738548
1 "Lying" 0.12550712
1 "Lying" 0.5582108
1 "Lying" -0.37378058
1 "Lying" -0.95511348
1 "Lying" -0.90941014
1 "Lying" -0.015551256
1 "Lying" 0.92287096
1 "Lying" 0.86478743
1 "Lying" -0.88869538
1 "Lying" -0.84106244
1 "Lying" -0.32165288
1 "Lying" 0.99219329
1 "Lying" 0.93989082
1 "Sitting" 0.57022164
1 "Sitting" -0.83128389
1 "Sitting" -0.18108991
1 "Sitting" -0.99130869
1 "Sitting" -0.40833042
1 "Sitting" -0.56395092
1 "Sitting" 0.72642714
1 "Sitting" -0.93336652
1 "Sitting" 0.34379322
1 "Sitting" 0.64495215
1 "Sitting" 0.72373488
1 "Sitting" -0.35521247
1 "Sitting" -0.52808146
1 "Sitting" 0.39554996
1 "Sitting" 0.9820383
1 "Sitting" 0.58269297
1 "Sitting" -0.58100374
1 "Sitting" 0.95408754
1 "Sitting" 0.89428322
1 "Sitting" 0.95136401
1 "Sitting" -0.35804548
1 "Sitting" 0.79214304
1 "Sitting" 0.97753979
1 "Sitting" 0.36635015
1 "Sitting" 0.69162658
1 "Sitting" 0.89179034
1 "Sitting" 0.62263572
1 "Sitting" 0.80565264
