"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.33436646
1 "Lying" -0.35760208
1 "Lying" -0.787674
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.60268009
1 "Lying" 0.028827446
1 "Lying" 0.044570252
1 "Lying" 0.73789309
1 "Lying" 0.51426485
1 "Lying" 0.37914352
1 "Lying" 0.31694287
1 "Lying" -0.21910371
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.22047323
1 "Lying" -0.095045309
1 "Lying" -0.88527628
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.71996734
1 "Lying" 0.37517812
1 "Lying" 0.60535882
1 "Lying" -0.0014461356
1 "Lying" -0.45181776
1 "Lying" -0.22271435
1 "Lying" -0.34235068
1 "Lying" -0.54797063
1 "Lying" -0.73900679
1 "Lying" -0.69684343
1 "Lying" -0.10403682
1 "Lying" 0.11957236
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.71693773
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.36108125
1 "Sitting" -0.52450558
1 "Sitting" -0.72578055
1 "Sitting" -1
1 "Sitting" -0.71996734
1 "Sitting" -0.51884121
1 "Sitting" -0.74265989
1 "Sitting" -0.70357555
1 "Sitting" -0.69835215
1 "Sitting" -0.75040056
1 "Sitting" -0.79875375
1 "Sitting" -0.71220433
1 "Sitting" -0.76771065
1 "Sitting" -0.72888396
1 "Sitting" -0.10631259
1 "Sitting" -0.76155608
1 "Sitting" -0.68797241
1 "Sitting" -0.94989357
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Standing" 0.20080203
1 "Standing" -0.29796912
1 "Standing" -0.61822532
1 "Standing" -0.73487823
1 "Standing" 0.11648385
1 "Standing" 0.61674668
1 "Standing" 0.089238132
1 "Standing" -0.36994935
1 "Standing" -0.69416972
1 "Standing" -0.71220433
1 "Standing" -0.69017917
1 "Standing" -0.077941189
1 "Standing" -0.55092309
1 "Standing" -0.70764845
1 "Standing" -0.81063715
1 "Standing" -0.83710607
1 "Standing" -0.69300335
1 "Standing" -0.68885425
1 "Standing" -0.70171731
1 "Standing" -0.83012354
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.0052271861
