"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.21233212
1 "Lying" 0.21002685
1 "Lying" 0.20332807
1 "Lying" 0.2014531
1 "Lying" 0.20127172
1 "Lying" 0.20204511
1 "Lying" 0.20222787
1 "Lying" 0.2003948
1 "Lying" 0.19788152
1 "Lying" 0.19597683
1 "Lying" 0.1955391
1 "Lying" 0.19698672
1 "Lying" 0.19649751
1 "Lying" 0.16687362
1 "Lying" 0.19457285
1 "Lying" 0.15464938
1 "Lying" 0.0088264581
1 "Lying" -0.12368006
1 "Lying" -0.010086281
1 "Lying" 0.046019968
1 "Lying" -0.35193478
1 "Lying" -0.84957496
1 "Lying" -0.99015441
1 "Lying" -0.99407607
1 "Lying" -0.99846457
1 "Lying" -0.99904071
1 "Lying" -0.99946454
1 "Lying" 0.2971341
1 "Lying" 0.29122631
1 "Lying" 0.27746158
1 "Lying" 0.27767916
1 "Lying" 0.27661843
1 "Lying" 0.27477961
1 "Lying" 0.27378316
1 "Lying" 0.27515176
1 "Lying" 0.27545752
1 "Lying" 0.2741548
1 "Lying" 0.27443975
1 "Lying" 0.27559656
1 "Lying" 0.53179329
1 "Lying" 0.67960582
1 "Lying" 0.72983827
1 "Lying" 0.73576832
1 "Lying" 0.76192499
1 "Lying" 0.79416356
1 "Lying" 0.79103247
1 "Lying" 0.77869965
1 "Lying" 0.77453852
1 "Lying" 0.74584806
1 "Lying" 0.69155297
1 "Sitting" -0.97090521
1 "Sitting" -0.97058275
1 "Sitting" -0.97036812
1 "Sitting" -0.96939971
1 "Sitting" -0.96705115
1 "Sitting" -0.9673206
1 "Sitting" -0.96926606
1 "Sitting" -0.96803308
1 "Sitting" -0.96412344
1 "Sitting" -0.96313738
1 "Sitting" -0.96520249
1 "Sitting" -0.96639363
1 "Sitting" -0.96520364
1 "Sitting" -0.96428473
1 "Sitting" -0.85222007
1 "Sitting" -0.88412852
1 "Sitting" -0.88229013
1 "Sitting" -0.88264601
1 "Sitting" -0.88422429
1 "Sitting" -0.88381482
1 "Sitting" -0.88386424
1 "Sitting" -0.88531821
1 "Sitting" -0.88478599
1 "Sitting" -0.88237099
1 "Sitting" -0.88233553
1 "Sitting" -0.88526668
1 "Sitting" -0.88663004
1 "Sitting" -0.80372223
1 "Sitting" -0.79104311
1 "Sitting" -0.79512863
1 "Sitting" -0.8022494
1 "Sitting" -0.80934413
1 "Sitting" -0.80432461
1 "Sitting" -0.7941724
1 "Sitting" -0.79353717
1 "Sitting" -0.79554278
1 "Sitting" -0.79614669
1 "Sitting" -0.79543779
1 "Sitting" -0.79607172
1 "Sitting" -0.7970362
1 "Sitting" -0.79416489
1 "Sitting" -0.76005751
1 "Sitting" -0.80315114
1 "Sitting" -0.79871371
1 "Sitting" -0.79651002
1 "Sitting" -0.79586302
1 "Sitting" -0.79116298
1 "Sitting" -0.78928384
1 "Sitting" -0.79128823
1 "Sitting" -0.79243867
1 "Sitting" -0.79359657
1 "Sitting" -0.79550708
1 "Sitting" -0.79668031
1 "Standing" -0.95460358
1 "Standing" -0.93761402
1 "Standing" -0.94407951
1 "Standing" -0.94494809
1 "Standing" -0.90699628
1 "Standing" -0.77223124
1 "Standing" -0.64576277
1 "Standing" -0.62990781
1 "Standing" -0.63811378
1 "Standing" -0.63568795
1 "Standing" -0.63507009
1 "Standing" -0.965553
1 "Standing" -0.95969232
1 "Standing" -0.95174373
1 "Standing" -0.95225008
1 "Standing" -0.95273563
1 "Standing" -0.9504103
1 "Standing" -0.95019443
1 "Standing" -0.95078908
1 "Standing" -0.94877602
1 "Standing" -0.94831321
1 "Standing" -0.94823201
1 "Standing" -0.94705191
1 "Standing" -0.94825608
1 "Standing" -0.79042976
1 "Standing" -0.77605446
1 "Standing" -0.79440933
