"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.76750707
1 "Lying" -0.98340112
1 "Lying" -0.99186147
1 "Lying" -0.99516058
1 "Lying" -0.99963505
1 "Lying" -0.99977671
1 "Lying" -0.99932527
1 "Lying" -0.99857218
1 "Lying" -0.99532332
1 "Lying" -0.99814149
1 "Lying" -0.99737006
1 "Lying" -0.99889336
1 "Lying" -0.99947007
1 "Lying" -0.49121186
1 "Lying" -0.89046544
1 "Lying" -0.94318801
1 "Lying" -0.21865614
1 "Lying" -0.82650763
1 "Lying" -0.75746301
1 "Lying" -0.70569598
1 "Lying" -0.15559809
1 "Lying" -0.93515081
1 "Lying" -0.97674331
1 "Lying" -0.9796368
1 "Lying" -0.9941615
1 "Lying" -0.99140403
1 "Lying" -0.99735608
1 "Lying" -0.85983334
1 "Lying" -0.9282217
1 "Lying" -0.99571674
1 "Lying" -0.99592158
1 "Lying" -0.99732958
1 "Lying" -0.99751688
1 "Lying" -0.99541622
1 "Lying" -0.99783866
1 "Lying" -0.99872234
1 "Lying" -0.99825828
1 "Lying" -0.99730217
1 "Lying" -0.99410108
1 "Lying" -0.88630694
1 "Lying" -0.41346221
1 "Lying" -0.97018065
1 "Lying" -0.9842415
1 "Lying" -0.9533964
1 "Lying" -0.97610938
1 "Lying" -0.9872757
1 "Lying" -0.99131654
1 "Lying" -0.9899332
1 "Lying" -0.9374244
1 "Lying" -0.88567936
1 "Sitting" -0.98432539
1 "Sitting" -0.99918838
1 "Sitting" -0.99967903
1 "Sitting" -0.99597641
1 "Sitting" -0.99831819
1 "Sitting" -0.99934834
1 "Sitting" -0.99941882
1 "Sitting" -0.9977317
1 "Sitting" -0.99727057
1 "Sitting" -0.99752527
1 "Sitting" -0.99761938
1 "Sitting" -0.99776094
1 "Sitting" -0.99916339
1 "Sitting" -0.99973245
1 "Sitting" -0.96778404
1 "Sitting" -0.99845481
1 "Sitting" -0.99937811
1 "Sitting" -0.99861375
1 "Sitting" -0.99878363
1 "Sitting" -0.99866212
1 "Sitting" -0.99920071
1 "Sitting" -0.99883819
1 "Sitting" -0.998202
1 "Sitting" -0.99846861
1 "Sitting" -0.99726006
1 "Sitting" -0.99754514
1 "Sitting" -0.99900491
1 "Sitting" -0.94763902
1 "Sitting" -0.98400624
1 "Sitting" -0.99539455
1 "Sitting" -0.99467908
1 "Sitting" -0.99415956
1 "Sitting" -0.98557322
1 "Sitting" -0.99617848
1 "Sitting" -0.99516098
1 "Sitting" -0.99823006
1 "Sitting" -0.9985282
1 "Sitting" -0.99884686
1 "Sitting" -0.99812422
1 "Sitting" -0.99843392
1 "Sitting" -0.99345884
1 "Sitting" -0.9170634
1 "Sitting" -0.99169144
1 "Sitting" -0.99452687
1 "Sitting" -0.9986699
1 "Sitting" -0.99935056
1 "Sitting" -0.99518546
1 "Sitting" -0.99869883
1 "Sitting" -0.99890314
1 "Sitting" -0.99923385
1 "Sitting" -0.99932312
1 "Sitting" -0.99763459
1 "Sitting" -0.99890836
1 "Standing" -0.78302306
1 "Standing" -0.97397682
1 "Standing" -0.98711948
1 "Standing" -0.99356096
1 "Standing" -0.88647806
1 "Standing" -0.53779177
1 "Standing" -0.93836775
1 "Standing" -0.95946666
1 "Standing" -0.98417998
1 "Standing" -0.99458325
1 "Standing" -0.9957848
1 "Standing" -0.93067822
1 "Standing" -0.98936406
1 "Standing" -0.99331039
1 "Standing" -0.99839312
1 "Standing" -0.99807903
1 "Standing" -0.99636738
1 "Standing" -0.99429875
1 "Standing" -0.99534581
1 "Standing" -0.99839758
1 "Standing" -0.99818381
1 "Standing" -0.99569612
1 "Standing" -0.99671298
1 "Standing" -0.99442056
1 "Standing" -0.93508434
1 "Standing" -0.96127792
1 "Standing" -0.99683753
1 "Standing" -0.99768122
1 "Standing" -0.99694469
1 "Standing" -0.9986513
1 "Standing" -0.99936569
1 "Standing" -0.99897038
1 "Standing" -0.99887792
1 "Standing" -0.99946053
1 "Standing" -0.99960422
1 "Standing" -0.93940282
1 "Standing" -0.97956094
1 "Standing" -0.99328793
1 "Standing" -0.9938257
1 "Standing" -0.99826031
1 "Standing" -0.99962374
1 "Standing" -0.99679329
1 "Standing" -0.9977322
1 "Standing" -0.9971107
1 "Standing" -0.9970291
1 "Standing" -0.99714608
1 "Standing" -0.99467717
1 "Walking" -0.99416419
1 "Walking" -0.99068765
1 "Walking" -0.96137847
1 "Walking" -0.98393981
1 "Walking" -0.97816931
1 "Walking" -0.98656195
1 "Walking" -0.98976374
1 "Walking" -0.97978693
1 "Walking" -0.99028678
1 "Walking" -0.99325301
1 "Walking" -0.99034599
1 "Walking" -0.99400539
1 "Walking" -0.9833725
1 "Walking" -0.98895137
1 "Walking" -0.96100893
1 "Walking" -0.98182782
1 "Walking" -0.97926263
1 "Walking" -0.97162545
1 "Walking" -0.97830832
1 "Walking" -0.99058987
1 "Walking" -0.99122519
1 "Walking" -0.97531285
1 "Walking" -0.95719609
1 "Walking" -0.97980269
1 "Walking" -0.97963775
1 "Walking" -0.98401876
1 "Walking" -0.98478097
1 "Walking" -0.95913413
1 "Walking" -0.99421284
1 "Walking" -0.99132425
1 "Walking" -0.99293925
1 "Walking" -0.97153978
1 "Walking" -0.98651676
1 "Walking" -0.91534889
1 "Walking" -0.96844514
1 "Walking" -0.97838293
1 "Walking" -0.99244728
1 "Walking" -0.9918598
1 "Walking" -0.98494912
1 "Walking" -0.99237127
1 "Walking" -0.9785198
1 "Walking" -0.99483375
1 "Walking" -0.99289354
1 "Walking" -0.98896591
1 "Walking" -0.98988066
1 "Walking" -0.98743651
1 "Walking" -0.98328883
1 "Walking" -0.98323834
1 "Walking" -0.98500935
1 "Walking" -0.99167441
1 "Walking" -0.98184465
1 "Walking" -0.98091529
1 "Walking" -0.98341522
1 "Walking" -0.97024501
1 "Walking" -0.97781294
1 "Walking" -0.95046192
1 "Walking" -0.98649796
1 "Walking" -0.97999429
1 "Walking" -0.96646476
1 "Walking" -0.98519623
1 "Walking" -0.9781893
1 "Walking" -0.97954596
1 "Walking" -0.96399034
1 "Walking" -0.97378329
1 "Walking" -0.98430629
1 "Walking" -0.98994465
1 "Walking" -0.95006887
1 "Walking" -0.96027085
1 "Walking" -0.9309085
1 "Walking" -0.96768189
1 "Walking" -0.93127851
1 "Walking" -0.99097763
1 "Walking" -0.99150788
1 "Walking" -0.97464693
1 "Walking" -0.95237903
1 "Walking" -0.93319494
1 "Walking" -0.96453076
1 "Walking" -0.98566328
1 "Walking" -0.97556573
1 "Walking" -0.99238278
1 "Walking" -0.98717064
1 "Walking" -0.97463599
1 "Walking" -0.99242586
1 "Walking" -0.98924892
1 "Walking" -0.98690725
1 "Walking" -0.96021229
1 "Walking" -0.97870178
1 "Walking" -0.96934058
1 "Walking" -0.96644547
1 "Walking" -0.97329248
1 "Walking" -0.97373463
1 "Walking" -0.95396474
1 "Walking" -0.9627985
1 "Walking" -0.99168124
1 "Walking" -0.96055909
1 "Walking Down Stairs" -0.92775395
1 "Walking Down Stairs" -0.95866875
1 "Walking Down Stairs" -0.98013434
1 "Walking Down Stairs" -0.97286864
1 "Walking Down Stairs" -0.97103609
1 "Walking Down Stairs" -0.94744467
1 "Walking Down Stairs" -0.96941062
1 "Walking Down Stairs" -0.98492742
1 "Walking Down Stairs" -0.9829638
1 "Walking Down Stairs" -0.95881533
1 "Walking Down Stairs" -0.97968051
1 "Walking Down Stairs" -0.96961344
1 "Walking Down Stairs" -0.92943867
1 "Walking Down Stairs" -0.97111604
1 "Walking Down Stairs" -0.94622609
1 "Walking Down Stairs" -0.94667492
1 "Walking Down Stairs" -0.96723603
1 "Walking Down Stairs" -0.965518
1 "Walking Down Stairs" -0.98024003
1 "Walking Down Stairs" -0.96776164
1 "Walking Down Stairs" -0.85755763
1 "Walking Down Stairs" -0.92116243
1 "Walking Down Stairs" -0.89101003
1 "Walking Down Stairs" -0.95941426
1 "Walking Down Stairs" -0.97864339
1 "Walking Down Stairs" -0.95439815
1 "Walking Down Stairs" -0.94345337
1 "Walking Down Stairs" -0.98544566
1 "Walking Down Stairs" -0.98245944
1 "Walking Down Stairs" -0.88477567
1 "Walking Down Stairs" -0.91034031
1 "Walking Down Stairs" -0.91032376
1 "Walking Down Stairs" -0.95626441
1 "Walking Down Stairs" -0.88756545
1 "Walking Down Stairs" -0.97946459
1 "Walking Down Stairs" -0.94549445
1 "Walking Down Stairs" -0.97175761
1 "Walking Down Stairs" -0.92584588
1 "Walking Down Stairs" -0.92422106
1 "Walking Down Stairs" -0.96402873
1 "Walking Down Stairs" -0.97713043
1 "Walking Down Stairs" -0.94889379
1 "Walking Down Stairs" -0.98197311
1 "Walking Down Stairs" -0.97316404
1 "Walking Down Stairs" -0.95334108
1 "Walking Down Stairs" -0.97947241
1 "Walking Down Stairs" -0.97422888
1 "Walking Down Stairs" -0.94683363
1 "Walking Down Stairs" -0.93687663
1 "Walking Up Stairs" -0.87511192
1 "Walking Up Stairs" -0.95312376
1 "Walking Up Stairs" -0.97562047
1 "Walking Up Stairs" -0.96002773
1 "Walking Up Stairs" -0.9613098
1 "Walking Up Stairs" -0.96653416
1 "Walking Up Stairs" -0.97723163
1 "Walking Up Stairs" -0.96981736
1 "Walking Up Stairs" -0.8441603
1 "Walking Up Stairs" -0.98211182
1 "Walking Up Stairs" -0.96084115
1 "Walking Up Stairs" -0.97399593
1 "Walking Up Stairs" -0.97871113
1 "Walking Up Stairs" -0.98735745
1 "Walking Up Stairs" -0.98724069
1 "Walking Up Stairs" -0.968208
1 "Walking Up Stairs" -0.99034652
1 "Walking Up Stairs" -0.88551281
1 "Walking Up Stairs" -0.98329416
1 "Walking Up Stairs" -0.969576
1 "Walking Up Stairs" -0.97452272
1 "Walking Up Stairs" -0.98194888
1 "Walking Up Stairs" -0.96978231
1 "Walking Up Stairs" -0.96757772
1 "Walking Up Stairs" -0.98538674
1 "Walking Up Stairs" -0.98436155
1 "Walking Up Stairs" -0.88676377
1 "Walking Up Stairs" -0.89809979
1 "Walking Up Stairs" -0.98185272
1 "Walking Up Stairs" -0.96909771
1 "Walking Up Stairs" -0.94551401
1 "Walking Up Stairs" -0.92729331
1 "Walking Up Stairs" -0.97325865
1 "Walking Up Stairs" -0.98640742
1 "Walking Up Stairs" -0.98553144
1 "Walking Up Stairs" -0.89385586
1 "Walking Up Stairs" -0.95068581
1 "Walking Up Stairs" -0.9854267
1 "Walking Up Stairs" -0.96554601
1 "Walking Up Stairs" -0.97980805
1 "Walking Up Stairs" -0.98576111
1 "Walking Up Stairs" -0.98237208
1 "Walking Up Stairs" -0.95604947
1 "Walking Up Stairs" -0.98910076
1 "Walking Up Stairs" -0.91321362
1 "Walking Up Stairs" -0.94446735
1 "Walking Up Stairs" -0.98136611
1 "Walking Up Stairs" -0.97648063
1 "Walking Up Stairs" -0.98075429
1 "Walking Up Stairs" -0.98356286
1 "Walking Up Stairs" -0.98433616
1 "Walking Up Stairs" -0.97050576
1 "Walking Up Stairs" -0.99131312
2 "Lying" -0.83036181
2 "Lying" -0.9743359
2 "Lying" -0.98102932
2 "Lying" -0.99358796
2 "Lying" -0.99840864
2 "Lying" -0.9992458
2 "Lying" -0.99965582
2 "Lying" -0.99484587
2 "Lying" -0.97668305
2 "Lying" -0.98988891
2 "Lying" -0.98914493
2 "Lying" -0.82705189
2 "Lying" -0.85138054
2 "Lying" -0.95120408
2 "Lying" -0.96773645
2 "Lying" -0.97620907
2 "Lying" -0.97594192
2 "Lying" -0.96615697
2 "Lying" -0.97411594
2 "Lying" -0.96732956
2 "Lying" -0.96952486
2 "Lying" -0.96750306
2 "Lying" -0.96342707
2 "Lying" -0.96276287
2 "Lying" -0.81578282
2 "Lying" -0.89253225
2 "Lying" -0.92967679
2 "Lying" -0.98908484
2 "Lying" -0.98775374
2 "Lying" -0.99460671
2 "Lying" -0.98267231
2 "Lying" -0.98318862
2 "Lying" -0.99387243
2 "Lying" -0.99132534
2 "Lying" -0.98471769
2 "Lying" -0.98033229
2 "Lying" -0.98304004
2 "Lying" -0.96459241
2 "Lying" -0.98795001
2 "Lying" -0.99544821
2 "Lying" -0.99791914
2 "Lying" -0.99674497
2 "Lying" -0.99427262
2 "Lying" -0.99453422
2 "Lying" -0.99778932
2 "Lying" -0.99524161
2 "Lying" -0.99822408
2 "Lying" -0.99750688
2 "Sitting" -0.94972666
2 "Sitting" -0.98840345
2 "Sitting" -0.99596709
2 "Sitting" -0.99248248
2 "Sitting" -0.99556849
2 "Sitting" -0.99884686
2 "Sitting" -0.99776436
2 "Sitting" -0.99797243
2 "Sitting" -0.99454947
2 "Sitting" -0.99787221
2 "Sitting" -0.99895497
2 "Sitting" -0.99827281
2 "Sitting" -0.99920932
2 "Sitting" -0.99313179
2 "Sitting" -0.9924017
2 "Sitting" -0.99552028
2 "Sitting" -0.90569771
2 "Sitting" -0.96454758
2 "Sitting" -0.9892026
2 "Sitting" -0.99022541
2 "Sitting" -0.9773426
2 "Sitting" -0.98144265
2 "Sitting" -0.99188181
2 "Sitting" -0.9739127
2 "Sitting" -0.9957206
2 "Sitting" -0.99579551
2 "Sitting" -0.99448462
2 "Sitting" -0.99565416
2 "Sitting" -0.99696856
2 "Sitting" -0.99668888
2 "Sitting" -0.98247347
2 "Sitting" -0.90809275
2 "Sitting" -0.97901413
2 "Sitting" -0.98068011
2 "Sitting" -0.99635571
2 "Sitting" -0.99597142
2 "Sitting" -0.99822049
2 "Sitting" -0.99875816
2 "Sitting" -0.99824435
2 "Sitting" -0.99747747
2 "Sitting" -0.99885566
2 "Sitting" -0.99788826
2 "Sitting" -0.90963516
2 "Sitting" -0.99525811
2 "Sitting" -0.99830655
2 "Sitting" -0.99882002
2 "Sitting" -0.99875119
2 "Sitting" -0.9979898
2 "Sitting" -0.99762996
2 "Sitting" -0.99753332
2 "Sitting" -0.99486117
2 "Sitting" -0.99658061
2 "Sitting" -0.98746475
2 "Sitting" -0.99590401
2 "Standing" -0.96917142
2 "Standing" -0.99517036
2 "Standing" -0.9978065
2 "Standing" -0.99780624
2 "Standing" -0.99936918
2 "Standing" -0.99951439
2 "Standing" -0.99889009
2 "Standing" -0.99482383
2 "Standing" -0.99844459
2 "Standing" -0.99855475
2 "Standing" -0.99906647
2 "Standing" -0.99859781
2 "Standing" -0.99771831
2 "Standing" -0.9624121
2 "Standing" -0.97816503
2 "Standing" -0.99520599
2 "Standing" -0.99943243
2 "Standing" -0.99984457
2 "Standing" -0.99886918
2 "Standing" -0.99899002
2 "Standing" -0.99705212
2 "Standing" -0.99694115
2 "Standing" -0.99944394
2 "Standing" -0.99959214
2 "Standing" -0.95898897
2 "Standing" -0.92934511
2 "Standing" -0.99310094
2 "Standing" -0.99530891
2 "Standing" -0.99347992
2 "Standing" -0.99441267
2 "Standing" -0.99757348
2 "Standing" -0.99816091
2 "Standing" -0.99771529
2 "Standing" -0.99738438
2 "Standing" -0.98340359
2 "Standing" -0.7404199
2 "Standing" -0.91757809
2 "Standing" -0.98340378
2 "Standing" -0.98966476
2 "Standing" -0.98544592
2 "Standing" -0.99897689
2 "Standing" -0.99884842
2 "Standing" -0.99681723
2 "Standing" -0.99467787
2 "Standing" -0.99939894
2 "Standing" -0.99588063
2 "Walking" -0.9542798
2 "Walking" -0.97094401
2 "Walking" -0.95991925
2 "Walking" -0.97956174
2 "Walking" -0.98044221
2 "Walking" -0.97126402
2 "Walking" -0.92925779
2 "Walking" -0.94543099
2 "Walking" -0.98546396
2 "Walking" -0.98790586
2 "Walking" -0.98992605
2 "Walking" -0.97018555
2 "Walking" -0.96197643
2 "Walking" -0.92648765
2 "Walking" -0.98722686
2 "Walking" -0.95564758
2 "Walking" -0.96288815
2 "Walking" -0.9776992
2 "Walking" -0.99222527
2 "Walking" -0.99344397
2 "Walking" -0.99296133
2 "Walking" -0.99196175
2 "Walking" -0.98912138
2 "Walking" -0.9793686
2 "Walking" -0.95678227
2 "Walking" -0.96947804
2 "Walking" -0.97508094
2 "Walking" -0.99107012
2 "Walking" -0.99420421
2 "Walking" -0.98891774
2 "Walking" -0.93397839
2 "Walking" -0.96223981
2 "Walking" -0.9695512
2 "Walking" -0.97359153
2 "Walking" -0.97712255
2 "Walking" -0.97565836
2 "Walking" -0.99366864
2 "Walking" -0.99127628
2 "Walking" -0.9839269
2 "Walking" -0.96343724
2 "Walking" -0.98563385
2 "Walking" -0.97514019
2 "Walking" -0.97926699
2 "Walking" -0.98966049
2 "Walking" -0.95243918
2 "Walking" -0.96926147
2 "Walking" -0.95689525
2 "Walking" -0.97405462
2 "Walking" -0.97063613
2 "Walking" -0.98624312
2 "Walking" -0.97342719
2 "Walking" -0.98037699
2 "Walking" -0.98263734
2 "Walking" -0.97604966
2 "Walking" -0.99041256
2 "Walking" -0.96876523
2 "Walking" -0.98572953
2 "Walking" -0.98453325
2 "Walking" -0.94763954
2 "Walking Down Stairs" -0.97518178
2 "Walking Down Stairs" -0.88855868
2 "Walking Down Stairs" -0.94764104
2 "Walking Down Stairs" -0.94291519
2 "Walking Down Stairs" -0.90389614
2 "Walking Down Stairs" -0.95074992
2 "Walking Down Stairs" -0.93536012
2 "Walking Down Stairs" -0.94480332
2 "Walking Down Stairs" -0.98561945
2 "Walking Down Stairs" -0.99010397
2 "Walking Down Stairs" -0.98916709
2 "Walking Down Stairs" -0.97916664
2 "Walking Down Stairs" -0.97879789
2 "Walking Down Stairs" -0.96960605
2 "Walking Down Stairs" -0.98724901
2 "Walking Down Stairs" -0.95311423
2 "Walking Down Stairs" -0.95433657
2 "Walking Down Stairs" -0.96215659
2 "Walking Down Stairs" -0.95888971
2 "Walking Down Stairs" -0.96418297
2 "Walking Down Stairs" -0.92485517
2 "Walking Down Stairs" -0.84474171
2 "Walking Down Stairs" -0.9002752
2 "Walking Down Stairs" -0.94253106
2 "Walking Down Stairs" -0.98093878
2 "Walking Down Stairs" -0.98784688
2 "Walking Down Stairs" -0.96252982
2 "Walking Down Stairs" -0.94342368
2 "Walking Down Stairs" -0.90227491
2 "Walking Down Stairs" -0.90599497
2 "Walking Down Stairs" -0.93576956
2 "Walking Down Stairs" -0.91072532
2 "Walking Down Stairs" -0.9870681
2 "Walking Down Stairs" -0.94696069
2 "Walking Down Stairs" -0.88379544
2 "Walking Down Stairs" -0.9139414
2 "Walking Down Stairs" -0.86986011
2 "Walking Down Stairs" -0.95593579
2 "Walking Down Stairs" -0.94671701
2 "Walking Down Stairs" -0.90245184
2 "Walking Down Stairs" -0.94348237
2 "Walking Down Stairs" -0.96841589
2 "Walking Down Stairs" -0.89378226
2 "Walking Down Stairs" -0.93481267
2 "Walking Down Stairs" -0.89440043
2 "Walking Down Stairs" -0.95853877
2 "Walking Down Stairs" -0.96885492
2 "Walking Up Stairs" -0.93717096
2 "Walking Up Stairs" -0.90929032
2 "Walking Up Stairs" -0.93526057
2 "Walking Up Stairs" -0.97454159
2 "Walking Up Stairs" -0.98244237
2 "Walking Up Stairs" -0.97466567
2 "Walking Up Stairs" -0.96809037
2 "Walking Up Stairs" -0.97181079
2 "Walking Up Stairs" -0.91036494
2 "Walking Up Stairs" -0.8705708
2 "Walking Up Stairs" -0.72478048
2 "Walking Up Stairs" -0.96486239
2 "Walking Up Stairs" -0.98137176
2 "Walking Up Stairs" -0.96168566
2 "Walking Up Stairs" -0.933038
2 "Walking Up Stairs" -0.97520841
2 "Walking Up Stairs" -0.96940884
2 "Walking Up Stairs" -0.73266253
2 "Walking Up Stairs" -0.87000586
2 "Walking Up Stairs" -0.9489888
2 "Walking Up Stairs" -0.93507161
2 "Walking Up Stairs" -0.94891543
2 "Walking Up Stairs" -0.96321864
2 "Walking Up Stairs" -0.98649935
2 "Walking Up Stairs" -0.98802442
2 "Walking Up Stairs" -0.81823008
2 "Walking Up Stairs" -0.88858982
2 "Walking Up Stairs" -0.94821029
2 "Walking Up Stairs" -0.93609762
2 "Walking Up Stairs" -0.94472697
2 "Walking Up Stairs" -0.96013001
2 "Walking Up Stairs" -0.96747377
2 "Walking Up Stairs" -0.97023724
