"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93827282
1 "Lying" -0.96414572
1 "Lying" -0.99915912
1 "Lying" -0.99898631
1 "Lying" -0.99632718
1 "Lying" -0.9968569
1 "Lying" -0.99859645
1 "Lying" -0.9964083
1 "Lying" -0.99785269
1 "Lying" -0.99274706
1 "Lying" -0.99630278
1 "Lying" -0.99652568
1 "Lying" -0.99501293
1 "Lying" -0.78068749
1 "Lying" -0.98845579
1 "Lying" -0.97205399
1 "Lying" -0.3195975
1 "Lying" -0.77202732
1 "Lying" -0.68655889
1 "Lying" -0.84825676
1 "Lying" -0.044933046
1 "Lying" -0.62655622
1 "Lying" -0.95180713
1 "Lying" -0.98745024
1 "Lying" -0.99015949
1 "Lying" -0.99844627
1 "Lying" -0.99536208
1 "Lying" -0.89853546
1 "Lying" -0.96663172
1 "Lying" -0.99422139
1 "Lying" -0.99864251
1 "Lying" -0.99221314
1 "Lying" -0.99623617
1 "Lying" -0.99824978
1 "Lying" -0.99822844
1 "Lying" -0.99600447
1 "Lying" -0.99634551
1 "Lying" -0.99775552
1 "Lying" -0.99724948
1 "Lying" 0.45943425
1 "Lying" 0.035453999
1 "Lying" -0.91832396
1 "Lying" -0.94778523
1 "Lying" -0.71135808
1 "Lying" -0.96794293
1 "Lying" -0.96567727
1 "Lying" -0.95120554
1 "Lying" -0.98297748
1 "Lying" -0.74819713
1 "Lying" -0.76889092
1 "Sitting" -0.91774264
1 "Sitting" -0.9416854
1 "Sitting" -0.99261864
1 "Sitting" -0.97977867
1 "Sitting" -0.98041247
1 "Sitting" -0.99772789
1 "Sitting" -0.9907534
1 "Sitting" -0.98161313
1 "Sitting" -0.96899895
1 "Sitting" -0.99926747
1 "Sitting" -0.99535648
1 "Sitting" -0.99257602
1 "Sitting" -0.99361721
1 "Sitting" -0.99632492
1 "Sitting" -0.84509268
1 "Sitting" -0.97734475
1 "Sitting" -0.97109518
1 "Sitting" -0.9918677
1 "Sitting" -0.99719962
1 "Sitting" -0.99390774
1 "Sitting" -0.99723758
1 "Sitting" -0.99485478
1 "Sitting" -0.99744189
1 "Sitting" -0.99208613
1 "Sitting" -0.99545569
1 "Sitting" -0.98980171
1 "Sitting" -0.99762048
1 "Sitting" -0.90113251
1 "Sitting" -0.925667
1 "Sitting" -0.9575424
1 "Sitting" -0.98742321
1 "Sitting" -0.9788333
1 "Sitting" -0.99553476
1 "Sitting" -0.9684263
1 "Sitting" -0.98793448
1 "Sitting" -0.99000629
1 "Sitting" -0.99876515
1 "Sitting" -0.98551192
1 "Sitting" -0.99767956
1 "Sitting" -0.99552085
1 "Sitting" -0.9960227
1 "Sitting" -0.87019243
1 "Sitting" -0.96416816
1 "Sitting" -0.95999171
1 "Sitting" -0.99063491
1 "Sitting" -0.9862073
1 "Sitting" -0.9761162
1 "Sitting" -0.98930686
1 "Sitting" -0.99249681
1 "Sitting" -0.99860024
1 "Sitting" -0.99827146
1 "Sitting" -0.99398728
1 "Sitting" -0.99745249
1 "Standing" -0.44109235
1 "Standing" -0.90103476
1 "Standing" -0.98428755
1 "Standing" -0.98253275
1 "Standing" -0.935096
1 "Standing" -0.59421965
1 "Standing" -0.91047944
1 "Standing" -0.96052828
1 "Standing" -0.98711039
1 "Standing" -0.99314838
1 "Standing" -0.99511687
1 "Standing" -0.96143943
1 "Standing" -0.99684749
1 "Standing" -0.99505223
1 "Standing" -0.99874747
1 "Standing" -0.99894649
1 "Standing" -0.99950466
1 "Standing" -0.98746153
1 "Standing" -0.99517352
1 "Standing" -0.99757904
1 "Standing" -0.99610152
1 "Standing" -0.98850432
1 "Standing" -0.99568307
1 "Standing" -0.99318436
1 "Standing" -0.84700359
1 "Standing" -0.94945548
1 "Standing" -0.97593659
1 "Standing" -0.9955963
1 "Standing" -0.99883575
1 "Standing" -0.99742209
1 "Standing" -0.99701771
1 "Standing" -0.99401614
1 "Standing" -0.99614327
1 "Standing" -0.99954623
1 "Standing" -0.99755286
1 "Standing" -0.64431712
1 "Standing" -0.93220502
1 "Standing" -0.95524009
1 "Standing" -0.99217293
1 "Standing" -0.99061296
1 "Standing" -0.99499028
1 "Standing" -0.9967362
1 "Standing" -0.99542301
1 "Standing" -0.99746648
1 "Standing" -0.99711694
1 "Standing" -0.99249321
1 "Standing" -0.99791751
1 "Walking" -0.94981826
1 "Walking" -0.97896886
1 "Walking" -0.97934151
1 "Walking" -0.96598783
1 "Walking" -0.95657523
1 "Walking" -0.96915126
1 "Walking" -0.97597323
1 "Walking" -0.96661056
1 "Walking" -0.84757716
1 "Walking" -0.94310349
1 "Walking" -0.93426649
1 "Walking" -0.94391561
1 "Walking" -0.97361484
1 "Walking" -0.97329703
1 "Walking" -0.97114839
1 "Walking" -0.97136178
1 "Walking" -0.97556436
1 "Walking" -0.97632354
1 "Walking" -0.97546306
1 "Walking" -0.96843086
1 "Walking" -0.82658798
1 "Walking" -0.96792486
1 "Walking" -0.96456563
1 "Walking" -0.98020168
1 "Walking" -0.978624
1 "Walking" -0.97580723
1 "Walking" -0.96992495
1 "Walking" -0.96947083
1 "Walking" -0.97794095
1 "Walking" -0.97641886
1 "Walking" -0.96645294
1 "Walking" -0.96521963
1 "Walking" -0.95935804
1 "Walking" -0.92836435
1 "Walking" -0.97494513
1 "Walking" -0.96220006
1 "Walking" -0.97517063
1 "Walking" -0.96499763
1 "Walking" -0.9728703
1 "Walking" -0.97538394
1 "Walking" -0.96817072
1 "Walking" -0.97804174
1 "Walking" -0.97284606
1 "Walking" -0.94520087
1 "Walking" -0.97700669
1 "Walking" -0.95246156
1 "Walking" -0.96363592
1 "Walking" -0.92063737
1 "Walking" -0.97089145
1 "Walking" -0.9710672
1 "Walking" -0.95065263
1 "Walking" -0.96730587
1 "Walking" -0.96653641
1 "Walking" -0.96864264
1 "Walking" -0.97219263
1 "Walking" -0.76096382
1 "Walking" -0.95069015
1 "Walking" -0.94786302
1 "Walking" -0.95683024
1 "Walking" -0.97166489
1 "Walking" -0.93157519
1 "Walking" -0.97592638
1 "Walking" -0.97442122
1 "Walking" -0.96756352
1 "Walking" -0.96953765
1 "Walking" -0.98114588
1 "Walking" -0.98200696
1 "Walking" -0.98077259
1 "Walking" -0.7680445
1 "Walking" -0.80766477
1 "Walking" -0.94559253
1 "Walking" -0.97024585
1 "Walking" -0.94778387
1 "Walking" -0.97660884
1 "Walking" -0.97455985
1 "Walking" -0.96129715
1 "Walking" -0.96485524
1 "Walking" -0.97509403
1 "Walking" -0.97974719
1 "Walking" -0.97394743
1 "Walking" -0.98248222
1 "Walking" -0.75222407
1 "Walking" -0.93632754
1 "Walking" -0.94870975
1 "Walking" -0.96894769
1 "Walking" -0.9511827
1 "Walking" -0.97536661
1 "Walking" -0.96761828
1 "Walking" -0.94378206
1 "Walking" -0.98181739
1 "Walking" -0.9551677
1 "Walking" -0.96064695
1 "Walking" -0.97582721
1 "Walking" -0.98021643
1 "Walking" -0.96703205
1 "Walking Down Stairs" -0.92496463
1 "Walking Down Stairs" -0.97338847
1 "Walking Down Stairs" -0.95799027
1 "Walking Down Stairs" -0.90579826
1 "Walking Down Stairs" -0.94923347
1 "Walking Down Stairs" -0.9343423
1 "Walking Down Stairs" -0.91487543
1 "Walking Down Stairs" -0.88969545
1 "Walking Down Stairs" -0.98501002
1 "Walking Down Stairs" -0.81323569
1 "Walking Down Stairs" -0.90106535
1 "Walking Down Stairs" -0.84715225
1 "Walking Down Stairs" -0.86882145
1 "Walking Down Stairs" -0.919391
1 "Walking Down Stairs" -0.83450231
1 "Walking Down Stairs" -0.82993465
1 "Walking Down Stairs" -0.96456082
1 "Walking Down Stairs" -0.92434674
1 "Walking Down Stairs" -0.92670117
1 "Walking Down Stairs" -0.86642273
1 "Walking Down Stairs" -0.86357722
1 "Walking Down Stairs" -0.92101631
1 "Walking Down Stairs" -0.78885105
1 "Walking Down Stairs" -0.9115662
1 "Walking Down Stairs" -0.8640643
1 "Walking Down Stairs" -0.87714642
1 "Walking Down Stairs" -0.96057993
1 "Walking Down Stairs" -0.85347278
