"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.5682121
1 "Lying" -0.18401014
1 "Lying" -0.34569743
1 "Lying" -0.56256685
1 "Lying" -0.39184365
1 "Lying" -0.32095966
1 "Lying" -0.38671878
1 "Lying" -0.21581992
1 "Lying" -0.073273016
1 "Lying" -0.27907657
1 "Lying" -0.32908733
1 "Lying" -0.37390475
1 "Lying" -0.51568832
1 "Lying" 0.13477992
1 "Lying" 0.062327713
1 "Lying" 0.52354042
1 "Lying" 0.55543572
1 "Lying" 0.7562588
1 "Lying" 0.38897978
1 "Lying" 0.29475594
1 "Lying" 0.27724069
1 "Lying" 0.32248408
1 "Lying" 0.42809271
1 "Lying" -0.094321064
1 "Lying" -0.35261908
1 "Lying" -0.2965263
1 "Lying" -0.31908795
1 "Lying" 0.24543037
1 "Lying" 0.095023659
1 "Lying" -0.30037432
1 "Lying" -0.35080972
1 "Lying" -0.3656934
1 "Lying" -0.27261395
1 "Lying" -0.12062815
1 "Lying" -0.40092171
1 "Lying" -0.48910162
1 "Lying" -0.20297003
1 "Lying" -0.19058914
1 "Lying" -0.29888962
1 "Lying" 0.34881161
1 "Lying" 0.15843886
1 "Lying" -0.10988045
1 "Lying" 0.0141921
1 "Lying" 0.01786546
1 "Lying" -0.046976506
1 "Lying" 0.064017714
1 "Lying" -0.046729754
1 "Lying" 0.097235444
1 "Lying" 0.24041504
1 "Lying" 0.36658665
1 "Sitting" -0.02289666
1 "Sitting" -0.10936606
1 "Sitting" -0.074212271
1 "Sitting" 0.046396167
1 "Sitting" -0.27765672
1 "Sitting" -0.3934519
1 "Sitting" -0.23994216
1 "Sitting" -0.14008168
1 "Sitting" -0.33707364
1 "Sitting" -0.39734143
1 "Sitting" -0.34303321
1 "Sitting" -0.27626355
1 "Sitting" -0.373967
1 "Sitting" -0.36237906
1 "Sitting" 0.4330236
1 "Sitting" -0.13424218
1 "Sitting" -0.18965963
1 "Sitting" -0.087574755
1 "Sitting" -0.15939942
1 "Sitting" -0.24329178
1 "Sitting" -0.41142137
1 "Sitting" -0.47337261
1 "Sitting" -0.38076865
1 "Sitting" -0.35430139
1 "Sitting" -0.32474926
1 "Sitting" -0.32034053
1 "Sitting" -0.48273413
1 "Sitting" -0.074983402
1 "Sitting" 0.18756425
1 "Sitting" -0.17205748
1 "Sitting" 0.003397493
1 "Sitting" 0.24126287
1 "Sitting" -0.066912505
1 "Sitting" -0.14638385
