"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.85064507
1 "Lying" -0.98200551
1 "Lying" -0.99610625
1 "Lying" -0.99821243
1 "Lying" -0.99801754
1 "Lying" -0.99603295
1 "Lying" -0.9964458
1 "Lying" -0.99583865
1 "Lying" -0.99488439
1 "Lying" -0.99556074
1 "Lying" -0.99709265
1 "Lying" -0.99857225
1 "Lying" -0.99819081
1 "Lying" -0.52045757
1 "Lying" -0.92012779
1 "Lying" 0.075466839
1 "Lying" -0.15732077
1 "Lying" -0.80626838
1 "Lying" -0.77151305
1 "Lying" 0.14688483
1 "Lying" -0.18837723
1 "Lying" -0.046515803
1 "Lying" -0.81281361
1 "Lying" -0.91488144
1 "Lying" -0.99138237
1 "Lying" -0.99265755
1 "Lying" -0.99470055
1 "Lying" -0.93152802
1 "Lying" -0.94711811
1 "Lying" -0.99574659
1 "Lying" -0.99572709
1 "Lying" -0.9969155
1 "Lying" -0.99822093
1 "Lying" -0.99730146
1 "Lying" -0.99622349
1 "Lying" -0.99781065
1 "Lying" -0.99881711
1 "Lying" -0.99738224
1 "Lying" -0.99727781
1 "Lying" -0.17235129
1 "Lying" 0.043651675
1 "Lying" -0.92806746
1 "Lying" -0.80137333
1 "Lying" -0.77435748
1 "Lying" -0.96921991
1 "Lying" -0.98864493
1 "Lying" -0.98720541
1 "Lying" -0.8052451
1 "Lying" -0.76455
1 "Lying" -0.81876633
1 "Sitting" -0.95799295
1 "Sitting" -0.97824725
1 "Sitting" -0.98832678
1 "Sitting" -0.98643053
1 "Sitting" -0.9911703
1 "Sitting" -0.99500944
1 "Sitting" -0.98675558
1 "Sitting" -0.97650361
1 "Sitting" -0.97897119
1 "Sitting" -0.98837827
1 "Sitting" -0.98753995
1 "Sitting" -0.99579871
1 "Sitting" -0.99609128
1 "Sitting" -0.99807005
1 "Sitting" -0.83587056
1 "Sitting" -0.98798809
1 "Sitting" -0.99117062
1 "Sitting" -0.99358148
1 "Sitting" -0.99816625
1 "Sitting" -0.99841011
1 "Sitting" -0.99759806
