"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99166499
1 "Lying" -0.9960341
1 "Lying" -0.9960341
1 "Lying" -0.99584015
1 "Lying" -0.99732613
1 "Lying" -0.9978719
1 "Lying" -0.9978719
1 "Lying" -0.99765236
1 "Lying" -0.99658354
1 "Lying" -0.99636266
1 "Lying" -0.99681427
1 "Lying" -0.99681427
1 "Lying" -0.99435861
1 "Lying" -0.94229416
1 "Lying" -0.98729403
1 "Lying" -0.98729403
1 "Lying" -0.83342203
1 "Lying" -0.83342203
1 "Lying" -0.77397597
1 "Lying" -0.77397597
1 "Lying" 0.12813182
1 "Lying" -0.93115192
1 "Lying" -0.93373801
1 "Lying" -0.99020523
1 "Lying" -0.99020523
1 "Lying" -0.99239506
1 "Lying" -0.99239506
1 "Lying" -0.98321305
1 "Lying" -0.99678637
1 "Lying" -0.99684423
1 "Lying" -0.99684423
1 "Lying" -0.99671145
1 "Lying" -0.9948448
1 "Lying" -0.9948448
1 "Lying" -0.99507986
1 "Lying" -0.99507986
1 "Lying" -0.99291693
1 "Lying" -0.99788175
1 "Lying" -0.99788175
1 "Lying" -0.88017205
1 "Lying" -0.95727066
1 "Lying" -0.96990151
1 "Lying" -0.96990151
1 "Lying" -0.97630338
1 "Lying" -0.98716814
1 "Lying" -0.98716814
1 "Lying" -0.98168211
1 "Lying" -0.99443361
1 "Lying" -0.99443361
1 "Lying" -0.94582797
1 "Sitting" -0.99255572
1 "Sitting" -0.99533294
1 "Sitting" -0.99533294
1 "Sitting" -0.99704479
1 "Sitting" -0.99704479
1 "Sitting" -0.9941746
1 "Sitting" -0.99314603
1 "Sitting" -0.98759749
1 "Sitting" -0.99415011
1 "Sitting" -0.99415011
1 "Sitting" -0.99250912
1 "Sitting" -0.99250912
1 "Sitting" -0.99151735
1 "Sitting" -0.9994408
1 "Sitting" -0.97560046
1 "Sitting" -0.99001879
1 "Sitting" -0.99049292
1 "Sitting" -0.99504407
1 "Sitting" -0.99504407
1 "Sitting" -0.99604687
1 "Sitting" -0.99604687
1 "Sitting" -0.99500339
1 "Sitting" -0.99557597
1 "Sitting" -0.99557597
1 "Sitting" -0.99520739
1 "Sitting" -0.99385452
1 "Sitting" -0.99417248
1 "Sitting" -0.99066043
1 "Sitting" -0.99066043
1 "Sitting" -0.98650053
1 "Sitting" -0.99248474
1 "Sitting" -0.99248474
1 "Sitting" -0.98618103
1 "Sitting" -0.99426704
1 "Sitting" -0.99426704
1 "Sitting" -0.994106
1 "Sitting" -0.99285746
1 "Sitting" -0.99419636
1 "Sitting" -0.99419636
1 "Sitting" -0.99222962
1 "Sitting" -0.99339472
1 "Sitting" -0.9757602
1 "Sitting" -0.99184073
1 "Sitting" -0.99912709
1 "Sitting" -0.99912709
1 "Sitting" -0.98978563
1 "Sitting" -0.9918746
1 "Sitting" -0.99759097
1 "Sitting" -0.99759097
1 "Sitting" -0.99709532
1 "Sitting" -0.99417386
1 "Sitting" -0.99417386
1 "Sitting" -0.99409934
1 "Standing" -0.87413908
1 "Standing" -0.9833129
1 "Standing" -0.9833129
1 "Standing" -0.99198739
1 "Standing" -0.99198739
1 "Standing" -0.85000619
1 "Standing" -0.99105658
1 "Standing" -0.99105658
1 "Standing" -0.99471662
1 "Standing" -0.99562855
1 "Standing" -0.99733606
1 "Standing" -0.97992986
1 "Standing" -0.99111715
