"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.27190525
1 "Lying" -0.27190525
1 "Lying" -0.2721186
1 "Lying" -0.27787264
1 "Lying" -0.27787264
1 "Lying" -0.27772943
1 "Lying" -0.27768159
1 "Lying" -0.27682849
1 "Lying" -0.27547292
1 "Lying" -0.27528116
1 "Lying" -0.27528116
1 "Lying" -0.27572579
1 "Lying" -0.27609877
1 "Lying" 0.36664438
1 "Lying" -0.091058425
1 "Lying" -0.091058425
1 "Lying" -0.091207307
1 "Lying" -0.23357869
1 "Lying" -0.35176655
1 "Lying" -0.35176655
1 "Lying" -0.36339946
1 "Lying" -0.68315372
1 "Lying" -0.8177253
1 "Lying" -0.8177253
1 "Lying" -0.822801
1 "Lying" -0.82113745
1 "Lying" -0.82113745
1 "Lying" -0.12386769
1 "Lying" -0.11688628
1 "Lying" -0.11688628
1 "Lying" -0.11612852
1 "Lying" -0.11604333
1 "Lying" -0.11604333
1 "Lying" -0.11524398
1 "Lying" -0.11524398
1 "Lying" -0.11569042
1 "Lying" -0.11579812
1 "Lying" -0.11579812
1 "Lying" -0.11425978
1 "Lying" -0.079814823
1 "Lying" -0.079814823
1 "Lying" -0.25952788
1 "Lying" -0.35127683
1 "Lying" -0.33081903
1 "Lying" -0.32942514
1 "Lying" -0.32142424
1 "Lying" -0.32126784
1 "Lying" -0.32126784
1 "Lying" -0.32396176
1 "Lying" -0.32954983
1 "Sitting" 0.89205451
1 "Sitting" 0.89206031
1 "Sitting" 0.89240056
1 "Sitting" 0.89381715
1 "Sitting" 0.89381715
1 "Sitting" 0.89368344
1 "Sitting" 0.89336965
1 "Sitting" 0.89420478
1 "Sitting" 0.89420478
1 "Sitting" 0.89477777
1 "Sitting" 0.89494092
1 "Sitting" 0.89494092
1 "Sitting" 0.89436796
1 "Sitting" 0.89436796
1 "Sitting" 0.87758813
1 "Sitting" 0.8781599
1 "Sitting" 0.8781599
1 "Sitting" 0.87888016
1 "Sitting" 0.87908726
1 "Sitting" 0.87908726
1 "Sitting" 0.87877147
1 "Sitting" 0.8786168
1 "Sitting" 0.8786168
1 "Sitting" 0.87858596
1 "Sitting" 0.87914624
1 "Sitting" 0.8799811
1 "Sitting" 0.8799811
1 "Sitting" 0.87990029
1 "Sitting" 0.85171879
1 "Sitting" 0.85267231
1 "Sitting" 0.85604973
1 "Sitting" 0.85703051
1 "Sitting" 0.85703051
1 "Sitting" 0.85377451
1 "Sitting" 0.85130175
1 "Sitting" 0.85130175
1 "Sitting" 0.85119647
1 "Sitting" 0.8509039
1 "Sitting" 0.85165013
1 "Sitting" 0.85165013
1 "Sitting" 0.85164939
1 "Sitting" 0.85518111
1 "Sitting" 0.85518111
1 "Sitting" 0.85487882
1 "Sitting" 0.85075524
1 "Sitting" 0.85021628
1 "Sitting" 0.84965167
1 "Sitting" 0.84851305
1 "Sitting" 0.84852292
1 "Sitting" 0.84870143
1 "Sitting" 0.8491699
1 "Sitting" 0.85010033
1 "Sitting" 0.85010033
1 "Standing" 0.86053314
1 "Standing" 0.79063055
1 "Standing" 0.76602185
1 "Standing" 0.76878451
1 "Standing" 0.76878451
1 "Standing" 0.76859123
1 "Standing" 0.61323374
1 "Standing" 0.55810315
1 "Standing" 0.55810315
1 "Standing" 0.55392299
1 "Standing" 0.55365758
1 "Standing" 0.83656109
1 "Standing" 0.81832977
1 "Standing" 0.80223406
1 "Standing" 0.80246354
1 "Standing" 0.80246354
1 "Standing" 0.80216168
1 "Standing" 0.80274896
1 "Standing" 0.80274896
1 "Standing" 0.80180866
1 "Standing" 0.80079378
1 "Standing" 0.80079378
1 "Standing" 0.80001788
