"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98909036
1 "Lying" -0.98870172
1 "Lying" -0.99792362
1 "Lying" -0.99845471
1 "Lying" -0.99865509
1 "Lying" -0.99926437
1 "Lying" -0.99942256
1 "Lying" -0.99625293
1 "Lying" -0.99822398
1 "Lying" -0.99721976
1 "Lying" -0.99729412
1 "Lying" -0.99784323
1 "Lying" -0.99781397
1 "Lying" -0.79902122
1 "Lying" -0.91242159
1 "Lying" -0.97152843
1 "Lying" -0.66781494
1 "Lying" -0.836319
1 "Lying" -0.78295239
1 "Lying" -0.77322415
1 "Lying" 0.059886718
1 "Lying" 0.15004568
1 "Lying" -0.73395513
1 "Lying" -0.87564566
1 "Lying" -0.98286882
1 "Lying" -0.97885908
1 "Lying" -0.98833037
1 "Lying" -0.96913658
1 "Lying" -0.97237481
1 "Lying" -0.99709284
1 "Lying" -0.99908717
1 "Lying" -0.99830979
1 "Lying" -0.9984264
1 "Lying" -0.99915486
1 "Lying" -0.99728943
1 "Lying" -0.99788823
1 "Lying" -0.9997095
1 "Lying" -0.99891517
1 "Lying" -0.99810172
1 "Lying" -0.81140932
1 "Lying" -0.92938152
1 "Lying" -0.97993687
1 "Lying" -0.98286198
1 "Lying" -0.95229967
1 "Lying" -0.98988058
1 "Lying" -0.99006791
1 "Lying" -0.99007816
1 "Lying" -0.99540703
1 "Lying" -0.94596253
1 "Lying" -0.95499826
1 "Sitting" -0.98441622
1 "Sitting" -0.98961366
1 "Sitting" -0.99260493
1 "Sitting" -0.98096181
1 "Sitting" -0.9886539
1 "Sitting" -0.98658395
1 "Sitting" -0.9889216
1 "Sitting" -0.9731642
1 "Sitting" -0.97608723
1 "Sitting" -0.990634
1 "Sitting" -0.98585056
1 "Sitting" -0.99494978
1 "Sitting" -0.98674895
1 "Sitting" -0.9942071
1 "Sitting" -0.81020875
1 "Sitting" -0.97876537
1 "Sitting" -0.99344395
1 "Sitting" -0.99196677
1 "Sitting" -0.99737161
1 "Sitting" -0.99563345
1 "Sitting" -0.99477697
1 "Sitting" -0.99516342
1 "Sitting" -0.99192076
1 "Sitting" -0.99229577
1 "Sitting" -0.99183216
1 "Sitting" -0.98821777
1 "Sitting" -0.99721134
1 "Sitting" -0.93420554
1 "Sitting" -0.98387244
1 "Sitting" -0.98400442
1 "Sitting" -0.98154827
1 "Sitting" -0.98053604
1 "Sitting" -0.95935986
1 "Sitting" -0.98744633
1 "Sitting" -0.99436098
1 "Sitting" -0.9959591
1 "Sitting" -0.99909602
1 "Sitting" -0.99769108
1 "Sitting" -0.99435962
1 "Sitting" -0.99455732
1 "Sitting" -0.98724923
1 "Sitting" -0.80082949
1 "Sitting" -0.96895845
1 "Sitting" -0.9812656
1 "Sitting" -0.99447758
