"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.78374234
1 "Lying" -0.96034279
1 "Lying" -0.98879281
1 "Lying" -0.99593411
1 "Lying" -0.99946399
1 "Lying" -0.99962828
1 "Lying" -0.99921306
1 "Lying" -0.99834188
1 "Lying" -0.99573115
1 "Lying" -0.9981733
1 "Lying" -0.99768896
1 "Lying" -0.99886802
1 "Lying" -0.999274
1 "Lying" -0.31213364
1 "Lying" -0.90640588
1 "Lying" -0.85563269
1 "Lying" -0.33694561
1 "Lying" -0.70640252
1 "Lying" -0.78654516
1 "Lying" -0.57217277
1 "Lying" -0.24241051
1 "Lying" -0.83322417
1 "Lying" -0.97380343
1 "Lying" -0.98349779
1 "Lying" -0.994136
1 "Lying" -0.99194049
1 "Lying" -0.99720491
1 "Lying" -0.87017757
1 "Lying" -0.91359838
1 "Lying" -0.99419457
1 "Lying" -0.99579416
1 "Lying" -0.99662443
1 "Lying" -0.99780514
1 "Lying" -0.99615054
1 "Lying" -0.99793038
1 "Lying" -0.99876782
1 "Lying" -0.99842014
1 "Lying" -0.99759094
1 "Lying" -0.99493194
1 "Lying" -0.80155298
1 "Lying" -0.50351963
1 "Lying" -0.88757542
1 "Lying" -0.98283265
1 "Lying" -0.95545804
1 "Lying" -0.96894272
1 "Lying" -0.98601123
1 "Lying" -0.98828643
1 "Lying" -0.99042803
1 "Lying" -0.92394278
1 "Lying" -0.89331474
1 "Sitting" -0.98524969
1 "Sitting" -0.99741134
1 "Sitting" -0.99957395
1 "Sitting" -0.99664558
1 "Sitting" -0.99842928
1 "Sitting" -0.9989793
1 "Sitting" -0.99933247
1 "Sitting" -0.99811827
1 "Sitting" -0.99778938
1 "Sitting" -0.99736219
1 "Sitting" -0.99726455
1 "Sitting" -0.99812719
1 "Sitting" -0.99915165
1 "Sitting" -0.99957758
1 "Sitting" -0.9640453
1 "Sitting" -0.99509379
1 "Sitting" -0.99928053
1 "Sitting" -0.99863217
1 "Sitting" -0.9987754
1 "Sitting" -0.9987486
1 "Sitting" -0.9990282
1 "Sitting" -0.99904052
1 "Sitting" -0.99833263
1 "Sitting" -0.99849937
1 "Sitting" -0.99749379
1 "Sitting" -0.99796817
1 "Sitting" -0.99900508
1 "Sitting" -0.94195454
1 "Sitting" -0.98586858
1 "Sitting" -0.99342621
1 "Sitting" -0.99448606
1 "Sitting" -0.99427784
1 "Sitting" -0.98748593
1 "Sitting" -0.99430531
1 "Sitting" -0.99621368
1 "Sitting" -0.99826706
1 "Sitting" -0.99840335
1 "Sitting" -0.99883729
1 "Sitting" -0.99815796
1 "Sitting" -0.99740511
1 "Sitting" -0.99421824
1 "Sitting" -0.92329444
1 "Sitting" -0.98698417
1 "Sitting" -0.99362589
1 "Sitting" -0.99864507
1 "Sitting" -0.99825993
1 "Sitting" -0.99613054
1 "Sitting" -0.99861074
1 "Sitting" -0.99885322
1 "Sitting" -0.99932714
1 "Sitting" -0.99906364
1 "Sitting" -0.99753955
1 "Sitting" -0.99884075
1 "Standing" -0.81418938
1 "Standing" -0.96038769
1 "Standing" -0.98263913
1 "Standing" -0.99203824
1 "Standing" -0.80474333
1 "Standing" -0.59632839
1 "Standing" -0.90544971
1 "Standing" -0.95196097
1 "Standing" -0.98694934
1 "Standing" -0.99505769
1 "Standing" -0.99616079
1 "Standing" -0.93882287
1 "Standing" -0.97677857
1 "Standing" -0.99404779
1 "Standing" -0.99725489
1 "Standing" -0.99760938
1 "Standing" -0.99668022
1 "Standing" -0.99514435
1 "Standing" -0.99582182
1 "Standing" -0.99771429
1 "Standing" -0.9984551
1 "Standing" -0.9956679
1 "Standing" -0.99695551
1 "Standing" -0.99508616
1 "Standing" -0.88902677
1 "Standing" -0.96626442
1 "Standing" -0.99299665
1 "Standing" -0.99744805
1 "Standing" -0.99753512
1 "Standing" -0.99886085
1 "Standing" -0.99897044
1 "Standing" -0.99882043
1 "Standing" -0.9989642
1 "Standing" -0.9993426
1 "Standing" -0.99906455
1 "Standing" -0.87186493
1 "Standing" -0.98107594
1 "Standing" -0.99245559
1 "Standing" -0.99396964
1 "Standing" -0.99812072
1 "Standing" -0.99867173
1 "Standing" -0.99725498
1 "Standing" -0.99738806
1 "Standing" -0.99735503
1 "Standing" -0.99692702
1 "Standing" -0.99763511
1 "Standing" -0.99552951
1 "Walking" -0.98404763
1 "Walking" -0.98396245
1 "Walking" -0.96281006
1 "Walking" -0.98110011
1 "Walking" -0.97692745
1 "Walking" -0.98531496
1 "Walking" -0.98994516
1 "Walking" -0.98032152
1 "Walking" -0.9850642
1 "Walking" -0.99082894
1 "Walking" -0.98898889
1 "Walking" -0.98783704
1 "Walking" -0.98403915
1 "Walking" -0.98228157
1 "Walking" -0.95867188
1 "Walking" -0.98071351
1 "Walking" -0.97754308
1 "Walking" -0.97322211
1 "Walking" -0.98064628
1 "Walking" -0.98879596
1 "Walking" -0.98434504
1 "Walking" -0.96013205
1 "Walking" -0.95545869
1 "Walking" -0.98113071
1 "Walking" -0.98081539
1 "Walking" -0.98145764
1 "Walking" -0.97962201
1 "Walking" -0.95948037
1 "Walking" -0.99038534
1 "Walking" -0.98892596
1 "Walking" -0.98890675
1 "Walking" -0.97333572
1 "Walking" -0.98501426
1 "Walking" -0.92623445
1 "Walking" -0.96991869
1 "Walking" -0.97413551
1 "Walking" -0.98911298
1 "Walking" -0.98960786
1 "Walking" -0.9851838
1 "Walking" -0.98316457
1 "Walking" -0.98087385
1 "Walking" -0.99330372
1 "Walking" -0.99121352
1 "Walking" -0.98707561
1 "Walking" -0.98800256
1 "Walking" -0.98622327
1 "Walking" -0.98328945
1 "Walking" -0.98133554
1 "Walking" -0.98559984
1 "Walking" -0.98904445
1 "Walking" -0.98285047
1 "Walking" -0.98291034
1 "Walking" -0.98262802
1 "Walking" -0.97248508
1 "Walking" -0.97998341
1 "Walking" -0.95908373
1 "Walking" -0.98001267
1 "Walking" -0.97439208
1 "Walking" -0.96239775
1 "Walking" -0.98381312
1 "Walking" -0.9782861
1 "Walking" -0.98102879
1 "Walking" -0.96969423
1 "Walking" -0.97460663
1 "Walking" -0.98171458
1 "Walking" -0.98609544
1 "Walking" -0.94683175
1 "Walking" -0.96237096
1 "Walking" -0.93270584
1 "Walking" -0.96793836
1 "Walking" -0.94149368
1 "Walking" -0.98669643
1 "Walking" -0.97745109
1 "Walking" -0.97581218
1 "Walking" -0.95983835
1 "Walking" -0.94459495
1 "Walking" -0.96704078
1 "Walking" -0.98143221
1 "Walking" -0.97805603
1 "Walking" -0.99050526
1 "Walking" -0.98787369
1 "Walking" -0.97709216
1 "Walking" -0.99000095
1 "Walking" -0.98786793
1 "Walking" -0.9878648
1 "Walking" -0.96575703
1 "Walking" -0.97609958
1 "Walking" -0.96510593
1 "Walking" -0.97067284
1 "Walking" -0.9712451
1 "Walking" -0.9674832
1 "Walking" -0.9597983
1 "Walking" -0.96592883
1 "Walking" -0.98068763
1 "Walking" -0.96429621
1 "Walking Down Stairs" -0.93663325
1 "Walking Down Stairs" -0.94715987
1 "Walking Down Stairs" -0.97851182
1 "Walking Down Stairs" -0.96768419
1 "Walking Down Stairs" -0.96359544
1 "Walking Down Stairs" -0.94879344
1 "Walking Down Stairs" -0.96162086
1 "Walking Down Stairs" -0.97968008
1 "Walking Down Stairs" -0.97988542
1 "Walking Down Stairs" -0.95911473
1 "Walking Down Stairs" -0.96243211
1 "Walking Down Stairs" -0.93721665
1 "Walking Down Stairs" -0.92954312
1 "Walking Down Stairs" -0.94585717
1 "Walking Down Stairs" -0.94730325
1 "Walking Down Stairs" -0.94973749
1 "Walking Down Stairs" -0.96781324
1 "Walking Down Stairs" -0.96563676
1 "Walking Down Stairs" -0.96634034
1 "Walking Down Stairs" -0.96367838
1 "Walking Down Stairs" -0.87857503
1 "Walking Down Stairs" -0.92652989
1 "Walking Down Stairs" -0.90263255
1 "Walking Down Stairs" -0.96327408
1 "Walking Down Stairs" -0.9767899
1 "Walking Down Stairs" -0.95714561
1 "Walking Down Stairs" -0.94743764
1 "Walking Down Stairs" -0.98086861
1 "Walking Down Stairs" -0.95969526
1 "Walking Down Stairs" -0.89575048
1 "Walking Down Stairs" -0.91732111
1 "Walking Down Stairs" -0.92671516
1 "Walking Down Stairs" -0.95452164
1 "Walking Down Stairs" -0.89865581
1 "Walking Down Stairs" -0.96653176
1 "Walking Down Stairs" -0.94235836
1 "Walking Down Stairs" -0.9470014
1 "Walking Down Stairs" -0.92257477
1 "Walking Down Stairs" -0.92840055
1 "Walking Down Stairs" -0.96193406
1 "Walking Down Stairs" -0.967793
1 "Walking Down Stairs" -0.94749397
1 "Walking Down Stairs" -0.97500436
1 "Walking Down Stairs" -0.97474158
1 "Walking Down Stairs" -0.95977862
1 "Walking Down Stairs" -0.97869324
1 "Walking Down Stairs" -0.96432472
1 "Walking Down Stairs" -0.94812861
1 "Walking Down Stairs" -0.94852139
1 "Walking Up Stairs" -0.8814893
1 "Walking Up Stairs" -0.94384341
1 "Walking Up Stairs" -0.97390343
1 "Walking Up Stairs" -0.95333008
1 "Walking Up Stairs" -0.9530637
1 "Walking Up Stairs" -0.95432914
1 "Walking Up Stairs" -0.96813367
1 "Walking Up Stairs" -0.96847912
1 "Walking Up Stairs" -0.86447892
1 "Walking Up Stairs" -0.96893145
1 "Walking Up Stairs" -0.95620274
1 "Walking Up Stairs" -0.96491486
1 "Walking Up Stairs" -0.97300489
1 "Walking Up Stairs" -0.97447003
1 "Walking Up Stairs" -0.97798508
1 "Walking Up Stairs" -0.96590159
1 "Walking Up Stairs" -0.98223452
1 "Walking Up Stairs" -0.89091061
1 "Walking Up Stairs" -0.97027136
1 "Walking Up Stairs" -0.96099981
1 "Walking Up Stairs" -0.96512253
1 "Walking Up Stairs" -0.96922635
1 "Walking Up Stairs" -0.96405604
1 "Walking Up Stairs" -0.96926942
1 "Walking Up Stairs" -0.97021213
1 "Walking Up Stairs" -0.97823368
1 "Walking Up Stairs" -0.90047653
1 "Walking Up Stairs" -0.89247971
1 "Walking Up Stairs" -0.98002073
1 "Walking Up Stairs" -0.95407765
1 "Walking Up Stairs" -0.94065491
1 "Walking Up Stairs" -0.93558214
1 "Walking Up Stairs" -0.9754107
1 "Walking Up Stairs" -0.97969024
1 "Walking Up Stairs" -0.97940145
1 "Walking Up Stairs" -0.90273989
1 "Walking Up Stairs" -0.93538349
1 "Walking Up Stairs" -0.9793831
1 "Walking Up Stairs" -0.95312481
1 "Walking Up Stairs" -0.95356357
1 "Walking Up Stairs" -0.97565631
1 "Walking Up Stairs" -0.97590602
1 "Walking Up Stairs" -0.96054697
1 "Walking Up Stairs" -0.984561
1 "Walking Up Stairs" -0.912456
1 "Walking Up Stairs" -0.93852473
1 "Walking Up Stairs" -0.97284148
1 "Walking Up Stairs" -0.96667661
1 "Walking Up Stairs" -0.96176054
1 "Walking Up Stairs" -0.97840408
1 "Walking Up Stairs" -0.97921102
1 "Walking Up Stairs" -0.97373765
1 "Walking Up Stairs" -0.98218329
2 "Lying" -0.79814709
2 "Lying" -0.97539016
2 "Lying" -0.97869812
2 "Lying" -0.99439039
2 "Lying" -0.99750135
2 "Lying" -0.99941554
2 "Lying" -0.99949955
2 "Lying" -0.99218778
2 "Lying" -0.97917626
2 "Lying" -0.9903629
2 "Lying" -0.98983768
2 "Lying" -0.689061
2 "Lying" -0.84447983
2 "Lying" -0.95858439
2 "Lying" -0.97033109
2 "Lying" -0.97810879
2 "Lying" -0.97751018
2 "Lying" -0.96802429
2 "Lying" -0.9783072
2 "Lying" -0.96330987
2 "Lying" -0.96436164
2 "Lying" -0.97314766
2 "Lying" -0.9586241
2 "Lying" -0.9596428
2 "Lying" -0.5788707
2 "Lying" -0.866177
2 "Lying" -0.94026218
2 "Lying" -0.98057155
2 "Lying" -0.98776639
2 "Lying" -0.99479911
2 "Lying" -0.98478713
2 "Lying" -0.98371625
2 "Lying" -0.99382176
2 "Lying" -0.99034002
2 "Lying" -0.98625673
2 "Lying" -0.97238964
2 "Lying" -0.97819012
2 "Lying" -0.96546592
2 "Lying" -0.98625486
2 "Lying" -0.99388743
2 "Lying" -0.99718321
2 "Lying" -0.99682873
2 "Lying" -0.9942485
2 "Lying" -0.99456328
2 "Lying" -0.99668115
2 "Lying" -0.99517176
2 "Lying" -0.99844386
2 "Lying" -0.99791625
2 "Sitting" -0.92542727
2 "Sitting" -0.98905711
2 "Sitting" -0.9959365
2 "Sitting" -0.99313918
2 "Sitting" -0.99557462
2 "Sitting" -0.99884225
2 "Sitting" -0.9974362
2 "Sitting" -0.99739076
2 "Sitting" -0.99514632
2 "Sitting" -0.99800172
2 "Sitting" -0.99896777
2 "Sitting" -0.99837133
2 "Sitting" -0.9992491
2 "Sitting" -0.99281837
2 "Sitting" -0.99243056
2 "Sitting" -0.99519236
2 "Sitting" -0.86986537
2 "Sitting" -0.97024526
2 "Sitting" -0.98971312
2 "Sitting" -0.98890631
2 "Sitting" -0.97642372
2 "Sitting" -0.97823679
2 "Sitting" -0.98946113
2 "Sitting" -0.97763912
2 "Sitting" -0.99197651
2 "Sitting" -0.99607584
2 "Sitting" -0.99497146
2 "Sitting" -0.99566606
2 "Sitting" -0.99613717
2 "Sitting" -0.99569824
2 "Sitting" -0.98596458
2 "Sitting" -0.92059907
2 "Sitting" -0.97331245
2 "Sitting" -0.97995806
2 "Sitting" -0.99643688
2 "Sitting" -0.9958286
2 "Sitting" -0.99849359
2 "Sitting" -0.99877324
2 "Sitting" -0.99839641
2 "Sitting" -0.99752067
2 "Sitting" -0.9991234
2 "Sitting" -0.99655084
2 "Sitting" -0.91588882
2 "Sitting" -0.98715361
2 "Sitting" -0.9978594
2 "Sitting" -0.99880443
2 "Sitting" -0.9986425
2 "Sitting" -0.99807313
2 "Sitting" -0.99800091
2 "Sitting" -0.99758621
2 "Sitting" -0.99477847
2 "Sitting" -0.99666575
2 "Sitting" -0.98871833
2 "Sitting" -0.99390734
2 "Standing" -0.97442821
2 "Standing" -0.99215769
2 "Standing" -0.99692667
2 "Standing" -0.998006
2 "Standing" -0.99939896
2 "Standing" -0.99952115
2 "Standing" -0.99888949
2 "Standing" -0.99595146
2 "Standing" -0.99854623
2 "Standing" -0.99865366
2 "Standing" -0.99902145
2 "Standing" -0.99838027
2 "Standing" -0.99757762
2 "Standing" -0.91948606
2 "Standing" -0.9759878
2 "Standing" -0.99583498
2 "Standing" -0.99880018
2 "Standing" -0.9997964
2 "Standing" -0.99902909
2 "Standing" -0.99904087
2 "Standing" -0.99671867
2 "Standing" -0.99667264
2 "Standing" -0.99949096
2 "Standing" -0.99947294
2 "Standing" -0.95040369
2 "Standing" -0.93747354
2 "Standing" -0.98337943
2 "Standing" -0.9947098
2 "Standing" -0.993173
2 "Standing" -0.99486005
2 "Standing" -0.99744766
2 "Standing" -0.99823463
2 "Standing" -0.99765618
2 "Standing" -0.99575256
2 "Standing" -0.98642422
2 "Standing" -0.54719065
2 "Standing" -0.92870521
2 "Standing" -0.98586939
2 "Standing" -0.99000219
2 "Standing" -0.98604783
2 "Standing" -0.9982886
2 "Standing" -0.99806471
2 "Standing" -0.99724502
2 "Standing" -0.99549282
2 "Standing" -0.99874626
2 "Standing" -0.99652611
2 "Walking" -0.95363666
2 "Walking" -0.96968371
2 "Walking" -0.96114454
2 "Walking" -0.97876714
2 "Walking" -0.97055292
2 "Walking" -0.96842823
2 "Walking" -0.94250381
2 "Walking" -0.95464413
2 "Walking" -0.98140199
2 "Walking" -0.98668843
2 "Walking" -0.98636166
2 "Walking" -0.96381026
2 "Walking" -0.96068388
2 "Walking" -0.93400525
2 "Walking" -0.98483097
2 "Walking" -0.95274418
2 "Walking" -0.96241083
2 "Walking" -0.97895151
2 "Walking" -0.98999824
2 "Walking" -0.9873086
