"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.25131373
1 "Lying" 0.019408991
1 "Lying" -0.18783283
1 "Lying" -0.031237388
1 "Lying" 0.057308621
1 "Lying" -0.07167908
1 "Lying" -0.10841023
1 "Lying" 0.024945515
1 "Lying" -0.051364175
1 "Lying" -0.11773573
1 "Lying" -0.063304191
1 "Lying" 0.21798428
1 "Lying" 0.15693452
1 "Lying" 0.060712407
1 "Lying" -0.27958346
1 "Lying" -0.20679149
1 "Lying" -0.21102907
1 "Lying" -0.3073666
1 "Lying" -0.54616928
1 "Lying" -0.18403795
1 "Lying" -0.066560942
1 "Lying" -0.1255339
1 "Lying" 0.14046546
1 "Lying" 0.13016882
1 "Lying" -0.0022330096
1 "Lying" 0.12791331
1 "Lying" -0.05090043
1 "Lying" 0.072712822
1 "Lying" -0.10974465
1 "Lying" 0.049120527
1 "Lying" 0.055887951
1 "Lying" 0.16555326
1 "Lying" 0.083606518
1 "Lying" 0.20469114
1 "Lying" 0.13648666
1 "Lying" 0.003090053
1 "Lying" -0.03043552
1 "Lying" -0.00072757227
1 "Lying" 0.03414255
1 "Lying" -0.054757953
1 "Lying" -0.22420297
1 "Lying" 0.064401713
1 "Lying" -0.085330328
1 "Lying" -0.070949207
1 "Lying" -0.013918317
1 "Lying" 0.032450558
1 "Lying" 0.24865162
1 "Lying" 0.10033318
1 "Lying" 0.11936236
1 "Lying" -0.46972029
1 "Sitting" 0.35990976
1 "Sitting" 0.28421321
1 "Sitting" 0.33720151
1 "Sitting" 0.19820403
1 "Sitting" 0.19116085
1 "Sitting" 0.1587515
1 "Sitting" 0.22645671
1 "Sitting" 0.34686658
1 "Sitting" 0.26692921
1 "Sitting" 0.037914663
1 "Sitting" 0.17812281
1 "Sitting" 0.37100591
1 "Sitting" 0.048849273
1 "Sitting" 0.26507977
1 "Sitting" 0.19031876
1 "Sitting" 0.14497072
1 "Sitting" 0.10950497
1 "Sitting" 0.20566682
1 "Sitting" -0.018095622
1 "Sitting" -0.074247996
1 "Sitting" 0.17636191
1 "Sitting" 0.28219017
1 "Sitting" 0.12110291
1 "Sitting" -0.027520221
1 "Sitting" -0.029310417
1 "Sitting" 0.2887614
1 "Sitting" 0.26626062
1 "Sitting" 0.37098236
1 "Sitting" -0.25843957
1 "Sitting" -0.098967671
1 "Sitting" -0.13716327
1 "Sitting" -0.43063995
1 "Sitting" -0.25115137
1 "Sitting" 0.13924679
1 "Sitting" 0.10834758
1 "Sitting" 0.11114543
1 "Sitting" 0.11516818
1 "Sitting" 0.15462002
1 "Sitting" 0.19081504
1 "Sitting" 0.11423476
1 "Sitting" 0.14544398
1 "Sitting" 0.080295249
1 "Sitting" 0.25372415
1 "Sitting" 0.22789145
1 "Sitting" 0.11329043
1 "Sitting" 0.13912643
1 "Sitting" 0.11638275
1 "Sitting" -0.22102126
1 "Sitting" -0.19061364
1 "Sitting" 0.20835211
1 "Sitting" 0.11764811
1 "Sitting" 0.033114035
1 "Sitting" -0.035445164
1 "Standing" 0.073864994
1 "Standing" 0.043629598
1 "Standing" 0.1435188
1 "Standing" -0.045386022
1 "Standing" -0.030774429
1 "Standing" 0.017569638
1 "Standing" -0.054590187
1 "Standing" -0.10353864
1 "Standing" -0.076110358
1 "Standing" 0.28867503
1 "Standing" 0.25544104
1 "Standing" -0.0014469665
1 "Standing" 0.086942735
1 "Standing" -0.040398082
1 "Standing" -0.24531035
1 "Standing" -0.15930194
1 "Standing" -0.17891811
1 "Standing" -0.11168343
1 "Standing" -0.069466124
1 "Standing" -0.15933004
1 "Standing" -0.089250166
1 "Standing" 0.25489082
1 "Standing" 0.22813998
1 "Standing" 0.13587269
1 "Standing" 0.27917008
1 "Standing" 0.16368671
1 "Standing" 0.022309018
1 "Standing" -0.14409186
1 "Standing" -0.09225744
1 "Standing" 0.1836056
1 "Standing" 0.22305726
1 "Standing" 0.10280113
1 "Standing" 0.066120567
1 "Standing" -0.037397424
1 "Standing" 0.059914151
1 "Standing" -0.19950896
1 "Standing" 0.12527829
1 "Standing" 0.16445452
1 "Standing" 0.30185722
1 "Standing" 0.16515648
1 "Standing" 0.0023972481
1 "Standing" 0.14072974
1 "Standing" 0.15567395
1 "Standing" 0.040871374
1 "Standing" 0.074366785
1 "Standing" 0.06975674
1 "Standing" -0.10212779
1 "Walking" -0.55777019
1 "Walking" -0.36951624
1 "Walking" -0.28801918
1 "Walking" -0.56300755
1 "Walking" -0.7615061
1 "Walking" -0.5756523
1 "Walking" -0.62827432
1 "Walking" -0.59506333
1 "Walking" 0.18395289
1 "Walking" -0.018028955
1 "Walking" -0.28660691
1 "Walking" -0.5289866
1 "Walking" -0.59513372
1 "Walking" -0.36567105
1 "Walking" 0.025768637
1 "Walking" 0.14567728
1 "Walking" -0.15195262
1 "Walking" -0.30726011
1 "Walking" 0.069717608
1 "Walking" 0.05979812
1 "Walking" 0.023418298
1 "Walking" 0.21286681
1 "Walking" 0.094814216
1 "Walking" 0.13031347
1 "Walking" -0.18136004
1 "Walking" -0.51571404
1 "Walking" -0.37003445
1 "Walking" -0.32107425
1 "Walking" -0.20839216
1 "Walking" 0.10247807
1 "Walking" 0.21163093
1 "Walking" 0.15972287
1 "Walking" 0.074237982
1 "Walking" -0.29647172
1 "Walking" -0.13471438
1 "Walking" -0.30950936
1 "Walking" -0.53395044
1 "Walking" -0.35867241
1 "Walking" -0.36146289
1 "Walking" -0.47836047
1 "Walking" -0.16789909
1 "Walking" -0.17989006
1 "Walking" -0.037652155
1 "Walking" 0.068942181
1 "Walking" -0.099724507
1 "Walking" -0.17961773
1 "Walking" -0.30419543
1 "Walking" 0.067818383
1 "Walking" 0.25198585
1 "Walking" 0.2191504
