"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.20727159
1 "Lying" -0.19533685
1 "Lying" -0.11638396
1 "Lying" -0.19576713
1 "Lying" -0.23988456
1 "Lying" -0.15722226
1 "Lying" -0.17083576
1 "Lying" -0.18355581
1 "Lying" -0.17555234
1 "Lying" -0.12476879
1 "Lying" -0.086543251
1 "Lying" -0.083041791
1 "Lying" -0.15954431
1 "Lying" -0.15505311
1 "Lying" -0.053571005
1 "Lying" 0.19790926
1 "Lying" 0.21779969
1 "Lying" 0.49165941
1 "Lying" 0.10271101
1 "Lying" -0.25907392
1 "Lying" -0.26897443
1 "Lying" -0.017100666
1 "Lying" 0.1849106
1 "Lying" -0.042841035
1 "Lying" -0.22666771
1 "Lying" -0.20095301
1 "Lying" -0.13829425
1 "Lying" 0.50105574
1 "Lying" 0.060029956
1 "Lying" -0.14935996
1 "Lying" -0.086316511
1 "Lying" -0.099886016
1 "Lying" -0.26638817
1 "Lying" -0.26248828
1 "Lying" -0.15973571
1 "Lying" -0.10755275
1 "Lying" 0.0045375311
1 "Lying" -0.028340746
1 "Lying" -0.26737165
1 "Lying" -0.25748519
1 "Lying" -0.7962952
1 "Lying" -0.18862366
1 "Lying" -0.26084199
1 "Lying" -0.24333562
1 "Lying" -0.14501802
1 "Lying" -0.038860219
1 "Lying" -0.05208906
1 "Lying" -0.14693894
1 "Lying" -0.16512843
1 "Lying" -0.21077527
1 "Sitting" -0.22484763
1 "Sitting" -0.090962529
1 "Sitting" -0.074506933
1 "Sitting" -0.15531983
1 "Sitting" -0.27250466
1 "Sitting" -0.24322958
1 "Sitting" -0.076438542
1 "Sitting" -0.13234852
1 "Sitting" -0.18336174
1 "Sitting" 0.054283163
1 "Sitting" 0.13603355
1 "Sitting" -0.12935302
1 "Sitting" -0.17940914
1 "Sitting" -0.24061545
1 "Sitting" 0.2793659
1 "Sitting" -0.19285001
1 "Sitting" -0.4080555
1 "Sitting" -0.22658795
1 "Sitting" -0.11428477
1 "Sitting" -0.20414878
1 "Sitting" -0.2519759
1 "Sitting" -0.17642482
1 "Sitting" -0.1410933
1 "Sitting" -0.11538474
1 "Sitting" -0.098318885
1 "Sitting" -0.18190834
1 "Sitting" -0.27094132
1 "Sitting" -0.40287599
1 "Sitting" -0.23573538
1 "Sitting" -0.23515273
1 "Sitting" -0.060270095
1 "Sitting" -0.028210372
1 "Sitting" -0.068715166
1 "Sitting" -0.17850788
1 "Sitting" -0.24377722
1 "Sitting" 0.06549012
1 "Sitting" 0.03347712
1 "Sitting" -0.07820078
1 "Sitting" -0.13174145
1 "Sitting" -0.18784885
1 "Sitting" -0.1685213
1 "Sitting" 0.0088485879
1 "Sitting" -0.066585283
1 "Sitting" -0.19903546
1 "Sitting" -0.13617063
1 "Sitting" -0.18779337
1 "Sitting" -0.23862369
