"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.028778928
1 "Lying" -0.03307527
1 "Lying" 0.15911675
1 "Lying" 0.326161
1 "Lying" 0.01621455
1 "Lying" 0.074502822
1 "Lying" 0.21030042
1 "Lying" 0.14805915
1 "Lying" 0.10150701
1 "Lying" 0.16787134
1 "Lying" 0.17708559
1 "Lying" 0.11985207
1 "Lying" 0.13442842
1 "Lying" 0.1824384
1 "Lying" 0.083169348
1 "Lying" -0.70426063
1 "Lying" -0.68095669
1 "Lying" -0.21616925
1 "Lying" -0.10179704
1 "Lying" 0.67136444
1 "Lying" 0.68079386
1 "Lying" 0.080900907
1 "Lying" 0.2341724
1 "Lying" 0.41133447
1 "Lying" 0.10976763
1 "Lying" 0.30135788
1 "Lying" 0.31870827
1 "Lying" 0.14416439
1 "Lying" 0.096948819
1 "Lying" 0.016771678
1 "Lying" -0.1112677
1 "Lying" -0.13534452
1 "Lying" 0.055870554
1 "Lying" 0.097459566
1 "Lying" 0.10164735
1 "Lying" 0.17450434
1 "Lying" 0.30326254
1 "Lying" 0.34255984
1 "Lying" 0.31039801
1 "Lying" 0.093826223
1 "Lying" 0.3489116
1 "Lying" -0.096429664
1 "Lying" -0.16047573
1 "Lying" 0.085815309
1 "Lying" 0.29843354
1 "Lying" 0.19711841
1 "Lying" 0.03972798
1 "Lying" -0.10696076
1 "Lying" -0.13065461
1 "Lying" -0.38314042
1 "Sitting" 0.49193596
1 "Sitting" -0.016656535
1 "Sitting" 0.17386318
1 "Sitting" 0.48214783
1 "Sitting" 0.17941419
1 "Sitting" 0.16513807
1 "Sitting" 0.31920436
1 "Sitting" 0.37236909
1 "Sitting" 0.21675798
1 "Sitting" -0.18492998
1 "Sitting" 0.081957156
1 "Sitting" 0.35594639
1 "Sitting" -0.070439343
1 "Sitting" -0.039835807
1 "Sitting" -0.046471172
1 "Sitting" 0.17672842
1 "Sitting" 0.075729287
1 "Sitting" 0.076415062
1 "Sitting" 0.41730391
1 "Sitting" 0.40217759
1 "Sitting" 0.035136329
