"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.59333676
1 "Lying" 0.59620994
1 "Lying" 0.025079885
1 "Lying" 0.19671526
1 "Lying" -0.039538395
1 "Lying" -0.1881217
1 "Lying" -0.2156226
1 "Lying" -0.13807081
1 "Lying" -0.067777188
1 "Lying" 0.024140657
1 "Lying" 0.026906096
1 "Lying" 0.14876096
1 "Lying" -0.048235241
1 "Lying" -0.89843209
1 "Lying" 0.029594521
1 "Lying" -0.72107513
1 "Lying" -0.73362882
1 "Lying" -0.9356094
1 "Lying" -0.72395035
1 "Lying" -0.51592157
1 "Lying" -0.36069728
1 "Lying" -0.5381249
1 "Lying" -0.47605784
1 "Lying" -0.063106844
1 "Lying" -0.15929713
1 "Lying" 0.0072197632
1 "Lying" -0.051271521
1 "Lying" 0.10732662
1 "Lying" 0.81265708
1 "Lying" 0.16693769
1 "Lying" 0.16770017
1 "Lying" -0.11189856
1 "Lying" -0.11062285
1 "Lying" -0.00089338266
1 "Lying" -0.15784225
1 "Lying" -0.19452202
1 "Lying" -0.078457196
1 "Lying" -0.25630591
1 "Lying" -0.32689472
1 "Lying" -0.042354023
1 "Lying" 0.83220742
1 "Lying" 0.63971632
1 "Lying" 0.71056161
1 "Lying" 0.47410505
1 "Lying" 0.67435458
1 "Lying" 0.32935625
1 "Lying" -0.28351461
1 "Lying" 0.84469144
1 "Lying" 0.8038387
1 "Lying" 0.94684088
1 "Sitting" 0.43512919
1 "Sitting" -0.07269189
1 "Sitting" -0.18110479
1 "Sitting" -0.36265405
1 "Sitting" -0.18976271
1 "Sitting" -0.15106365
1 "Sitting" -0.13572875
1 "Sitting" -0.017120153
1 "Sitting" -0.033767493
1 "Sitting" -0.44765092
1 "Sitting" -0.35591621
1 "Sitting" -0.11897109
1 "Sitting" -0.15630495
1 "Sitting" -0.14385258
1 "Sitting" 0.73765624
1 "Sitting" 0.23799944
1 "Sitting" 0.12711242
1 "Sitting" -0.097573537
1 "Sitting" -0.045007306
1 "Sitting" 0.074452759
1 "Sitting" -0.039385653
1 "Sitting" 0.10881227
1 "Sitting" 0.084406452
1 "Sitting" -0.039424574
1 "Sitting" -0.04662344
1 "Sitting" 0.27857064
1 "Sitting" 0.079348194
1 "Sitting" -0.80934847
1 "Sitting" -0.41019952
1 "Sitting" -0.33483034
1 "Sitting" -0.17715013
1 "Sitting" -0.30368516
1 "Sitting" -0.29892543
1 "Sitting" 0.23099888
1 "Sitting" 0.010926587
1 "Sitting" 0.0075395044
1 "Sitting" -0.059002592
1 "Sitting" 0.096347781
1 "Sitting" 0.067855815
1 "Sitting" -0.072539137
1 "Sitting" -0.4186411
1 "Sitting" 0.72554076
1 "Sitting" 0.68294831
1 "Sitting" 0.2169896
1 "Sitting" -0.10513504
1 "Sitting" 0.19178044
1 "Sitting" 0.33342711
1 "Sitting" 0.25561326
1 "Sitting" 0.22365418
1 "Sitting" -0.13318484
1 "Sitting" 0.10351284
1 "Sitting" 0.2153383
1 "Sitting" -0.056652511
1 "Standing" -0.9503355
1 "Standing" -0.29980838
1 "Standing" -0.71400919
1 "Standing" -0.85798787
1 "Standing" -0.90890877
1 "Standing" -0.94168963
1 "Standing" -0.70601421
1 "Standing" -0.9112514
1 "Standing" -0.46792899
1 "Standing" -0.25641868
1 "Standing" -0.56464246
1 "Standing" 0.58572318
1 "Standing" -0.022209594
1 "Standing" -0.27920034
1 "Standing" -0.33381329
1 "Standing" 0.10808804
1 "Standing" 0.1242124
1 "Standing" -0.24410899
1 "Standing" -0.10436115
1 "Standing" 0.10167474
1 "Standing" -0.26627541
1 "Standing" -0.20605938
1 "Standing" -0.26334368
1 "Standing" -0.35185773
1 "Standing" -0.13915292
1 "Standing" -0.62288001
1 "Standing" 0.27216244
1 "Standing" 0.085888815
1 "Standing" 0.10964982
1 "Standing" 0.084487443
1 "Standing" 0.051201463
1 "Standing" -0.024215528
1 "Standing" -0.064980257
1 "Standing" 0.11271928
1 "Standing" 0.24538379
1 "Standing" -0.79786839
1 "Standing" 0.25157617
1 "Standing" -0.12896766
1 "Standing" -0.073892365
1 "Standing" 0.20694742
1 "Standing" -0.062396109
1 "Standing" 0.020721632
1 "Standing" -0.10021517
1 "Standing" -0.18361268
1 "Standing" 0.063923546
1 "Standing" -0.034268711
1 "Standing" 0.0021763883
1 "Walking" -0.0092711975
1 "Walking" -0.060091435
1 "Walking" -0.07996828
1 "Walking" -0.15839397
1 "Walking" -0.1841479
1 "Walking" -0.049054
1 "Walking" 0.025252142
1 "Walking" -0.069698133
1 "Walking" -0.033051808
1 "Walking" -0.067470749
1 "Walking" -0.061249311
1 "Walking" -0.16140847
1 "Walking" -0.26045834
