"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99548334
1 "Lying" -0.99977161
1 "Lying" -0.99996422
1 "Lying" -0.9999914
1 "Lying" -0.99999111
1 "Lying" -0.99999255
1 "Lying" -0.9999898
1 "Lying" -0.99999226
1 "Lying" -0.99999114
1 "Lying" -0.99997926
1 "Lying" -0.9999933
1 "Lying" -0.99999811
1 "Lying" -0.99999225
1 "Lying" -0.92606641
1 "Lying" -0.99867751
1 "Lying" -0.90901427
1 "Lying" -0.91005876
1 "Lying" -0.9741029
1 "Lying" -0.96139375
1 "Lying" -0.90670598
1 "Lying" -0.90642042
1 "Lying" -0.9972527
1 "Lying" -0.9996427
1 "Lying" -0.99990369
1 "Lying" -0.99997908
1 "Lying" -0.99997028
1 "Lying" -0.99997673
1 "Lying" -0.99896857
1 "Lying" -0.99913981
1 "Lying" -0.99998104
1 "Lying" -0.99998227
1 "Lying" -0.99998607
1 "Lying" -0.99998124
1 "Lying" -0.99998766
1 "Lying" -0.99999783
1 "Lying" -0.99999359
1 "Lying" -0.99998693
1 "Lying" -0.99997341
1 "Lying" -0.99998441
1 "Lying" -0.93673081
1 "Lying" -0.95254649
1 "Lying" -0.99874094
1 "Lying" -0.99880275
1 "Lying" -0.99972175
1 "Lying" -0.99973159
1 "Lying" -0.99983393
1 "Lying" -0.99991677
1 "Lying" -0.99914164
1 "Lying" -0.99846637
1 "Lying" -0.99832121
1 "Sitting" -0.99996279
1 "Sitting" -0.99999619
1 "Sitting" -0.99998945
1 "Sitting" -0.9999886
1 "Sitting" -0.99999401
1 "Sitting" -0.99999034
1 "Sitting" -0.99999107
1 "Sitting" -0.99998527
1 "Sitting" -0.99998535
1 "Sitting" -0.99998294
1 "Sitting" -0.9999788
1 "Sitting" -0.99999005
1 "Sitting" -0.99999322
1 "Sitting" -0.99999893
1 "Sitting" -0.99988407
1 "Sitting" -0.99998522
1 "Sitting" -0.99998484
1 "Sitting" -0.9999941
1 "Sitting" -0.9999875
1 "Sitting" -0.9999928
1 "Sitting" -0.99999541
1 "Sitting" -0.9999918
1 "Sitting" -0.9999904
1 "Sitting" -0.99999201
1 "Sitting" -0.99999645
1 "Sitting" -0.99999483
1 "Sitting" -0.99999801
1 "Sitting" -0.99939353
1 "Sitting" -0.99997271
1 "Sitting" -0.99997435
1 "Sitting" -0.99996274
1 "Sitting" -0.99990375
1 "Sitting" -0.99996217
1 "Sitting" -0.99997645
1 "Sitting" -0.99998722
1 "Sitting" -0.99999376
1 "Sitting" -0.99999371
1 "Sitting" -0.99999252
1 "Sitting" -0.99998992
1 "Sitting" -0.99997911
1 "Sitting" -0.99998139
1 "Sitting" -0.99924622
1 "Sitting" -0.99995689
1 "Sitting" -0.99999456
1 "Sitting" -0.99999177
1 "Sitting" -0.9999913
1 "Sitting" -0.99999527
1 "Sitting" -0.9999926
1 "Sitting" -0.99998899
1 "Sitting" -0.9999924
1 "Sitting" -0.99998718
1 "Sitting" -0.99998632
1 "Sitting" -0.99999108
1 "Standing" -0.99353977
1 "Standing" -0.99972524
1 "Standing" -0.9999363
1 "Standing" -0.97956498
1 "Standing" -0.96181253
1 "Standing" -0.97505203
1 "Standing" -0.99848484
1 "Standing" -0.99953761
1 "Standing" -0.99993791
1 "Standing" -0.99997069
1 "Standing" -0.99997111
1 "Standing" -0.99965722
1 "Standing" -0.99992054
1 "Standing" -0.99998078
1 "Standing" -0.99996966
1 "Standing" -0.99997375
1 "Standing" -0.99995817
1 "Standing" -0.99996393
1 "Standing" -0.99998786
1 "Standing" -0.99998969
1 "Standing" -0.99998515
1 "Standing" -0.99998138
1 "Standing" -0.99997837
1 "Standing" -0.99998529
1 "Standing" -0.99814022
1 "Standing" -0.99987387
1 "Standing" -0.99998437
1 "Standing" -0.9999915
1 "Standing" -0.9999892
1 "Standing" -0.99999206
1 "Standing" -0.99998862
1 "Standing" -0.99999079
1 "Standing" -0.99998707
1 "Standing" -0.99997967
1 "Standing" -0.99998216
1 "Standing" -0.99823942
1 "Standing" -0.99996762
1 "Standing" -0.99998963
1 "Standing" -0.9999975
1 "Standing" -0.99999578
1 "Standing" -0.9999819
1 "Standing" -0.99997734
1 "Standing" -0.9999823
1 "Standing" -0.99998722
1 "Standing" -0.99998844
1 "Standing" -0.99999031
1 "Standing" -0.99997361
1 "Walking" -0.84374996
1 "Walking" -0.75583508
1 "Walking" -0.75580311
1 "Walking" -0.73322062
1 "Walking" -0.70461379
1 "Walking" -0.65736226
1 "Walking" -0.72443601
1 "Walking" -0.796629
