"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99589071
1 "Lying" -0.99991652
1 "Lying" -0.99993624
1 "Lying" -0.9999695
1 "Lying" -0.99998279
1 "Lying" -0.99996864
1 "Lying" -0.99991956
1 "Lying" -0.9999234
1 "Lying" -0.99988396
1 "Lying" -0.99989712
1 "Lying" -0.99994848
1 "Lying" -0.99995896
1 "Lying" -0.99993934
1 "Lying" -0.99731529
1 "Lying" -0.99992441
1 "Lying" -0.93005376
1 "Lying" -0.92176545
1 "Lying" -0.99571101
1 "Lying" -0.98445238
1 "Lying" -0.81802387
1 "Lying" -0.76300604
1 "Lying" -0.9766722
1 "Lying" -0.99391026
1 "Lying" -0.99946611
1 "Lying" -0.99996131
1 "Lying" -0.99995531
1 "Lying" -0.99993245
1 "Lying" -0.99924701
1 "Lying" -0.99982095
1 "Lying" -0.99991689
1 "Lying" -0.99988553
1 "Lying" -0.99991829
1 "Lying" -0.99995449
1 "Lying" -0.99993474
1 "Lying" -0.9999009
1 "Lying" -0.99990924
1 "Lying" -0.99993585
1 "Lying" -0.99996459
1 "Lying" -0.99996006
1 "Lying" -0.93974319
1 "Lying" -0.99430069
1 "Lying" -0.99976603
1 "Lying" -0.9998863
1 "Lying" -0.99983631
1 "Lying" -0.99984619
1 "Lying" -0.99987368
1 "Lying" -0.99992942
1 "Lying" -0.99980542
1 "Lying" -0.99993975
1 "Lying" -0.99974742
1 "Sitting" -0.99986046
1 "Sitting" -0.99981329
1 "Sitting" -0.99971528
1 "Sitting" -0.9997498
1 "Sitting" -0.99985973
1 "Sitting" -0.99992713
1 "Sitting" -0.99964844
1 "Sitting" -0.99976643
1 "Sitting" -0.99972041
1 "Sitting" -0.99943907
1 "Sitting" -0.99959235
1 "Sitting" -0.99988557
1 "Sitting" -0.99995774
1 "Sitting" -0.99994614
1 "Sitting" -0.9991087
1 "Sitting" -0.9999764
1 "Sitting" -0.99992876
1 "Sitting" -0.99990834
1 "Sitting" -0.99993957
1 "Sitting" -0.99993738
1 "Sitting" -0.99990487
1 "Sitting" -0.99988763
1 "Sitting" -0.99989689
1 "Sitting" -0.99992464
1 "Sitting" -0.99989027
1 "Sitting" -0.99993902
1 "Sitting" -0.9999512
1 "Sitting" -0.99975931
1 "Sitting" -0.99975694
1 "Sitting" -0.99971778
1 "Sitting" -0.99869712
1 "Sitting" -0.99897774
1 "Sitting" -0.99979314
1 "Sitting" -0.99986129
1 "Sitting" -0.99994569
1 "Sitting" -0.99952223
1 "Sitting" -0.99948002
1 "Sitting" -0.99986537
1 "Sitting" -0.9998794
1 "Sitting" -0.99988561
1 "Sitting" -0.99984852
1 "Sitting" -0.99911874
1 "Sitting" -0.9997614
1 "Sitting" -0.99991197
1 "Sitting" -0.99989796
1 "Sitting" -0.99991629
1 "Sitting" -0.99995471
1 "Sitting" -0.99992529
1 "Sitting" -0.99996589
1 "Sitting" -0.99991146
1 "Sitting" -0.99984692
1 "Sitting" -0.9999134
1 "Sitting" -0.99998738
1 "Standing" -0.98127681
1 "Standing" -0.99964439
1 "Standing" -0.99977279
1 "Standing" -0.98747175
1 "Standing" -0.98691949
1 "Standing" -0.99773175
1 "Standing" -0.99937601
1 "Standing" -0.9999338
1 "Standing" -0.9999686
1 "Standing" -0.99995056
1 "Standing" -0.9998999
1 "Standing" -0.99870505
1 "Standing" -0.99985212
1 "Standing" -0.99997035
1 "Standing" -0.99994202
1 "Standing" -0.99997587
1 "Standing" -0.99994807
1 "Standing" -0.99994691
1 "Standing" -0.99996332
1 "Standing" -0.9999395
1 "Standing" -0.9999392
1 "Standing" -0.99996318
1 "Standing" -0.99996229
1 "Standing" -0.99993546
1 "Standing" -0.99333865
1 "Standing" -0.99963656
1 "Standing" -0.99989758
1 "Standing" -0.99991877
1 "Standing" -0.999961
1 "Standing" -0.99996458
1 "Standing" -0.99995394
1 "Standing" -0.99997657
1 "Standing" -0.99996075
1 "Standing" -0.99991842
1 "Standing" -0.99992002
1 "Standing" -0.99942101
