"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.37021255
1 "Lying" 0.11731128
1 "Lying" 0.24788652
1 "Lying" 0.12492147
1 "Lying" 0.078508991
1 "Lying" 0.090396116
1 "Lying" 0.15429871
1 "Lying" 0.15691799
1 "Lying" 0.2104984
1 "Lying" 0.32617223
1 "Lying" 0.18519719
1 "Lying" 0.043464264
1 "Lying" 0.11905893
1 "Lying" -0.15572983
1 "Lying" 0.38090077
1 "Lying" 0.24029774
1 "Lying" 0.21814848
1 "Lying" 0.15468607
1 "Lying" 0.43727858
1 "Lying" 0.3021674
1 "Lying" 0.2461536
1 "Lying" 0.27893949
1 "Lying" 0.23781635
1 "Lying" 0.33100309
1 "Lying" 0.22723254
1 "Lying" 0.13797324
1 "Lying" 0.23545545
1 "Lying" 0.12984717
1 "Lying" 0.20477227
1 "Lying" 0.19892518
1 "Lying" 0.29696792
1 "Lying" 0.14774693
1 "Lying" 0.058184051
1 "Lying" 0.017957462
1 "Lying" 0.12074975
1 "Lying" 0.22334811
1 "Lying" 0.13207285
1 "Lying" 0.12569917
1 "Lying" 0.13399079
1 "Lying" 0.1882965
1 "Lying" 0.022965739
1 "Lying" 0.13987956
1 "Lying" 0.085393331
1 "Lying" 0.25241555
1 "Lying" 0.34719475
1 "Lying" 0.315147
1 "Lying" 0.085646305
1 "Lying" -0.041400552
1 "Lying" -0.16326507
1 "Lying" 0.38130385
1 "Sitting" -0.22074703
1 "Sitting" 0.070997076
1 "Sitting" 0.18839474
1 "Sitting" 0.27641881
1 "Sitting" 0.13491152
1 "Sitting" 0.10044972
1 "Sitting" 0.031070108
1 "Sitting" -0.017295796
1 "Sitting" 0.077238687
1 "Sitting" 0.12155186
1 "Sitting" -0.011399238
1 "Sitting" -0.10532069
1 "Sitting" 0.25079139
1 "Sitting" 0.19259041
1 "Sitting" 0.14102898
1 "Sitting" 0.12558462
1 "Sitting" 0.18592195
1 "Sitting" 0.14295787
1 "Sitting" 0.14668895
1 "Sitting" 0.12806465
1 "Sitting" 0.033009318
1 "Sitting" 0.11765365
1 "Sitting" 0.20167112
1 "Sitting" 0.25044285
1 "Sitting" 0.25629164
1 "Sitting" 0.13446174
1 "Sitting" 0.24644205
1 "Sitting" -0.21335353
1 "Sitting" 0.37724699
1 "Sitting" 0.21113703
1 "Sitting" 0.23228539
1 "Sitting" 0.40103065
1 "Sitting" 0.40382431
1 "Sitting" 0.35192191
1 "Sitting" 0.19782847
1 "Sitting" 0.27243819
1 "Sitting" 0.23148616
1 "Sitting" 0.11555063
1 "Sitting" 0.072473958
1 "Sitting" 0.07502358
1 "Sitting" 0.20949805
1 "Sitting" 0.030410259
