"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.092176186
1 "Lying" 0.1649411
1 "Lying" -0.056355264
1 "Lying" -0.09451834
1 "Lying" 0.19517109
1 "Lying" 0.089001259
1 "Lying" -0.060558795
1 "Lying" -0.097567312
1 "Lying" -0.058316226
1 "Lying" -0.039583095
1 "Lying" -0.0015495684
1 "Lying" 0.072924952
1 "Lying" 0.16158795
1 "Lying" -0.23278676
1 "Lying" 0.093601545
1 "Lying" 0.40855891
1 "Lying" 0.36387515
1 "Lying" -0.12269661
1 "Lying" 0.00286287
1 "Lying" -0.78278229
1 "Lying" -0.79906863
1 "Lying" 0.042768558
1 "Lying" -0.034376868
1 "Lying" -0.054174817
1 "Lying" 0.056124257
1 "Lying" 0.048974172
1 "Lying" 0.048476494
1 "Lying" -0.019704237
1 "Lying" 0.030857253
1 "Lying" 0.13324567
1 "Lying" 0.28125726
1 "Lying" 0.28218485
1 "Lying" 0.066433475
1 "Lying" 0.16576968
1 "Lying" 0.19130029
1 "Lying" 0.17489618
1 "Lying" 0.098415098
1 "Lying" 0.060492682
1 "Lying" -0.029377409
1 "Lying" -0.17237156
1 "Lying" -0.28184934
1 "Lying" -0.23382947
1 "Lying" -0.20464261
1 "Lying" -0.43062478
1 "Lying" -0.3551207
1 "Lying" -0.086260212
1 "Lying" 0.036029557
1 "Lying" -0.15066398
1 "Lying" -0.17274916
1 "Lying" 0.14263269
1 "Sitting" -0.56979119
1 "Sitting" 0.18061304
1 "Sitting" 0.07002964
1 "Sitting" -0.18703248
1 "Sitting" -0.030309087
1 "Sitting" 0.043385337
1 "Sitting" 0.15541974
1 "Sitting" 0.16937353
1 "Sitting" -0.018772526
1 "Sitting" 0.18472239
1 "Sitting" 0.053048033
1 "Sitting" 0.011049791
1 "Sitting" 0.25156192
1 "Sitting" 0.27630885
1 "Sitting" 0.12300733
1 "Sitting" -0.058505796
1 "Sitting" -0.043595976
1 "Sitting" 0.19448323
1 "Sitting" -0.056543124
1 "Sitting" -0.14892333
1 "Sitting" 0.13240563
1 "Sitting" 0.18338942
1 "Sitting" 0.07414412
1 "Sitting" 0.015136761
1 "Sitting" 0.12173756
1 "Sitting" 0.25659891
1 "Sitting" 0.19724561
1 "Sitting" -0.39078355
1 "Sitting" -0.041217719
1 "Sitting" 0.18630537
1 "Sitting" 0.2023316
1 "Sitting" 0.03612216
1 "Sitting" -0.056134592
1 "Sitting" -0.018239928
1 "Sitting" -0.065185446
1 "Sitting" 0.12517017
1 "Sitting" 0.17316522
1 "Sitting" 0.28526583
1 "Sitting" 0.67752241
1 "Sitting" 0.069383937
1 "Sitting" -0.010602281
1 "Sitting" 0.13891181
1 "Sitting" 0.13670387
1 "Sitting" 0.048961859
1 "Sitting" 0.096751307
1 "Sitting" 0.18507903
1 "Sitting" -0.1109629
1 "Sitting" -0.15498765
1 "Sitting" -0.063825287
1 "Sitting" -0.15120764
1 "Sitting" -0.13314886
1 "Sitting" 0.044601335
1 "Sitting" 0.11678067
1 "Standing" -0.38947007
1 "Standing" -0.15203585
1 "Standing" -0.024267349
1 "Standing" 0.095366401
1 "Standing" 0.12184818
1 "Standing" 0.11189279
1 "Standing" 0.0011669182
1 "Standing" -0.11888781
1 "Standing" 0.183135
1 "Standing" 0.35153616
1 "Standing" 0.22211485
1 "Standing" -0.037222516
1 "Standing" -0.008035883
1 "Standing" -0.17483708
1 "Standing" -0.0011492363
1 "Standing" 0.11517809
1 "Standing" -0.06185524
1 "Standing" -0.096574425
1 "Standing" -0.061155888
1 "Standing" -0.063430113
1 "Standing" 0.012985808
1 "Standing" 0.17498496
1 "Standing" 0.11942507
1 "Standing" -0.025992448
1 "Standing" 0.066212142
1 "Standing" 0.32805721
1 "Standing" 0.43068219
1 "Standing" 0.38766519
1 "Standing" 0.14174503
1 "Standing" 0.094047218
1 "Standing" 0.28786023
1 "Standing" 0.18989725
1 "Standing" 0.14385141
