"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.8154065
1 "Lying" 0.028894766
1 "Lying" -0.26925223
1 "Lying" -0.48743486
1 "Lying" -0.24297859
1 "Lying" 0.17386719
1 "Lying" 0.049467893
1 "Lying" -0.29017437
1 "Lying" -0.27514955
1 "Lying" -0.204722
1 "Lying" -0.15776699
1 "Lying" -0.16644074
1 "Lying" -0.19411765
1 "Lying" -0.13171509
1 "Lying" -0.082276665
1 "Lying" 0.53983051
1 "Lying" 0.53197399
1 "Lying" 0.093499711
1 "Lying" 0.098248049
1 "Lying" 0.48513038
1 "Lying" 0.53687527
1 "Lying" 0.29381986
1 "Lying" -0.063109724
1 "Lying" -0.023996426
1 "Lying" -0.095351327
1 "Lying" 0.11763881
1 "Lying" 0.11134977
1 "Lying" -0.09209486
1 "Lying" -0.32121401
1 "Lying" -0.3685348
1 "Lying" -0.19826667
1 "Lying" -0.16519312
1 "Lying" -0.10445324
1 "Lying" -0.14347092
1 "Lying" -0.31129234
1 "Lying" -0.45917081
1 "Lying" -0.40348499
1 "Lying" -0.25618463
1 "Lying" -0.18527911
1 "Lying" 0.18401439
1 "Lying" 0.75553911
1 "Lying" -0.21735102
1 "Lying" -0.079596241
1 "Lying" -0.18483749
1 "Lying" -0.27544045
1 "Lying" -0.22243825
1 "Lying" -0.10724397
1 "Lying" -0.062804654
1 "Lying" 0.034359274
1 "Lying" -0.12975619
1 "Sitting" -0.3853005
1 "Sitting" -0.20877218
1 "Sitting" -0.12010466
1 "Sitting" -0.12749515
1 "Sitting" -0.2728836
1 "Sitting" -0.37461095
1 "Sitting" 0.10814323
1 "Sitting" 0.20993632
1 "Sitting" -0.30146554
1 "Sitting" 0.10666568
1 "Sitting" 0.20517885
1 "Sitting" -0.26258361
1 "Sitting" -0.093111521
1 "Sitting" -0.21812013
1 "Sitting" -0.23541018
1 "Sitting" -0.0025516335
1 "Sitting" -0.097228401
1 "Sitting" -0.098731431
1 "Sitting" 0.031554035
1 "Sitting" -0.053548189
1 "Sitting" -0.15867772
1 "Sitting" -0.13184312
1 "Sitting" -0.20932055
1 "Sitting" -0.16266888
1 "Sitting" -0.12936061
1 "Sitting" -0.10127766
1 "Sitting" -0.092575488
1 "Sitting" -0.029389798
1 "Sitting" -0.24583927
1 "Sitting" -0.14776695
1 "Sitting" 0.10030926
1 "Sitting" 0.14970297
1 "Sitting" -0.080879395
1 "Sitting" -0.21625083
1 "Sitting" 0.040811718
1 "Sitting" -0.11024578
1 "Sitting" -0.045532573
1 "Sitting" 0.052779149
1 "Sitting" 0.055206907
1 "Sitting" 0.13377161
1 "Sitting" 0.16638146
1 "Sitting" -0.18265747
1 "Sitting" -0.061287558
1 "Sitting" -0.088442805
1 "Sitting" -0.069428963
1 "Sitting" -0.24236553
1 "Sitting" -0.20543158
1 "Sitting" 0.13087972
1 "Sitting" -0.024097549
1 "Sitting" -0.15468629
1 "Sitting" -0.06178867
