"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99524677
1 "Lying" -0.99990738
1 "Lying" -0.99994608
1 "Lying" -0.9999736
1 "Lying" -0.99998313
1 "Lying" -0.99998105
1 "Lying" -0.99991227
1 "Lying" -0.99992637
1 "Lying" -0.99990247
1 "Lying" -0.99989503
1 "Lying" -0.99995987
1 "Lying" -0.99995544
1 "Lying" -0.99995417
1 "Lying" -0.9956783
1 "Lying" -0.99983888
1 "Lying" -0.90697245
1 "Lying" -0.90333538
1 "Lying" -0.99595676
1 "Lying" -0.98470165
1 "Lying" -0.7139317
1 "Lying" -0.72429585
1 "Lying" -0.99092614
1 "Lying" -0.99891952
1 "Lying" -0.99977543
1 "Lying" -0.99994928
1 "Lying" -0.99993705
1 "Lying" -0.99991735
1 "Lying" -0.99939757
1 "Lying" -0.9999171
1 "Lying" -0.99993794
1 "Lying" -0.99991949
1 "Lying" -0.99993549
1 "Lying" -0.99995756
1 "Lying" -0.99994158
1 "Lying" -0.99990505
1 "Lying" -0.99991172
1 "Lying" -0.99995954
1 "Lying" -0.99995927
1 "Lying" -0.99995609
1 "Lying" -0.93125224
1 "Lying" -0.99603008
1 "Lying" -0.99972619
1 "Lying" -0.99985241
1 "Lying" -0.99987791
1 "Lying" -0.99987956
1 "Lying" -0.99988843
1 "Lying" -0.99993096
1 "Lying" -0.99992857
1 "Lying" -0.9999171
1 "Lying" -0.99995936
1 "Sitting" -0.99990021
1 "Sitting" -0.99981738
1 "Sitting" -0.9997323
1 "Sitting" -0.99979758
1 "Sitting" -0.99987817
1 "Sitting" -0.99993086
1 "Sitting" -0.99982134
1 "Sitting" -0.99978973
1 "Sitting" -0.99977181
1 "Sitting" -0.99950835
1 "Sitting" -0.99964396
1 "Sitting" -0.99992845
1 "Sitting" -0.99996315
1 "Sitting" -0.99995879
1 "Sitting" -0.99976732
1 "Sitting" -0.99995545
1 "Sitting" -0.99992045
1 "Sitting" -0.99992006
1 "Sitting" -0.99994061
1 "Sitting" -0.9999274
1 "Sitting" -0.99992988
1 "Sitting" -0.99990908
1 "Sitting" -0.99988954
1 "Sitting" -0.99991831
1 "Sitting" -0.99989675
1 "Sitting" -0.99994259
1 "Sitting" -0.99995517
1 "Sitting" -0.99979203
1 "Sitting" -0.99974735
1 "Sitting" -0.99976941
1 "Sitting" -0.99898721
1 "Sitting" -0.99877922
1 "Sitting" -0.99969967
1 "Sitting" -0.9999007
1 "Sitting" -0.99995538
1 "Sitting" -0.99953215
1 "Sitting" -0.99949706
1 "Sitting" -0.99988289
1 "Sitting" -0.99989823
1 "Sitting" -0.99987308
1 "Sitting" -0.9998782
1 "Sitting" -0.99961692
1 "Sitting" -0.99983758
1 "Sitting" -0.99993146
1 "Sitting" -0.99991573
1 "Sitting" -0.99990227
1 "Sitting" -0.99992234
1 "Sitting" -0.99993831
1 "Sitting" -0.99996535
1 "Sitting" -0.99993081
1 "Sitting" -0.99986193
1 "Sitting" -0.99993601
1 "Sitting" -0.99997641
1 "Standing" -0.99876362
1 "Standing" -0.99980302
1 "Standing" -0.99993939
1 "Standing" -0.98737646
1 "Standing" -0.98498706
1 "Standing" -0.99804526
1 "Standing" -0.99968342
1 "Standing" -0.99996591
1 "Standing" -0.99997103
1 "Standing" -0.99996324
1 "Standing" -0.99991895
1 "Standing" -0.99939524
1 "Standing" -0.99993826
1 "Standing" -0.99996665
1 "Standing" -0.99996324
1 "Standing" -0.99994996
1 "Standing" -0.99995134
1 "Standing" -0.99994223
1 "Standing" -0.99996265
1 "Standing" -0.999955
1 "Standing" -0.99993568
1 "Standing" -0.99996324
1 "Standing" -0.99996139
1 "Standing" -0.99996232
1 "Standing" -0.99889831
1 "Standing" -0.99994484
1 "Standing" -0.99994275
1 "Standing" -0.99994728
1 "Standing" -0.99995991
1 "Standing" -0.99996786
1 "Standing" -0.99997117
1 "Standing" -0.99997729
1 "Standing" -0.99995933
1 "Standing" -0.99992897
1 "Standing" -0.99994379
1 "Standing" -0.99913863
1 "Standing" -0.9998408
1 "Standing" -0.99991704
1 "Standing" -0.99994631
1 "Standing" -0.99993771
1 "Standing" -0.99993874
1 "Standing" -0.99996031
1 "Standing" -0.99998174
1 "Standing" -0.99996342
1 "Standing" -0.9999602
1 "Standing" -0.99997684
1 "Standing" -0.99987001
1 "Walking" -0.62525415
1 "Walking" -0.43457264
1 "Walking" -0.53597022
1 "Walking" -0.39105379
1 "Walking" -0.38963752
1 "Walking" -0.60382466
1 "Walking" -0.40948334
1 "Walking" -0.35445979
1 "Walking" -0.48564719
1 "Walking" -0.34829079
1 "Walking" -0.51093162
1 "Walking" -0.50164386
1 "Walking" -0.3740751
1 "Walking" -0.39829474
1 "Walking" -0.25305587
1 "Walking" -0.31642269
1 "Walking" -0.3933534
1 "Walking" -0.33602352
1 "Walking" -0.32847583
1 "Walking" -0.42151429
1 "Walking" -0.38931815
1 "Walking" -0.49293963
1 "Walking" -0.58123267
1 "Walking" -0.44909811
1 "Walking" -0.31629165
1 "Walking" -0.086048352
1 "Walking" -0.22569871
1 "Walking" -0.48995228
1 "Walking" -0.28028011
1 "Walking" -0.28106274
1 "Walking" -0.31706566
1 "Walking" -0.25705704
1 "Walking" -0.3776005
1 "Walking" -0.45153849
1 "Walking" -0.49551972
1 "Walking" -0.54048536
1 "Walking" -0.4210071
1 "Walking" -0.31187008
1 "Walking" -0.29691584
1 "Walking" -0.35083402
1 "Walking" -0.43554306
1 "Walking" -0.53742135
1 "Walking" -0.55982513
1 "Walking" -0.4455569
1 "Walking" -0.37775136
1 "Walking" -0.3951017
1 "Walking" -0.45287485
1 "Walking" -0.56715601
1 "Walking" -0.53033681
1 "Walking" -0.48943794
1 "Walking" -0.40775553
1 "Walking" -0.44670412
1 "Walking" -0.390524
1 "Walking" -0.27863549
1 "Walking" -0.35647307
1 "Walking" -0.4812594
1 "Walking" -0.29718083
1 "Walking" -0.37501338
1 "Walking" -0.55181861
1 "Walking" -0.48646684
1 "Walking" -0.32375421
1 "Walking" -0.17595457
1 "Walking" -0.3650659
1 "Walking" -0.3517466
1 "Walking" -0.31884188
1 "Walking" -0.29403172
1 "Walking" -0.22060299
1 "Walking" -0.34569044
1 "Walking" -0.34171709
1 "Walking" -0.44752169
1 "Walking" -0.17762679
1 "Walking" -0.084284458
1 "Walking" -0.277051
1 "Walking" -0.44364216
1 "Walking" -0.32784213
1 "Walking" -0.3103815
1 "Walking" -0.25683266
1 "Walking" -0.24981797
1 "Walking" -0.43821376
1 "Walking" -0.42938721
1 "Walking" -0.40395747
1 "Walking" -0.25021103
1 "Walking" -0.17003168
1 "Walking" -0.27044201
1 "Walking" -0.51120143
1 "Walking" -0.52151368
1 "Walking" -0.43201928
1 "Walking" -0.2606295
1 "Walking" -0.30396333
1 "Walking" -0.45301383
1 "Walking" -0.39734758
1 "Walking" -0.40679411
1 "Walking" -0.21189839
1 "Walking" -0.44533896
1 "Walking" -0.47414248
1 "Walking Down Stairs" -0.76849531
1 "Walking Down Stairs" -0.75488612
1 "Walking Down Stairs" -0.59168932
1 "Walking Down Stairs" -0.47865355
1 "Walking Down Stairs" -0.53654054
1 "Walking Down Stairs" -0.46420662
1 "Walking Down Stairs" -0.63283085
1 "Walking Down Stairs" -0.7389015
1 "Walking Down Stairs" -0.71364028
1 "Walking Down Stairs" -0.50784553
1 "Walking Down Stairs" -0.65519702
1 "Walking Down Stairs" -0.31298724
1 "Walking Down Stairs" -0.37266145
1 "Walking Down Stairs" -0.7059882
1 "Walking Down Stairs" -0.66044833
1 "Walking Down Stairs" -0.74585632
1 "Walking Down Stairs" -0.83899634
1 "Walking Down Stairs" -0.67738862
1 "Walking Down Stairs" -0.74755146
1 "Walking Down Stairs" -0.48140707
1 "Walking Down Stairs" -0.46678913
1 "Walking Down Stairs" -0.65026178
1 "Walking Down Stairs" -0.7488537
1 "Walking Down Stairs" -0.80802454
1 "Walking Down Stairs" -0.79201928
1 "Walking Down Stairs" -0.82371922
1 "Walking Down Stairs" -0.76839597
1 "Walking Down Stairs" -0.45598251
1 "Walking Down Stairs" -0.31720141
1 "Walking Down Stairs" -0.56754002
1 "Walking Down Stairs" -0.729265
1 "Walking Down Stairs" -0.68091442
1 "Walking Down Stairs" -0.61543239
1 "Walking Down Stairs" -0.71968331
1 "Walking Down Stairs" -0.6983982
1 "Walking Down Stairs" -0.65543841
1 "Walking Down Stairs" -0.79688399
1 "Walking Down Stairs" -0.43479561
1 "Walking Down Stairs" -0.46190704
1 "Walking Down Stairs" -0.77981502
1 "Walking Down Stairs" -0.81078752
1 "Walking Down Stairs" -0.60614581
1 "Walking Down Stairs" -0.70278098
1 "Walking Down Stairs" -0.59214566
1 "Walking Down Stairs" -0.4727449
1 "Walking Down Stairs" -0.53701707
1 "Walking Down Stairs" -0.6707368
1 "Walking Down Stairs" -0.88017876
1 "Walking Down Stairs" -0.81022278
1 "Walking Up Stairs" -0.83250207
1 "Walking Up Stairs" -0.85397686
1 "Walking Up Stairs" -0.79463237
1 "Walking Up Stairs" -0.70701312
1 "Walking Up Stairs" -0.70561255
1 "Walking Up Stairs" -0.78057363
1 "Walking Up Stairs" -0.77978641
1 "Walking Up Stairs" -0.80541001
1 "Walking Up Stairs" -0.82144145
1 "Walking Up Stairs" -0.84730157
1 "Walking Up Stairs" -0.77723623
1 "Walking Up Stairs" -0.77849213
1 "Walking Up Stairs" -0.87319635
1 "Walking Up Stairs" -0.81706621
1 "Walking Up Stairs" -0.86440693
1 "Walking Up Stairs" -0.89188905
1 "Walking Up Stairs" -0.88646559
1 "Walking Up Stairs" -0.82226077
1 "Walking Up Stairs" -0.73146252
1 "Walking Up Stairs" -0.68359337
1 "Walking Up Stairs" -0.72428579
1 "Walking Up Stairs" -0.72807155
1 "Walking Up Stairs" -0.74756596
1 "Walking Up Stairs" -0.71934333
1 "Walking Up Stairs" -0.76431603
1 "Walking Up Stairs" -0.79628224
1 "Walking Up Stairs" -0.81214411
1 "Walking Up Stairs" -0.81063778
1 "Walking Up Stairs" -0.79445226
1 "Walking Up Stairs" -0.84147483
1 "Walking Up Stairs" -0.80255218
1 "Walking Up Stairs" -0.66113865
1 "Walking Up Stairs" -0.68426857
1 "Walking Up Stairs" -0.78092224
1 "Walking Up Stairs" -0.79669805
1 "Walking Up Stairs" -0.80599071
1 "Walking Up Stairs" -0.79047674
1 "Walking Up Stairs" -0.75844683
1 "Walking Up Stairs" -0.64422393
1 "Walking Up Stairs" -0.64968571
1 "Walking Up Stairs" -0.76747756
1 "Walking Up Stairs" -0.79194713
1 "Walking Up Stairs" -0.72240077
1 "Walking Up Stairs" -0.73417893
1 "Walking Up Stairs" -0.78645687
1 "Walking Up Stairs" -0.82770794
1 "Walking Up Stairs" -0.7474697
1 "Walking Up Stairs" -0.73766299
1 "Walking Up Stairs" -0.76244473
1 "Walking Up Stairs" -0.72528664
1 "Walking Up Stairs" -0.73508269
1 "Walking Up Stairs" -0.73989195
1 "Walking Up Stairs" -0.80830634
2 "Lying" -0.99828065
2 "Lying" -0.99964522
2 "Lying" -0.99993481
2 "Lying" -0.99997068
2 "Lying" -0.99997608
2 "Lying" -0.99998233
2 "Lying" -0.99997785
2 "Lying" -0.99997694
2 "Lying" -0.99998767
2 "Lying" -0.9999895
2 "Lying" -0.99996932
2 "Lying" -0.99937175
2 "Lying" -0.99979916
2 "Lying" -0.99992241
2 "Lying" -0.99992156
2 "Lying" -0.99985262
2 "Lying" -0.99987888
2 "Lying" -0.99986639
2 "Lying" -0.99988634
2 "Lying" -0.99993066
2 "Lying" -0.9999069
2 "Lying" -0.99996577
2 "Lying" -0.99996575
2 "Lying" -0.99992786
2 "Lying" -0.99900262
2 "Lying" -0.99958054
2 "Lying" -0.99974022
2 "Lying" -0.99991989
2 "Lying" -0.99984052
2 "Lying" -0.99989169
2 "Lying" -0.99978044
2 "Lying" -0.99973953
2 "Lying" -0.99992856
2 "Lying" -0.99990459
2 "Lying" -0.99992052
2 "Lying" -0.99404169
2 "Lying" -0.99989815
2 "Lying" -0.9999181
2 "Lying" -0.99980384
2 "Lying" -0.99974976
2 "Lying" -0.9999228
2 "Lying" -0.99991965
2 "Lying" -0.99992792
2 "Lying" -0.99993673
2 "Lying" -0.99994544
2 "Lying" -0.99994821
2 "Lying" -0.9999246
2 "Lying" -0.99991671
2 "Sitting" -0.99864167
2 "Sitting" -0.99964754
2 "Sitting" -0.99942272
2 "Sitting" -0.9993874
2 "Sitting" -0.99963084
2 "Sitting" -0.99961684
2 "Sitting" -0.99976467
2 "Sitting" -0.99990752
2 "Sitting" -0.99995647
2 "Sitting" -0.99995366
2 "Sitting" -0.99993773
2 "Sitting" -0.99992525
2 "Sitting" -0.99993606
2 "Sitting" -0.9998493
2 "Sitting" -0.99984246
2 "Sitting" -0.99927597
2 "Sitting" -0.99909979
2 "Sitting" -0.99977984
2 "Sitting" -0.99984775
2 "Sitting" -0.99784649
2 "Sitting" -0.99779871
2 "Sitting" -0.99747371
2 "Sitting" -0.99391748
2 "Sitting" -0.99635755
2 "Sitting" -0.99954381
2 "Sitting" -0.99959032
2 "Sitting" -0.99976848
2 "Sitting" -0.99985443
2 "Sitting" -0.99979909
2 "Sitting" -0.99985867
2 "Sitting" -0.99973923
2 "Sitting" -0.99514313
2 "Sitting" -0.99804847
2 "Sitting" -0.9997686
2 "Sitting" -0.99962263
2 "Sitting" -0.99958765
2 "Sitting" -0.99983458
2 "Sitting" -0.99972325
2 "Sitting" -0.9997684
2 "Sitting" -0.99984399
2 "Sitting" -0.99964561
2 "Sitting" -0.99946045
2 "Sitting" -0.99955032
2 "Sitting" -0.99986125
2 "Sitting" -0.99975317
2 "Sitting" -0.99971789
2 "Sitting" -0.9998754
2 "Sitting" -0.99992704
2 "Sitting" -0.99987793
2 "Sitting" -0.99984313
2 "Sitting" -0.99985135
2 "Sitting" -0.99979342
2 "Sitting" -0.99983993
2 "Sitting" -0.99988036
2 "Standing" -0.99899642
2 "Standing" -0.99994492
2 "Standing" -0.99994858
2 "Standing" -0.99985257
2 "Standing" -0.99983045
2 "Standing" -0.99988579
2 "Standing" -0.99983303
2 "Standing" -0.99984311
2 "Standing" -0.99989916
2 "Standing" -0.99989895
2 "Standing" -0.99982659
2 "Standing" -0.99983851
2 "Standing" -0.99991825
2 "Standing" -0.99896356
2 "Standing" -0.99982938
2 "Standing" -0.99989483
2 "Standing" -0.99982931
2 "Standing" -0.99952927
2 "Standing" -0.99936967
2 "Standing" -0.99972126
2 "Standing" -0.99987903
2 "Standing" -0.99985508
2 "Standing" -0.99988153
2 "Standing" -0.99989103
2 "Standing" -0.99867286
2 "Standing" -0.99958119
2 "Standing" -0.99967776
2 "Standing" -0.99966411
2 "Standing" -0.99955907
2 "Standing" -0.99948817
2 "Standing" -0.99988183
2 "Standing" -0.99994389
2 "Standing" -0.99988998
2 "Standing" -0.99987079
2 "Standing" -0.99971075
2 "Standing" -0.99890537
2 "Standing" -0.99979661
2 "Standing" -0.99974005
2 "Standing" -0.99977887
2 "Standing" -0.99989196
2 "Standing" -0.99984923
2 "Standing" -0.99980197
2 "Standing" -0.99981525
2 "Standing" -0.99974271
2 "Standing" -0.99971396
2 "Standing" -0.99975081
2 "Walking" -0.76867666
2 "Walking" -0.75033461
2 "Walking" -0.73990864
2 "Walking" -0.6381536
2 "Walking" -0.78186723
2 "Walking" -0.81590104
2 "Walking" -0.78092791
2 "Walking" -0.73519357
2 "Walking" -0.69707304
2 "Walking" -0.72154113
2 "Walking" -0.76298906
2 "Walking" -0.70911654
2 "Walking" -0.69956162
2 "Walking" -0.77542591
2 "Walking" -0.79570487
2 "Walking" -0.84787731
2 "Walking" -0.73735892
2 "Walking" -0.69475684
2 "Walking" -0.74664565
2 "Walking" -0.7395986
2 "Walking" -0.72883663
2 "Walking" -0.70885813
2 "Walking" -0.77040099
2 "Walking" -0.77727497
2 "Walking" -0.75923797
2 "Walking" -0.72975748
2 "Walking" -0.7083284
2 "Walking" -0.65892234
