"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.9980661
1 "Lying" -0.99989602
1 "Lying" -0.99996372
1 "Lying" -0.99994445
1 "Lying" -0.99993773
1 "Lying" -0.99989725
1 "Lying" -0.99989549
1 "Lying" -0.99994317
1 "Lying" -0.9999423
1 "Lying" -0.999908
1 "Lying" -0.99992778
1 "Lying" -0.99991607
1 "Lying" -0.9998638
1 "Lying" -0.99482234
1 "Lying" -0.99966597
1 "Lying" -0.99205003
1 "Lying" -0.99114447
1 "Lying" -0.99860422
1 "Lying" -0.97192129
1 "Lying" -0.89785961
1 "Lying" -0.91756546
1 "Lying" -0.99176793
1 "Lying" -0.99905781
1 "Lying" -0.99909046
1 "Lying" -0.99989772
1 "Lying" -0.99986607
1 "Lying" -0.99977695
1 "Lying" -0.99944817
1 "Lying" -0.99988863
1 "Lying" -0.99988271
1 "Lying" -0.99978763
1 "Lying" -0.99985396
1 "Lying" -0.99995656
1 "Lying" -0.99992018
1 "Lying" -0.999906
1 "Lying" -0.99990529
1 "Lying" -0.99990252
1 "Lying" -0.99991901
1 "Lying" -0.99991603
1 "Lying" -0.98106639
1 "Lying" -0.99310051
1 "Lying" -0.99883807
1 "Lying" -0.99936681
1 "Lying" -0.99977437
1 "Lying" -0.99953143
1 "Lying" -0.99972029
1 "Lying" -0.99987644
1 "Lying" -0.99987566
1 "Lying" -0.99993211
1 "Lying" -0.99988122
1 "Sitting" -0.99997072
1 "Sitting" -0.999956
1 "Sitting" -0.99980377
1 "Sitting" -0.99982688
1 "Sitting" -0.9999412
1 "Sitting" -0.99991847
1 "Sitting" -0.99993274
1 "Sitting" -0.99994388
1 "Sitting" -0.99995137
1 "Sitting" -0.9998464
1 "Sitting" -0.99986107
1 "Sitting" -0.99997732
1 "Sitting" -0.99998971
1 "Sitting" -0.99995771
1 "Sitting" -0.99981568
1 "Sitting" -0.99993087
1 "Sitting" -0.99990264
1 "Sitting" -0.99990951
1 "Sitting" -0.99994701
1 "Sitting" -0.99997943
1 "Sitting" -0.99995892
1 "Sitting" -0.99992641
1 "Sitting" -0.99993032
1 "Sitting" -0.99994975
1 "Sitting" -0.99995799
1 "Sitting" -0.99993685
1 "Sitting" -0.99993172
1 "Sitting" -0.99994048
1 "Sitting" -0.99989422
1 "Sitting" -0.99989111
1 "Sitting" -0.99986939
1 "Sitting" -0.99985135
1 "Sitting" -0.99966587
1 "Sitting" -0.99966394
1 "Sitting" -0.99990448
1 "Sitting" -0.99987519
1 "Sitting" -0.99985602
1 "Sitting" -0.99994021
1 "Sitting" -0.99996867
1 "Sitting" -0.99997424
1 "Sitting" -0.99993227
1 "Sitting" -0.99980947
1 "Sitting" -0.999912
1 "Sitting" -0.99996487
1 "Sitting" -0.99993977
1 "Sitting" -0.99991614
1 "Sitting" -0.99994286
1 "Sitting" -0.9999223
1 "Sitting" -0.99994789
1 "Sitting" -0.99996128
1 "Sitting" -0.9999521
1 "Sitting" -0.99997911
1 "Sitting" -0.99998776
1 "Standing" -0.99936222
1 "Standing" -0.99986602
1 "Standing" -0.99992496
1 "Standing" -0.99137785
1 "Standing" -0.9841407
1 "Standing" -0.99330544
1 "Standing" -0.99985124
1 "Standing" -0.99988606
1 "Standing" -0.9999812
1 "Standing" -0.99993961
1 "Standing" -0.99990492
1 "Standing" -0.99960837
