"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99377774
1 "Lying" -0.99984271
1 "Lying" -0.99988039
1 "Lying" -0.99991109
1 "Lying" -0.99991663
1 "Lying" -0.99990344
1 "Lying" -0.99986482
1 "Lying" -0.99988275
1 "Lying" -0.99980889
1 "Lying" -0.99977404
1 "Lying" -0.99990099
1 "Lying" -0.99993136
1 "Lying" -0.99992306
1 "Lying" -0.99001078
1 "Lying" -0.99973361
1 "Lying" -0.93620152
1 "Lying" -0.93329322
1 "Lying" -0.9956082
1 "Lying" -0.97738133
1 "Lying" -0.71448914
1 "Lying" -0.72898754
1 "Lying" -0.99246357
1 "Lying" -0.99906979
1 "Lying" -0.99961068
1 "Lying" -0.99985285
1 "Lying" -0.99989792
1 "Lying" -0.99984083
1 "Lying" -0.99865802
1 "Lying" -0.99987854
1 "Lying" -0.99987018
1 "Lying" -0.99981293
1 "Lying" -0.9998651
1 "Lying" -0.99992649
1 "Lying" -0.99992108
1 "Lying" -0.99981126
1 "Lying" -0.9997629
1 "Lying" -0.99985335
1 "Lying" -0.99990963
1 "Lying" -0.99994527
1 "Lying" -0.9300553
1 "Lying" -0.98564916
1 "Lying" -0.99973151
1 "Lying" -0.99983506
1 "Lying" -0.99983196
1 "Lying" -0.9998512
1 "Lying" -0.9998354
1 "Lying" -0.99983813
1 "Lying" -0.99984471
1 "Lying" -0.999862
1 "Lying" -0.99989485
1 "Sitting" -0.99982048
1 "Sitting" -0.99963962
1 "Sitting" -0.99963656
1 "Sitting" -0.99980312
1 "Sitting" -0.99982051
1 "Sitting" -0.99982799
1 "Sitting" -0.99973959
1 "Sitting" -0.99964607
1 "Sitting" -0.99961036
1 "Sitting" -0.99923295
1 "Sitting" -0.99938797
1 "Sitting" -0.99984978
1 "Sitting" -0.99985663
1 "Sitting" -0.99989749
1 "Sitting" -0.99972616
1 "Sitting" -0.99994332
1 "Sitting" -0.99989854
1 "Sitting" -0.99988135
1 "Sitting" -0.99989891
1 "Sitting" -0.99990415
1 "Sitting" -0.99991524
1 "Sitting" -0.99978644
1 "Sitting" -0.99969068
1 "Sitting" -0.99976585
1 "Sitting" -0.99978452
1 "Sitting" -0.99978442
1 "Sitting" -0.99983957
1 "Sitting" -0.9996727
1 "Sitting" -0.99971611
1 "Sitting" -0.99973211
1 "Sitting" -0.99908723
1 "Sitting" -0.9988183
1 "Sitting" -0.99950433
1 "Sitting" -0.99978469
1 "Sitting" -0.99987249
1 "Sitting" -0.99934381
1 "Sitting" -0.99925731
1 "Sitting" -0.99977675
1 "Sitting" -0.99986779
1 "Sitting" -0.99983936
1 "Sitting" -0.9997844
1 "Sitting" -0.99956901
1 "Sitting" -0.99973832
1 "Sitting" -0.9998287
1 "Sitting" -0.99988023
1 "Sitting" -0.99984962
1 "Sitting" -0.99990008
1 "Sitting" -0.99989967
1 "Sitting" -0.99991909
1 "Sitting" -0.99991966
1 "Sitting" -0.9998557
1 "Sitting" -0.99984483
1 "Sitting" -0.99988982
1 "Standing" -0.99910553
1 "Standing" -0.99981834
1 "Standing" -0.99990682
1 "Standing" -0.98812962
1 "Standing" -0.98578409
1 "Standing" -0.99738818
1 "Standing" -0.99964235
1 "Standing" -0.99987343
