"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93883997
1 "Lying" -0.99231137
1 "Lying" -0.99239233
1 "Lying" -0.99371385
1 "Lying" -0.98863026
1 "Lying" -0.98653725
1 "Lying" -0.987987
1 "Lying" -0.99144923
1 "Lying" -0.98989179
1 "Lying" -0.99091801
1 "Lying" -0.98715481
1 "Lying" -0.98905032
1 "Lying" -0.98929121
1 "Lying" -0.90891268
1 "Lying" -0.97873794
1 "Lying" -0.85650424
1 "Lying" -0.87707159
1 "Lying" -0.96609245
1 "Lying" -0.85460219
1 "Lying" -0.54119023
1 "Lying" -0.60888835
1 "Lying" -0.90705908
1 "Lying" -0.97420601
1 "Lying" -0.97342196
1 "Lying" -0.9914599
1 "Lying" -0.99074433
1 "Lying" -0.98312878
1 "Lying" -0.9691186
1 "Lying" -0.99088607
1 "Lying" -0.98705333
1 "Lying" -0.98880257
1 "Lying" -0.98762662
1 "Lying" -0.99671265
1 "Lying" -0.98887081
1 "Lying" -0.98769328
1 "Lying" -0.98658783
1 "Lying" -0.99005379
1 "Lying" -0.99361093
1 "Lying" -0.9924172
1 "Lying" -0.816639
1 "Lying" -0.88710737
1 "Lying" -0.95846636
1 "Lying" -0.97073235
1 "Lying" -0.98454315
1 "Lying" -0.98921401
1 "Lying" -0.98515246
1 "Lying" -0.99192264
1 "Lying" -0.99015831
1 "Lying" -0.98940191
1 "Lying" -0.99237692
1 "Sitting" -0.99302626
1 "Sitting" -0.99284336
1 "Sitting" -0.98181688
1 "Sitting" -0.99177613
1 "Sitting" -0.99614147
1 "Sitting" -0.99135342
1 "Sitting" -0.9946125
1 "Sitting" -0.99243032
1 "Sitting" -0.9958287
1 "Sitting" -0.98943795
1 "Sitting" -0.99207882
1 "Sitting" -0.99780876
1 "Sitting" -0.99820759
1 "Sitting" -0.99671565
1 "Sitting" -0.98900831
1 "Sitting" -0.99256462
1 "Sitting" -0.99393201
1 "Sitting" -0.99164904
1 "Sitting" -0.99268323
1 "Sitting" -0.99420124
1 "Sitting" -0.99480313
1 "Sitting" -0.99264722
1 "Sitting" -0.99485627
1 "Sitting" -0.99691525
1 "Sitting" -0.99638876
1 "Sitting" -0.99478902
1 "Sitting" -0.99780214
1 "Sitting" -0.99588508
1 "Sitting" -0.98710517
1 "Sitting" -0.98818143
1 "Sitting" -0.98965331
1 "Sitting" -0.98969506
1 "Sitting" -0.98898374
1 "Sitting" -0.98993731
1 "Sitting" -0.99291602
1 "Sitting" -0.9851454
1 "Sitting" -0.98530321
1 "Sitting" -0.9949188
1 "Sitting" -0.99492561
1 "Sitting" -0.99558516
1 "Sitting" -0.99237161
1 "Sitting" -0.98201544
1 "Sitting" -0.98914527
1 "Sitting" -0.99364598
1 "Sitting" -0.99303383
1 "Sitting" -0.99005785
1 "Sitting" -0.99211706
1 "Sitting" -0.99384577
1 "Sitting" -0.99326803
1 "Sitting" -0.99551573
1 "Sitting" -0.99447044
1 "Sitting" -0.99658831
1 "Sitting" -0.99503561
1 "Standing" -0.98370772
1 "Standing" -0.99161469
1 "Standing" -0.99258733
1 "Standing" -0.88896126
1 "Standing" -0.84415735
1 "Standing" -0.93279028
1 "Standing" -0.98608717
1 "Standing" -0.99340077
