"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.89615146
1 "Lying" -0.99026795
1 "Lying" -0.99414082
1 "Lying" -0.99410925
1 "Lying" -0.99565309
1 "Lying" -0.99153999
1 "Lying" -0.99399858
1 "Lying" -0.99146839
1 "Lying" -0.98843165
1 "Lying" -0.98778436
1 "Lying" -0.99159038
1 "Lying" -0.99363299
1 "Lying" -0.99444633
1 "Lying" -0.90106686
1 "Lying" -0.99229905
1 "Lying" -0.7700534
1 "Lying" -0.75204085
1 "Lying" -0.92877296
1 "Lying" -0.83284828
1 "Lying" -0.41478116
1 "Lying" -0.34955903
1 "Lying" -0.92522013
1 "Lying" -0.97505159
1 "Lying" -0.98211891
1 "Lying" -0.99336069
1 "Lying" -0.99625819
1 "Lying" -0.98968684
1 "Lying" -0.96202512
1 "Lying" -0.99394456
1 "Lying" -0.9910046
1 "Lying" -0.98807695
1 "Lying" -0.99110735
1 "Lying" -0.99289196
1 "Lying" -0.99559959
1 "Lying" -0.9893595
1 "Lying" -0.99176206
1 "Lying" -0.99151343
1 "Lying" -0.99502419
1 "Lying" -0.99576507
1 "Lying" -0.79170076
1 "Lying" -0.87465145
1 "Lying" -0.99166626
1 "Lying" -0.99105216
1 "Lying" -0.99179461
1 "Lying" -0.99156823
1 "Lying" -0.98975149
1 "Lying" -0.98950339
1 "Lying" -0.99455172
1 "Lying" -0.99528717
1 "Lying" -0.99343764
1 "Sitting" -0.99137339
1 "Sitting" -0.98522065
1 "Sitting" -0.98476483
1 "Sitting" -0.99068489
1 "Sitting" -0.99240766
1 "Sitting" -0.99105724
1 "Sitting" -0.98990878
1 "Sitting" -0.98365197
1 "Sitting" -0.98412742
1 "Sitting" -0.97220426
1 "Sitting" -0.97758072
1 "Sitting" -0.99012061
1 "Sitting" -0.99219803
1 "Sitting" -0.99621188
1 "Sitting" -0.98294363
1 "Sitting" -0.99481066
1 "Sitting" -0.99073807
1 "Sitting" -0.9926287
1 "Sitting" -0.99164036
1 "Sitting" -0.99502594
1 "Sitting" -0.99680992
1 "Sitting" -0.98679084
1 "Sitting" -0.98612846
1 "Sitting" -0.98814349
1 "Sitting" -0.98793252
1 "Sitting" -0.98679944
1 "Sitting" -0.99336464
1 "Sitting" -0.98859081
1 "Sitting" -0.98446403
1 "Sitting" -0.99285881
1 "Sitting" -0.97236803
1 "Sitting" -0.96654872
1 "Sitting" -0.98124426
1 "Sitting" -0.99164426
1 "Sitting" -0.99132335
1 "Sitting" -0.97701135
1 "Sitting" -0.97457942
1 "Sitting" -0.98935595
1 "Sitting" -0.99590912
1 "Sitting" -0.99018237
1 "Sitting" -0.98950237
1 "Sitting" -0.98669521
1 "Sitting" -0.98769003
1 "Sitting" -0.99025744
1 "Sitting" -0.99332322
1 "Sitting" -0.98973802
1 "Sitting" -0.99359102
1 "Sitting" -0.99326617
1 "Sitting" -0.99373296
1 "Sitting" -0.99595784
1 "Sitting" -0.99087339
1 "Sitting" -0.99124451
1 "Sitting" -0.99607188
1 "Standing" -0.97200501
1 "Standing" -0.99143337
1 "Standing" -0.99387912
1 "Standing" -0.87660302
1 "Standing" -0.87510522
1 "Standing" -0.94549326
1 "Standing" -0.98270114
1 "Standing" -0.99471049
1 "Standing" -0.99170704
1 "Standing" -0.99197823
1 "Standing" -0.9886705
1 "Standing" -0.97612329
1 "Standing" -0.99348425
1 "Standing" -0.99405341
1 "Standing" -0.99270243
1 "Standing" -0.99609923
1 "Standing" -0.99593848
1 "Standing" -0.9950024
1 "Standing" -0.99426794
1 "Standing" -0.99236775
1 "Standing" -0.99415942
1 "Standing" -0.99234405
1 "Standing" -0.994598
1 "Standing" -0.99473688
1 "Standing" -0.98645202
1 "Standing" -0.99467636
1 "Standing" -0.9870713
1 "Standing" -0.98628567
1 "Standing" -0.99047124
1 "Standing" -0.98755335
1 "Standing" -0.99098497
1 "Standing" -0.99211271
1 "Standing" -0.99304349
1 "Standing" -0.99280747
1 "Standing" -0.99365764
1 "Standing" -0.97236388
1 "Standing" -0.98971682
1 "Standing" -0.99028141
1 "Standing" -0.99359802
1 "Standing" -0.99274088
1 "Standing" -0.98974195
1 "Standing" -0.99171032
1 "Standing" -0.99434103
1 "Standing" -0.99602239
1 "Standing" -0.99652659
1 "Standing" -0.99809695
1 "Standing" -0.99276031
1 "Walking" -0.41027144
1 "Walking" -0.37868161
1 "Walking" -0.36548162
1 "Walking" -0.40302189
1 "Walking" -0.14725946
1 "Walking" -0.35223782
1 "Walking" -0.40638051
1 "Walking" -0.24196845
1 "Walking" -0.35882734
1 "Walking" -0.17146395
1 "Walking" -0.37548043
1 "Walking" -0.42692554
1 "Walking" -0.47907042
1 "Walking" -0.2947902
1 "Walking" -0.13948261
1 "Walking" -0.17926254
1 "Walking" -0.35447114
1 "Walking" -0.39381554
1 "Walking" -0.18272442
1 "Walking" -0.35164697
1 "Walking" -0.24378678
1 "Walking" -0.41646029
1 "Walking" -0.36269123
1 "Walking" -0.086763417
1 "Walking" -0.046196676
1 "Walking" 0.13710605
1 "Walking" -0.19422085
1 "Walking" -0.35801221
1 "Walking" -0.12781456
1 "Walking" -0.33482324
1 "Walking" -0.18690075
1 "Walking" -0.28003275
1 "Walking" -0.28247446
1 "Walking" -0.19455681
1 "Walking" -0.43886721
1 "Walking" -0.41948824
1 "Walking" -0.36845136
1 "Walking" -0.23386527
1 "Walking" -0.19642278
1 "Walking" -0.34262121
1 "Walking" -0.50189973
1 "Walking" -0.38545553
1 "Walking" -0.31390727
1 "Walking" -0.20015966
1 "Walking" -0.27343136
1 "Walking" -0.34268948
1 "Walking" -0.39616536
1 "Walking" -0.45689264
1 "Walking" -0.38236125
1 "Walking" -0.47239358
1 "Walking" -0.31383198
1 "Walking" -0.41369178
1 "Walking" -0.33045352
1 "Walking" -0.36048645
1 "Walking" -0.36952282
1 "Walking" -0.31147463
1 "Walking" -0.31489189
1 "Walking" -0.25657467
1 "Walking" -0.29252802
1 "Walking" -0.35340577
1 "Walking" -0.33794651
1 "Walking" -0.37966648
1 "Walking" -0.48096295
1 "Walking" -0.17986258
1 "Walking" -0.32317453
1 "Walking" -0.34276085
1 "Walking" -0.34536113
1 "Walking" -0.19017133
1 "Walking" -0.34373141
1 "Walking" -0.29591123
1 "Walking" -0.27889137
1 "Walking" -0.39418638
1 "Walking" -0.24844986
1 "Walking" -0.21439139
1 "Walking" -0.10100612
1 "Walking" -0.20508612
1 "Walking" -0.32676403
1 "Walking" -0.41717899
1 "Walking" -0.47552433
1 "Walking" -0.31047781
1 "Walking" -0.36889339
1 "Walking" -0.10428084
1 "Walking" -0.2246718
1 "Walking" -0.3639534
1 "Walking" -0.37937998
1 "Walking" -0.37955788
1 "Walking" -0.36664797
1 "Walking" -0.25732468
1 "Walking" -0.11617551
1 "Walking" -0.19176292
1 "Walking" -0.28896451
1 "Walking" -0.15234084
1 "Walking" -0.40368757
1 "Walking" -0.45288085
1 "Walking" -0.47540577
1 "Walking Down Stairs" -0.27625
1 "Walking Down Stairs" -0.38690353
1 "Walking Down Stairs" -0.21136839
1 "Walking Down Stairs" -0.21884424
1 "Walking Down Stairs" -0.21764571
1 "Walking Down Stairs" -0.063852109
1 "Walking Down Stairs" -0.28754094
1 "Walking Down Stairs" -0.42282339
1 "Walking Down Stairs" -0.38563266
1 "Walking Down Stairs" -0.18880216
1 "Walking Down Stairs" -0.21409697
1 "Walking Down Stairs" -0.3142381
1 "Walking Down Stairs" 0.0093188123
1 "Walking Down Stairs" -0.1788704
1 "Walking Down Stairs" -0.29067461
1 "Walking Down Stairs" -0.39660134
1 "Walking Down Stairs" -0.4253088
1 "Walking Down Stairs" -0.25097577
1 "Walking Down Stairs" -0.4047907
1 "Walking Down Stairs" -0.27056217
1 "Walking Down Stairs" 0.010013189
1 "Walking Down Stairs" -0.43683633
1 "Walking Down Stairs" -0.50629132
1 "Walking Down Stairs" -0.34086268
1 "Walking Down Stairs" -0.2910152
1 "Walking Down Stairs" -0.526416
1 "Walking Down Stairs" -0.4485351
1 "Walking Down Stairs" -0.1239123
1 "Walking Down Stairs" 0.0057057597
1 "Walking Down Stairs" -0.17535456
1 "Walking Down Stairs" -0.46226144
1 "Walking Down Stairs" -0.40508567
1 "Walking Down Stairs" -0.35547089
1 "Walking Down Stairs" -0.38963562
1 "Walking Down Stairs" -0.2098834
1 "Walking Down Stairs" -0.37620817
1 "Walking Down Stairs" -0.43571342
1 "Walking Down Stairs" -0.070114156
