"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.62239542
1 "Lying" -0.026674511
1 "Lying" -0.17636932
1 "Lying" 0.034776316
1 "Lying" -0.10979059
1 "Lying" 0.20172929
1 "Lying" 0.40853722
1 "Lying" -0.26009945
1 "Lying" -0.25674339
1 "Lying" -0.20094053
1 "Lying" -0.41637613
1 "Lying" -0.2492673
1 "Lying" -0.2001908
1 "Lying" -0.58938546
1 "Lying" -0.1030663
1 "Lying" 0.11353491
1 "Lying" 0.048878716
1 "Lying" -0.27988668
1 "Lying" 0.080831591
1 "Lying" 0.06765087
1 "Lying" -0.0737984
1 "Lying" -0.68136307
1 "Lying" -0.29092466
1 "Lying" -0.17911032
1 "Lying" 0.16049107
1 "Lying" -0.14230007
1 "Lying" -0.23889924
1 "Lying" -0.036257229
1 "Lying" -0.16043967
1 "Lying" -0.031052837
1 "Lying" 0.02460241
1 "Lying" -0.16211893
1 "Lying" -0.25793008
1 "Lying" 0.015908339
1 "Lying" 0.22474209
1 "Lying" 0.30518506
1 "Lying" -0.048639676
1 "Lying" -0.29928911
1 "Lying" -0.33641894
1 "Lying" -0.37101955
1 "Lying" -0.10602073
1 "Lying" 0.015352562
1 "Lying" 0.13366959
1 "Lying" 0.11740307
1 "Lying" 0.19833531
1 "Lying" -0.10957646
1 "Lying" 0.087822871
1 "Lying" 0.065330583
1 "Lying" -0.18860115
1 "Lying" -0.29417307
1 "Sitting" -0.038212313
1 "Sitting" -0.45834568
1 "Sitting" -0.52054112
1 "Sitting" -0.4364594
1 "Sitting" -0.45829909
1 "Sitting" -0.16618196
1 "Sitting" -0.20728576
1 "Sitting" -0.34337938
1 "Sitting" 0.161041
1 "Sitting" 0.17737548
1 "Sitting" -0.11649176
1 "Sitting" -0.33458802
1 "Sitting" -0.14399923
1 "Sitting" -0.007568246
1 "Sitting" -0.1469895
1 "Sitting" -0.075822572
1 "Sitting" -0.34345769
1 "Sitting" -0.18168566
1 "Sitting" -0.22444974
1 "Sitting" -0.20008876
1 "Sitting" -0.23402119
1 "Sitting" 0.097892807
1 "Sitting" -0.088033918
1 "Sitting" -0.35323534
1 "Sitting" -0.014521245
1 "Sitting" 0.10372091
1 "Sitting" 0.096137078
