"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99733906
1 "Lying" -0.9998775
1 "Lying" -0.99991997
1 "Lying" -0.99994458
1 "Lying" -0.99994061
1 "Lying" -0.99988914
1 "Lying" -0.99988559
1 "Lying" -0.9999164
1 "Lying" -0.99989164
1 "Lying" -0.99986562
1 "Lying" -0.99990061
1 "Lying" -0.99991369
1 "Lying" -0.99989757
1 "Lying" -0.99398008
1 "Lying" -0.99962027
1 "Lying" -0.97343777
1 "Lying" -0.97185957
1 "Lying" -0.99770571
1 "Lying" -0.98356599
1 "Lying" -0.86237605
1 "Lying" -0.87170189
1 "Lying" -0.99325186
1 "Lying" -0.99941457
1 "Lying" -0.99962966
1 "Lying" -0.99991628
1 "Lying" -0.99988905
1 "Lying" -0.99983933
1 "Lying" -0.99924266
1 "Lying" -0.99990412
1 "Lying" -0.99990475
1 "Lying" -0.99986249
1 "Lying" -0.99988324
1 "Lying" -0.99993546
1 "Lying" -0.99990169
1 "Lying" -0.99984621
1 "Lying" -0.99988754
1 "Lying" -0.99992342
1 "Lying" -0.99992297
1 "Lying" -0.9999475
1 "Lying" -0.95699289
1 "Lying" -0.9847336
1 "Lying" -0.99910859
1 "Lying" -0.99923547
1 "Lying" -0.99967027
1 "Lying" -0.99980866
1 "Lying" -0.99984533
1 "Lying" -0.99987946
1 "Lying" -0.99978446
1 "Lying" -0.99975818
1 "Lying" -0.99982435
1 "Sitting" -0.99989188
1 "Sitting" -0.9998454
1 "Sitting" -0.99978994
1 "Sitting" -0.99988361
1 "Sitting" -0.9999016
1 "Sitting" -0.99989265
1 "Sitting" -0.99983299
1 "Sitting" -0.99983103
1 "Sitting" -0.99988478
1 "Sitting" -0.99968081
1 "Sitting" -0.99967823
1 "Sitting" -0.99988851
1 "Sitting" -0.99992705
1 "Sitting" -0.99992919
1 "Sitting" -0.99981686
1 "Sitting" -0.99994789
1 "Sitting" -0.99994304
1 "Sitting" -0.99993622
1 "Sitting" -0.99994139
1 "Sitting" -0.99995875
1 "Sitting" -0.99993757
1 "Sitting" -0.99988861
1 "Sitting" -0.99986754
1 "Sitting" -0.99989302
1 "Sitting" -0.99989656
1 "Sitting" -0.99988223
1 "Sitting" -0.99989417
1 "Sitting" -0.99975341
1 "Sitting" -0.9998479
1 "Sitting" -0.99983251
1 "Sitting" -0.99958916
1 "Sitting" -0.99956776
1 "Sitting" -0.99973162
1 "Sitting" -0.99980385
1 "Sitting" -0.99994518
1 "Sitting" -0.99976213
1 "Sitting" -0.99970737
1 "Sitting" -0.99987513
1 "Sitting" -0.99991119
1 "Sitting" -0.9998955
1 "Sitting" -0.9998485
1 "Sitting" -0.99975573
1 "Sitting" -0.99985853
1 "Sitting" -0.99993146
1 "Sitting" -0.99993162
1 "Sitting" -0.9998998
1 "Sitting" -0.99994346
1 "Sitting" -0.99995348
1 "Sitting" -0.99997751
1 "Sitting" -0.99996303
1 "Sitting" -0.99991276
1 "Sitting" -0.99991919
1 "Sitting" -0.99993939
1 "Standing" -0.99931329
1 "Standing" -0.99988673
1 "Standing" -0.99990655
1 "Standing" -0.99099279
1 "Standing" -0.98797849
1 "Standing" -0.99680801
1 "Standing" -0.99983206
1 "Standing" -0.9999482
1 "Standing" -0.99996602
1 "Standing" -0.99995226
1 "Standing" -0.99994382
1 "Standing" -0.99960853
1 "Standing" -0.99986906
1 "Standing" -0.99989779
1 "Standing" -0.99988135
1 "Standing" -0.99989506
1 "Standing" -0.99990672
1 "Standing" -0.99992372
1 "Standing" -0.99994092
1 "Standing" -0.99992339
1 "Standing" -0.99990338
1 "Standing" -0.99991207
1 "Standing" -0.99993469
1 "Standing" -0.99991068
1 "Standing" -0.99960792
1 "Standing" -0.99984517
1 "Standing" -0.99981873
1 "Standing" -0.99980549
1 "Standing" -0.99983467
1 "Standing" -0.99987458
1 "Standing" -0.99989626
1 "Standing" -0.99993094
1 "Standing" -0.99992842
1 "Standing" -0.99991521
1 "Standing" -0.99992432
1 "Standing" -0.9992841
1 "Standing" -0.99982078
1 "Standing" -0.99989215
1 "Standing" -0.99991182
1 "Standing" -0.99984304
1 "Standing" -0.99984695
1 "Standing" -0.99991637
1 "Standing" -0.99997365
1 "Standing" -0.99997283
1 "Standing" -0.99996771
1 "Standing" -0.99996814
1 "Standing" -0.9998825
1 "Walking" -0.70764578
1 "Walking" -0.62816191
1 "Walking" -0.66733516
1 "Walking" -0.61660376
1 "Walking" -0.6298925
1 "Walking" -0.66947075
1 "Walking" -0.62374706
1 "Walking" -0.56680358
1 "Walking" -0.73131457
1 "Walking" -0.63664166
1 "Walking" -0.66018235
1 "Walking" -0.62756943
1 "Walking" -0.61876824
1 "Walking" -0.58003293
1 "Walking" -0.54271765
1 "Walking" -0.55332099
1 "Walking" -0.55431487
1 "Walking" -0.58955833
1 "Walking" -0.58331649
1 "Walking" -0.62364552
1 "Walking" -0.57982999
1 "Walking" -0.55421395
1 "Walking" -0.59159225
1 "Walking" -0.5003392
1 "Walking" -0.54465304
1 "Walking" -0.53864232
1 "Walking" -0.5977529
1 "Walking" -0.66634137
1 "Walking" -0.56241442
1 "Walking" -0.53161319
1 "Walking" -0.57355832
1 "Walking" -0.59305309
1 "Walking" -0.62360669
1 "Walking" -0.5025787
1 "Walking" -0.61246557
1 "Walking" -0.63795745
1 "Walking" -0.64984847
1 "Walking" -0.62479224
1 "Walking" -0.57856744
1 "Walking" -0.6067882
1 "Walking" -0.71250581
1 "Walking" -0.71035367
1 "Walking" -0.7002544
1 "Walking" -0.70205267
1 "Walking" -0.64005764
1 "Walking" -0.6590494
1 "Walking" -0.69241044
1 "Walking" -0.7370089
1 "Walking" -0.64739258
1 "Walking" -0.66333987
1 "Walking" -0.6225969
1 "Walking" -0.62408084
1 "Walking" -0.6460751
1 "Walking" -0.58794435
1 "Walking" -0.65877714
1 "Walking" -0.64934653
1 "Walking" -0.55273046
1 "Walking" -0.61026463
1 "Walking" -0.6825009
1 "Walking" -0.62913889
1 "Walking" -0.57062364
1 "Walking" -0.58364995
1 "Walking" -0.54399103
1 "Walking" -0.53211918
1 "Walking" -0.60878146
1 "Walking" -0.6206436
1 "Walking" -0.51068561
1 "Walking" -0.45902234
1 "Walking" -0.50349119
1 "Walking" -0.60371501
1 "Walking" -0.56966151
1 "Walking" -0.50708125
1 "Walking" -0.55347625
1 "Walking" -0.58542657
1 "Walking" -0.61425603
1 "Walking" -0.65520023
1 "Walking" -0.54823005
1 "Walking" -0.5224303
1 "Walking" -0.63910587
1 "Walking" -0.61728725
1 "Walking" -0.64137621
1 "Walking" -0.59057618
1 "Walking" -0.53771667
1 "Walking" -0.61811552
1 "Walking" -0.66343515
1 "Walking" -0.60657054
1 "Walking" -0.54397506
1 "Walking" -0.4466178
1 "Walking" -0.35151106
1 "Walking" -0.4165497
1 "Walking" -0.54381798
1 "Walking" -0.40264855
1 "Walking" -0.40841993
1 "Walking" -0.61467188
1 "Walking" -0.61238097
1 "Walking Down Stairs" -0.72125776
1 "Walking Down Stairs" -0.64904129
1 "Walking Down Stairs" -0.61104389
1 "Walking Down Stairs" -0.59981956
1 "Walking Down Stairs" -0.52648012
1 "Walking Down Stairs" -0.4456544
1 "Walking Down Stairs" -0.51032355
1 "Walking Down Stairs" -0.62729309
1 "Walking Down Stairs" -0.62787084
1 "Walking Down Stairs" -0.34894742
1 "Walking Down Stairs" -0.41577592
1 "Walking Down Stairs" -0.38571448
1 "Walking Down Stairs" -0.47203908
1 "Walking Down Stairs" -0.5616031
1 "Walking Down Stairs" -0.58051642
1 "Walking Down Stairs" -0.48376166
1 "Walking Down Stairs" -0.50605592
1 "Walking Down Stairs" -0.6053164
1 "Walking Down Stairs" -0.60445655
1 "Walking Down Stairs" -0.52655971
1 "Walking Down Stairs" -0.47971545
1 "Walking Down Stairs" -0.63280588
1 "Walking Down Stairs" -0.65938031
1 "Walking Down Stairs" -0.62825383
1 "Walking Down Stairs" -0.63351176
1 "Walking Down Stairs" -0.76739414
1 "Walking Down Stairs" -0.60391563
1 "Walking Down Stairs" -0.56507372
1 "Walking Down Stairs" -0.36230943
1 "Walking Down Stairs" -0.49834268
1 "Walking Down Stairs" -0.62733391
