"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92289367
1 "Lying" -0.99326132
1 "Lying" -0.99520683
1 "Lying" -0.99627571
1 "Lying" -0.99657195
1 "Lying" -0.99414723
1 "Lying" -0.99408678
1 "Lying" -0.99483219
1 "Lying" -0.99441049
1 "Lying" -0.99510865
1 "Lying" -0.99584732
1 "Lying" -0.99635332
1 "Lying" -0.99462774
1 "Lying" -0.88188116
1 "Lying" -0.98344842
1 "Lying" -0.70184143
1 "Lying" -0.73778608
1 "Lying" -0.95067507
1 "Lying" -0.77918774
1 "Lying" -0.4185197
1 "Lying" -0.35618889
1 "Lying" -0.8693914
1 "Lying" -0.98141465
1 "Lying" -0.98374489
1 "Lying" -0.99654033
1 "Lying" -0.99621963
1 "Lying" -0.99458502
1 "Lying" -0.97029154
1 "Lying" -0.99619912
1 "Lying" -0.9962337
1 "Lying" -0.99564536
1 "Lying" -0.99595624
1 "Lying" -0.99776519
1 "Lying" -0.99507251
1 "Lying" -0.99095078
1 "Lying" -0.99393016
1 "Lying" -0.99705125
1 "Lying" -0.99660015
1 "Lying" -0.99714854
1 "Lying" -0.68683457
1 "Lying" -0.81165908
1 "Lying" -0.96985489
1 "Lying" -0.96970877
1 "Lying" -0.98429587
1 "Lying" -0.99186642
1 "Lying" -0.9936586
1 "Lying" -0.99430319
1 "Lying" -0.98994903
1 "Lying" -0.99009355
1 "Lying" -0.99049108
1 "Sitting" -0.99450037
1 "Sitting" -0.99271603
1 "Sitting" -0.99065049
1 "Sitting" -0.99319452
1 "Sitting" -0.99610746
1 "Sitting" -0.9955274
1 "Sitting" -0.99109073
1 "Sitting" -0.99200395
1 "Sitting" -0.9940632
1 "Sitting" -0.98462764
1 "Sitting" -0.98735277
1 "Sitting" -0.99490834
1 "Sitting" -0.99674549
1 "Sitting" -0.99630816
1 "Sitting" -0.98970399
1 "Sitting" -0.99857497
1 "Sitting" -0.9990321
1 "Sitting" -0.99695705
1 "Sitting" -0.99740183
1 "Sitting" -0.99934208
1 "Sitting" -0.99754483
1 "Sitting" -0.99406708
1 "Sitting" -0.99210919
1 "Sitting" -0.9939855
1 "Sitting" -0.99527421
1 "Sitting" -0.99456522
1 "Sitting" -0.99418538
1 "Sitting" -0.98807017
1 "Sitting" -0.99404934
1 "Sitting" -0.99271548
1 "Sitting" -0.98150157
1 "Sitting" -0.98128618
1 "Sitting" -0.98612691
1 "Sitting" -0.98981133
1 "Sitting" -0.99812634
1 "Sitting" -0.98550215
1 "Sitting" -0.98527468
1 "Sitting" -0.99312626
1 "Sitting" -0.99421697
1 "Sitting" -0.99470587
1 "Sitting" -0.99258312
1 "Sitting" -0.99183776
1 "Sitting" -0.99658373
1 "Sitting" -0.99736381
1 "Sitting" -0.99728394
1 "Sitting" -0.99556337
1 "Sitting" -0.99687456
1 "Sitting" -0.99755375
1 "Sitting" -0.99944565
1 "Sitting" -0.99881876
1 "Sitting" -0.99731962
1 "Sitting" -0.99623121
1 "Sitting" -0.99591103
1 "Standing" -0.97421791
1 "Standing" -0.99457507
1 "Standing" -0.99485832
1 "Standing" -0.81182184
1 "Standing" -0.83976434
1 "Standing" -0.91274054
1 "Standing" -0.98918129
1 "Standing" -0.99551299
1 "Standing" -0.99764932
1 "Standing" -0.99728091
1 "Standing" -0.99718302
1 "Standing" -0.9807777
1 "Standing" -0.99303325
1 "Standing" -0.99534249
1 "Standing" -0.99360012
1 "Standing" -0.99357374
1 "Standing" -0.9949495
1 "Standing" -0.99655026
1 "Standing" -0.99699704
1 "Standing" -0.99753618
1 "Standing" -0.99651801
1 "Standing" -0.99372873
1 "Standing" -0.99583389
1 "Standing" -0.99601169
1 "Standing" -0.97920487
1 "Standing" -0.98990296
1 "Standing" -0.9894163
1 "Standing" -0.98933499
1 "Standing" -0.99123251
1 "Standing" -0.99508479
1 "Standing" -0.99543795
1 "Standing" -0.99717531
1 "Standing" -0.99740428
1 "Standing" -0.99596808
1 "Standing" -0.99651726
1 "Standing" -0.9733294
1 "Standing" -0.99233094
1 "Standing" -0.99391425
1 "Standing" -0.99564123
1 "Standing" -0.99299305
1 "Standing" -0.99422134
1 "Standing" -0.99686983
1 "Standing" -0.99810455
1 "Standing" -0.99829549
1 "Standing" -0.99931472
1 "Standing" -0.99873607
1 "Standing" -0.99298869
1 "Walking" -0.18533448
1 "Walking" -0.22519873
1 "Walking" -0.27438704
1 "Walking" -0.22895356
1 "Walking" -0.19365852
1 "Walking" -0.23937027
1 "Walking" -0.17032142
1 "Walking" -0.071853171
1 "Walking" -0.33155011
1 "Walking" -0.22149666
1 "Walking" -0.21710545
1 "Walking" -0.20321821
1 "Walking" -0.25734262
1 "Walking" -0.17118557
1 "Walking" -0.1157668
1 "Walking" -0.13947035
1 "Walking" -0.072960243
1 "Walking" -0.10238341
1 "Walking" -0.10124921
1 "Walking" -0.1638143
1 "Walking" -0.15968086
1 "Walking" -0.12568852
1 "Walking" -0.17447258
1 "Walking" -0.041037291
1 "Walking" -0.057055898
1 "Walking" -0.055755027
1 "Walking" -0.14186455
1 "Walking" -0.2049059
1 "Walking" -0.067750254
1 "Walking" -0.097142451
1 "Walking" -0.18872277
1 "Walking" -0.16570828
1 "Walking" -0.18608298
1 "Walking" -0.069207608
1 "Walking" -0.19174514
1 "Walking" -0.19203382
1 "Walking" -0.19836893
1 "Walking" -0.12985419
1 "Walking" -0.078825875
1 "Walking" -0.15074577
1 "Walking" -0.2718563
1 "Walking" -0.25392679
1 "Walking" -0.25407584
1 "Walking" -0.3112803
1 "Walking" -0.25622279
1 "Walking" -0.2730119
1 "Walking" -0.25447229
1 "Walking" -0.32308649
1 "Walking" -0.13190716
1 "Walking" -0.19548064
1 "Walking" -0.1740707
1 "Walking" -0.20226496
1 "Walking" -0.21900637
1 "Walking" -0.081426319
1 "Walking" -0.12929174
1 "Walking" -0.1954342
1 "Walking" -0.053438243
1 "Walking" -0.11421517
1 "Walking" -0.19098116
1 "Walking" -0.11986422
1 "Walking" -0.071731477
1 "Walking" -0.065103489
1 "Walking" -0.036508318
1 "Walking" -0.011197077
1 "Walking" -0.11709616
1 "Walking" -0.14877915
1 "Walking" -0.073826132
1 "Walking" 0.05762635
1 "Walking" 0.010336898
1 "Walking" -0.16756661
1 "Walking" -0.13651528
1 "Walking" 0.028847379
1 "Walking" -0.020221356
1 "Walking" -0.078942099
1 "Walking" -0.080965804
1 "Walking" -0.16727212
1 "Walking" -0.074902557
1 "Walking" -0.036449241
1 "Walking" -0.14087973
1 "Walking" -0.13067143
1 "Walking" -0.13032036
1 "Walking" -0.06323997
1 "Walking" -0.052605872
1 "Walking" -0.14662653
1 "Walking" -0.20792331
1 "Walking" -0.11174595
1 "Walking" -0.016451704
1 "Walking" 0.091140362
1 "Walking" 0.19006532
1 "Walking" 0.1129917
1 "Walking" -0.061674731
1 "Walking" 0.11352345
1 "Walking" 0.096653076
1 "Walking" -0.13298786
1 "Walking" -0.076552534
1 "Walking Down Stairs" -0.27336495
1 "Walking Down Stairs" -0.25593067
1 "Walking Down Stairs" -0.13479339
1 "Walking Down Stairs" -0.11327409
1 "Walking Down Stairs" -0.099487124
1 "Walking Down Stairs" 0.081884797
1 "Walking Down Stairs" 0.1091199
1 "Walking Down Stairs" -0.081719331
1 "Walking Down Stairs" -0.10142261
1 "Walking Down Stairs" 0.19471036
1 "Walking Down Stairs" 0.14193045
1 "Walking Down Stairs" 0.21327954
1 "Walking Down Stairs" 0.061160742
1 "Walking Down Stairs" -0.087093346
1 "Walking Down Stairs" -0.048892158
1 "Walking Down Stairs" 0.0036758817
1 "Walking Down Stairs" -0.039654553
1 "Walking Down Stairs" -0.24524912
1 "Walking Down Stairs" -0.16783647
1 "Walking Down Stairs" -0.016841043
1 "Walking Down Stairs" -0.033521368
1 "Walking Down Stairs" -0.18286349
1 "Walking Down Stairs" -0.26691238
1 "Walking Down Stairs" -0.24501701
1 "Walking Down Stairs" -0.19402981
1 "Walking Down Stairs" -0.30620907
1 "Walking Down Stairs" -0.10337625
1 "Walking Down Stairs" -0.045742997
1 "Walking Down Stairs" 0.11031513
1 "Walking Down Stairs" -0.019994109
1 "Walking Down Stairs" -0.1747909
1 "Walking Down Stairs" -0.092925019
1 "Walking Down Stairs" -0.04073281
1 "Walking Down Stairs" -0.047369708
1 "Walking Down Stairs" 0.042624215
1 "Walking Down Stairs" 0.052882086
1 "Walking Down Stairs" -0.025571745
1 "Walking Down Stairs" -0.046340475
1 "Walking Down Stairs" -0.06415518
1 "Walking Down Stairs" -0.084611137
1 "Walking Down Stairs" -0.066715005
1 "Walking Down Stairs" 0.068537114
1 "Walking Down Stairs" 0.027200265
1 "Walking Down Stairs" -0.087204118
1 "Walking Down Stairs" -0.21346144
1 "Walking Down Stairs" -0.10221709
1 "Walking Down Stairs" 0.02336676
