"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.97808212
1 "Lying" -0.98186428
1 "Lying" -0.98967088
1 "Lying" -0.99697789
1 "Lying" -0.99697789
1 "Lying" -0.9804661
1 "Lying" -0.9804661
1 "Lying" -0.98312648
1 "Lying" -0.98312648
1 "Lying" -0.98477935
1 "Lying" -0.98477935
1 "Lying" -0.99246387
1 "Lying" -0.99246387
1 "Lying" -0.96647414
1 "Lying" -0.96889178
1 "Lying" -0.96889178
1 "Lying" -0.91694953
1 "Lying" -0.94319292
1 "Lying" -0.94319292
1 "Lying" -0.79524517
1 "Lying" -0.92438399
1 "Lying" -0.98380991
1 "Lying" -0.98380991
1 "Lying" -0.98689976
1 "Lying" -0.98689976
1 "Lying" -0.97326518
1 "Lying" -0.98154217
1 "Lying" -0.98012078
1 "Lying" -0.99275344
1 "Lying" -0.99275344
1 "Lying" -0.98989378
1 "Lying" -0.98434
1 "Lying" -0.99193706
1 "Lying" -0.99193706
1 "Lying" -0.99142434
1 "Lying" -0.99142434
1 "Lying" -0.99880741
1 "Lying" -0.99880741
1 "Lying" -0.99312353
1 "Lying" -0.9065722
1 "Lying" -0.97043298
1 "Lying" -0.97043298
1 "Lying" -0.97932312
1 "Lying" -0.99734579
1 "Lying" -0.99734579
1 "Lying" -0.98457892
1 "Lying" -0.98801675
1 "Lying" -0.98801675
1 "Lying" -0.99053245
1 "Lying" -0.9928923
1 "Sitting" -0.99120847
1 "Sitting" -0.99120847
1 "Sitting" -0.99301198
1 "Sitting" -0.99301198
1 "Sitting" -0.98132454
1 "Sitting" -0.99317504
1 "Sitting" -0.99317504
1 "Sitting" -0.97601033
1 "Sitting" -0.98468412
1 "Sitting" -0.98468412
1 "Sitting" -0.98081241
1 "Sitting" -0.98789428
1 "Sitting" -0.98789428
1 "Sitting" -0.98705928
1 "Sitting" -0.98398162
1 "Sitting" -0.98398162
1 "Sitting" -0.97920399
1 "Sitting" -0.99717176
1 "Sitting" -0.99717176
1 "Sitting" -0.9911395
1 "Sitting" -0.9911395
1 "Sitting" -0.97680023
1 "Sitting" -0.98298521
1 "Sitting" -0.98298521
1 "Sitting" -0.98364338
1 "Sitting" -0.98364338
1 "Sitting" -0.99266886
1 "Sitting" -0.98390436
1 "Sitting" -0.98390436
