"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.96596042
1 "Lying" -0.99516354
1 "Lying" -0.99737683
1 "Lying" -0.99420445
1 "Lying" -0.9968923
1 "Lying" -0.99268089
1 "Lying" -0.99115516
1 "Lying" -0.99600391
1 "Lying" -0.99701624
1 "Lying" -0.99420621
1 "Lying" -0.99316454
1 "Lying" -0.99677233
1 "Lying" -0.99475623
1 "Lying" -0.94528365
1 "Lying" -0.99057986
1 "Lying" -0.9367147
1 "Lying" -0.93098243
1 "Lying" -0.97427493
1 "Lying" -0.87827589
1 "Lying" -0.81196219
1 "Lying" -0.83171041
1 "Lying" -0.93311282
1 "Lying" -0.98126795
1 "Lying" -0.9836454
1 "Lying" -0.9940699
1 "Lying" -0.99463082
1 "Lying" -0.99139583
1 "Lying" -0.98273522
1 "Lying" -0.99481826
1 "Lying" -0.99460062
1 "Lying" -0.99229979
1 "Lying" -0.99309269
1 "Lying" -0.99589823
1 "Lying" -0.99386342
1 "Lying" -0.99521835
1 "Lying" -0.99604304
1 "Lying" -0.99530375
1 "Lying" -0.99621983
1 "Lying" -0.99510037
1 "Lying" -0.88664375
1 "Lying" -0.95017426
1 "Lying" -0.98168721
1 "Lying" -0.9879989
1 "Lying" -0.99192431
1 "Lying" -0.98692048
1 "Lying" -0.99115601
1 "Lying" -0.99512635
1 "Lying" -0.99132
1 "Lying" -0.99507486
1 "Lying" -0.99482324
1 "Sitting" -0.99673689
1 "Sitting" -0.99742453
1 "Sitting" -0.99516317
1 "Sitting" -0.99340187
1 "Sitting" -0.99700949
1 "Sitting" -0.99697994
1 "Sitting" -0.99493502
1 "Sitting" -0.9965211
1 "Sitting" -0.99676062
1 "Sitting" -0.99474395
1 "Sitting" -0.99364593
1 "Sitting" -0.99818963
1 "Sitting" -0.99799759
1 "Sitting" -0.99800614
1 "Sitting" -0.99488664
1 "Sitting" -0.99697403
1 "Sitting" -0.99412692
1 "Sitting" -0.99585503
1 "Sitting" -0.99637143
1 "Sitting" -0.99870726
1 "Sitting" -0.99774799
1 "Sitting" -0.9967528
1 "Sitting" -0.99665438
1 "Sitting" -0.99818511
1 "Sitting" -0.99734216
1 "Sitting" -0.99722903
1 "Sitting" -0.99353841
1 "Sitting" -0.99556503
1 "Sitting" -0.99605269
1 "Sitting" -0.9951444
1 "Sitting" -0.99610544
1 "Sitting" -0.99283355
1 "Sitting" -0.99065987
1 "Sitting" -0.99035081
