"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.84805415
1 "Lying" -0.84927081
1 "Lying" -0.90305949
1 "Lying" -0.72167728
1 "Lying" -0.92467389
1 "Lying" -0.79309229
1 "Lying" -0.64125802
1 "Lying" -0.86048152
1 "Lying" -0.92584221
1 "Lying" -0.82476222
1 "Lying" -0.75637146
1 "Lying" -0.93035126
1 "Lying" -0.88473559
1 "Lying" -0.8262994
1 "Lying" -0.90130044
1 "Lying" -0.92745709
1 "Lying" -0.90537285
1 "Lying" -0.77131015
1 "Lying" -0.65376594
1 "Lying" -0.9291341
1 "Lying" -0.92357875
1 "Lying" -0.78821669
1 "Lying" -0.80537578
1 "Lying" -0.81890697
1 "Lying" -0.78374833
1 "Lying" -0.84219929
1 "Lying" -0.85162061
1 "Lying" -0.83396329
1 "Lying" -0.85543307
1 "Lying" -0.90960584
1 "Lying" -0.78818744
1 "Lying" -0.82735628
1 "Lying" -0.75495337
1 "Lying" -0.81563087
1 "Lying" -0.88512724
1 "Lying" -0.9417344
1 "Lying" -0.86673616
1 "Lying" -0.87739155
1 "Lying" -0.81410452
1 "Lying" -0.86132368
1 "Lying" -0.94559392
1 "Lying" -0.91234491
1 "Lying" -0.95591515
1 "Lying" -0.84678283
1 "Lying" -0.75717998
1 "Lying" -0.77745032
1 "Lying" -0.86383566
1 "Lying" -0.71790742
1 "Lying" -0.88535788
1 "Lying" -0.85635418
1 "Sitting" -0.90374251
1 "Sitting" -0.91039449
1 "Sitting" -0.92354104
1 "Sitting" -0.75722852
1 "Sitting" -0.81298725
1 "Sitting" -0.90533841
1 "Sitting" -0.65219086
1 "Sitting" -0.87103902
1 "Sitting" -0.79942107
1 "Sitting" -0.86825037
1 "Sitting" -0.79356544
1 "Sitting" -0.84250823
1 "Sitting" -0.74681725
1 "Sitting" -0.83619668
1 "Sitting" -0.89823199
1 "Sitting" -0.90234856
1 "Sitting" -0.62983069
1 "Sitting" -0.82855905
1 "Sitting" -0.85813461
1 "Sitting" -0.94713002
1 "Sitting" -0.904326
1 "Sitting" -0.86323966
1 "Sitting" -0.84857989
1 "Sitting" -0.87283076
1 "Sitting" -0.73768773
1 "Sitting" -0.87555034
1 "Sitting" -0.20675026
1 "Sitting" -0.75514981
1 "Sitting" -0.92924759
1 "Sitting" -0.89985009
1 "Sitting" -0.94049777
1 "Sitting" -0.78738778
1 "Sitting" -0.7694021
1 "Sitting" -0.71346243
1 "Sitting" -0.81419818
1 "Sitting" -0.90085135
1 "Sitting" -0.83727506
1 "Sitting" -0.78895707
1 "Sitting" -0.88695954
1 "Sitting" -0.87513067
1 "Sitting" -0.89035522
1 "Sitting" -0.9432682
1 "Sitting" -0.85117517
1 "Sitting" -0.88588926
1 "Sitting" -0.91959156
1 "Sitting" -0.93145516
1 "Sitting" -0.89189833
1 "Sitting" -0.88365521
1 "Sitting" -0.81726246
1 "Sitting" -0.9008439
1 "Sitting" -0.86562862
1 "Sitting" -0.92930801
1 "Sitting" -0.9529679
1 "Standing" -0.77156238
1 "Standing" -0.79994498
1 "Standing" -0.91872901
1 "Standing" -0.42897192
1 "Standing" -0.71242425
1 "Standing" -0.23621787
1 "Standing" -0.92750631
1 "Standing" -0.88636602
1 "Standing" -0.87159158
1 "Standing" -0.8133078
1 "Standing" -0.86793341
1 "Standing" -0.74708896
1 "Standing" -0.74198267
1 "Standing" -0.84918184
1 "Standing" -0.91815573
1 "Standing" -0.91265509
1 "Standing" -0.87976862
1 "Standing" -0.9417303
1 "Standing" -0.64492619
1 "Standing" 0.079418416
1 "Standing" -0.80550025
1 "Standing" -0.61766035
1 "Standing" -0.82977503
1 "Standing" -0.88959988
1 "Standing" -0.91296606
1 "Standing" -0.62601302
1 "Standing" -0.50092322
1 "Standing" -0.65756853
1 "Standing" -0.81131224
1 "Standing" -0.84492755
1 "Standing" -0.79504303
1 "Standing" -0.59179799
1 "Standing" -0.74531001
1 "Standing" -0.85967737
1 "Standing" -0.92834242
1 "Standing" -0.87296626
1 "Standing" -0.6598701
1 "Standing" -0.5821325
1 "Standing" -0.78926679
1 "Standing" -0.96970454
1 "Standing" -0.96047633
1 "Standing" -0.68749364
1 "Standing" -0.95495712
1 "Standing" -0.87842043
1 "Standing" -0.90173186
1 "Standing" -0.77491423
1 "Standing" -0.71062345
1 "Walking" -0.83456258
1 "Walking" -0.66765604
1 "Walking" -0.68797046
1 "Walking" -0.63777661
1 "Walking" -0.73430695
