"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.705164
1 "Lying" -0.63591922
1 "Lying" -0.64212387
1 "Lying" -0.68460719
1 "Lying" -0.6412131
1 "Lying" -0.55800806
1 "Lying" -0.63883393
1 "Lying" -0.60809664
1 "Lying" -0.60521252
1 "Lying" -0.45973266
1 "Lying" -0.70498936
1 "Lying" -0.67494187
1 "Lying" -0.55071242
1 "Lying" -0.57736104
1 "Lying" -0.66823973
1 "Lying" -0.73264609
1 "Lying" -0.67760246
1 "Lying" -0.51689763
1 "Lying" -0.57951994
1 "Lying" -0.38864907
1 "Lying" -0.430985
1 "Lying" -0.84374544
1 "Lying" -0.36140416
1 "Lying" -0.64604273
1 "Lying" -0.75796217
1 "Lying" -0.73681395
1 "Lying" -0.7366165
1 "Lying" -0.59629891
1 "Lying" -0.63592917
1 "Lying" -0.58418411
1 "Lying" -0.60102778
1 "Lying" -0.65364976
1 "Lying" -0.63768881
1 "Lying" -0.5428841
1 "Lying" -0.3522478
1 "Lying" -0.46677258
1 "Lying" -0.47885673
1 "Lying" -0.48230805
1 "Lying" -0.56909729
1 "Lying" -0.66763289
1 "Lying" -0.77255247
1 "Lying" -0.73899867
1 "Lying" -0.11310719
1 "Lying" -0.47931182
1 "Lying" -0.85677467
1 "Lying" -0.77027957
1 "Lying" -0.45456723
1 "Lying" -0.66511339
1 "Lying" -0.084472549
1 "Lying" -0.38656744
1 "Sitting" -0.50734474
1 "Sitting" -0.65553468
1 "Sitting" -0.80340654
1 "Sitting" -0.57703837
1 "Sitting" -0.76436937
1 "Sitting" -0.72259902
1 "Sitting" -0.42013736
1 "Sitting" -0.38012059
1 "Sitting" -0.27934516
1 "Sitting" -0.57461666
1 "Sitting" -0.70412647
1 "Sitting" -0.50988745
1 "Sitting" -0.46694007
1 "Sitting" -0.42595412
1 "Sitting" -0.54599422
1 "Sitting" -0.5579417
1 "Sitting" -0.62482303
1 "Sitting" -0.45411374
1 "Sitting" -0.53642637
1 "Sitting" -0.62805379
1 "Sitting" -0.81807946
1 "Sitting" -0.57593016
1 "Sitting" -0.47651286
1 "Sitting" -0.62329939
1 "Sitting" -0.56248361
1 "Sitting" -0.42819343
1 "Sitting" -0.76557603
1 "Sitting" -0.7202806
1 "Sitting" -0.60528576
1 "Sitting" -0.43590117
1 "Sitting" -0.6937479
1 "Sitting" -0.59790407
1 "Sitting" -0.57050401
1 "Sitting" -0.44456705
1 "Sitting" -0.37562463
1 "Sitting" -0.61321537
1 "Sitting" -0.64870928
1 "Sitting" -0.55993084
1 "Sitting" -0.39338822
1 "Sitting" -0.47547762
1 "Sitting" -0.5408608
1 "Sitting" -0.50983159
1 "Sitting" -0.63697521
1 "Sitting" -0.35355571
1 "Sitting" -0.67625864
1 "Sitting" -0.62929998
1 "Sitting" -0.76215145
1 "Sitting" -0.7042042
1 "Sitting" -0.59978982
1 "Sitting" -0.37896852
1 "Sitting" -0.75106136
1 "Sitting" -0.58625591
1 "Sitting" -0.53255243
1 "Standing" -0.032646948
1 "Standing" -0.73217495
1 "Standing" -0.53053645
1 "Standing" -0.46751086
1 "Standing" -0.30870775
1 "Standing" -0.53958467
1 "Standing" -0.5652826
1 "Standing" -0.72271594
1 "Standing" -0.62070121
1 "Standing" -0.57254548
1 "Standing" -0.63726803
1 "Standing" -0.64257604
1 "Standing" -0.56465244
1 "Standing" -0.57125157
1 "Standing" -0.52833093
1 "Standing" -0.57583602
1 "Standing" -0.56608255
1 "Standing" -0.50472307
1 "Standing" -0.53003662
1 "Standing" -0.59001714
1 "Standing" -0.80478653
1 "Standing" -0.54739554
1 "Standing" -0.40619041
1 "Standing" -0.47945604
1 "Standing" -0.66943295
1 "Standing" -0.60319432
1 "Standing" -0.73822504
1 "Standing" -0.53230015
1 "Standing" -0.68106412
1 "Standing" -0.56191348
1 "Standing" -0.65422442
1 "Standing" -0.73622782
1 "Standing" -0.60110556
1 "Standing" -0.57937299
1 "Standing" -0.70330536
1 "Standing" -0.53049704
1 "Standing" -0.6317647
1 "Standing" -0.7052743
1 "Standing" -0.54076488
1 "Standing" -0.60784694
1 "Standing" -0.78723006
1 "Standing" -0.57515279
1 "Standing" -0.69557289
1 "Standing" -0.63322274
1 "Standing" -0.85716427
1 "Standing" -0.79518214
1 "Standing" -0.58845328
1 "Walking" -0.46517941
1 "Walking" -0.26703592
1 "Walking" -0.44366884
1 "Walking" -0.42610215
1 "Walking" -0.28299356
1 "Walking" -0.19078477
1 "Walking" -0.34808672
1 "Walking" -0.4992007
1 "Walking" -0.63250551
1 "Walking" -0.57032531
1 "Walking" -0.20202429
1 "Walking" -0.4210009
1 "Walking" -0.43904037
1 "Walking" -0.32667008
1 "Walking" -0.38595522
1 "Walking" -0.29789383
1 "Walking" -0.44542706
1 "Walking" -0.36018113
1 "Walking" -0.46494005
1 "Walking" -0.12035292
1 "Walking" -0.44823371
1 "Walking" -0.58840826
1 "Walking" -0.55861477
1 "Walking" -0.55598385
1 "Walking" -0.4780108
1 "Walking" -0.16508976
1 "Walking" -0.35809794
1 "Walking" -0.41635582
1 "Walking" -0.50797154
1 "Walking" -0.39115459
1 "Walking" -0.29792077
1 "Walking" -0.52500313
1 "Walking" -0.48017451
1 "Walking" -0.51971375
1 "Walking" -0.52825473
1 "Walking" -0.47952514
1 "Walking" -0.48658215
1 "Walking" -0.38014442
1 "Walking" -0.48333452
1 "Walking" -0.65194731
1 "Walking" -0.57111622
1 "Walking" -0.52908285
1 "Walking" -0.42596318
1 "Walking" -0.34102986
1 "Walking" -0.42346936
1 "Walking" -0.34172641
1 "Walking" -0.51127487
1 "Walking" -0.12343934
1 "Walking" 0.32593789
1 "Walking" 0.15491113
