"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.86206897
1 "Lying" -0.79310345
1 "Lying" -0.72413793
1 "Lying" -0.72413793
1 "Lying" 0.17241379
1 "Lying" -0.86206897
1 "Lying" 0.5862069
1 "Lying" 0.17241379
1 "Lying" -0.31034483
1 "Lying" -0.37931034
1 "Lying" -0.5862069
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.79310345
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.93103448
1 "Lying" -1
1 "Lying" -0.93103448
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.93103448
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.17241379
1 "Lying" -0.37931034
1 "Lying" -0.24137931
1 "Lying" -0.37931034
1 "Lying" -0.44827586
1 "Lying" -0.37931034
1 "Lying" -1
1 "Lying" -0.44827586
1 "Lying" -0.37931034
1 "Lying" -0.5862069
1 "Lying" -0.93103448
1 "Lying" -1
1 "Lying" -0.93103448
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.93103448
1 "Lying" -1
1 "Lying" -0.93103448
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Sitting" -0.79310345
1 "Sitting" -1
1 "Sitting" -0.86206897
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.93103448
1 "Sitting" -1
1 "Sitting" 0.10344828
1 "Sitting" -1
1 "Sitting" -0.93103448
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" 0.44827586
1 "Sitting" 0.44827586
1 "Sitting" -0.24137931
1 "Sitting" -0.86206897
1 "Sitting" -0.17241379
1 "Sitting" -0.93103448
1 "Sitting" -0.44827586
1 "Sitting" -0.72413793
1 "Sitting" 0.17241379
1 "Sitting" -0.93103448
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.93103448
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.65517241
1 "Sitting" -1
1 "Sitting" -0.17241379
1 "Sitting" -1
1 "Sitting" -0.86206897
1 "Sitting" -0.86206897
1 "Sitting" -0.5862069
1 "Sitting" -1
1 "Sitting" -0.86206897
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.5862069
1 "Sitting" -0.65517241
1 "Sitting" -1
1 "Sitting" -0.37931034
1 "Sitting" -1
1 "Sitting" -0.51724138
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.93103448
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.93103448
1 "Standing" -1
1 "Standing" -1
1 "Standing" 0.31034483
1 "Standing" -0.72413793
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.86206897
1 "Standing" -0.79310345
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.86206897
1 "Standing" -0.86206897
1 "Standing" 0.034482759
1 "Standing" -1
1 "Standing" -0.93103448
1 "Standing" -0.86206897
1 "Standing" -0.93103448
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.79310345
1 "Standing" -0.31034483
1 "Standing" 0.17241379
1 "Standing" -0.37931034
1 "Standing" -0.93103448
1 "Standing" -0.24137931
1 "Standing" -0.86206897
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.93103448
1 "Standing" -1
1 "Standing" -0.5862069
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.93103448
1 "Standing" -0.86206897
1 "Standing" -0.93103448
1 "Standing" -1
1 "Standing" -0.93103448
1 "Walking" -0.79310345
1 "Walking" -0.24137931
1 "Walking" -0.93103448
1 "Walking" -0.5862069
1 "Walking" -0.24137931
1 "Walking" -0.24137931
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.5862069
1 "Walking" -0.93103448
1 "Walking" -0.72413793
1 "Walking" -0.24137931
1 "Walking" -0.24137931
1 "Walking" -0.24137931
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.5862069
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.44827586
1 "Walking" -0.86206897
1 "Walking" -0.93103448
1 "Walking" -0.37931034
1 "Walking" -0.72413793
1 "Walking" -0.5862069
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.5862069
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.5862069
1 "Walking" -0.86206897
1 "Walking" -0.93103448
1 "Walking" -0.5862069
1 "Walking" -0.5862069
1 "Walking" -0.5862069
1 "Walking" -0.93103448
1 "Walking" -0.5862069
1 "Walking" -0.31034483
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.31034483
1 "Walking" -0.5862069
1 "Walking" -0.31034483
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.65517241
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.31034483
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.31034483
1 "Walking" -0.31034483
1 "Walking" -0.93103448
1 "Walking" -0.72413793
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.86206897
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.31034483
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.79310345
1 "Walking" -0.31034483
1 "Walking" -0.31034483
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking" -0.93103448
1 "Walking Down Stairs" -0.79310345
1 "Walking Down Stairs" -0.51724138
1 "Walking Down Stairs" -0.51724138
1 "Walking Down Stairs" -0.79310345
1 "Walking Down Stairs" -0.79310345
1 "Walking Down Stairs" -0.79310345
1 "Walking Down Stairs" -0.79310345
1 "Walking Down Stairs" -0.79310345
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.79310345
1 "Walking Down Stairs" -0.72413793
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.86206897
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.37931034
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.37931034
1 "Walking Down Stairs" -0.72413793
1 "Walking Down Stairs" -0.93103448
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.51724138
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.44827586
1 "Walking Down Stairs" -0.44827586
