"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.90677536
1 "Lying" -0.98252334
1 "Lying" -0.99491986
1 "Lying" -0.99581249
1 "Lying" -0.99777102
1 "Lying" -0.99452846
1 "Lying" -0.9935332
1 "Lying" -0.99749601
1 "Lying" -0.99794942
1 "Lying" -0.99759991
1 "Lying" -0.99529989
1 "Lying" -0.99746615
1 "Lying" -0.99665439
1 "Lying" -0.66795296
1 "Lying" -0.9468788
1 "Lying" -0.58986322
1 "Lying" -0.55375198
1 "Lying" -0.80084104
1 "Lying" -0.78821094
1 "Lying" -0.56816883
1 "Lying" -0.59319684
1 "Lying" -0.94968334
1 "Lying" -0.97941285
1 "Lying" -0.98911291
1 "Lying" -0.99809062
1 "Lying" -0.99656373
1 "Lying" -0.99572666
1 "Lying" -0.95469109
1 "Lying" -0.9635751
1 "Lying" -0.99637715
1 "Lying" -0.99708282
1 "Lying" -0.99724527
1 "Lying" -0.99656311
1 "Lying" -0.99542628
1 "Lying" -0.99689464
1 "Lying" -0.99715507
1 "Lying" -0.99703935
1 "Lying" -0.99646032
1 "Lying" -0.99556492
1 "Lying" -0.62931393
1 "Lying" -0.68999585
1 "Lying" -0.95270919
1 "Lying" -0.95236353
1 "Lying" -0.9802713
1 "Lying" -0.97789654
1 "Lying" -0.98296506
1 "Lying" -0.99258557
1 "Lying" -0.97405199
1 "Lying" -0.94335612
1 "Lying" -0.94638674
1 "Sitting" -0.99375634
1 "Sitting" -0.99937173
1 "Sitting" -0.99815849
1 "Sitting" -0.99740352
1 "Sitting" -0.99927743
1 "Sitting" -0.99859793
1 "Sitting" -0.99695738
1 "Sitting" -0.99834695
1 "Sitting" -0.99717366
1 "Sitting" -0.99691343
1 "Sitting" -0.99646574
1 "Sitting" -0.99809918
1 "Sitting" -0.9988687
1 "Sitting" -0.99995159
1 "Sitting" -0.9864893
1 "Sitting" -0.99887232
1 "Sitting" -0.99819663
1 "Sitting" -0.99901272
1 "Sitting" -0.99789888
1 "Sitting" -0.99920493
1 "Sitting" -0.99852864
1 "Sitting" -0.99955202
1 "Sitting" -0.99850962
1 "Sitting" -0.99894324
1 "Sitting" -0.99858651
1 "Sitting" -0.99930853
1 "Sitting" -0.99871609
1 "Sitting" -0.96864692
1 "Sitting" -0.99688339
1 "Sitting" -0.99693808
1 "Sitting" -0.99460117
1 "Sitting" -0.98920718
1 "Sitting" -0.99577709
1 "Sitting" -0.99745603
1 "Sitting" -0.99786092
1 "Sitting" -0.99783078
1 "Sitting" -0.99680214
1 "Sitting" -0.9981873
1 "Sitting" -0.99834813
1 "Sitting" -0.99761577
1 "Sitting" -0.99809857
1 "Sitting" -0.9636708
1 "Sitting" -0.99482076
1 "Sitting" -0.99922995
1 "Sitting" -0.99881071
1 "Sitting" -0.99876867
1 "Sitting" -0.99822778
1 "Sitting" -0.99872767
1 "Sitting" -0.99857307
1 "Sitting" -0.99899434
1 "Sitting" -0.99824925
1 "Sitting" -0.99717783
1 "Sitting" -0.99899312
1 "Standing" -0.89152802
1 "Standing" -0.97940104
1 "Standing" -0.99166907
1 "Standing" -0.87039606
1 "Standing" -0.75293107
1 "Standing" -0.77229316
1 "Standing" -0.94845612
1 "Standing" -0.97226463
1 "Standing" -0.99098671
1 "Standing" -0.994747
1 "Standing" -0.99484722
1 "Standing" -0.97567081
1 "Standing" -0.99314026
1 "Standing" -0.99717631
1 "Standing" -0.99734907
1 "Standing" -0.99685439
1 "Standing" -0.99459654
1 "Standing" -0.9937423
1 "Standing" -0.99796996
1 "Standing" -0.99811357
1 "Standing" -0.99789241
1 "Standing" -0.99823049
1 "Standing" -0.99589678
1 "Standing" -0.99803253
1 "Standing" -0.94622414
1 "Standing" -0.98712473
1 "Standing" -0.99803669
1 "Standing" -0.99798441
1 "Standing" -0.99897749
1 "Standing" -0.99915509
1 "Standing" -0.99869632
1 "Standing" -0.99857767
1 "Standing" -0.99882348
1 "Standing" -0.99695302
1 "Standing" -0.99766175
1 "Standing" -0.95044064
1 "Standing" -0.99574563
1 "Standing" -0.99833667
1 "Standing" -0.99892392
1 "Standing" -0.99827934
1 "Standing" -0.99723366
1 "Standing" -0.99719744
1 "Standing" -0.99604679
1 "Standing" -0.99732099
1 "Standing" -0.9972093
1 "Standing" -0.99778421
1 "Standing" -0.99721132
1 "Walking" -0.59735228
1 "Walking" -0.4706854
1 "Walking" -0.42416769
1 "Walking" -0.41599095
1 "Walking" -0.3369351
1 "Walking" -0.32492873
1 "Walking" -0.49627988
1 "Walking" -0.60886545
1 "Walking" -0.56052893
1 "Walking" -0.51011338
1 "Walking" -0.42437773
1 "Walking" -0.32780847
1 "Walking" -0.29060202
1 "Walking" -0.25856118
1 "Walking" -0.40083392
1 "Walking" -0.43694834
1 "Walking" -0.39100585
1 "Walking" -0.53520974
1 "Walking" -0.64735709
1 "Walking" -0.63844673
1 "Walking" -0.34885237
1 "Walking" -0.28374459
1 "Walking" -0.31519108
1 "Walking" -0.25968848
1 "Walking" -0.29059434
1 "Walking" -0.45901972
1 "Walking" -0.49872874
1 "Walking" -0.43528306
1 "Walking" -0.44816374
1 "Walking" -0.4141406
1 "Walking" -0.39967779
1 "Walking" -0.5873678
1 "Walking" -0.63667105
1 "Walking" -0.35106261
1 "Walking" -0.34370842
1 "Walking" -0.34531525
1 "Walking" -0.38767218
1 "Walking" -0.49652506
1 "Walking" -0.50340833
1 "Walking" -0.58975768
1 "Walking" -0.63881236
1 "Walking" -0.6615983
1 "Walking" -0.6895006
1 "Walking" -0.71847135
1 "Walking" -0.68943085
1 "Walking" -0.63710093
1 "Walking" -0.60089996
1 "Walking" -0.54236926
1 "Walking" -0.54749803
1 "Walking" -0.49572071
1 "Walking" -0.54658485
1 "Walking" -0.57803585
1 "Walking" -0.63029018
1 "Walking" -0.59770109
1 "Walking" -0.64398957
1 "Walking" -0.63982647
1 "Walking" -0.61275707
1 "Walking" -0.60413605
1 "Walking" -0.58898139
1 "Walking" -0.56934935
1 "Walking" -0.50683597
1 "Walking" -0.55279755
1 "Walking" -0.62201169
1 "Walking" -0.65968852
1 "Walking" -0.68165455
1 "Walking" -0.6644427
1 "Walking" -0.6402163
1 "Walking" -0.64271538
1 "Walking" -0.5229757
1 "Walking" -0.50897451
1 "Walking" -0.47591215
1 "Walking" -0.5239072
1 "Walking" -0.6139951
1 "Walking" -0.55807905
1 "Walking" -0.58385956
1 "Walking" -0.60574701
1 "Walking" -0.58175063
1 "Walking" -0.57939779
1 "Walking" -0.60652167
1 "Walking" -0.49834427
1 "Walking" -0.55388809
1 "Walking" -0.52631656
1 "Walking" -0.56737499
1 "Walking" -0.58223557
1 "Walking" -0.62568119
1 "Walking" -0.62109954
1 "Walking" -0.61787799
1 "Walking" -0.63147531
1 "Walking" -0.58362658
1 "Walking" -0.51496422
1 "Walking" -0.53723928
1 "Walking" -0.54597697
1 "Walking" -0.55112949
1 "Walking" -0.64582077
1 "Walking" -0.629829
1 "Walking Down Stairs" -0.13488211
1 "Walking Down Stairs" 0.0061455463
1 "Walking Down Stairs" -0.095018411
1 "Walking Down Stairs" -0.16446748
1 "Walking Down Stairs" -0.0011780454
