"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.23409995
1 "Lying" -0.33089384
1 "Lying" 0.068314314
1 "Lying" 0.089330554
1 "Lying" -0.0049171859
1 "Lying" 0.037372839
1 "Lying" -0.0012076458
1 "Lying" 0.044484925
1 "Lying" 0.043309032
1 "Lying" 0.042898076
1 "Lying" 0.14855882
1 "Lying" 0.19291577
1 "Lying" 0.17455631
1 "Lying" -0.3029447
1 "Lying" -0.6433783
1 "Lying" -0.621766
1 "Lying" -0.85555911
1 "Lying" -0.32954732
1 "Lying" -0.44277372
1 "Lying" -0.35748385
1 "Lying" -0.48112763
1 "Lying" -0.23706382
1 "Lying" -0.16352692
1 "Lying" 0.12061108
1 "Lying" 0.09589006
1 "Lying" 0.2193379
1 "Lying" 0.1830802
1 "Lying" -0.44206327
1 "Lying" -0.47197044
1 "Lying" 0.076825204
1 "Lying" 0.083720281
1 "Lying" 0.26840234
1 "Lying" -0.093938229
1 "Lying" 0.0020994863
1 "Lying" 0.2527228
1 "Lying" 0.11636087
1 "Lying" 0.060660141
1 "Lying" -0.1036521
1 "Lying" 0.033137219
1 "Lying" -0.50094838
1 "Lying" -0.61751322
1 "Lying" -0.33440304
1 "Lying" -0.088032596
1 "Lying" -0.47670786
1 "Lying" -0.24873721
1 "Lying" -0.2004347
1 "Lying" -0.1117051
1 "Lying" -0.26432834
1 "Lying" -0.91246392
1 "Lying" -0.42103335
1 "Sitting" 0.2524829
1 "Sitting" 0.27130855
1 "Sitting" 0.12453124
1 "Sitting" 0.029044377
1 "Sitting" 0.18108977
1 "Sitting" 0.15738377
1 "Sitting" 0.43226331
1 "Sitting" 0.00077170101
1 "Sitting" -0.027979677
1 "Sitting" 0.0375992
1 "Sitting" 0.25452243
1 "Sitting" -0.079862491
1 "Sitting" 0.01088487
1 "Sitting" 0.25197966
1 "Sitting" -0.048520309
1 "Sitting" 0.035257506
1 "Sitting" 0.018894579
1 "Sitting" 0.1330314
1 "Sitting" 0.046132032
1 "Sitting" -0.020005744
1 "Sitting" 0.090345729
1 "Sitting" 0.12662814
1 "Sitting" 0.09708178
1 "Sitting" 0.18278855
1 "Sitting" 0.21581421
1 "Sitting" 0.082183504
1 "Sitting" 0.40897251
1 "Sitting" -0.42453792
1 "Sitting" -0.076500598
1 "Sitting" 0.00068018816
1 "Sitting" 0.14689513
1 "Sitting" -0.30287279
1 "Sitting" 0.13700997
1 "Sitting" 0.060927883
1 "Sitting" 0.048740779
1 "Sitting" 0.20238601
1 "Sitting" 0.20397965
1 "Sitting" 0.22381705
1 "Sitting" 0.21288359
1 "Sitting" -0.15394057
1 "Sitting" -0.020529334
1 "Sitting" -0.27901291
1 "Sitting" -0.048577604
1 "Sitting" 0.19840162
1 "Sitting" 0.22792651
1 "Sitting" 0.23843314
1 "Sitting" 0.50006053
1 "Sitting" 0.096065181
1 "Sitting" 0.086283203
1 "Sitting" -0.014354758
1 "Sitting" -0.036643151
1 "Sitting" 0.073440137
1 "Sitting" 0.019729748
1 "Standing" -0.35489841
1 "Standing" -0.16587014
1 "Standing" -0.039967658
1 "Standing" -0.33693309
1 "Standing" -0.68882682
1 "Standing" -0.19326051
1 "Standing" -0.37811345
1 "Standing" -0.37278954
1 "Standing" -0.34877332
1 "Standing" -0.018697562
1 "Standing" -0.11663145
1 "Standing" -0.29392057
1 "Standing" -0.21649809
1 "Standing" 0.076414562
1 "Standing" -0.083038861
1 "Standing" 0.13609128
1 "Standing" -0.12520054
1 "Standing" -0.020814968
1 "Standing" 0.15719605
1 "Standing" 0.079523072
1 "Standing" 0.18269637
1 "Standing" 0.003979131
1 "Standing" 0.076734385
1 "Standing" 0.39435475
1 "Standing" -0.12606358
1 "Standing" -0.38713276
1 "Standing" -0.12258937
1 "Standing" 0.0038861853
1 "Standing" 0.061236935
1 "Standing" 0.095438292
1 "Standing" -0.034332287
1 "Standing" -0.014939025
1 "Standing" 0.03136829
1 "Standing" 0.05793178
1 "Standing" 0.12039109
1 "Standing" -0.55857224
1 "Standing" -0.065481279
1 "Standing" -0.0039357994
1 "Standing" 0.20361735
1 "Standing" 0.19350478
1 "Standing" 0.14179812
1 "Standing" 0.0054948253
1 "Standing" 0.083996266
1 "Standing" 0.098938174
1 "Standing" 0.03095911
1 "Standing" 0.47032927
1 "Standing" 0.034262167
1 "Walking" -0.24034828
1 "Walking" -0.28387838
1 "Walking" -0.3321629
1 "Walking" -0.21796917
1 "Walking" -0.21327457
1 "Walking" -0.42629225
1 "Walking" -0.18009996
1 "Walking" -0.22231137
1 "Walking" -0.2490708
1 "Walking" -0.16923038
1 "Walking" -0.22292729
1 "Walking" -0.082171576
1 "Walking" -0.2117895
1 "Walking" -0.37298276
1 "Walking" -0.30295875
1 "Walking" -0.15339623
1 "Walking" -0.14027408
1 "Walking" -0.10902402
1 "Walking" -0.20649706
1 "Walking" 0.098227535
1 "Walking" -0.27082482
1 "Walking" -0.11015741
1 "Walking" -0.2945818
1 "Walking" -0.075308812
1 "Walking" -0.23620845
1 "Walking" -0.30996813
1 "Walking" -0.38002627
1 "Walking" -0.122201
1 "Walking" -0.28765836
1 "Walking" -0.150504
1 "Walking" -0.15266636
1 "Walking" -0.16442058
1 "Walking" -0.22540104
1 "Walking" -0.36236478
1 "Walking" -0.22529368
1 "Walking" -0.033257916
1 "Walking" -0.22194565
1 "Walking" -0.29584285
1 "Walking" -0.25218986
1 "Walking" -0.2893826
1 "Walking" -0.32834298
1 "Walking" -0.31033194
1 "Walking" -0.23163747
1 "Walking" -0.19117915
1 "Walking" -0.23568247
1 "Walking" -0.17083963
1 "Walking" -0.27294097
1 "Walking" -0.22986738
1 "Walking" 0.047896335
1 "Walking" 0.11250513
1 "Walking" -0.054878545
1 "Walking" 0.022569664
1 "Walking" -0.23319409
1 "Walking" -0.2423214
1 "Walking" -0.33388238
1 "Walking" -0.31745865
1 "Walking" -0.28345262
1 "Walking" -0.2796669
1 "Walking" -0.15311856
1 "Walking" -0.1246648
1 "Walking" -0.31876202
1 "Walking" -0.18509408
1 "Walking" -0.17293156
1 "Walking" -0.1586194
1 "Walking" -0.27390171
1 "Walking" -0.36478347
1 "Walking" -0.35148766
1 "Walking" -0.18984257
1 "Walking" -0.1213591
1 "Walking" -0.010703319
1 "Walking" -0.11353285
1 "Walking" -0.21431565
1 "Walking" -0.073055638
1 "Walking" -0.14406643
1 "Walking" -0.15014561
1 "Walking" -0.33251465
1 "Walking" -0.21083705
1 "Walking" -0.076338141
1 "Walking" -0.1470234
1 "Walking" -0.39332493
1 "Walking" -0.27710182
1 "Walking" -0.18400594
1 "Walking" -0.25805598
1 "Walking" -0.34055635
1 "Walking" -0.096487364
1 "Walking" -0.24022811
1 "Walking" -0.21389026
1 "Walking" -0.27141571
1 "Walking" -0.17097276
1 "Walking" -0.13288659
1 "Walking" -0.12141019
1 "Walking" -0.20213856
1 "Walking" -0.13800889
1 "Walking" -0.28843545
1 "Walking" -0.2697374
1 "Walking Down Stairs" -0.28457203
1 "Walking Down Stairs" -0.32609418
1 "Walking Down Stairs" -0.30666328
1 "Walking Down Stairs" -0.41859341
1 "Walking Down Stairs" -0.45731041
1 "Walking Down Stairs" -0.39639257
1 "Walking Down Stairs" -0.3337301
1 "Walking Down Stairs" -0.4272078
1 "Walking Down Stairs" -0.48642649
1 "Walking Down Stairs" -0.057546152
1 "Walking Down Stairs" -0.46096397
1 "Walking Down Stairs" -0.027967766
1 "Walking Down Stairs" 0.021608073
1 "Walking Down Stairs" -0.49960638
1 "Walking Down Stairs" -0.031296514
1 "Walking Down Stairs" -0.34662496
1 "Walking Down Stairs" -0.36107357
1 "Walking Down Stairs" -0.50351863
1 "Walking Down Stairs" -0.29926436
1 "Walking Down Stairs" -0.13837226
1 "Walking Down Stairs" -0.40863588
1 "Walking Down Stairs" -0.21248655
1 "Walking Down Stairs" -0.34187474
1 "Walking Down Stairs" -0.29518602
1 "Walking Down Stairs" -0.41702839
1 "Walking Down Stairs" -0.47791557
1 "Walking Down Stairs" -0.40139607
1 "Walking Down Stairs" -0.34356362
1 "Walking Down Stairs" -0.21918372
1 "Walking Down Stairs" -0.34781169
1 "Walking Down Stairs" -0.30113488
1 "Walking Down Stairs" -0.35640549
1 "Walking Down Stairs" -0.51348315
1 "Walking Down Stairs" -0.092042256
1 "Walking Down Stairs" -0.25999681
1 "Walking Down Stairs" -0.0099171767
1 "Walking Down Stairs" -0.43555457
1 "Walking Down Stairs" -0.24832057
1 "Walking Down Stairs" -0.42261239
1 "Walking Down Stairs" -0.23467863
1 "Walking Down Stairs" -0.49555946
1 "Walking Down Stairs" -0.3917669
1 "Walking Down Stairs" -0.52361754
1 "Walking Down Stairs" -0.26612862
1 "Walking Down Stairs" -0.30144241
1 "Walking Down Stairs" -0.34517602
1 "Walking Down Stairs" 0.033854976
1 "Walking Down Stairs" -0.41238581
1 "Walking Down Stairs" 0.12070198
1 "Walking Up Stairs" -0.35590089
1 "Walking Up Stairs" -0.4951361
1 "Walking Up Stairs" -0.67243914
1 "Walking Up Stairs" -0.57319392
1 "Walking Up Stairs" -0.5386935
1 "Walking Up Stairs" -0.61283262
1 "Walking Up Stairs" -0.42352586
1 "Walking Up Stairs" -0.4085944
1 "Walking Up Stairs" -0.41748087
1 "Walking Up Stairs" -0.61122329
1 "Walking Up Stairs" -0.54756756
1 "Walking Up Stairs" -0.54972396
1 "Walking Up Stairs" -0.34830221
1 "Walking Up Stairs" -0.27293867
1 "Walking Up Stairs" -0.41951706
1 "Walking Up Stairs" -0.62041025
1 "Walking Up Stairs" -0.7180891
1 "Walking Up Stairs" -0.5328074
1 "Walking Up Stairs" -0.42832271
1 "Walking Up Stairs" -0.54656574
1 "Walking Up Stairs" -0.56726438
1 "Walking Up Stairs" -0.47983917
1 "Walking Up Stairs" 0.0347488
1 "Walking Up Stairs" -0.18704711
1 "Walking Up Stairs" -0.24430431
1 "Walking Up Stairs" -0.03407521
1 "Walking Up Stairs" -0.46087406
