"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.88694847
1 "Lying" -0.98900774
1 "Lying" -0.99425887
1 "Lying" -0.99345251
1 "Lying" -0.99506101
1 "Lying" -0.99566666
1 "Lying" -0.99237655
1 "Lying" -0.99259551
1 "Lying" -0.98974733
1 "Lying" -0.98879666
1 "Lying" -0.99380373
1 "Lying" -0.99388245
1 "Lying" -0.9939895
1 "Lying" -0.78963798
1 "Lying" -0.95410178
1 "Lying" -0.37047418
1 "Lying" -0.35302765
1 "Lying" -0.80454766
1 "Lying" -0.65641474
1 "Lying" 0.26319965
1 "Lying" 0.029028661
1 "Lying" -0.38761604
1 "Lying" -0.68463497
1 "Lying" -0.93234665
1 "Lying" -0.98321534
1 "Lying" -0.98817303
1 "Lying" -0.98845507
1 "Lying" -0.94839291
1 "Lying" -0.98281659
1 "Lying" -0.99195792
1 "Lying" -0.99144214
1 "Lying" -0.99225653
1 "Lying" -0.99576167
1 "Lying" -0.99464912
1 "Lying" -0.99022725
1 "Lying" -0.98893493
1 "Lying" -0.99120974
1 "Lying" -0.99364512
1 "Lying" -0.99575514
1 "Lying" -0.50567557
1 "Lying" -0.84075912
1 "Lying" -0.96654308
1 "Lying" -0.96925136
1 "Lying" -0.96580292
1 "Lying" -0.98409837
1 "Lying" -0.99026874
1 "Lying" -0.98746795
1 "Lying" -0.95840615
1 "Lying" -0.97775339
1 "Lying" -0.95018078
1 "Sitting" -0.9829841
1 "Sitting" -0.97685173
1 "Sitting" -0.97251146
1 "Sitting" -0.98356972
1 "Sitting" -0.98230099
1 "Sitting" -0.9869395
1 "Sitting" -0.96761161
1 "Sitting" -0.97429127
1 "Sitting" -0.96820527
1 "Sitting" -0.97031864
1 "Sitting" -0.970608
1 "Sitting" -0.98491607
1 "Sitting" -0.98715877
1 "Sitting" -0.98880768
1 "Sitting" -0.88341385
1 "Sitting" -0.98317075
1 "Sitting" -0.98725851
1 "Sitting" -0.98804239
1 "Sitting" -0.99094436
1 "Sitting" -0.99029766
1 "Sitting" -0.99261084
1 "Sitting" -0.98697802
1 "Sitting" -0.9864129
1 "Sitting" -0.98498699
1 "Sitting" -0.98672372
1 "Sitting" -0.9852728
1 "Sitting" -0.98994616
1 "Sitting" -0.95613023
1 "Sitting" -0.9739602
1 "Sitting" -0.97901058
1 "Sitting" -0.95345372
1 "Sitting" -0.9388876
1 "Sitting" -0.9580628
1 "Sitting" -0.98214212
1 "Sitting" -0.99119421
1 "Sitting" -0.97352809
1 "Sitting" -0.97172973
1 "Sitting" -0.98759378
1 "Sitting" -0.98536527
1 "Sitting" -0.9817294
1 "Sitting" -0.98299739
1 "Sitting" -0.8775028
1 "Sitting" -0.96920378
1 "Sitting" -0.9852274
1 "Sitting" -0.98739783
1 "Sitting" -0.98794045
1 "Sitting" -0.98488783
1 "Sitting" -0.98837717
1 "Sitting" -0.9921003
1 "Sitting" -0.99229406
1 "Sitting" -0.9898095
1 "Sitting" -0.9889694
1 "Sitting" -0.99212553
1 "Standing" -0.43277861
1 "Standing" -0.9319656
1 "Standing" -0.95749137
1 "Standing" -0.76550533
1 "Standing" -0.70656744
1 "Standing" -0.76166325
1 "Standing" -0.87902803
1 "Standing" -0.97465043
1 "Standing" -0.99340829
1 "Standing" -0.99272576
1 "Standing" -0.99169066
1 "Standing" -0.89914658
1 "Standing" -0.95409312
1 "Standing" -0.9848406
1 "Standing" -0.98576419
1 "Standing" -0.98765983
1 "Standing" -0.9811016
1 "Standing" -0.98542913
1 "Standing" -0.98909018
1 "Standing" -0.98676236
1 "Standing" -0.98750126
1 "Standing" -0.99135022
1 "Standing" -0.98862922
1 "Standing" -0.98424139
1 "Standing" -0.68530102
1 "Standing" -0.93618074
1 "Standing" -0.98447803
1 "Standing" -0.98794872
1 "Standing" -0.98984828
1 "Standing" -0.98963263
1 "Standing" -0.99014046
1 "Standing" -0.98995536
1 "Standing" -0.99174931
1 "Standing" -0.99138086
1 "Standing" -0.98984103
1 "Standing" -0.9175816
1 "Standing" -0.97207077
1 "Standing" -0.97585495
1 "Standing" -0.9865746
1 "Standing" -0.98876531
1 "Standing" -0.98386395
1 "Standing" -0.98601658
1 "Standing" -0.99175458
1 "Standing" -0.98969142
1 "Standing" -0.98913104
1 "Standing" -0.98643708
1 "Standing" -0.9846911
1 "Walking" -0.1225668
1 "Walking" -0.029049967
1 "Walking" 0.025426852
1 "Walking" 0.1952672
1 "Walking" 0.11028848
1 "Walking" 0.057822283
1 "Walking" -0.041627698
1 "Walking" -0.0046568174
1 "Walking" -0.062349562
1 "Walking" 0.10852771
1 "Walking" -0.042937314
1 "Walking" 0.01859811
1 "Walking" -0.058279826
1 "Walking" 0.095769616
1 "Walking" 0.1882365
1 "Walking" 0.18180734
1 "Walking" 0.11766809
1 "Walking" 0.11655763
1 "Walking" 0.15986671
1 "Walking" 0.022032211
1 "Walking" 0.11969439
1 "Walking" 0.019272438
1 "Walking" -0.037894869
1 "Walking" 0.14147675
1 "Walking" 0.2631908
1 "Walking" 0.28209227
1 "Walking" 0.23445238
1 "Walking" 0.0037015146
1 "Walking" 0.15270123
1 "Walking" 0.25043745
1 "Walking" 0.28918611
1 "Walking" 0.10651951
1 "Walking" 0.11592413
1 "Walking" 0.18754281
1 "Walking" 0.096949071
1 "Walking" 0.0010569448
1 "Walking" -0.012330967
1 "Walking" 0.12843893
1 "Walking" 0.02881646
1 "Walking" 0.03753516
1 "Walking" 0.028869328
1 "Walking" -0.079543157
1 "Walking" -0.061695848
1 "Walking" 0.047138317
1 "Walking" 0.093792942
1 "Walking" 0.060124554
1 "Walking" -0.10105966
1 "Walking" -0.16950503
1 "Walking" -0.032864372
1 "Walking" -0.016403981
1 "Walking" 0.037525448
1 "Walking" -0.0066830549
1 "Walking" 0.054663691
1 "Walking" 0.12278195
1 "Walking" 0.010208082
1 "Walking" -0.022898218
1 "Walking" 0.13875164
1 "Walking" 0.14291693
1 "Walking" 0.030616177
1 "Walking" 0.068269694
1 "Walking" 0.16820242
1 "Walking" 0.27323222
1 "Walking" 0.26796911
1 "Walking" 0.18412037
1 "Walking" 0.13198614
1 "Walking" 0.082062764
1 "Walking" 0.14935274
1 "Walking" 0.20200668
1 "Walking" 0.15553924
1 "Walking" 0.064030975
1 "Walking" 0.24061885
1 "Walking" 0.17293998
1 "Walking" 0.21778148
1 "Walking" 0.14532541
1 "Walking" 0.14414706
1 "Walking" 0.12492782
1 "Walking" 0.19261034
1 "Walking" -0.015507199
1 "Walking" 0.084263385
1 "Walking" 0.015637597
