"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.91292383
1 "Lying" -0.98345778
1 "Lying" -0.99573763
1 "Lying" -0.99783914
1 "Lying" -0.9956769
1 "Lying" -0.9903343
1 "Lying" -0.99478324
1 "Lying" -0.99011355
1 "Lying" -0.9889752
1 "Lying" -0.99266248
1 "Lying" -0.99400266
1 "Lying" -0.99429248
1 "Lying" -0.99413808
1 "Lying" -0.73548045
1 "Lying" -0.98777371
1 "Lying" -0.40724441
1 "Lying" -0.41075292
1 "Lying" -0.7009979
1 "Lying" -0.69387419
1 "Lying" -0.033361042
1 "Lying" -0.068621278
1 "Lying" -0.71071821
1 "Lying" -0.97501581
1 "Lying" -0.98643762
1 "Lying" -0.99372238
1 "Lying" -0.99511004
1 "Lying" -0.99351954
1 "Lying" -0.93212486
1 "Lying" -0.97847134
1 "Lying" -0.99254829
1 "Lying" -0.99309354
1 "Lying" -0.99128751
1 "Lying" -0.99118784
1 "Lying" -0.99295663
1 "Lying" -0.99074872
1 "Lying" -0.9969061
1 "Lying" -0.99726023
1 "Lying" -0.99483674
1 "Lying" -0.99305662
1 "Lying" -0.21972235
1 "Lying" -0.12959761
1 "Lying" -0.86974529
1 "Lying" -0.78465083
1 "Lying" -0.80901938
1 "Lying" -0.95244117
1 "Lying" -0.98609435
1 "Lying" -0.9687988
1 "Lying" -0.83059986
1 "Lying" -0.88212547
1 "Lying" -0.80112025
1 "Sitting" -0.932082
1 "Sitting" -0.96837677
1 "Sitting" -0.98216914
1 "Sitting" -0.98900729
1 "Sitting" -0.99091458
1 "Sitting" -0.9950483
1 "Sitting" -0.98307681
1 "Sitting" -0.98514797
1 "Sitting" -0.98805648
1 "Sitting" -0.98580244
1 "Sitting" -0.98513139
1 "Sitting" -0.992329
1 "Sitting" -0.99448895
1 "Sitting" -0.99349789
1 "Sitting" -0.94271506
1 "Sitting" -0.98546623
1 "Sitting" -0.98586494
1 "Sitting" -0.99063072
1 "Sitting" -0.99297864
1 "Sitting" -0.99584462
1 "Sitting" -0.99476183
1 "Sitting" -0.99530128
1 "Sitting" -0.99299471
1 "Sitting" -0.98903757
1 "Sitting" -0.99322615
1 "Sitting" -0.9929356
1 "Sitting" -0.99370967
1 "Sitting" -0.90753299
1 "Sitting" -0.93812789
1 "Sitting" -0.9807203
1 "Sitting" -0.97625381
1 "Sitting" -0.97401023
1 "Sitting" -0.97868077
1 "Sitting" -0.98182948
1 "Sitting" -0.98444877
1 "Sitting" -0.98977417
1 "Sitting" -0.98610725
1 "Sitting" -0.98336685
1 "Sitting" -0.98804302
1 "Sitting" -0.99032456
1 "Sitting" -0.98883841
1 "Sitting" -0.94413726
1 "Sitting" -0.96778397
1 "Sitting" -0.98743037
1 "Sitting" -0.99631228
1 "Sitting" -0.98789381
1 "Sitting" -0.99680577
1 "Sitting" -0.997511
1 "Sitting" -0.9976258
1 "Sitting" -1
1 "Sitting" -0.99221999
1 "Sitting" -0.99274476
1 "Sitting" -0.99151277
1 "Standing" -0.58077331
1 "Standing" -0.96958137
1 "Standing" -0.98367126
1 "Standing" -0.60443473
1 "Standing" -0.53056327
1 "Standing" -0.72743795
1 "Standing" -0.96629462
1 "Standing" -0.97145539
1 "Standing" -0.99432548
1 "Standing" -0.99674402
1 "Standing" -0.99364201
1 "Standing" -0.97409917
1 "Standing" -0.9894455
1 "Standing" -0.98765741
1 "Standing" -0.99037067
1 "Standing" -0.991422
1 "Standing" -0.98866276
1 "Standing" -0.99027064
1 "Standing" -0.99241927
1 "Standing" -0.99360142
1 "Standing" -0.99206525
1 "Standing" -0.98878306
1 "Standing" -0.99246659
1 "Standing" -0.99475114
1 "Standing" -0.93901883
1 "Standing" -0.95846131
1 "Standing" -0.98579971
1 "Standing" -0.98702337
1 "Standing" -0.99129984
1 "Standing" -0.99328031
1 "Standing" -0.9944984
1 "Standing" -0.99914832
1 "Standing" -0.99684666
1 "Standing" -0.99478809
1 "Standing" -0.99498228
1 "Standing" -0.80214314
1 "Standing" -0.97668066
1 "Standing" -0.98597181
1 "Standing" -0.99040487
1 "Standing" -0.98881197
1 "Standing" -0.99194505
1 "Standing" -0.99507327
1 "Standing" -0.99591199
1 "Standing" -0.99578311
1 "Standing" -0.99793575
1 "Standing" -0.99643778
1 "Standing" -0.9930554
1 "Walking" -0.24177281
1 "Walking" -0.31918066
1 "Walking" -0.3091675
1 "Walking" -0.20359696
1 "Walking" -0.090618656
1 "Walking" -0.20537681
1 "Walking" -0.22023925
1 "Walking" -0.26695122
1 "Walking" -0.18608503
1 "Walking" -0.22892507
1 "Walking" -0.25803633
1 "Walking" -0.30098771
1 "Walking" -0.22989074
1 "Walking" -0.1979259
1 "Walking" -0.20413853
1 "Walking" -0.24250322
1 "Walking" -0.2015775
1 "Walking" -0.20002126
1 "Walking" -0.19517844
1 "Walking" -0.32010923
1 "Walking" -0.22814478
1 "Walking" -0.32502899
1 "Walking" -0.30393499
1 "Walking" -0.28339757
