"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.94899233
1 "Lying" -0.99260546
1 "Lying" -0.99107429
1 "Lying" -0.99996345
1 "Lying" -0.99141945
1 "Lying" -0.9965765
1 "Lying" -0.98630526
1 "Lying" -0.99098871
1 "Lying" -0.99309354
1 "Lying" -0.98653604
1 "Lying" -0.99312711
1 "Lying" -0.98327358
1 "Lying" -0.99445088
1 "Lying" -0.91584176
1 "Lying" -0.99758172
1 "Lying" -0.96546941
1 "Lying" -0.85394989
1 "Lying" -0.92231494
1 "Lying" -0.98619644
1 "Lying" -0.85723676
1 "Lying" -0.67660388
1 "Lying" -0.90294907
1 "Lying" -0.98370635
1 "Lying" -0.9752815
1 "Lying" -0.98492981
1 "Lying" -0.97035827
1 "Lying" -0.99001607
1 "Lying" -0.96250984
1 "Lying" -0.98375582
1 "Lying" -0.9996099
1 "Lying" -0.98956199
1 "Lying" -0.99110855
1 "Lying" -0.98721523
1 "Lying" -0.99727501
1 "Lying" -0.97018832
1 "Lying" -0.99351071
1 "Lying" -0.98586733
1 "Lying" -0.9945183
1 "Lying" -0.99329786
1 "Lying" -0.66650128
1 "Lying" -0.85858638
1 "Lying" -0.96233551
1 "Lying" -0.94998304
1 "Lying" -0.9933028
1 "Lying" -0.98186717
1 "Lying" -0.98034079
1 "Lying" -0.99106065
1 "Lying" -0.99700636
1 "Lying" -0.9901503
1 "Lying" -0.99386788
1 "Sitting" -0.98817543
1 "Sitting" -0.98954882
1 "Sitting" -0.99988977
1 "Sitting" -0.99556241
1 "Sitting" -0.98217718
1 "Sitting" -0.98304828
1 "Sitting" -0.97593936
1 "Sitting" -0.98020222
1 "Sitting" -0.99612838
1 "Sitting" -0.98331942
1 "Sitting" -0.9962154
1 "Sitting" -0.99261641
1 "Sitting" -0.98824594
1 "Sitting" -0.99113787
1 "Sitting" -0.99810163
1 "Sitting" -0.97777645
1 "Sitting" -0.99792746
1 "Sitting" -0.99360124
1 "Sitting" -0.98858051
1 "Sitting" -0.99238215
1 "Sitting" -0.98841586
1 "Sitting" -0.9904769
1 "Sitting" -0.99696908
1 "Sitting" -0.99585329
1 "Sitting" -0.98573895
1 "Sitting" -0.99697367
1 "Sitting" -0.98398242
1 "Sitting" -0.99088571
1 "Sitting" -0.98229873
1 "Sitting" -0.99544816
1 "Sitting" -0.99140219
1 "Sitting" -0.98788206
1 "Sitting" -0.97514473
1 "Sitting" -0.99223956
1 "Sitting" -0.99343341
1 "Sitting" -0.9790977
1 "Sitting" -0.98737349
1 "Sitting" -0.99232359
1 "Sitting" -0.97841219
1 "Sitting" -0.99596007
1 "Sitting" -0.97604933
1 "Sitting" -0.9887443
1 "Sitting" -0.98073832
1 "Sitting" -0.99344684
1 "Sitting" -0.99400807
1 "Sitting" -0.99936843
1 "Sitting" -0.98250847
1 "Sitting" -0.98762139
1 "Sitting" -0.99349374
1 "Sitting" -0.99897058
1 "Sitting" -0.9820683
1 "Sitting" -0.97947498
1 "Sitting" -0.99571175
1 "Standing" -0.96563918
1 "Standing" -0.9894132
1 "Standing" -0.99306571
1 "Standing" -0.94520917
1 "Standing" -0.86959055
1 "Standing" -0.94729199
1 "Standing" -0.97769455
1 "Standing" -0.99887557
1 "Standing" -0.98878091
1 "Standing" -0.98982141
1 "Standing" -0.98913212
1 "Standing" -0.98798432
1 "Standing" -0.97774058
1 "Standing" -0.99270848
1 "Standing" -0.97870969
1 "Standing" -0.98743146
1 "Standing" -0.96971661
1 "Standing" -0.97998767
1 "Standing" -0.98940869
1 "Standing" -0.98839278
1 "Standing" -0.99675022
1 "Standing" -0.99808875
1 "Standing" -0.9958335
1 "Standing" -0.98742838
1 "Standing" -0.97888239
1 "Standing" -0.98344349
1 "Standing" -0.9959439
1 "Standing" -0.98484776
1 "Standing" -0.97300455
1 "Standing" -0.98303184
1 "Standing" -0.99721153
1 "Standing" -0.99425787
1 "Standing" -0.99766516
1 "Standing" -0.97320708
1 "Standing" -0.98713565
1 "Standing" -0.9917159
1 "Standing" -0.99040778
1 "Standing" -0.97718731
1 "Standing" -0.99698804
1 "Standing" -0.99976549
1 "Standing" -0.98875833
1 "Standing" -0.99187354
1 "Standing" -0.99782528
1 "Standing" -0.99224013
1 "Standing" -0.992102
1 "Standing" -0.99868061
1 "Standing" -0.9881712
1 "Walking" -0.80408124
1 "Walking" -0.79426959
1 "Walking" -0.51196392
1 "Walking" -0.84819342
1 "Walking" -0.41128359
1 "Walking" -0.78346654
1 "Walking" -0.74380191
1 "Walking" -0.16112349
1 "Walking" -0.018009841
1 "Walking" -0.83303828
1 "Walking" -0.400104
1 "Walking" -0.78431224
1 "Walking" -0.11840858
1 "Walking" -0.477911
1 "Walking" -0.27240789
1 "Walking" -0.46521725
1 "Walking" -0.18219434
1 "Walking" -0.91823205
1 "Walking" -0.58427057
1 "Walking" -0.37622569
1 "Walking" -0.86890135
1 "Walking" -0.65818664
1 "Walking" -0.18059985
1 "Walking" -0.45043504
1 "Walking" -0.87322373
1 "Walking" -0.70868791
1 "Walking" -0.47963096
1 "Walking" -0.61508449
1 "Walking" 0.034139084
1 "Walking" -0.47664429
1 "Walking" -0.58195898
1 "Walking" 0.0041618613
1 "Walking" -0.43114255
1 "Walking" -0.22310232
1 "Walking" -0.54031425
1 "Walking" -0.67769795
1 "Walking" -0.85170222
1 "Walking" -0.21034838
1 "Walking" -0.38984506
1 "Walking" -0.79573292
1 "Walking" -0.48040838
1 "Walking" -0.89925365
1 "Walking" -0.36896709
1 "Walking" -0.85460789
1 "Walking" -0.21101389
1 "Walking" -0.86590623
1 "Walking" -0.66097911
1 "Walking" -0.73123972
1 "Walking" -0.19371429
1 "Walking" -0.61696912
1 "Walking" -0.47561113
1 "Walking" -0.1207957
