"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.25550515
1 "Lying" -0.31183209
1 "Lying" -0.74408588
1 "Lying" -0.92407535
1 "Lying" -0.89669536
1 "Lying" -0.95605675
1 "Lying" -0.89669536
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.95605675
1 "Lying" -0.19015287
1 "Lying" -0.20706669
1 "Lying" 0.28658244
1 "Lying" 0.3182114
1 "Lying" -0.031645226
1 "Lying" 0.29621198
1 "Lying" 0.44082134
1 "Lying" 0.55555542
1 "Lying" 0.081999425
1 "Lying" -0.45880691
1 "Lying" -0.34913753
1 "Lying" -0.52419907
1 "Lying" -0.75445221
1 "Lying" -0.89669536
1 "Lying" -0.48009962
1 "Lying" -0.27829565
1 "Lying" -0.68500117
1 "Lying" -0.95605675
1 "Lying" -0.89669536
1 "Lying" -0.95605675
1 "Lying" -0.92407535
1 "Lying" -0.95605675
1 "Lying" -0.92407535
1 "Lying" -0.95605675
1 "Lying" -0.95605675
1 "Lying" -0.95605675
1 "Lying" 0.49885778
1 "Lying" 0.46115683
1 "Lying" -0.15328173
1 "Lying" -0.26396434
1 "Lying" -0.30068992
1 "Lying" -0.49336004
1 "Lying" -0.67820164
1 "Lying" -0.78572227
1 "Lying" -0.58567674
1 "Lying" -0.59750316
1 "Lying" -0.59034518
1 "Sitting" -0.70129141
1 "Sitting" -0.720683
1 "Sitting" -0.73652148
1 "Sitting" -0.72089079
1 "Sitting" -0.76337215
1 "Sitting" -0.76857669
1 "Sitting" -0.73563944
1 "Sitting" -0.73563944
1 "Sitting" -0.85031043
1 "Sitting" -0.67136577
1 "Sitting" -0.6406333
1 "Sitting" -0.89669536
1 "Sitting" -0.95605675
1 "Sitting" -1
1 "Sitting" -0.38735863
1 "Sitting" -0.50587034
1 "Sitting" -0.72940807
1 "Sitting" -0.82896585
1 "Sitting" -0.87235403
1 "Sitting" -0.95605675
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.95605675
1 "Sitting" -1
1 "Sitting" -0.92407535
1 "Sitting" -0.95605675
1 "Sitting" -0.27851782
1 "Sitting" -0.57217963
1 "Sitting" -0.6949693
1 "Sitting" -0.45054828
1 "Sitting" -0.48500538
1 "Sitting" -0.46765486
1 "Sitting" -0.82160324
1 "Sitting" -0.89669536
1 "Sitting" -0.8115235
1 "Sitting" -0.87235403
1 "Sitting" -0.89669536
1 "Sitting" -0.83012918
1 "Sitting" -0.6949693
1 "Sitting" -0.57831223
1 "Sitting" -0.22367449
1 "Sitting" -0.5443541
1 "Sitting" -0.71311784
1 "Sitting" -0.79429039
1 "Sitting" -0.83012918
1 "Sitting" -0.87235403
1 "Sitting" -0.87235403
1 "Sitting" -0.89669536
1 "Sitting" -0.92407535
1 "Sitting" -0.92407535
1 "Sitting" -0.92407535
1 "Sitting" -0.83012918
1 "Standing" -0.54048931
1 "Standing" -0.55879632
1 "Standing" -0.59372493
1 "Standing" 0.1204967
1 "Standing" 0.20283679
1 "Standing" -0.29636694
1 "Standing" -0.54048931
1 "Standing" -0.74408588
1 "Standing" -0.85316499
1 "Standing" -0.87235403
1 "Standing" -0.95605675
1 "Standing" -0.45884973
1 "Standing" -0.38882895
1 "Standing" -0.3243727
1 "Standing" -0.74408588
1 "Standing" -0.82896585
1 "Standing" -0.88040512
1 "Standing" -0.85316499
1 "Standing" -0.95605675
1 "Standing" -0.87235403
1 "Standing" -0.95605675
1 "Standing" -0.95605675
1 "Standing" -0.92407535
1 "Standing" -0.89669536
1 "Standing" -0.48522445
1 "Standing" -0.39232732
1 "Standing" -0.49236799
1 "Standing" -0.76857669
1 "Standing" -0.95605675
1 "Standing" -0.95605675
1 "Standing" -0.95605675
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.46621234
1 "Standing" -0.43282732
1 "Standing" -0.26728192
1 "Standing" -0.72578222
1 "Standing" -0.82896585
1 "Standing" -0.92407535
1 "Standing" -0.89669536
1 "Standing" -0.85316499
1 "Standing" -0.95605675
1 "Standing" -0.95605675
1 "Standing" -0.95605675
1 "Standing" -0.36807435
1 "Walking" 0.61789992
1 "Walking" 0.58298687
1 "Walking" 0.6432044
1 "Walking" 0.76867854
1 "Walking" 0.79969401
1 "Walking" 0.64305165
1 "Walking" 0.67696593
1 "Walking" 0.72730696
1 "Walking" 0.64346088
1 "Walking" 0.58598036
1 "Walking" 0.57489721
1 "Walking" 0.62376792
1 "Walking" 0.59044417
1 "Walking" 0.6876113
1 "Walking" 0.68505559
