"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.43119752
1 "Lying" 0.040503424
1 "Lying" 0.13922101
1 "Lying" 0.18077474
1 "Lying" 0.18397017
1 "Lying" 0.2709548
1 "Lying" 0.039529017
1 "Lying" -0.13975918
1 "Lying" 0.018991945
1 "Lying" 0.034536015
1 "Lying" -0.11033223
1 "Lying" 0.20222663
1 "Lying" 0.061987757
1 "Lying" -0.21461038
1 "Lying" -0.27191506
1 "Lying" -0.34803529
1 "Lying" -0.29549389
1 "Lying" -0.11806135
1 "Lying" -0.18469076
1 "Lying" 0.059361673
1 "Lying" 0.089681257
1 "Lying" -0.030597378
1 "Lying" 0.089930695
1 "Lying" 0.27465283
1 "Lying" 0.12479139
1 "Lying" 0.10366027
1 "Lying" 0.22021596
1 "Lying" -0.29011834
1 "Lying" -0.31088998
1 "Lying" -0.0034717748
1 "Lying" 0.19310489
1 "Lying" 0.13245547
1 "Lying" 0.10973421
1 "Lying" -0.024191742
1 "Lying" -0.21624392
1 "Lying" 0.070878818
1 "Lying" -0.031823125
1 "Lying" -0.040686681
1 "Lying" 0.029953439
1 "Lying" 0.13879851
1 "Lying" 0.10065166
1 "Lying" 0.027712185
1 "Lying" -0.09166294
1 "Lying" 0.065610623
1 "Lying" 0.0082019658
1 "Lying" -0.072444961
1 "Lying" 0.0211243
1 "Lying" -0.0973816
1 "Lying" 0.0051214328
1 "Lying" -0.045399099
1 "Sitting" 0.31665451
1 "Sitting" 0.11768661
1 "Sitting" 0.11492426
1 "Sitting" 0.078321232
1 "Sitting" -0.43491617
1 "Sitting" -0.38093733
1 "Sitting" 0.063395367
1 "Sitting" -0.05385295
1 "Sitting" 0.22918282
1 "Sitting" 0.13699199
1 "Sitting" 0.062205217
1 "Sitting" 0.12484363
1 "Sitting" 0.30429397
1 "Sitting" 0.3860442
1 "Sitting" 0.19358633
1 "Sitting" -0.072000061
1 "Sitting" -0.093569267
1 "Sitting" -0.1611308
1 "Sitting" -0.049897808
1 "Sitting" 0.20169847
1 "Sitting" 0.29000941
1 "Sitting" 0.44878684
1 "Sitting" 0.24649006
1 "Sitting" 0.24178823
1 "Sitting" 0.18766822
1 "Sitting" 0.092720868
1 "Sitting" 0.19722289
1 "Sitting" 0.49457649
1 "Sitting" 0.069052879
1 "Sitting" 0.12876258
1 "Sitting" 0.17963973
1 "Sitting" 0.039085782
1 "Sitting" 0.0515025
1 "Sitting" 0.20386906
1 "Sitting" 0.1434034
1 "Sitting" 0.27860283
1 "Sitting" 0.34342992
1 "Sitting" 0.23083833
1 "Sitting" 0.091560653
1 "Sitting" 0.07314288
1 "Sitting" -0.4059284
1 "Sitting" -0.32155294
1 "Sitting" 0.038378663
1 "Sitting" 0.13158625
1 "Sitting" 0.28134781
1 "Sitting" 0.27663949
1 "Sitting" 0.20326545
1 "Sitting" 0.23701216
1 "Sitting" 0.34877085
1 "Sitting" 0.2096308
1 "Sitting" -0.067508726
1 "Sitting" -0.10152235
1 "Sitting" 0.034166252
1 "Standing" 0.0037178562
1 "Standing" -0.054887477
1 "Standing" 0.26822512
1 "Standing" -0.46023767
1 "Standing" -0.2772616
1 "Standing" 0.22571511
1 "Standing" 0.30230446
1 "Standing" 0.24386728
1 "Standing" 0.059409527
1 "Standing" 0.04663048
1 "Standing" 0.089424404
1 "Standing" 0.11477917
1 "Standing" -0.079319091
1 "Standing" 0.010875074
1 "Standing" 0.26624407
1 "Standing" 0.2483328
1 "Standing" -0.054788957
1 "Standing" 0.031119714
1 "Standing" 0.2620615
1 "Standing" 0.034380194
1 "Standing" -0.14416176
1 "Standing" 0.057744568
1 "Standing" -0.16255754
1 "Standing" -0.20920155
1 "Standing" -0.12623552
1 "Standing" 0.3355383
1 "Standing" 0.17313833
1 "Standing" 0.0040347295
1 "Standing" 0.10706135
1 "Standing" -0.00086919974
1 "Standing" 0.18661379
1 "Standing" 0.15232816
1 "Standing" 0.10928723
1 "Standing" 0.17533381
1 "Standing" -0.042526543
1 "Standing" -0.39018318
1 "Standing" -0.023634142
1 "Standing" 0.14191154
1 "Standing" 0.051199159
1 "Standing" 0.031004481
1 "Standing" 0.035675357
1 "Standing" 0.11104034
1 "Standing" 0.086393225
1 "Standing" 0.071938399
1 "Standing" 0.12891963
1 "Standing" 0.11848031
1 "Standing" -0.31053666
1 "Walking" -0.37572387
1 "Walking" -0.38817767
1 "Walking" -0.20131498
1 "Walking" 0.043596166
1 "Walking" -0.068664096
1 "Walking" -0.26525029
1 "Walking" -0.38793767
1 "Walking" -0.028692301
1 "Walking" -0.41819257
1 "Walking" -0.44421741
1 "Walking" -0.060667895
1 "Walking" -0.19751559
1 "Walking" -0.47877068
1 "Walking" -0.44386925
1 "Walking" -0.66571207
1 "Walking" -0.40517312
1 "Walking" -0.21575225
1 "Walking" -0.35214509
1 "Walking" -0.29776905
1 "Walking" -0.074158462
1 "Walking" -0.079079176
1 "Walking" -0.28344812
1 "Walking" -0.57751123
1 "Walking" -0.26308121
1 "Walking" -0.30106034
1 "Walking" -0.24705591
1 "Walking" -0.06578598
1 "Walking" -0.2722318
1 "Walking" -0.16847313
1 "Walking" -0.0055120951
1 "Walking" -0.32046992
1 "Walking" -0.47511566
1 "Walking" -0.31012044
