"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.43240036
1 "Lying" -0.67493232
1 "Lying" -0.75245371
1 "Lying" -0.92037074
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.25162709
1 "Lying" -0.42908052
1 "Lying" 0.27951208
1 "Lying" 0.37944809
1 "Lying" -0.033355585
1 "Lying" 0.23922584
1 "Lying" 0.46300896
1 "Lying" 0.62625433
1 "Lying" 0.031446538
1 "Lying" -0.48176016
1 "Lying" -0.36065109
1 "Lying" -0.53726857
1 "Lying" -0.60199115
1 "Lying" -0.82062055
1 "Lying" -0.48852499
1 "Lying" -0.56707407
1 "Lying" -0.69911993
1 "Lying" -0.84600044
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.95391262
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.62325684
1 "Lying" 0.56857677
1 "Lying" 0.060277232
1 "Lying" -0.21695552
1 "Lying" -0.27109895
1 "Lying" -0.31242434
1 "Lying" -0.6283568
1 "Lying" -0.71981486
1 "Lying" -0.52682339
1 "Lying" -0.41228942
1 "Lying" -0.48074611
1 "Sitting" -0.71240225
1 "Sitting" -0.61111189
1 "Sitting" -0.59098655
1 "Sitting" -0.72366552
1 "Sitting" -0.6526168
1 "Sitting" -0.67818627
1 "Sitting" -0.66105912
1 "Sitting" -0.70705422
1 "Sitting" -0.70705422
1 "Sitting" -0.63519981
1 "Sitting" -0.6175498
1 "Sitting" -0.82184063
1 "Sitting" -0.86612578
1 "Sitting" -0.95391262
1 "Sitting" -0.51124873
1 "Sitting" -0.86216623
1 "Sitting" -0.79765302
1 "Sitting" -0.82062055
1 "Sitting" -0.79765302
1 "Sitting" -0.89165479
1 "Sitting" -0.95391262
1 "Sitting" -0.95391262
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.86612578
1 "Sitting" -0.82184063
1 "Sitting" -0.78425315
1 "Sitting" -0.60571124
1 "Sitting" -0.6305182
1 "Sitting" -0.58328818
1 "Sitting" -0.52948619
1 "Sitting" -0.58414353
1 "Sitting" -0.46759899
1 "Sitting" -0.77664133
1 "Sitting" -0.7572848
1 "Sitting" -0.7674603
1 "Sitting" -0.72480573
1 "Sitting" -0.76485719
1 "Sitting" -0.81289869
1 "Sitting" -0.69742882
1 "Sitting" -0.51679296
1 "Sitting" -0.55367643
1 "Sitting" -0.74247115
1 "Sitting" -0.79581359
1 "Sitting" -0.80049521
1 "Sitting" -0.82062055
1 "Sitting" -0.78425315
1 "Sitting" -0.79765302
1 "Sitting" -0.8745697
1 "Sitting" -0.84600044
1 "Sitting" -0.79765302
1 "Sitting" -0.78767045
1 "Sitting" -0.78767045
1 "Standing" -0.51190757
1 "Standing" -0.8745697
1 "Standing" -0.92037074
1 "Standing" -0.068410669
1 "Standing" 0.06065306
1 "Standing" -0.34623165
1 "Standing" -0.86612578
1 "Standing" -0.95391262
1 "Standing" -0.92037074
1 "Standing" -1
1 "Standing" -0.95391262
1 "Standing" -0.53238385
1 "Standing" -0.34771383
1 "Standing" -0.47433511
1 "Standing" -0.66250006
1 "Standing" -0.82062055
1 "Standing" -1
1 "Standing" -0.92037074
1 "Standing" -0.95391262
1 "Standing" -1
1 "Standing" -0.95391262
1 "Standing" -1
1 "Standing" -0.95391262
1 "Standing" -1
1 "Standing" -0.63920158
1 "Standing" -0.79765302
1 "Standing" -0.8745697
