"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99976121
1 "Lying" -0.99998937
1 "Lying" -0.99999328
1 "Lying" -0.99999673
1 "Lying" -0.99999755
1 "Lying" -0.9999954
1 "Lying" -0.99998565
1 "Lying" -0.99999083
1 "Lying" -0.99999708
1 "Lying" -0.99999452
1 "Lying" -0.99999114
1 "Lying" -0.99999201
1 "Lying" -0.99999255
1 "Lying" -0.99880083
1 "Lying" -0.99993215
1 "Lying" -0.99908084
1 "Lying" -0.99908868
1 "Lying" -0.99918764
1 "Lying" -0.99465806
1 "Lying" -0.99216484
1 "Lying" -0.99188954
1 "Lying" -0.99909077
1 "Lying" -0.99993173
1 "Lying" -0.99996318
1 "Lying" -0.99998201
1 "Lying" -0.99997839
1 "Lying" -0.99998192
1 "Lying" -0.99988949
1 "Lying" -0.99995604
1 "Lying" -0.99999082
1 "Lying" -0.99999428
1 "Lying" -0.99999258
1 "Lying" -0.99998826
1 "Lying" -0.99998653
1 "Lying" -0.9999887
1 "Lying" -0.99998502
1 "Lying" -0.99997005
1 "Lying" -0.99998517
1 "Lying" -0.99998977
1 "Lying" -0.98562175
1 "Lying" -0.99697112
1 "Lying" -0.99994294
1 "Lying" -0.9999672
1 "Lying" -0.99993881
1 "Lying" -0.99999282
1 "Lying" -0.99999234
1 "Lying" -0.99999573
1 "Lying" -0.99999809
1 "Lying" -0.99999723
1 "Lying" -0.99999674
1 "Sitting" -0.99996857
1 "Sitting" -0.99998608
1 "Sitting" -0.99997302
1 "Sitting" -0.99998586
1 "Sitting" -0.99996657
1 "Sitting" -0.99996777
1 "Sitting" -0.99998963
1 "Sitting" -0.99997529
1 "Sitting" -0.99997407
1 "Sitting" -0.99998525
1 "Sitting" -0.99997685
1 "Sitting" -0.99999131
1 "Sitting" -0.99999545
1 "Sitting" -0.99999597
1 "Sitting" -0.9997919
1 "Sitting" -0.99994584
1 "Sitting" -0.9999744
1 "Sitting" -0.99998315
1 "Sitting" -0.99999315
1 "Sitting" -0.99999613
1 "Sitting" -0.9999956
1 "Sitting" -0.99999822
1 "Sitting" -0.9999949
1 "Sitting" -0.99999397
1 "Sitting" -0.99999299
1 "Sitting" -0.99999343
1 "Sitting" -0.99998713
1 "Sitting" -0.9997407
1 "Sitting" -0.99986703
1 "Sitting" -0.99997427
1 "Sitting" -0.99992213
1 "Sitting" -0.99991324
1 "Sitting" -0.99991808
1 "Sitting" -0.9999219
1 "Sitting" -0.99999036
1 "Sitting" -0.9999717
1 "Sitting" -0.9999787
1 "Sitting" -0.99999233
1 "Sitting" -0.99999023
1 "Sitting" -0.99999103
1 "Sitting" -0.99968715
1 "Sitting" -0.99978845
1 "Sitting" -0.99995495
1 "Sitting" -0.99998455
1 "Sitting" -0.99998678
1 "Sitting" -0.99999079
1 "Sitting" -0.99998847
1 "Sitting" -0.99999181
1 "Sitting" -0.99999568
1 "Sitting" -0.99999259
1 "Sitting" -0.99999149
1 "Sitting" -0.99999272
1 "Sitting" -0.9999932
1 "Standing" -0.99981366
1 "Standing" -0.99995597
1 "Standing" -0.99996818
1 "Standing" -0.9986348
1 "Standing" -0.99847304
1 "Standing" -0.99948486
1 "Standing" -0.99988507
1 "Standing" -0.9999821
1 "Standing" -0.99995613
1 "Standing" -0.99996839
1 "Standing" -0.99998064
1 "Standing" -0.99987164
1 "Standing" -0.99995052
1 "Standing" -0.9999872
1 "Standing" -0.99998599
1 "Standing" -0.99998497
1 "Standing" -0.99997378
1 "Standing" -0.99998541
1 "Standing" -0.99998955
1 "Standing" -0.99998509
1 "Standing" -0.99998369
1 "Standing" -0.99998873
1 "Standing" -0.99997382
1 "Standing" -0.99996884
1 "Standing" -0.9998714
1 "Standing" -0.99991828
1 "Standing" -0.99996273
1 "Standing" -0.99995715
1 "Standing" -0.99998885
1 "Standing" -0.99999011
1 "Standing" -0.999986
1 "Standing" -0.99997726
